bangladesh_test	Total	Male	Female
 40-44 	60258.818477	29159.005949	31099.812529
 45-49 	49733.845945	24401.760064	25332.085881
 50-54 	44066.061875	22317.588650	21748.473224
 55-59 	34879.806756	17862.140139	17017.666616
 60-64 	24026.396945	12600.030304	11426.366641
 65-69 	16578.219383	8794.250032	7783.969350
 70-74 	11855.521937	6018.528594	5836.993343
 75-79 	8273.034880	4137.551000	4135.483880
 80+ 	7479.327104	3856.941517	3622.385587
Total	914491.452398	459980.432656	454511.019742
2021			
 0-4	136099.823209	69651.891966	66447.931243
 5-9	65903.154523	33756.033214	32147.121309
 10-14 	29877.334307	15287.418838	14589.915469
 15-19 	99040.140784	50566.918610	48473.222174
 20-24 	93245.046576	47216.749164	46028.297412
 25-29 	86235.215004	43045.268573	43189.946432
 30-34 	78511.302158	38448.122102	40063.180056
 35-39 	70968.153746	34266.018865	36702.134881
 40-44 	62166.223390	30041.703073	32124.520317
 45-49 	51683.828648	25230.646868	26453.181780
 50-54 	44729.850135	22498.341222	22231.508913
 55-59 	36569.641643	18668.791211	17900.850433
 60-64 	25789.647019	13398.138255	12391.508765
 65-69 	17279.713021	9195.395906	8084.317115
 70-74 	12190.532655	6229.410564	5961.122091
 75-79 	8565.738716	4261.442389	4304.296328
 80+ 	7806.928049	4008.650170	3798.277879
Total	926662.273585	465770.940989	460891.332596
2022			
 0-4	135760.116282	69474.382147	66285.734135
 5-9	65844.056156	33722.878086	32121.178070
 10-14 	29908.703387	15308.582185	14600.121201
 15-19 	98087.369790	50080.302180	48007.067610
 20-24 	93307.564704	47252.339141	46055.225563
 25-29 	86951.710260	43460.365031	43491.345229
 30-34 	79563.762806	39073.946775	40489.816031
 35-39 	72103.386177	34832.059114	37271.327063
 40-44 	63930.768108	30855.401853	33075.366255
 45-49 	53378.926369	25935.204842	27443.721527
 50-54 	45681.149070	22815.900172	22865.248898
 55-59 	38198.149243	19440.774346	18757.374896
 60-64 	27633.387924	14238.331933	13395.055991
 65-69 	18105.650872	9629.442378	8476.208494
 70-74 	12602.514310	6488.157758	6114.356551
 75-79 	8827.264245	4379.830023	4447.434223
 80+ 	8155.858191	4165.249817	3990.608374
Total	938040.337893	471153.147781	466887.190113
2023			
 0-4	135234.917571	69200.515472	66034.402099
 5-9	65701.283533	33646.015229	32055.268303
 10-14 	29965.075596	15342.072922	14623.002674
 15-19 	97082.027546	49569.134967	47512.892579
 20-24 	93188.789892	47193.009689	45995.780203
 25-29 	87511.194499	43782.134894	43729.059605
 30-34 	80520.631784	39654.400861	40866.230922
 35-39 	73161.492764	35385.475549	37776.017215
 40-44 	65537.163869	31592.548913	33944.614956
 45-49 	55199.191381	26727.771690	28471.419691
 50-54 	46555.379543	23073.423024	23481.956519
 55-59 	39778.472237	20178.250105	19600.222132
 60-64 	29456.991852	15080.976466	14376.015386
 65-69 	19120.912326	10120.081050	9000.831276
 70-74 	13098.768485	6796.471623	6302.296861
 75-79 	9046.467973	4489.405973	4557.061999
 80+ 	8528.297870	4328.233055	4200.064816
Total	948687.058720	476159.921484	472527.137236
2024			
 0-4	134504.722770	68819.228391	65685.494379
 5-9	65512.507813	33545.516937	31966.990877
 10-14 	30004.442373	15365.528130	14638.914243
 15-19 	96214.274128	49132.332751	47081.941377
 20-24 	92848.983555	47019.453031	45829.530524
 25-29 	87903.628373	44006.716284	43896.912089
 30-34 	81382.164436	40181.003728	41201.160708
 35-39 	74170.413261	35940.992855	38229.420406
 40-44 	66981.158267	32254.862178	34726.296089
 45-49 	57074.671732	27570.202475	29504.469257
 50-54 	47420.795027	23314.020407	24106.774620
 55-59 	41324.238442	20881.772681	20442.465761
 60-64 	31200.293628	15898.552571	15301.741056
 65-69 	20360.937537	10687.496144	9673.441393
 70-74 	13652.386221	7135.584710	6516.801510
 75-79 	9249.660892	4603.305227	4646.355665
 80+ 	8919.009255	4496.806780	4422.202475
Total	958724.287710	480853.375280	477870.912430
2025			
 0-4	133588.219255	68340.275952	65247.943303
 5-9	65287.238495	33426.205060	31861.033435
 10-14 	30010.126457	15370.021436	14640.105022
 15-19 	95603.315340	48831.486433	46771.828907
 20-24 	92246.488613	46710.908014	45535.580599
 25-29 	88139.351173	44141.713736	43997.637437
 30-34 	82151.555081	40652.528914	41499.026166
 35-39 	75152.262984	36503.324721	38648.938263
 40-44 	68267.660462	32850.864891	35416.795572
 45-49 	58945.687460	28426.447807	30519.239653
 50-54 	48485.412628	23656.736408	24828.676220
 55-59 	42667.021352	21458.808986	21208.212366
 60-64 	32850.381297	16679.426416	16170.954881
 65-69 	21820.586237	11340.966582	10479.619655
 70-74 	14234.336998	7482.327997	6752.009002
 75-79 	9481.844637	4742.317230	4739.527407
 80+ 	9317.649702	4668.582247	4649.067455
Total	968249.138173	485282.942828	482966.195344
2026			
 0-4	132553.024324	67799.599341	64753.424983
 5-9	65013.675396	33281.623787	31732.051608
 10-14 	29974.863858	15351.955159	14622.908700
 15-19 	95291.009993	48686.889758	46604.120235
 20-24 	91397.128116	46276.101112	45121.027004
 25-29 	88233.716943	44197.667946	44036.048996
 30-34 	82835.012433	41062.955088	41772.057345
 35-39 	76130.052091	37082.653425	39047.398666
 40-44 	69410.565903	33395.438590	36015.127313
 45-49 	60744.029513	29254.331831	31489.697682
 50-54 	50335.289238	24435.003287	25900.285951
 55-59 	43261.403767	21606.723023	21654.680744
 60-64 	34437.151457	17430.636002	17006.515456
 65-69 	23447.880011	12068.948640	11378.931371
 70-74 	14859.598990	7834.075839	7025.523151
 75-79 	9775.755030	4920.856820	4854.898210
 80+ 	9715.106359	4841.742587	4873.363771
Total	977415.263420	489527.202235	487888.061184
2027			
 0-4	131430.417167	67218.018300	64212.398867
 5-9	64688.936202	33109.757043	31579.179159
 10-14 	29901.760986	15313.409146	14588.351839
 15-19 	95230.984559	48672.504157	46558.480402
 20-24 	90382.881463	45757.832366	44625.049096
 25-29 	88195.682126	44181.732195	44013.949930
 30-34 	83440.052962	41420.298157	42019.754805
 35-39 	77075.580824	37652.767182	39422.813642
 40-44 	70451.451389	33914.236588	36537.214801
 45-49 	62418.600731	30022.871206	32395.729525
 50-54 	51950.232268	25099.875791	26850.356477
 55-59 	44152.253986	21895.865815	22256.388171
 60-64 	35975.555416	18154.138114	17821.417302
 65-69 	25155.452508	12838.816146	12316.636362
 70-74 	15601.620771	8217.909894	7383.710877
 75-79 	10134.786494	5139.489623	4995.296871
 80+ 	10106.582796	5015.696635	5090.886160
Total	986292.832648	493625.218361	492667.614287
2028			
 0-4	130261.429933	66615.364124	63646.065809
