bangladesh_test	Total	Male	Female
Total	2111865.247520	1042516.777866	1069348.469654
2050			
 0-4	110306.100482	56429.200867	53876.899615
 5-9	126206.040595	64560.763932	61645.276663
 10-14 	81827.840534	41851.314832	39976.525702
 15-19 	127053.335449	64915.176150	62138.159299
 20-24 	149180.003863	75635.747137	73544.256725
 25-29 	152854.265499	76519.817276	76334.448223
 30-34 	152823.805873	76050.925311	76772.880562
 35-39 	150534.183573	74612.144590	75922.038984
 40-44 	147551.241935	72855.728318	74695.513616
 45-49 	149905.871799	73892.453495	76013.418304
 50-54 	150160.471925	73815.887417	76344.584507
 55-59 	142900.417659	69611.773134	73288.644525
 60-64 	129825.153429	62022.623782	67802.529647
 65-69 	113238.045979	53112.906074	60125.139905
 70-74 	91544.739768	42661.212807	48883.526960
 75-79 	65817.601169	30588.078643	35229.522526
 80+ 	76238.683615	36040.707025	40197.976589
Total	2117967.803143	1045176.460789	1072791.342354
