Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1997	976.252	986.433	996.022	1002.496	1007.523	1011.055	1013.058	1013.479	1012.276	1009.425	1004.896	998.632	990.988	982.347	970.548	954.698	936.023	916.539	895.724	875.912	858.433	842.235	825.169	807.941	789.28	768.435	746.292	724.606	703.163	682.445	662.909	644.44	626.054	607.459	591.483	579.282	569.404	559.344	549.705	538.143	523.269	506.151	489.497	473.071	455.638	436.964	417.62	398.263	378.564	360.69	345.732	332.682	319.549	306.841	293.513	278.875	263.541	248.768	234.267	220.508	207.848	195.988	184.312	172.984	161.757	150.465	139.27	128.518	118.16	108.232	98.797	89.84	81.281	73.136	65.509	58.44	51.901	45.783	40.059	34.943	30.518	26.664	23.168	20.064	17.198	14.463	11.917	9.69	7.738	6.077	4.728	3.644	2.739	2.008	1.434	0.991	0.664	0.438	0.278	0.127	0.259
1998	962.002	972.668	981.966	991.17	997.165	1002.1	1005.869	1008.375	1009.506	1009.151	1007.244	1003.69	998.372	991.642	983.893	972.542	956.484	937.102	916.904	895.415	874.339	854.79	836.065	816.569	796.882	776.439	754.889	732.826	711.244	689.998	669.953	651.653	634.814	618.158	601.408	587.229	576.653	568.25	559.688	551.567	541.156	526.899	510.022	493.535	477.116	459.729	441.254	422.157	402.898	383.23	365.07	349.373	335.286	321.103	307.286	292.919	277.411	261.322	245.77	230.498	216.019	202.691	190.227	178.003	166.168	154.576	143.1	131.859	121.101	110.786	100.955	91.658	82.871	74.539	66.692	59.293	52.324	45.825	39.781	34.115	29.268	25.436	22.374	19.637	17.32	15.072	12.673	10.274	8.219	6.416	4.91	3.757	2.883	2.151	1.568	1.113	0.755	0.487	0.284	0.127	0.27
1999	954.971	963.582	971.614	978.97	986.004	991.517	996.358	1000.364	1003.372	1005.209	1005.704	1004.737	1002.162	997.789	991.972	985.119	974.217	957.958	937.877	916.97	894.816	872.486	850.873	829.631	807.716	785.579	763.361	741.115	719.14	697.667	676.626	657.259	640.2	624.995	610.071	595.169	582.79	573.841	566.912	559.85	553.248	543.991	530.354	513.722	497.407	481.002	463.665	445.397	426.551	407.395	387.767	369.326	352.897	337.778	322.552	307.63	292.23	275.859	259.022	242.695	226.66	211.465	197.475	184.413	171.642	159.308	147.352	135.698	124.414	113.654	103.386	93.654	84.497	75.886	67.781	60.234	53.066	46.199	39.74	33.775	28.167	23.59	20.353	18.081	16.105	14.573	12.944	10.881	8.631	6.745	5.094	3.744	2.785	2.123	1.563	1.128	0.791	0.52	0.31	0.131	0.281
2000	959.245	962.339	966.27	970.809	975.739	980.83	985.863	990.611	994.851	998.361	1000.904	1002.247	1002.219	1000.62	997.191	992.288	986.327	975.875	959.415	938.635	917.023	894.204	870.622	846.95	823.194	798.865	774.281	750.293	727.351	705.464	684.101	663.264	644.576	628.755	615.181	601.988	588.931	578.349	571.024	565.569	560.002	554.918	546.812	533.796	517.409	501.265	484.874	467.588	449.527	430.932	411.879	392.29	373.569	356.41	340.261	323.993	307.97	291.538	274.305	256.721	239.621	222.825	206.915	192.264	178.604	165.29	152.455	140.139	128.305	116.979	106.217	95.996	86.363	77.347	68.909	61.033	53.786	46.848	40.082	33.665	27.778	22.228	17.92	15.277	13.796	12.577	11.831	10.819	9.092	6.989	5.275	3.773	2.579	1.816	1.364	0.976	0.688	0.471	0.284	0.133	0.294
2001	977.872	958.782	960.181	963.391	968.016	973.671	980.097	987.045	993.426	998.577	1002.52	1005.685	1007.68	1008.134	1006.805	1003.421	998.483	992.508	981.367	963.246	940.215	916.391	891.224	865.894	841.487	817.664	793.181	768.505	744.389	721.154	698.898	677.273	656.216	637.443	621.732	608.377	595.403	582.614	572.103	564.529	558.626	552.665	547.197	538.78	525.581	509.112	492.866	476.333	459.098	441.365	423.263	404.702	385.697	367.247	349.85	333.163	316.428	299.894	283.279	266.402	249.513	233.068	216.994	201.606	187.11	173.396	160.074	147.152	135.086	124.048	113.818	104.076	94.954	85.874	76.543	67.251	58.608	50.516	43.091	36.463	30.579	25.131	20.033	16.079	13.59	12.14	11.004	10.35	9.462	7.92	6.036	4.522	3.214	2.178	1.518	1.131	0.739	0.48	0.278	0.136	0.309
2002	1006.468	987.247	957.67	957.369	959.855	964.564	970.941	978.698	987.557	995.571	1001.628	1006.002	1009.789	1012.434	1013.371	1012.311	1008.976	1004.006	998.022	986.197	966.427	941.159	915.137	887.637	860.573	835.448	811.575	786.952	762.203	737.974	714.462	691.85	669.979	648.717	629.872	614.279	601.154	588.408	575.895	565.465	557.644	551.297	544.946	539.099	530.374	517.002	500.462	484.124	467.462	450.288	432.897	415.298	397.244	378.835	360.671	343.047	325.832	308.642	291.607	274.82	258.311	242.129	226.349	211.012	196.155	181.825	168.065	154.744	141.745	129.937	119.701	110.579	101.862	93.845	85.327	75.686	65.547	56.14	47.209	39.302	32.815	27.469	22.466	17.822	14.225	11.891	10.476	9.422	8.859	8.098	6.742	5.078	3.766	2.651	1.775	1.22	0.895	0.485	0.272	0.139	0.325
2003	1040.755	1008.026	983.833	956.195	954.196	955.957	960.748	967.843	976.93	987.696	997.338	1004.302	1009.103	1013.51	1016.805	1018.224	1017.434	1014.149	1009.148	1003.159	990.654	969.242	941.747	913.537	883.715	854.928	829.093	805.18	780.427	755.614	731.281	707.501	684.542	662.433	640.972	622.064	606.596	593.705	581.191	568.96	558.612	550.55	543.761	537.022	530.798	521.768	508.229	491.625	475.2	458.415	441.309	424.265	407.178	389.638	371.831	353.958	336.115	318.379	300.74	283.211	266.259	250.122	234.655	219.547	204.949	190.631	176.472	162.671	149.357	136.284	124.739	115.311	107.297	99.61	92.702	84.747	74.802	63.817	53.651	43.884	35.499	29.156	24.348	19.793	15.605	12.365	10.189	8.807	7.837	7.366	6.731	5.561	4.119	3.007	2.089	1.371	0.92	0.661	0.27	0.147	0.343
2004	1074.521	1030.803	997.544	973.678	954.661	950.967	952.002	956.874	964.689	975.101	987.775	999.044	1006.91	1012.141	1017.166	1021.111	1023.011	1022.492	1019.258	1014.225	1008.23	995.048	971.995	942.277	911.881	879.741	849.234	822.691	798.739	773.858	748.981	724.547	700.5	677.197	654.85	633.193	614.221	598.88	586.223	573.944	561.993	551.729	543.425	536.197	529.069	522.468	513.137	499.429	482.761	466.253	449.344	432.309	415.612	399.038	382.011	364.808	347.228	329.166	310.91	292.824	274.802	257.687	241.923	227.17	212.735	198.878	185.098	171.11	157.271	143.964	130.818	119.537	110.915	104.011	97.353	91.554	84.163	73.911	62.085	51.161	40.559	31.695	25.497	21.229	17.118	13.388	10.507	8.488	7.138	6.251	5.874	5.364	4.381	3.159	2.249	1.527	0.967	0.621	0.426	0.164	0.363
2005	1102.774	1052.932	1014.106	985.23	965.246	953.088	947.698	948.009	952.962	961.494	973.233	987.81	1000.705	1009.475	1015.132	1020.777	1025.37	1027.751	1027.502	1024.318	1019.256	1013.254	999.396	974.705	942.765	910.188	875.731	843.507	816.258	792.267	767.26	742.321	717.786	693.474	669.827	647.244	625.392	606.357	591.143	578.722	566.675	555.007	544.827	536.283	528.613	521.1	514.121	504.488	490.614	473.883	457.291	440.261	423.295	406.948	390.885	374.373	357.775	340.487	322.208	303.433	284.901	266.387	249.108	233.72	219.68	205.918	192.803	179.56	165.746	151.867	138.568	125.35	114.333	106.518	100.722	95.094	90.402	83.575	73.02	60.351	48.67	37.234	27.892	21.84	18.11	14.446	11.172	8.649	6.786	5.471	4.667	4.382	3.998	3.201	2.2	1.492	0.964	0.564	0.322	0.191	0.385
2006	1126.048	1092.088	1048.004	1012.893	986.032	966.705	953.869	946.493	945.439	950.627	960.383	972.631	987.207	1000.622	1010.739	1018.174	1025.392	1031.541	1034.656	1033.879	1029.281	1022.85	1015.453	999.828	972.96	938.621	903.631	866.673	832.527	804.275	779.932	754.596	729.46	704.905	680.706	657.31	635.09	613.626	595.295	581.21	570.143	559.424	549.192	539.81	531.063	522.543	514.259	506.436	496.171	482.083	465.413	448.774	431.638	414.668	398.449	382.588	366.309	350.04	332.828	314.213	294.872	275.846	256.794	239.375	224.48	211.334	198.431	186.264	173.72	160.154	146.257	132.999	119.737	109.023	102.076	97.461	92.932	89.425	83.193	72.292	58.7	46.187	33.825	24.006	18.25	15.301	12.305	9.714	7.703	6.032	4.706	3.948	3.716	3.398	2.711	1.842	1.002	0.631	0.381	0.232	0.409
2007	1144.379	1097.469	1081.608	1043.281	1011.882	987.033	968.359	954.843	945.476	943.057	948.48	959.464	972.223	986.8	1000.741	1012.206	1021.425	1030.218	1037.925	1041.777	1040.469	1034.457	1026.653	1017.857	1000.461	971.409	934.661	897.247	857.78	821.702	792.44	767.74	742.07	716.73	692.152	668.061	644.91	623.052	601.97	584.34	571.383	561.669	552.278	543.479	534.897	525.943	516.572	507.512	498.846	487.944	473.639	457.027	440.337	423.093	406.114	390.021	374.358	358.311	342.367	325.228	306.271	286.362	266.836	247.241	229.679	215.276	203.021	190.976	179.756	167.908	154.588	140.67	127.45	114.143	103.728	97.649	94.218	90.784	88.466	82.827	71.578	57.059	43.711	30.418	20.12	14.66	12.494	10.163	8.256	6.757	5.28	3.94	3.23	3.049	2.798	2.221	1.484	0.71	0.461	0.281	0.434
2008	1154.766	1115.685	1081.245	1070.832	1038.276	1010.602	987.774	969.758	955.565	944.208	940.421	946.081	958.289	971.558	986.132	1000.594	1013.407	1024.408	1034.775	1044.042	1048.628	1046.791	1039.365	1030.187	1019.994	1000.831	969.598	930.45	890.619	848.65	810.648	780.384	755.331	729.334	703.799	679.201	655.226	632.328	610.835	590.143	573.218	561.395	553.037	544.978	537.618	529.836	520.679	510.457	500.626	491.115	479.578	465.063	448.51	431.776	414.426	397.445	381.48	366.021	350.209	334.595	317.534	298.24	277.767	257.747	237.613	219.913	206.004	194.646	183.462	173.193	162.046	148.975	135.041	121.862	108.512	98.4	93.193	90.945	88.612	87.481	82.438	70.845	55.402	41.221	26.999	16.226	11.061	9.679	8.018	6.794	5.809	4.525	3.172	2.51	2.381	2.196	1.731	1.126	0.554	0.333	0.46
2009	1153.995	1125.859	1098.783	1073.043	1059.306	1032.545	1008.614	987.824	970.479	955.619	942.279	937.128	943.018	956.444	970.214	984.773	999.749	1013.898	1026.675	1038.609	1049.428	1054.747	1052.381	1043.545	1033.002	1021.418	1000.499	967.109	925.588	883.367	838.927	799.025	767.781	742.394	716.087	690.374	665.776	641.931	619.302	598.19	577.902	561.696	551.013	544.018	537.296	531.38	524.405	515.049	503.986	493.388	483.04	470.878	456.158	439.681	422.911	405.47	388.496	372.672	357.428	341.86	326.589	309.618	290	268.976	248.477	227.819	209.991	196.589	186.134	175.819	166.51	156.07	143.257	129.317	116.188	102.805	93.003	88.67	87.609	86.377	86.436	81.992	70.061	53.706	38.701	23.562	12.319	7.456	6.858	5.866	5.327	4.857	3.766	2.403	1.788	1.712	1.593	1.238	0.767	0.377	0.488
2010	1140.61	1125.512	1107.942	1088.551	1067.988	1046.907	1025.955	1005.782	987.043	970.384	954.869	939.561	933.053	939.168	953.798	968.055	982.59	998.063	1013.538	1028.075	1041.565	1053.924	1059.971	1057.078	1046.842	1034.944	1021.982	999.328	963.811	919.954	875.385	828.512	786.749	754.551	728.852	702.258	676.388	651.81	628.117	605.775	585.061	565.194	549.718	540.184	534.555	529.174	524.704	518.541	508.996	497.1	485.746	474.571	461.794	446.885	430.494	413.704	396.186	379.234	363.565	348.546	333.238	318.32	301.452	281.529	259.973	239.011	217.847	199.909	187.021	177.479	168.04	159.695	149.972	137.428	123.492	110.425	97.02	87.536	84.08	84.204	84.073	85.319	81.478	69.22	51.967	36.153	20.11	8.408	3.849	4.035	3.712	3.858	3.902	3.006	1.632	1.066	1.042	0.989	0.746	0.407	0.517
