Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
 30-34 	0.000800	0.001327	0.000264
 35-39 	0.000680	0.001148	0.000213
 40-44 	0.000535	0.000901	0.000171
 45-49 	0.000404	0.000664	0.000137
 50-54 	0.000294	0.000484	0.000105
 55-59 	0.000219	0.000379	0.000075
 60-64 	0.000188	0.000347	0.000052
 65-69 	0.000178	0.000354	0.000045
 70-74 	0.000166	0.000344	0.000054
 75-79 	0.000088	0.000231	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.000310	0.000500	0.000123
1979			
 0-4	0.000090	0.000090	0.000089
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000275	0.000347	0.000202
 20-24 	0.000801	0.001135	0.000463
 25-29 	0.000964	0.001443	0.000476
 30-34 	0.000923	0.001431	0.000404
 35-39 	0.000782	0.001238	0.000326
 40-44 	0.000615	0.000972	0.000262
 45-49 	0.000464	0.000716	0.000210
 50-54 	0.000342	0.000522	0.000161
 55-59 	0.000255	0.000409	0.000114
 60-64 	0.000215	0.000375	0.000080
 65-69 	0.000204	0.000382	0.000069
 70-74 	0.000194	0.000371	0.000083
 75-79 	0.000099	0.000249	0.000020
 80+ 	0.000000	0.000000	0.000000
Total	0.000366	0.000545	0.000188
1980			
 0-4	0.000121	0.000122	0.000120
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000283	0.000322	0.000243
 20-24 	0.000807	0.001054	0.000558
 25-29 	0.000960	0.001339	0.000572
 30-34 	0.000913	0.001328	0.000487
 35-39 	0.000771	0.001149	0.000392
 40-44 	0.000607	0.000903	0.000316
 45-49 	0.000459	0.000665	0.000252
 50-54 	0.000339	0.000484	0.000193
 55-59 	0.000253	0.000380	0.000138
 60-64 	0.000211	0.000348	0.000096
 65-69 	0.000200	0.000355	0.000083
 70-74 	0.000194	0.000345	0.000100
 75-79 	0.000096	0.000232	0.000024
 80+ 	0.000000	0.000000	0.000000
Total	0.000371	0.000514	0.000229
1981			
 0-4	0.000179	0.000181	0.000178
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000412	0.000432	0.000393
 20-24 	0.001161	0.001415	0.000903
 25-29 	0.001367	0.001798	0.000927
 30-34 	0.001292	0.001783	0.000788
 35-39 	0.001090	0.001542	0.000635
 40-44 	0.000859	0.001212	0.000511
 45-49 	0.000650	0.000892	0.000409
 50-54 	0.000482	0.000650	0.000313
 55-59 	0.000361	0.000510	0.000223
 60-64 	0.000298	0.000467	0.000156
 65-69 	0.000282	0.000476	0.000135
 70-74 	0.000277	0.000462	0.000161
 75-79 	0.000133	0.000312	0.000039
 80+ 	0.000000	0.000000	0.000000
Total	0.000532	0.000696	0.000369
1982			
 0-4	0.000284	0.000286	0.000282
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000672	0.000651	0.000694
 20-24 	0.001868	0.002136	0.001597
 25-29 	0.002181	0.002714	0.001638
 30-34 	0.002051	0.002692	0.001394
 35-39 	0.001729	0.002326	0.001122
 40-44 	0.001364	0.001830	0.000904
 45-49 	0.001032	0.001346	0.000722
 50-54 	0.000767	0.000980	0.000554
 55-59 	0.000576	0.000771	0.000394
 60-64 	0.000471	0.000704	0.000276
 65-69 	0.000445	0.000719	0.000239
 70-74 	0.000445	0.000698	0.000284
 75-79 	0.000207	0.000472	0.000070
 80+ 	0.000000	0.000000	0.000000
