Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
 50-54 	9.113424	7.896884	10.076087
 55-59 	6.752086	6.199579	7.169284
 60-64 	5.285183	5.670173	5.010355
 65-69 	4.906468	5.787789	4.330065
 70-74 	5.333263	5.607861	5.166756
 75-79 	2.080183	3.730877	1.189575
 80+ 	0.000000	0.000000	0.000000
Total	11.916598	10.644621	13.152216
2007			
 0-4	12.594441	12.667246	12.520556
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.954841	5.279968	12.684975
 20-24 	22.912089	17.117862	29.154421
 25-29 	25.634639	21.820562	30.009147
 30-34 	23.371349	21.652371	25.385260
 35-39 	19.444013	18.658771	20.314939
 40-44 	15.433583	14.594575	16.263709
 45-49 	11.905573	10.687577	12.944681
 50-54 	8.962128	7.763584	9.905697
 55-59 	6.643422	6.098055	7.052175
 60-64 	5.194653	5.576431	4.925161
 65-69 	4.820722	5.691941	4.258157
 70-74 	5.239896	5.512930	5.077174
 75-79 	2.042832	3.670934	1.173677
 80+ 	0.000000	0.000000	0.000000
Total	11.629757	10.386662	12.835788
2008			
 0-4	12.247664	12.318514	12.175771
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.906298	5.246937	12.621699
 20-24 	22.828955	17.046733	29.033707
 25-29 	25.512125	21.707079	29.860830
 30-34 	23.258451	21.540883	25.274423
 35-39 	19.347881	18.566530	20.224159
 40-44 	15.355045	14.522590	16.191695
 45-49 	11.838105	10.632004	12.879353
 50-54 	8.916891	7.721346	9.854953
 55-59 	6.610769	6.065964	7.016868
 60-64 	5.166734	5.547427	4.900725
 65-69 	4.792874	5.662269	4.237594
 70-74 	5.210384	5.483098	5.050673
 75-79 	2.027490	3.653538	1.169865
 80+ 	0.000000	0.000000	0.000000
Total	11.558514	10.330886	12.748733
2009			
 0-4	8.152905	8.195421	8.109760
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.938107	5.261353	12.675553
 20-24 	22.957533	17.129515	29.190027
 25-29 	25.627552	21.791854	29.994726
 30-34 	23.361572	21.624883	25.401685
 35-39 	19.432958	18.643665	20.329137
 40-44 	15.415489	14.578909	16.270776
 45-49 	11.878376	10.673751	12.937216
 50-54 	8.949994	7.747969	9.893920
 55-59 	6.636351	6.087077	7.044570
 60-64 	5.187607	5.568208	4.923760
 65-69 	4.809730	5.683508	4.256919
 70-74 	5.230823	5.504075	5.073592
 75-79 	2.026945	3.666727	1.174456
 80+ 	0.000000	0.000000	0.000000
Total	11.151732	9.915743	12.350381
2010			
 0-4	6.481601	6.511297	6.451430
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.924151	5.249053	12.666830
 20-24 	22.949525	17.105066	29.185544
 25-29 	25.597582	21.747053	29.966468
 30-34 	23.331169	21.578318	25.389389
 35-39 	19.404001	18.602676	20.326948
 40-44 	15.382897	14.540356	16.260793
 45-49 	11.848599	10.653636	12.929411
 50-54 	8.926987	7.728056	9.877455
 55-59 	6.623643	6.071741	7.034298
 60-64 	5.181357	5.556250	4.922336
 65-69 	4.801101	5.671449	4.254911
 70-74 	5.225315	5.494682	5.073077
 75-79 	2.013014	3.656564	1.173413
 80+ 	0.000000	0.000000	0.000000
Total	10.958330	9.727344	12.154720
2011			
 0-4	5.668227	5.693274	5.642765
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.663707	5.100474	12.298655
 20-24 	22.281235	16.609257	28.321146
 25-29 	24.844585	21.111219	29.062913
 30-34 	22.642452	20.943711	24.634139
 35-39 	18.833187	18.059781	19.731787
 40-44 	14.920403	14.115082	15.778095
 45-49 	11.489420	10.348019	12.552698
 50-54 	8.652302	7.501328	9.577742
 55-59 	6.426430	5.893972	6.823358
 60-64 	5.031382	5.395445	4.780307
 65-69 	4.660610	5.507635	4.132474
 70-74 	5.075753	5.338958	4.929317
 75-79 	1.940659	3.547336	1.137226
 80+ 	0.000000	0.000000	0.000000
Total	10.571299	9.393698	11.718142
2012			
 0-4	5.012062	5.033302	4.990460
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.061293	4.748978	11.444236
 20-24 	20.723055	15.448671	26.331107
 25-29 	23.110236	19.639070	27.014326
 30-34 	21.059116	19.478633	22.907283
 35-39 	17.524195	16.804804	18.365907
 40-44 	13.878719	13.137804	14.684404
 45-49 	10.684366	9.636664	11.689309
 50-54 	8.041455	6.982392	8.909336
 55-59 	5.980558	5.486526	6.349839
 60-64 	4.685484	5.023737	4.452241
 65-69 	4.339711	5.128511	3.850354
 70-74 	4.729138	4.973936	4.594641
 75-79 	1.793981	3.300576	1.058086
 80+ 	0.000000	0.000000	0.000000
Total	9.809271	8.729371	10.863086
2013			
 0-4	2.785894	2.798497	2.773072
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.921901	4.079766	9.824742
 20-24 	17.793360	13.271261	22.592533
 25-29 	19.848110	16.873263	23.175474
 30-34 	18.085352	16.730963	19.663048
 35-39 	15.062082	14.445252	15.786898
 40-44 	11.930340	11.301168	12.627381
 45-49 	9.181647	8.293545	10.057303
 50-54 	6.907026	6.008722	7.660560
 55-59 	5.144081	4.721521	5.461169
 60-64 	4.032721	4.324192	3.831499
 65-69 	3.735371	4.414513	3.315668
 70-74 	4.071863	4.282698	3.957103
 75-79 	1.535717	2.841803	0.912301
 80+ 	0.000000	0.000000	0.000000
Total	8.268623	7.350064	9.166557
2014			
 0-4	6.884365	6.912223	6.856009
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.825597	3.432873	8.267435
 20-24 	14.999000	11.191970	19.029721
 25-29 	16.731308	14.227206	19.514541
 30-34 	15.243076	14.103114	16.564518
 35-39 	12.705339	12.185322	13.317473
 40-44 	10.066771	9.540738	10.659434
 45-49 	7.743187	7.002634	8.491641
 50-54 	5.822587	5.075062	6.466560
 55-59 	4.341090	3.987186	4.608328
 60-64 	3.405758	3.652470	3.235087
 65-69 	3.155115	3.728742	2.801522
 70-74 	3.439013	3.617510	3.342555
 75-79 	1.293725	2.404361	0.774526
 80+ 	0.000000	0.000000	0.000000
Total	7.480640	6.725397	8.220010
2015			
 0-4	6.637218	6.663416	6.610543
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	4.682809	2.757788	6.644187
 20-24 	12.088023	9.025050	15.320195
 25-29 	13.479184	11.464804	15.702394
 30-34 	12.278096	11.361733	13.334017
 35-39 	10.241680	9.823173	10.734031
 40-44 	8.116156	7.694533	8.598850
 45-49 	6.239422	5.647501	6.849704
 50-54 	4.691680	4.097592	5.218261
 55-59 	3.500191	3.218213	3.715219
 60-64 	2.748920	2.948830	2.610267
 65-69 	2.546982	3.010291	2.261703
 70-74 	2.774543	2.919942	2.696422
 75-79 	1.044531	1.946822	0.629964
 80+ 	0.000000	0.000000	0.000000
Total	6.157382	5.554745	6.748038
2016			
 0-4	6.394440	6.418725	6.369701
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	3.793652	2.232027	5.381793
 20-24 	9.820578	7.334720	12.433275
 25-29 	10.945302	9.309886	12.737249
 30-34 	9.967448	9.224191	10.818072
 35-39 	8.318405	7.978631	8.717157
 40-44 	6.594495	6.253762	6.988168
 45-49 	5.065294	4.590806	5.565468
 50-54 	3.809175	3.333187	4.243546
 55-59 	2.842541	2.616722	3.017199
 60-64 	2.235120	2.398213	2.121661
 65-69 	2.071091	2.448075	1.838894
 70-74 	2.254023	2.373794	2.189958
 75-79 	0.850705	1.588519	0.516297
 80+ 	0.000000	0.000000	0.000000
Total	5.118510	4.631586	5.596216
2017			
 0-4	6.155639	6.178044	6.132806
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	3.158249	1.856752	4.479565
 20-24 	8.188681	6.116580	10.356689
 25-29 	9.123948	7.759774	10.608154
 30-34 	8.306273	7.687255	9.009349
 35-39 	6.933698	6.650774	7.264456
 40-44 	5.499915	5.217146	5.828704
 45-49 	4.221363	3.830763	4.641474
 50-54 	3.173862	2.782375	3.541499
 55-59 	2.368590	2.183342	2.514605
 60-64 	1.864723	2.001242	1.769420
 65-69 	1.728140	2.042786	1.534000
 70-74 	1.878752	1.980094	1.824726
 75-79 	0.710818	1.329157	0.433346
 80+ 	0.000000	0.000000	0.000000
Total	4.363202	3.957591	4.761472
2018			
 0-4	5.930971	5.951637	5.909900
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.759559	1.621964	3.912918
 20-24 	7.149383	5.339225	9.034397
 25-29 	7.967491	6.774896	9.256390
 30-34 	7.250932	6.710803	7.859420
 35-39 	6.052918	5.806323	6.339798
 40-44 	4.804544	4.558612	5.091584
 45-49 	3.685553	3.348396	4.054811
 50-54 	2.769463	2.432032	3.095050
 55-59 	2.066801	1.907742	2.195138
 60-64 	1.628876	1.748601	1.544907
 65-69 	1.510105	1.784927	1.340045
 70-74 	1.640095	1.729741	1.592405
 75-79 	0.620629	1.162916	0.379003
 80+ 	0.000000	0.000000	0.000000
Total	3.876559	3.520960	4.225998
2019			
 0-4	5.686430	5.705314	5.667166
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.482394	1.459747	3.518166
 20-24 	6.408080	4.783661	8.091958
 25-29 	7.145715	6.075183	8.295454
 30-34 	6.500805	6.016734	7.041556
 35-39 	5.426236	5.205522	5.681544
 40-44 	4.310074	4.090206	4.567059
 45-49 	3.305041	3.005607	3.638442
 50-54 	2.481401	2.182322	2.777141
 55-59 	1.852105	1.711780	1.968404
 60-64 	1.460898	1.568803	1.384681
 65-69 	1.355133	1.601487	1.202138
 70-74 	1.470803	1.551933	1.427679
 75-79 	0.554743	1.043107	0.338272
 80+ 	0.000000	0.000000	0.000000
Total	3.524266	3.202874	3.840341
2020			
 0-4	5.453832	5.471055	5.436255
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.342503	1.378912	3.317869
 20-24 	6.012438	4.485569	7.588701
 25-29 	6.710173	5.703968	7.784442
 30-34 	6.102688	5.647989	6.606392
 35-39 	5.092740	4.885612	5.330807
 40-44 	4.047457	3.841261	4.288307
 45-49 	3.101895	2.822559	3.417932
 50-54 	2.326853	2.048488	2.607664
 55-59 	1.737642	1.607816	1.848393
 60-64 	1.371488	1.473247	1.298839
 65-69 	1.273019	1.504054	1.128960
 70-74 	1.381408	1.457768	1.340792
 75-79 	0.517917	0.978165	0.314721
 80+ 	0.000000	0.000000	0.000000
Total	3.330931	3.025537	3.631518
2021			
 0-4	5.202230	5.217829	5.186304
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.237233	1.319010	3.166422
 20-24 	5.706331	4.255423	7.198927
 25-29 	6.373530	5.417858	7.388072
 30-34 	5.795460	5.363876	6.269739
 35-39 	4.834678	4.638518	5.058568
 40-44 	3.843936	3.648578	4.071597
 45-49 	2.945513	2.681945	3.246499
 50-54 	2.206624	1.946041	2.475466
 55-59 	1.649212	1.527738	1.755962
 60-64 	1.302474	1.399537	1.232123
 65-69 	1.209640	1.428894	1.072328
 70-74 	1.312753	1.385279	1.274097
 75-79 	0.488944	0.927370	0.295927
 80+ 	0.000000	0.000000	0.000000
Total	3.176140	2.882490	3.465414
2022			
 0-4	4.943754	4.957807	4.929399
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.157947	1.273619	3.052775
 20-24 	5.480507	4.084873	6.912286
 25-29 	6.123693	5.203835	7.094824
 30-34 	5.567819	5.151912	6.021470
 35-39 	4.642520	4.453488	4.856645
 40-44 	3.692031	3.503857	3.910522
 45-49 	2.829839	2.577316	3.120134
 50-54 	2.117568	1.869978	2.378308
 55-59 	1.583518	1.467979	1.688073
 60-64 	1.251485	1.344433	1.182761
 65-69 	1.162604	1.372687	1.030404
 70-74 	1.261616	1.330989	1.224516
 75-79 	0.467268	0.889168	0.281853
 80+ 	0.000000	0.000000	0.000000
Total	3.056310	2.769899	3.338698
2023			
 0-4	4.687407	4.700017	4.674520
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.095544	1.237280	2.964116
 20-24 	5.314283	3.959455	6.701398
 25-29 	5.936882	5.042190	6.876405
 30-34 	5.397700	4.992563	5.836587
 35-39 	4.498147	4.313792	4.705301
 40-44 	3.577625	3.394235	3.789575
 45-49 	2.743608	2.498853	3.026132
 50-54 	2.051269	1.813185	2.306706
 55-59 	1.534241	1.423011	1.637734
 60-64 	1.213671	1.302925	1.146052
 65-69 	1.127460	1.330338	0.999034
 70-74 	1.222793	1.289843	1.186779
 75-79 	0.451745	0.860845	0.272065
 80+ 	0.000000	0.000000	0.000000
Total	2.962324	2.680254	3.240672
2024			
 0-4	4.438110	4.449390	4.426578
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.040770	1.204312	2.887624
 20-24 	5.191584	3.867375	6.545425
 25-29 	5.795164	4.918089	6.711656
 30-34 	5.268165	4.870605	5.696121
 35-39 	4.388025	4.206671	4.590125
 40-44 	3.490142	3.309836	3.697395
 45-49 	2.678207	2.438861	2.954977
 50-54 	2.001151	1.769970	2.253430
 55-59 	1.496520	1.388474	1.599608
 60-64 	1.185338	1.271177	1.118479
 65-69 	1.101018	1.297953	0.975317
 70-74 	1.192809	1.258114	1.157559
 75-79 	0.441325	0.840096	0.266056
 80+ 	0.000000	0.000000	0.000000
Total	2.887370	2.607615	3.163676
2025			
 0-4	4.198093	4.208154	4.187802
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.995835	1.176505	2.825784
 20-24 	5.100550	3.799360	6.429674
 25-29 	5.686435	4.821401	6.586407
 30-34 	5.168056	4.775614	5.587987
 35-39 	4.303284	4.123517	4.501968
 40-44 	3.422431	3.243791	3.626510
 45-49 	2.627801	2.391996	2.900388
 50-54 	1.962031	1.735744	2.213053
 55-59 	1.466932	1.361170	1.569930
 60-64 	1.163948	1.246532	1.097683
 65-69 	1.081182	1.272824	0.957409
 70-74 	1.169464	1.233291	1.134834
 75-79 	0.434419	0.824842	0.262459
 80+ 	0.000000	0.000000	0.000000
Total	2.826269	2.547420	3.101923
2026			
 0-4	3.971048	3.980005	3.961883
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.958543	1.153293	2.774675
 20-24 	5.022275	3.740737	6.330722
 25-29 	5.591772	4.736457	6.478362
 30-34 	5.080588	4.691906	5.494129
 35-39 	4.229996	4.050947	4.426332
 40-44 	3.363292	3.185465	3.565068
 45-49 	2.583595	2.350285	2.852746
 50-54 	1.928495	1.705995	2.177730
 55-59 	1.440805	1.337563	1.543691
 60-64 	1.145598	1.224880	1.080017
 65-69 	1.064420	1.250736	0.942128
 70-74 	1.148978	1.211393	1.114929
 75-79 	0.428415	0.811641	0.259054
 80+ 	0.000000	0.000000	0.000000
Total	2.771336	2.492918	3.046805
2027			
 0-4	3.758476	3.766441	3.750322
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.921298	1.130365	2.723413
 20-24 	4.934071	3.673819	6.220528
 25-29 	5.489389	4.645344	6.361789
 30-34 	4.986783	4.601790	5.394137
 35-39 	4.152025	3.973549	4.346301
 40-44 	3.299873	3.122757	3.499367
 45-49 	2.535660	2.304795	2.801098
 50-54 	1.893008	1.674063	2.139998
 55-59 	1.413385	1.312295	1.516271
 60-64 	1.125778	1.201519	1.061215
 65-69 	1.046530	1.226882	0.925649
 70-74 	1.127205	1.187925	1.093884
 75-79 	0.421117	0.796726	0.254347
 80+ 	0.000000	0.000000	0.000000
Total	2.713416	2.436092	2.988045
2028			
 0-4	3.562950	3.570034	3.555696
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.882518	1.107282	2.669222
 20-24 	4.826753	3.591645	6.087566
 25-29 	5.368638	4.539392	6.223942
 30-34 	4.877525	4.496811	5.278215
 35-39 	4.060973	3.883367	4.253004
 40-44 	3.225818	3.049749	3.422584
 45-49 	2.479249	2.251311	2.740182
 50-54 	1.851753	1.636632	2.095532
 55-59 	1.381921	1.282785	1.484771
 60-64 	1.102210	1.174164	1.039102
 65-69 	1.025376	1.198930	0.906060
 70-74 	1.102034	1.160637	1.069648
 75-79 	0.411630	0.778309	0.247914
 80+ 	0.000000	0.000000	0.000000
Total	2.648138	2.373174	2.920666
2029			
 0-4	3.381455	3.387752	3.375004
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.837475	1.080175	2.606392
 20-24 	4.696851	3.491153	5.927995
 25-29 	5.228340	4.417570	6.063326
 30-34 	4.751572	4.375933	5.144987
 35-39 	3.955102	3.778756	4.144589
 40-44 	3.140411	2.965825	3.333946
 45-49 	2.413915	2.189469	2.669523
 50-54 	1.804008	1.593112	2.043521
 55-59 	1.345894	1.248600	1.448619
 60-64 	1.074476	1.142536	1.013223
 65-69 	1.000606	1.166621	0.883146
 70-74 	1.072964	1.129168	1.041609
 75-79 	0.400030	0.756380	0.239957
 80+ 	0.000000	0.000000	0.000000
Total	2.574568	2.303348	2.843613
2030			
 0-4	3.210626	3.216218	3.204895
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.785331	1.048796	2.533578
 20-24 	4.553858	3.380706	5.752220
 25-29 	5.072667	4.283419	5.884683
 30-34 	4.612265	4.242701	4.997649
 35-39 	3.837280	3.662693	4.023786
 40-44 	3.046351	2.873798	3.236102
 45-49 	2.341631	2.121226	2.591167
 50-54 	1.750952	1.544703	1.985204
 55-59 	1.305836	1.210508	1.408202
 60-64 	1.043211	1.107583	0.984041
 65-69 	0.972901	1.130949	0.857589
 70-74 	1.040573	1.094406	1.010147
 75-79 	0.387074	0.731976	0.231162
 80+ 	0.000000	0.000000	0.000000
Total	2.494376	2.228084	2.758752
2031			
 0-4	3.052362	3.057324	3.047275
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.729123	1.014923	2.455127
 20-24 	4.406861	3.267775	5.570850
 25-29 	4.909666	4.143277	5.697695
 30-34 	4.466183	4.103486	4.843026
 35-39 	3.713759	3.541216	3.897054
 40-44 	2.948577	2.778441	3.134236
 45-49 	2.266093	2.050001	2.509154
 50-54 	1.695177	1.493789	1.923528
 55-59 	1.264081	1.170843	1.365234
 60-64 	1.010381	1.071165	0.953170
 65-69 	0.943658	1.093688	0.830696
 70-74 	1.006617	1.058141	0.976986
 75-79 	0.373835	0.706615	0.222407
 80+ 	0.000000	0.000000	0.000000
Total	2.411193	2.150599	2.670118
2032			
 0-4	2.926404	2.930832	2.921862
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.704668	0.999267	2.422179
 20-24 	4.347383	3.220081	5.499864
 25-29 	4.842610	4.083470	5.622934
 30-34 	4.406460	4.044030	4.781953
 35-39 	3.663028	3.489134	3.846759
 40-44 	2.908966	2.738055	3.094142
 45-49 	2.234804	2.018776	2.476070
 50-54 	1.672163	1.471670	1.898820
 55-59 	1.247177	1.154039	1.348991
 60-64 	0.997323	1.055602	0.941259
 65-69 	0.932575	1.077706	0.819859
 70-74 	0.992511	1.042580	0.963070
 75-79 	0.368309	0.695390	0.218422
 80+ 	0.000000	0.000000	0.000000
Total	2.371642	2.111940	2.629881
2033			
 0-4	2.803123	2.807058	2.799086
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.645394	0.962942	2.339981
 20-24 	4.202986	3.110295	5.320615
 25-29 	4.679143	3.941866	5.436910
 30-34 	4.257748	3.903512	4.623982
 35-39 	3.540149	3.368385	3.720686
 40-44 	2.811771	2.643611	2.992780
 45-49 	2.159137	1.947503	2.393709
 50-54 	1.615743	1.420129	1.835999
 55-59 	1.205635	1.114336	1.305941
 60-64 	0.964505	1.019054	0.910975
 65-69 	0.902739	1.040331	0.792683
 70-74 	0.959135	1.006448	0.930565
 75-79 	0.355537	0.670647	0.209933
 80+ 	0.000000	0.000000	0.000000
Total	2.289308	2.036105	2.541269
2034			
 0-4	2.696066	2.699563	2.692477
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.590416	0.929706	2.263287
 20-24 	4.063572	3.004305	5.147406
 25-29 	4.520420	3.803343	5.257547
 30-34 	4.111980	3.766335	4.468791
 35-39 	3.421341	3.251685	3.598812
 40-44 	2.716912	2.551457	2.893939
 45-49 	2.085608	1.878302	2.313588
 50-54 	1.560784	1.369902	1.774673
 55-59 	1.165210	1.075670	1.263849
 60-64 	0.932575	0.983494	0.881687
 65-69 	0.873485	1.004018	0.766249
 70-74 	0.927069	0.971408	0.899480
 75-79 	0.342877	0.646584	0.201035
 80+ 	0.000000	0.000000	0.000000
Total	2.209483	1.962905	2.455023
2035			
 0-4	2.619893	2.623015	2.616687
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.592137	0.929563	2.267343
 20-24 	4.068323	3.004561	5.157236
 25-29 	4.524606	3.801795	5.267851
 30-34 	4.113307	3.764275	4.473262
 35-39 	3.425920	3.252353	3.606722
 40-44 	2.719150	2.550463	2.898619
 45-49 	2.087194	1.876873	2.316697
 50-54 	1.561807	1.368783	1.776900
 55-59 	1.166451	1.075494	1.266706
 60-64 	0.934005	0.983252	0.883921
 65-69 	0.875288	1.003807	0.767374
 70-74 	0.928528	0.971292	0.901059
 75-79 	0.342460	0.645595	0.198855
 80+ 	0.000000	0.000000	0.000000
Total	2.202631	1.953977	2.450400
2036			
 0-4	2.557102	2.559947	2.554181
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.593521	0.929192	2.270955
 20-24 	4.071984	3.003908	5.165921
 25-29 	4.528935	3.800879	5.277824
 30-34 	4.114518	3.762306	4.477545
 35-39 	3.430535	3.253194	3.614615
 40-44 	2.721243	2.549339	2.903141
 45-49 	2.089281	1.876051	2.320222
 50-54 	1.562919	1.367702	1.779098
 55-59 	1.167570	1.075262	1.269184
 60-64 	0.935205	0.983084	0.885985
 65-69 	0.877351	1.003622	0.768706
 70-74 	0.930303	0.971308	0.903097
 75-79 	0.342627	0.644752	0.196843
 80+ 	0.000000	0.000000	0.000000
Total	2.196439	1.945966	2.446169
2037			
 0-4	2.498252	2.500841	2.495593
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.594744	0.928734	2.274330
 20-24 	4.075161	3.002718	5.174219
 25-29 	4.533301	3.800491	5.287397
 30-34 	4.116589	3.760951	4.483032
 35-39 	3.434549	3.253670	3.621780
 40-44 	2.723728	2.548696	2.907958
 45-49 	2.091981	1.875978	2.324299
 50-54 	1.564172	1.366725	1.781311
 55-59 	1.168568	1.074992	1.271297
 60-64 	0.936423	0.982993	0.888167
 65-69 	0.879372	1.003480	0.770173
 70-74 	0.932301	0.971442	0.905497
 75-79 	0.343830	0.644288	0.195478
 80+ 	0.000000	0.000000	0.000000
Total	2.190182	1.938107	2.441639
2038			
 0-4	2.441534	2.443945	2.439058
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.595978	0.928340	2.277651
 20-24 	4.078552	3.001724	5.182778
 25-29 	4.537554	3.800813	5.296060
 30-34 	4.119745	3.760480	4.489900
 35-39 	3.437570	3.253483	3.627734
 40-44 	2.727080	2.549109	2.913447
 45-49 	2.095051	1.876414	2.328697
 50-54 	1.565555	1.365892	1.783493
 55-59 	1.169502	1.074744	1.273128
 60-64 	0.937640	0.983001	0.890386
 65-69 	0.881196	1.003417	0.771456
 70-74 	0.934392	0.971676	0.908085
 75-79 	0.346136	0.644253	0.194886
 80+ 	0.000000	0.000000	0.000000
Total	2.183803	1.930362	2.436734
2039			
 0-4	2.389135	2.391445	2.386763
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.597373	0.928127	2.281103
 20-24 	4.083325	3.002463	5.192422
 25-29 	4.542239	3.801929	5.304742
 30-34 	4.124898	3.761485	4.499412
 35-39 	3.439633	3.252692	3.632460
 40-44 	2.731358	2.550694	2.919656
 45-49 	2.098040	1.876872	2.332988
 50-54 	1.567119	1.365304	1.785698
 55-59 	1.170471	1.074608	1.274807
 60-64 	0.938837	0.983157	0.892537
 65-69 	0.882822	1.003518	0.772436
 70-74 	0.936435	0.971961	0.910688
 75-79 	0.349443	0.644610	0.195090
 80+ 	0.000000	0.000000	0.000000
Total	2.177634	1.923074	2.431773
2040			
 0-4	2.342339	2.344602	2.340014
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.599137	0.928240	2.284954
 20-24 	4.088474	3.003709	5.202334
 25-29 	4.547686	3.803658	5.314388
 30-34 	4.131083	3.763707	4.509813
 35-39 	3.441308	3.251858	3.636536
 40-44 	2.736497	2.553393	2.926543
 45-49 	2.100946	1.877341	2.337147
 50-54 	1.569119	1.365239	1.788224
 55-59 	1.171610	1.074706	1.276493
 60-64 	0.940057	0.983558	0.894589
 65-69 	0.884540	1.003923	0.773442
 70-74 	0.938225	0.972204	0.913059
 75-79 	0.353569	0.645343	0.196040
 80+ 	0.000000	0.000000	0.000000
Total	2.172006	1.916569	2.427086
2041			
 0-4	2.299572	2.301794	2.297291
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.601348	0.928734	2.289303
 20-24 	4.094107	3.005544	5.212629
 25-29 	4.554014	3.806234	5.325045
 30-34 	4.137504	3.766706	4.519905
 35-39 	3.443334	3.251644	3.640762
 40-44 	2.742029	2.556728	2.933681
 45-49 	2.103999	1.878078	2.341356
 50-54 	1.571723	1.365874	1.791296
 55-59 	1.172967	1.075074	1.278258
 60-64 	0.941311	0.984224	0.896515
 65-69 	0.886179	1.004588	0.774797
 70-74 	0.939899	0.972797	0.914931
 75-79 	0.358317	0.646459	0.197627
 80+ 	0.000000	0.000000	0.000000
Total	2.166686	1.910606	2.422450
2042			
 0-4	2.259862	2.262044	2.257621
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.603938	0.929569	2.294054
 20-24 	4.100168	3.007951	5.223201
 25-29 	4.561116	3.809567	5.336526
 30-34 	4.143997	3.770289	4.529574
 35-39 	3.446711	3.252912	3.646254
 40-44 	2.747254	2.559971	2.940422
 45-49 	2.107584	1.879503	2.345947
 50-54 	1.574958	1.367226	1.795002
 55-59 	1.174533	1.075693	1.280105
 60-64 	0.942577	0.985112	0.898299
 65-69 	0.887764	1.005471	0.776159
 70-74 	0.941573	0.973758	0.916593
 75-79 	0.363382	0.647853	0.199632
 80+ 	0.000000	0.000000	0.000000
Total	2.161581	1.905088	2.417767
2043			
 0-4	2.223104	2.225250	2.220900
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.606733	0.930637	2.298965
 20-24 	4.106330	3.010692	5.233623
 25-29 	4.568465	3.813345	5.348068
 30-34 	4.149681	3.773736	4.537765
 35-39 	3.451272	3.255508	3.652828
 40-44 	2.751488	2.562405	2.946118
 45-49 	2.111867	1.881824	2.351058
