1970	1011.499993	1362.60001	1230.899971	3431.499979	7341.500077	9123.400075	7977.199976	5845.20002	3962.999899	2596.500087	1678.800157	1070.700065	678.2001826	422.2000967	260.0001906	154.5999009	80.90011844	48228.7008
1971	1073.699981	1404.599923	1266.39991	3514.70015	7494.199926	9322.700177	8153.100126	5972.300145	4046.89994	2653.099825	1712.900108	1093.300084	690.9998726	429.7999385	263.8999125	161.2999487	113.9002217	49367.80019
1972	1091.800034	1421.0001	1281.100042	3547.400005	7552.099807	9398.299935	8219.699961	6020.099885	4078.800114	2674.700154	1725.800023	1101.599927	695.699961	432.499896	265.300142	164.2000716	127.9000927	49798.00015
1973	1005.800186	1331.700174	1205.300044	3295.100192	7014.899996	8729.799992	7635.199912	5592.399977	3788.799958	2484.599945	1603.299951	1023.499899	646.6000408	401.7998856	246.5000237	153.6999018	120.1000834	46279.10016
1974	819.6000053	1114.900146	1018.900148	2692.999836	5733.800102	7136.000118	6241.699966	4572.100114	3097.599871	2031.199893	1310.900054	837.1000496	528.5999627	328.5999032	201.9998759	128.7000196	101.6999349	37896.4
1975	422.2000237	592.6999852	548.7000591	1385.300032	2950.200007	3672.299993	3212.700073	2353.600011	1594.900015	1045.899933	675.1000312	431.2999509	272.4000688	169.4000387	104.3999728	68.60002041	55.70004907	19555.40026
1976	295.4999841	419.2000033	390.8000265	963.0000218	2051.299973	2553.900048	2234.799975	1637.499954	1109.899981	727.8000144	469.8999568	300.4000126	189.6000517	117.9000179	72.89997451	48.80005612	42.5000372	13625.70009
1977	242.7000323	313.500019	283.6000291	785.7999889	1674.39997	2084.999992	1824.499985	1337.099975	906.4000056	594.3999763	383.8999926	245.7000141	155.1000163	96.40003912	59.5999889	37.70000668	36.39996913	11062.2
1978	420.7999727	279.3000207	226.1000285	889.9000461	1917.000032	2387.399969	2088.100029	1531.30002	1038.49997	680.5999745	439.900029	281.4999938	177.0000268	110.5999613	67.19998103	35.79996602	36.90002353	12607.90004
1979	844.9999557	271.3999993	180.0999582	1138.700017	2495.700024	3108.200053	2716.300007	1994.399962	1352.700038	886.2000035	573.3999927	366.8999605	230.0000544	144.2000107	86.20000637	36.19998921	39.19996904	16464.8
1980	2250.900053	457.9998959	237.7000562	2390.99994	5311.100099	6617.700107	5782.699975	4251.199876	2885.600016	1890.200063	1224.199943	783.4999377	489.9000324	308.200072	182.5000823	75.49993307	70.30003537	35210.20012
1981	2958.999987	462.3001105	175.4000717	2804.900021	6275.799941	7819.700036	6830.79989	5023.800027	3410.70002	2233.200055	1447.400075	926.2999644	578.000102	364.5999112	214.3000721	82.39986497	74.10012926	41682.70028
1982	3255.80007	415.1000069	85.10008051	2978.900055	6680.299901	8323.500073	7269.900054	5347.900035	3630.900069	2377.499881	1541.000155	985.9999873	614.9997882	387.9000646	227.0998985	80.99987996	75.09999985	44278
1983	2966.299932	76.70002763	-213.5000656	2378.600065	5563.100143	7066.399995	6275.599824	4536.599933	2909.999997	1739.400087	1071.199983	717.4999032	506.5000899	353.0000885	208.7000781	64.30015039	66.60011746	36287.00035
1984	2241.000039	-541.0000147	-706.2999865	948.9000203	2899.199983	4068.100018	3903.799974	2601.700001	1190.900019	220.6000354	-17.39997741	81.49996418	247.4000592	268.4999897	165.3999615	33.8000816	47.50003342	17653.6002
1985	129.499977	-2723.500041	-2918.899976	-1124.299968	-1099.699981	-620.5000274	69.49995938	-455.5000121	-1323.099987	-2266.600023	-1970.500007	-972.5000288	-145.2999478	26.60002644	14.29997385	-100.2999717	-3.300050396	-15484.10009
1986	-470.1999157	-3857.500008	-3911.599943	-3120.200012	-4150.999992	-3980.200071	-2626.199815	-2674.799846	-3638.800124	-4432.700037	-3565.70011	-1882.699939	-472.0001494	-0.899994986	4.499879285	-120.8001794	-16.10005346	-38916.90031
1987	-1142.299867	-4333.70011	-4322.100129	-3977.600113	-5706.299944	-5411.199922	-3765.400012	-3636.299823	-4662.900034	-5341.199979	-4235.099807	-2264.299917	-613.0999562	-23.00013505	0.700088982	-136.7000779	-30.09997718	-49600.59971
1988	-1579.099941	-4070.099976	-3765.70012	-2426.700016	-3106.300068	-2907.199919	-1726.399878	-1878.70004	-2412.300063	-2612.800025	-1541.000129	-341.3001221	85.30007069	101.5000246	47.90002482	-132.3998845	-19.70003178	-28285.00009
1989	-1982.399996	-3428.899993	-2438.399991	-26.89999982	839.0000017	1137.000005	1101.600004	876.0000027	458.99999	456.1000055	572.5999909	561.9999982	463.0999959	325.8999962	142.4000045	-105.700007	-29.40000027	-1076.999992
1990	-1150.800409	-1165.400418	-289.0999513	4535.500426	13104.39991	16200.70006	14569.49999	12260.50034	8528.700289	8755.800021	9344.200054	7905.09995	5645.499878	3591.30006	1535.800106	291.3000202	131.5002483	103794.5006
1991	-1520.999335	-879.2997332	461.7000616	7665.999752	19790.49947	23793.90038	20995.50031	18147.99995	14223.80008	14718.60016	15183.99958	12243.49978	8233.099997	4948.300186	2104.50025	420.8001036	174.3998866	160706.3009
1992	-2053	-761.4000197	788.1000554	9604.200125	22886.10068	26978.30051	23690.29956	21106.6999	18680.69971	19313.3	19622.59913	15298.39944	9775.19971	5516.999131	2343.100024	465.1995251	168.4995163	193423.297
1993	-4747.700908	-1526.600333	560.5000098	10152.59979	20050.40053	19771.60039	17459.40012	19969.10008	23376.90072	25113.50007	24873.40036	18100.19975	10210.49986	4600.300305	1402.900267	-235.5997899	-583.0006016	188548.4006
