South_Africa	Total	Male	Female
 75-79 	65644.174531	31150.004381	34494.170150
 80+ 	147273.035904	44388.490818	102884.545086
Total	701103.834786	344412.648978	356691.185808
2040			
 0-4	33250.723844	17659.225069	15591.498775
 5-9	3463.604364	1753.862439	1709.741925
 10-14 	2801.448984	1414.934951	1386.514033
 15-19 	5989.466845	2922.541800	3066.925045
 20-24 	8214.198082	3686.576484	4527.621598
 25-29 	14186.681835	5787.590408	8399.091427
 30-34 	20385.193463	8867.012363	11518.181101
 35-39 	31267.722105	14092.049580	17175.672525
 40-44 	31749.934407	15615.884513	16134.049894
 45-49 	37504.451126	19775.740006	17728.711120
 50-54 	47034.439701	27075.762683	19958.677017
 55-59 	57353.672116	34427.826840	22925.845276
 60-64 	64730.310718	40375.071085	24355.239633
 65-69 	66143.677763	40514.503238	25629.174525
 70-74 	66910.072538	37712.893101	29197.179437
 75-79 	66109.975877	31855.040944	34254.934933
 80+ 	150753.307341	45589.151364	105164.155977
Total	707848.881109	349125.666871	358723.214238
2041			
 0-4	31028.338478	16527.158489	14501.179989
 5-9	3383.047707	1713.014311	1670.033396
 10-14 	2782.634345	1405.993770	1376.640575
 15-19 	5844.590046	2856.123936	2988.466111
 20-24 	8132.689782	3649.525111	4483.164671
 25-29 	14008.749822	5701.733636	8307.016186
 30-34 	19932.056326	8673.278176	11258.778150
 35-39 	31016.978094	14013.968504	17003.009590
 40-44 	31736.255116	15672.465702	16063.789414
 45-49 	36546.223388	19370.604637	17175.618751
 50-54 	45952.485307	26553.249774	19399.235534
 55-59 	57667.955160	34681.574299	22986.380861
 60-64 	67009.769345	41799.122178	25210.647167
 65-69 	68700.053462	42152.840175	26547.213287
 70-74 	68528.408591	38875.983714	29652.424877
 75-79 	66750.211817	32621.984795	34128.227021
 80+ 	153734.839817	46716.551858	107018.287960
Total	712755.286602	352985.173064	359770.113538
2042			
 0-4	29682.794427	15841.342959	13841.451468
 5-9	3255.866116	1648.433166	1607.432950
 10-14 	2800.449621	1415.569043	1384.880578
 15-19 	5733.484425	2804.979381	2928.505044
 20-24 	8006.572476	3593.475139	4413.097337
 25-29 	13836.309158	5617.590904	8218.718254
 30-34 	19552.469869	8511.643031	11040.826838
 35-39 	30573.377506	13854.455093	16718.922413
 40-44 	31841.779979	15783.790333	16057.989647
 45-49 	35738.132114	19041.989735	16696.142379
