South_Africa	Total	Male	Female
 65-69 	49714.523640	26597.812513	23116.711128
 70-74 	45945.525639	23229.215051	22716.310588
 75-79 	40834.467166	19194.949122	21639.518044
 80+ 	70472.144525	25127.065767	45345.078759
Total	875254.534460	425565.217953	449689.316507
2011			
 0-4	76912.932446	42877.726101	34035.206345
 5-9	10150.668726	5414.855917	4735.812810
 10-14 	8280.403124	4663.361191	3617.041933
 15-19 	10276.679312	4843.829382	5432.849931
 20-24 	20981.353311	9121.606680	11859.746631
 25-29 	50046.745680	21889.635022	28157.110657
 30-34 	66412.152331	31212.854491	35199.297840
 35-39 	75291.685870	38481.866948	36809.818921
 40-44 	58277.370820	31518.207674	26759.163146
 45-49 	50280.556665	27161.539560	23119.017105
 50-54 	46375.789374	24844.641488	21531.147887
 55-59 	45138.379606	24212.818495	20925.561112
 60-64 	46444.169916	25682.932361	20761.237555
 65-69 	48227.372554	26098.472650	22128.899904
 70-74 	45422.578343	22990.277315	22432.301028
 75-79 	40116.153977	18798.131227	21318.022750
 80+ 	70699.060013	25003.339897	45695.720116
Total	769334.052069	384816.096399	384517.955670
2012			
 0-4	62739.062090	35483.166579	27255.895511
 5-9	9413.801058	5011.767800	4402.033259
 10-14 	8611.425638	4811.972049	3799.453589
 15-19 	10239.219846	4874.306025	5364.913820
 20-24 	18824.007604	8431.984524	10392.023079
 25-29 	39003.105384	18194.913792	20808.191592
 30-34 	50041.749464	24991.572669	25050.176795
 35-39 	54223.074910	29745.357802	24477.717108
 40-44 	42625.988320	24649.378768	17976.609552
 45-49 	38008.208246	21921.026771	16087.181475
 50-54 	38014.408220	21405.431282	16608.976937
 55-59 	40569.011380	22429.346185	18139.665195
 60-64 	44260.170929	24906.884274	19353.286655
 65-69 	47122.702541	25636.607924	21486.094616
 70-74 	45337.028145	22912.435871	22424.592274
 75-79 	39642.363715	18427.583627	21214.780088
 80+ 	70952.561485	24809.177034	46143.384450
Total	659627.888974	338642.912977	320984.975997
2013			
 0-4	56782.989547	32305.749301	24477.240246
 5-9	8700.856653	4632.018014	4068.838640
 10-14 	8765.111779	4876.777513	3888.334265
 15-19 	10153.339379	4897.769369	5255.570010
 20-24 	16785.279939	7774.055023	9011.224916
 25-29 	31607.109403	15531.356326	16075.753076
 30-34 	40798.924797	21183.837756	19615.087040
 35-39 	43772.019198	24944.958943	18827.060255
 40-44 	35752.483165	21284.784433	14467.698732
 45-49 	32943.260670	19605.896666	13337.364005
 50-54 	34519.853897	20017.583450	14502.270446
 55-59 	38797.718571	21770.975511	17026.743060
 60-64 	43845.105362	24851.535887	18993.569475
 65-69 	47019.389366	25605.262782	21414.126584
 70-74 	45995.870774	23172.295170	22823.575604
 75-79 	39691.958090	18258.286697	21433.671393
 80+ 	71400.321502	24650.887612	46749.433890
Total	607331.592090	315364.030452	291967.561638
2014			
 0-4	59142.389947	33336.920685	25805.469261
 5-9	7932.293419	4229.903800	3702.389620
 10-14 	8826.850762	4894.096547	3932.754215
 15-19 	10123.241285	4916.293240	5206.948045
 20-24 	15591.681338	7188.306472	8403.374866
 25-29 	29113.197484	13664.991070	15448.206414
 30-34 	38759.286914	18808.999292	19950.287622
 35-39 	43682.430073	22259.057555	21423.372518
 40-44 	36002.051946	19614.384632	16387.667314
 45-49 	33158.467092	18450.332837	14708.134255
 50-54 	34467.180055	19276.102223	15191.077832
 55-59 	39117.570057	21388.715980	17728.854077
 60-64 	44759.002403	24986.421109	19772.581293
 65-69 	47714.434872	25724.189571	21990.245301
 70-74 	47170.742155	23544.029023	23626.713132
 75-79 	40205.694614	18235.878801	21969.815813
 80+ 	72073.712645	24553.943625	47519.769020
Total	607840.227059	305072.566461	302767.660598
2015			
 0-4	59734.905466	33473.120378	26261.785089
 5-9	7072.646237	3787.539689	3285.106548
 10-14 	8715.208329	4822.571975	3892.636354
 15-19 	10113.282879	4955.749357	5157.533522
 20-24 	14659.088095	6743.559237	7915.528858
 25-29 	27732.002915	12653.737973	15078.264942
 30-34 	37892.824651	17984.647460	19908.177191
 35-39 	44416.529957	22227.095969	22189.433988
 40-44 	36836.210395	19970.950229	16865.260166
 45-49 	33844.764783	18961.187483	14883.577300
 50-54 	34470.820675	19499.086283	14971.734392
 55-59 	39109.570346	21485.287085	17624.283260
 60-64 	45471.390007	25405.251151	20066.138856
 65-69 	48412.246318	26079.840420	22332.405898
 70-74 	48254.664665	24017.802868	24236.861798
 75-79 	40906.922193	18398.351404	22508.570789
 80+ 	72872.986952	24507.535188	48365.451764
Total	610516.064864	304973.314150	305542.750714
2016			
 0-4	60172.484774	33525.093611	26647.391163
 5-9	6127.253069	3271.620279	2855.632789
 10-14 	8462.869702	4667.347188	3795.522514
 15-19 	10020.914997	4924.006045	5096.908952
 20-24 	13615.865719	6253.921391	7361.944328
 25-29 	26112.001982	11805.758521	14306.243461
 30-34 	37138.315456	17445.630963	19692.684492
 35-39 	45398.093513	22480.007106	22918.086407
 40-44 	38097.815681	20518.437823	17579.377858
 45-49 	34548.868079	19402.357888	15146.510191
 50-54 	34547.366993	19726.833695	14820.533298
 55-59 	38996.747849	21521.835779	17474.912070
 60-64 	46119.431460	25743.916144	20375.515315
 65-69 	49303.434009	26529.466595	22773.967414
 70-74 	49203.593987	24423.247162	24780.346824
 75-79 	41897.102603	18708.189173	23188.913430
 80+ 	73777.504376	24482.338648	49295.165728
Total	613539.664246	305430.008010	308109.656236
2017			
 0-4	61829.971801	34200.345217	27629.626585
 5-9	5437.397294	2889.187419	2548.209875
 10-14 	8067.718978	4435.613752	3632.105227
 15-19 	9951.926624	4905.756139	5046.170485
 20-24 	12662.025616	5825.136166	6836.889450
 25-29 	24516.153451	10981.872506	13534.280945
 30-34 	36172.900636	16848.776401	19324.124235
 35-39 	46214.078669	22680.589284	23533.489385
 40-44 	39460.334946	21096.500224	18363.834723
 45-49 	35345.076450	19899.154631	15445.921820
 50-54 	34758.775790	20043.348700	14715.427090
 55-59 	38786.274364	21559.447705	17226.826659
 60-64 	46620.161601	26014.435166	20605.726435
 65-69 	50286.884510	27039.619299	23247.265211
 70-74 	50059.776392	24794.533181	25265.243210
 75-79 	43090.623599	19136.389434	23954.234165
 80+ 	74827.074363	24503.486993	50323.587371
Total	618087.155085	306854.192217	311232.962868
2018			
 0-4	61875.578277	34073.914904	27801.663373
 5-9	4915.994843	2594.379175	2321.615667
 10-14 	7429.794367	4080.001148	3349.793219
 15-19 	9860.758079	4865.735545	4995.022534
 20-24 	11847.006058	5469.465643	6377.540415
 25-29 	22959.290380	10200.405921	12758.884459
 30-34 	34998.054797	16159.657424	18838.397372
 35-39 	46845.644564	22778.952003	24066.692561
 40-44 	40860.297131	21666.307129	19193.990003
 45-49 	36319.495151	20454.780820	15864.714331
 50-54 	35098.039657	20404.789149	14693.250508
 55-59 	38547.536595	21618.417918	16929.118677
 60-64 	46966.107167	26218.693525	20747.413641
 65-69 	51321.059828	27582.006620	23739.053208
 70-74 	50886.906316	25164.687565	25722.218751
 75-79 	44398.745266	19636.524385	24762.220881
 80+ 	76076.677549	24594.759947	51481.917603
Total	621206.986023	307563.478820	313643.507203
2019			
 0-4	60484.183865	33221.506908	27262.676957
 5-9	4606.171448	2402.547870	2203.623578
 10-14 	6821.044848	3739.764922	3081.279926
 15-19 	9695.719378	4784.929734	4910.789644
 20-24 	11212.102851	5196.815557	6015.287295
 25-29 	21493.768070	9485.881462	12007.886608
 30-34 	33669.038962	15402.520188	18266.518774
 35-39 	47253.586744	22758.327595	24495.259149
 40-44 	42277.662859	22217.775007	20059.887853
 45-49 	37521.075520	21113.297666	16407.777854
 50-54 	35500.755451	20753.477754	14747.277697
 55-59 	38366.099565	21737.206312	16628.893254
 60-64 	47154.612314	26368.350455	20786.261859
 65-69 	52355.696076	28129.227971	24226.468105
 70-74 	51758.583201	25571.254265	26187.328937
 75-79 	45737.177399	20165.387940	25571.789459
 80+ 	77587.668149	24783.293293	52804.374856
Total	623494.946702	307831.564897	315663.381804
2020			
 0-4	59326.920284	32490.872109	26836.048176
 5-9	4556.886607	2342.965857	2213.920749
 10-14 	5997.960311	3293.697888	2704.262423
 15-19 	9388.454010	4628.044183	4760.409827
 20-24 	10741.067543	5004.352428	5736.715115
 25-29 	20139.308188	8844.900180	11294.408008
 30-34 	32209.057342	14595.483617	17613.573725
 35-39 	47387.936683	22594.229697	24793.706986
 40-44 	43641.174106	22721.954691	20919.219415
 45-49 	38784.366316	21731.428100	17052.938216
 50-54 	36132.864283	21259.472668	14873.391615
 55-59 	38313.499464	21949.218941	16364.280523
 60-64 	47183.838050	26474.624936	20709.213114
 65-69 	53341.270603	28655.092047	24686.178556
 70-74 	52719.881514	26036.502802	26683.378712
 75-79 	47025.706807	20685.293428	26340.413379
 80+ 	79414.131422	25091.474569	54322.656853
Total	626304.323532	308399.608139	317904.715392
2021			
 0-4	58079.632632	31719.236112	26360.396519
 5-9	4606.490840	2333.893008	2272.597833
 10-14 	5165.321848	2847.279295	2318.042553
 15-19 	9033.930523	4459.544862	4574.385661
 20-24 	10473.069826	4907.936417	5565.133409
 25-29 	18958.158109	8300.335621	10657.822488
 30-34 	30719.886994	13792.629082	16927.257911
