SouthAfrica_test	Total	Male	Female
 45-49 	2372830.462611	1075694.506240	1297135.956371
 50-54 	1998548.163807	881653.820362	1116894.343445
 55-59 	1606324.845326	697156.835795	909168.009531
 60-64 	1246432.082254	529385.158263	717046.923991
 65-69 	866677.193263	355110.100834	511567.092429
 70-74 	561664.206544	220394.322670	341269.883873
 75-79 	327866.898410	117853.508565	210013.389846
 80+ 	228719.951691	69821.855679	158898.096012
Total	46082769.429085	22476370.046744	23606399.382341
2004			
 0-4	4958840.871334	2499942.579279	2458898.292055
 5-9	4658670.369582	2342086.443609	2316583.925974
 10-14 	4728042.218273	2367456.579680	2360585.638593
 15-19 	4889773.940960	2432433.399941	2457340.541019
 20-24 	4773204.031831	2379476.157313	2393727.874517
 25-29 	4187756.999016	2122842.987330	2064914.011686
 30-34 	3486770.753492	1805622.008404	1681148.745088
 35-39 	2926705.349262	1496523.726351	1430181.622912
 40-44 	2566402.158992	1243328.581618	1323073.577374
 45-49 	2375060.036922	1078835.659105	1296224.377817
 50-54 	2036525.558149	896492.717175	1140032.840974
 55-59 	1636940.522536	707187.879555	929752.642981
 60-64 	1283384.005260	542080.643352	741303.361908
 65-69 	899007.173611	364721.912644	534285.260967
 70-74 	590520.235153	228710.410034	361809.825119
 75-79 	350445.764013	125039.477642	225406.286371
 80+ 	253696.245070	76792.174015	176904.071055
Total	46601746.233458	22709573.337047	23892172.896410
2005			
 0-4	4997161.857844	2518956.327726	2478205.530118
 5-9	4699599.967944	2363147.206522	2336452.761423
 10-14 	4704091.865702	2356954.970623	2347136.895080
 15-19 	4889051.692522	2431702.283162	2457349.409360
 20-24 	4845940.745873	2415086.795792	2430853.950081
 25-29 	4288441.279562	2168087.271719	2120354.007843
 30-34 	3545702.029487	1830198.401482	1715503.628005
 35-39 	2954879.591094	1517517.818524	1437361.772570
 40-44 	2557469.587339	1249322.454864	1308147.132474
 45-49 	2370154.515852	1079349.827236	1290804.688616
 50-54 	2071725.892421	909599.591899	1162126.300522
 55-59 	1669311.113393	717731.064343	951580.049050
 60-64 	1316379.155576	552720.243474	763658.912101
 65-69 	930825.645991	374116.006141	556709.639850
 70-74 	616831.583544	235854.298324	380977.285220
 75-79 	371957.181752	131743.037212	240214.144540
 80+ 	282315.869138	84892.380155	197423.488984
Total	47111839.575033	22936979.979197	24174859.595836
2006			
 0-4	5031925.330548	2536542.618752	2495382.711796
 5-9	4765533.762687	2396675.871529	2368857.891158
 10-14 	4681321.390473	2347095.180074	2334226.210399
 15-19 	4874978.077424	2424620.028812	2450358.048612
 20-24 	4906794.867178	2444658.064707	2462136.802470
 25-29 	4396771.295002	2218614.831968	2178156.463034
 30-34 	3617927.777626	1865035.322632	1752892.454994
 35-39 	2982321.500175	1532670.574259	1449650.925916
 40-44 	2554763.373465	1255455.636927	1299307.736538
 45-49 	2362100.364250	1078496.771811	1283603.592438
 50-54 	2104643.678276	920526.369325	1184117.308951
 55-59 	1707769.042487	730419.430444	977349.612044
 60-64 	1345260.222992	560892.330220	784367.892772
 65-69 	963752.349271	383879.739229	579872.610042
 70-74 	640778.879263	241976.275983	398802.603280
 75-79 	393526.837454	138268.189711	255258.647743
 80+ 	314936.995097	94256.617173	220680.377924
Total	47645105.743670	23170083.853557	24475021.890113
2007			
 0-4	5053135.592757	2547636.550013	2505499.042744
 5-9	4861045.508889	2444933.662025	2416111.846864
 10-14 	4663621.790105	2339675.533585	2323946.256519
 15-19 	4849405.331385	2412326.205968	2437079.125417
 20-24 	4949314.696313	2464726.001569	2484588.694744
 25-29 	4508048.815422	2271782.577739	2236266.237683
 30-34 	3703903.601180	1904117.767915	1799785.833265
 35-39 	3010747.224233	1549269.576861	1461477.647372
 40-44 	2559492.067269	1264559.975260	1294932.092008
 45-49 	2352388.053907	1077542.299584	1274845.754323
 50-54 	2134318.479077	929595.709491	1204722.769586
 55-59 	1749064.057504	744087.843724	1004976.213779
 60-64 	1372536.616384	567934.803970	804601.812413
 65-69 	997070.619972	393745.807195	603324.812778
 70-74 	662418.522878	247218.414726	415200.108152
 75-79 	413965.231281	144318.582454	269646.648827
 80+ 	348692.128999	103907.113934	244785.015064
Total	48189168.337553	23407378.426016	24781789.911538
2008			
 0-4	5082989.959175	2563450.791425	2519539.167750
 5-9	4955292.721534	2492412.740867	2462879.980668
 10-14 	4661247.672453	2339782.911471	2321464.760982
 15-19 	4815881.062085	2396633.702042	2419247.360043
 20-24 	4970737.684863	2473966.177226	2496771.507637
 25-29 	4614255.293570	2323453.570054	2290801.723516
 30-34 	3796962.214132	1947521.314547	1849440.899585
 35-39 	3041883.897115	1567588.769392	1474295.127723
 40-44 	2566797.588672	1274288.404784	1292509.183888
 45-49 	2338121.168782	1076086.621237	1262034.547545
 50-54 	2156157.513808	935909.843493	1220247.670314
 55-59 	1790238.766469	757780.051970	1032458.714499
 60-64 	1399351.660579	574772.805986	824578.854594
 65-69 	1029852.491927	403433.931663	626418.560265
 70-74 	682916.707206	252105.998898	430810.708309
 75-79 	433068.708224	149784.865344	283283.842880
 80+ 	381119.247134	112966.164390	268153.082744
Total	48716874.357730	23641938.664790	25074935.692940
2009			
 0-4	5099242.124058	2572684.799271	2526557.324787
 5-9	5035676.658521	2532842.790688	2502833.867833
 10-14 	4682350.112586	2351330.346150	2331019.766437
 15-19 	4777890.279544	2379235.616869	2398654.662675
 20-24 	4970415.211225	2472296.333497	2498118.877728
 25-29 	4704514.218095	2367892.758048	2336621.460047
 30-34 	3895588.017387	1994592.086912	1900995.930475
 35-39 	3082983.834782	1592653.346891	1490330.487891
 40-44 	2569941.742426	1281433.815103	1288507.927323
 45-49 	2319194.060339	1075116.678750	1244077.381589
 50-54 	2167017.923149	939387.932844	1227629.990305
 55-59 	1829073.159205	770966.220524	1058106.938681
 60-64 	1426972.627549	582413.880166	844558.747383
 65-69 	1061308.804863	412754.256775	648554.548087
 70-74 	703246.463800	256995.743726	446250.720073
 75-79 	449784.343387	154167.777105	295616.566282
 80+ 	408692.175405	120252.919118	288439.256287
Total	49183891.756321	23857017.302438	25326874.453884
2010			
 0-4	5105894.248018	2576776.588435	2529117.659583
 5-9	5086826.143031	2558447.141827	2528379.001204
 10-14 	4729315.715466	2375489.183852	2353826.531614
 15-19 	4738576.196143	2361521.375604	2377054.820539
 20-24 	4947131.432496	2459424.124885	2487707.307612
 25-29 	4772072.299649	2400769.591886	2371302.707763
 30-34 	4000237.227682	2044846.883293	1955390.344388
 35-39 	3130236.841960	1616879.431127	1513357.410833
 40-44 	2580454.266243	1296644.864091	1283809.402152
 45-49 	2300094.073278	1077227.217642	1222866.855636
 50-54 	2165391.433627	940378.342573	1225013.091055
 55-59 	1864880.476244	783534.777261	1081345.698982
 60-64 	1456581.256759	591643.739766	864937.516993
 65-69 	1090836.473846	421564.966168	669271.507678
 70-74 	724304.078680	262103.526567	462200.552113
 75-79 	463003.863706	156871.099380	306132.764326
 80+ 	428218.594933	124797.624854	303420.970079
Total	49584054.621760	24048920.479210	25535134.142550
2011			
 0-4	5089715.014443	2569834.103070	2519880.911373
 5-9	5102580.423342	2566611.741633	2535968.681709
 10-14 	4797904.268582	2410394.597445	2387509.671137
 15-19 	4699505.756271	2344288.393558	2355217.362713
 20-24 	4898807.188225	2435019.877807	2463787.310417
 25-29 	4813113.766711	2418624.324070	2394489.442641
 30-34 	4114494.054792	2097771.679473	2016722.375319
 35-39 	3209041.527347	1657788.443727	1551253.083620
 40-44 	2603379.176782	1315512.990623	1287866.186159
 45-49 	2287994.749718	1085425.846984	1202568.902734
 50-54 	2154183.628327	942100.301220	1212083.327106
 55-59 	1896591.277710	795756.724222	1100834.553488
 60-64 	1491661.103429	604341.306146	887319.797282
 65-69 	1117657.000364	429592.743943	688064.256422
 70-74 	746425.338884	267574.099304	478851.239580
 75-79 	470313.367722	157208.843529	313104.524193
 80+ 	434786.719325	125338.875202	309447.844123
Total	49928154.361973	24223184.891956	25704969.470017
2012			
 0-4	5082984.614831	2566951.369129	2516033.245702
 5-9	5087823.480644	2559412.977669	2528410.502975
 10-14 	4891648.968972	2457736.417672	2433912.551301
 15-19 	4667800.394422	2330523.865910	2337276.528512
 20-24 	4842622.486305	2407392.347779	2435230.138527
 25-29 	4837525.855633	2425529.107806	2411996.747826
 30-34 	4236769.044399	2152776.497094	2083992.547305
 35-39 	3320838.535910	1710313.232242	1610525.303669
 40-44 	2648247.991206	1344953.397022	1303294.594184
 45-49 	2296020.736531	1102694.440036	1193326.296495
 50-54 	2142723.171997	945941.809836	1196781.362161
 55-59 	1925620.883580	807269.485429	1118351.398151
 60-64 	1531262.950537	619080.944393	912182.006145
 65-69 	1144069.034750	437690.240730	706378.794020
 70-74 	772598.999937	274721.246311	497877.753626
 75-79 	478477.525650	157549.761423	320927.764227
 80+ 	441139.084056	125524.155679	315614.928377
Total	50348173.759360	24426061.296159	25922112.463201
2013			
 0-4	5062878.562579	2557118.523201	2505760.039377
 5-9	5085781.632866	2558884.330946	2526897.301920
 10-14 	4975839.096371	2500104.803340	2475734.293032
 15-19 	4652723.954287	2325295.449769	2327428.504517
 20-24 	4779097.561944	2377389.195985	2401708.365959
 25-29 	4829810.085969	2417179.880037	2412630.205932
 30-34 	4345464.062867	2201796.803528	2143667.259339
 35-39 	3440495.613100	1767057.217542	1673438.395558
 40-44 	2702905.580294	1379253.661698	1323651.918596
 45-49 	2310471.271114	1122577.194524	1187894.076589
 50-54 	2126518.709541	950020.549879	1176498.159661
 55-59 	1946115.590540	816487.751279	1129627.839261
 60-64 	1571074.024821	634246.063484	936827.961338
 65-69 	1169838.917210	445829.307345	724009.609865
 70-74 	800298.783366	282630.084750	517668.698616
 75-79 	487873.312171	158217.700272	329655.611899
 80+ 	447652.911845	125573.718561	322079.193284
Total	50734839.670884	24619662.236141	26115177.434744
2014			
 0-4	5055159.735771	2553629.696367	2501530.039404
 5-9	5062618.239860	2547727.350410	2514890.889450
 10-14 	5044147.657503	2534479.934066	2509667.723437
 15-19 	4663749.445650	2332717.260902	2331032.184748
 20-24 	4719154.873849	2350043.772596	2369111.101253
 25-29 	4797134.355746	2399328.946823	2397805.408923
 30-34 	4434250.144990	2244015.212101	2190234.932888
 35-39 	3565983.620924	1829680.819290	1736302.801634
 40-44 	2775640.491915	1425225.279762	1350415.212153
 45-49 	2327619.235364	1144120.342972	1183498.892391
 50-54 	2111923.807801	958192.081733	1153731.726068
 55-59 	1958272.291727	824795.879180	1133476.412547
 60-64 	1609835.547548	649766.534504	960069.013044
 65-69 	1196744.062050	454994.241097	741749.820953
 70-74 	828220.074248	291031.928169	537188.146079
 75-79 	499474.640422	159880.803864	339593.836558
 80+ 	454880.868070	125797.310400	329083.557671
Total	51104809.093439	24825427.394238	26279381.699201
2015			
 0-4	5039294.717887	2546031.274774	2493263.443113
 5-9	5038262.232572	2536081.182371	2502181.050200
 10-14 	5083822.232704	2554487.584352	2529334.648353
 15-19 	4702874.149658	2353581.334479	2349292.815179
 20-24 	4668155.559339	2326905.325998	2341250.233341
 25-29 	4756552.841085	2377857.532830	2378695.308255
 30-34 	4512313.072715	2279075.959854	2233237.112860
 35-39 	3706695.205484	1896316.440775	1810378.764709
 40-44 	2865479.262978	1471857.299906	1393621.963072
 45-49 	2363831.442610	1174982.450953	1188848.991657
 50-54 	2107269.381630	970456.055762	1136813.325869
 55-59 	1964792.070020	831770.082534	1133021.987487
 60-64 	1648806.913035	665015.045792	983791.867243
 65-69 	1227112.628204	465503.438748	761609.189456
 70-74 	855819.134658	299347.632506	556471.502152
 75-79 	514363.923016	162763.672934	351600.250082
 80+ 	462905.249210	126114.639187	336790.610023
Total	51518350.016806	25038146.953755	26480203.063051
2016			
 0-4	4983204.948334	2515598.957115	2467605.991219
 5-9	5012650.057259	2522887.185925	2489762.871334
 10-14 	5094599.249529	2559428.578127	2535170.671402
 15-19 	4761861.888000	2383405.856364	2378456.031636
 20-24 	4619901.941046	2303873.291686	2316028.649360
 25-29 	4706451.022900	2348616.447340	2357834.575560
 30-34 	4564484.225240	2298499.125279	2265985.099960
 35-39 	3841175.179360	1957223.538018	1883951.641341
 40-44 	2963504.433157	1522774.032980	1440730.400177
 45-49 	2396271.689645	1197475.783710	1198795.905935
 50-54 	2095059.013028	977200.115900	1117858.897128
 55-59 	1945265.898599	829613.648556	1115652.250043
 60-64 	1666670.027102	671762.861850	994907.165251
 65-69 	1248968.684911	473114.489925	775854.194986
 70-74 	871783.237186	303762.208940	568021.028246
 75-79 	527517.341720	165401.407758	362115.933962
 80+ 	466851.279773	125311.209127	341540.070646
Total	51766220.116788	25155948.738602	26610271.378186
2017			
 0-4	4953365.207985	2501042.569991	2452322.637994
 5-9	5003638.053907	2519022.868914	2484615.184993
 10-14 	5075958.244019	2550354.857902	2525603.386117
 15-19 	4848812.978587	2428029.444414	2420783.534174
 20-24 	4582207.380248	2288154.805476	2294052.574772
 25-29 	4648811.410637	2320123.307670	2328688.102967
 30-34 	4590635.807564	2307545.199556	2283090.608008
 35-39 	3971680.120972	2018403.207838	1953276.913135
 40-44 	3083654.724947	1582825.641505	1500829.083442
 45-49 	2447468.646617	1232308.013394	1215160.633224
 50-54 	2107176.609848	996937.600349	1110239.009499
 55-59 	1938139.300375	835359.344263	1102779.956112
 60-64 	1695011.669597	683342.184069	1011669.485528
 65-69 	1284840.386875	486292.345309	798548.041566
 70-74 	894675.493438	310683.295517	583992.197921
 75-79 	548283.177581	170647.891698	377635.285883
 80+ 	476274.461248	125919.754240	350354.707008
Total	52150633.674446	25356992.332104	26793641.342343
2018			
 0-4	4925447.442721	2487469.100445	2437978.342276
 5-9	4978664.208229	2507040.674063	2471623.534167
 10-14 	5072633.667602	2549286.488804	2523347.178798
 15-19 	4929484.045624	2468718.009326	2460766.036299
 20-24 	4572773.599717	2285193.028756	2287580.570961
 25-29 	4599635.352266	2296201.036054	2303434.316212
 30-34 	4598824.323549	2307679.268285	2291145.055265
