SouthAfrica_test	Total	Male	Female
 25-29 	4492218.709393	2247242.132028	2244976.577365
 30-34 	4534863.515507	2268760.133851	2266103.381657
 35-39 	4354171.924973	2194346.354718	2159825.570255
 40-44 	3641149.401606	1851535.295280	1789614.106326
 45-49 	2791461.486186	1425526.645355	1365934.840831
 50-54 	2238463.313163	1105467.857413	1132995.455750
 55-59 	1927901.860804	880541.525223	1047360.335581
 60-64 	1743215.754409	716566.170224	1026649.584184
 65-69 	1426599.718837	539765.633382	886834.085455
 70-74 	999752.488087	345007.551217	654744.936870
 75-79 	635320.257662	194292.635527	441027.622135
 80+ 	533084.288114	133943.321717	399140.966397
Total	53898911.568736	26259371.122352	27639540.446384
2022			
 0-4	4836241.586152	2444452.639087	2391788.947065
 5-9	4915932.048567	2478178.228443	2437753.820124
 10-14 	5016225.566179	2524000.444245	2492225.121935
 15-19 	5042961.445849	2526201.817389	2516759.628460
 20-24 	4806302.812368	2404227.579893	2402075.232475
 25-29 	4477952.456001	2241937.542246	2236014.913755
 30-34 	4500925.700284	2251729.234980	2249196.465305
 35-39 	4396024.889783	2212010.767171	2184014.122612
 40-44 	3775686.002358	1915534.964230	1860151.038128
 45-49 	2911454.810761	1485824.701625	1425630.109136
 50-54 	2290361.946230	1140042.069082	1150319.877148
 55-59 	1942428.133616	900457.068770	1041971.064845
 60-64 	1739786.584553	723310.478874	1016476.105679
 65-69 	1454251.977006	550774.769316	903477.207690
 70-74 	1031836.363350	356156.302231	675680.061119
 75-79 	654663.804334	199693.477418	454970.326916
 80+ 	552953.076380	137675.482565	415277.593816
Total	54345989.203770	26492207.567562	27853781.636208
2023			
 0-4	4819383.120725	2436423.358408	2382959.762317
 5-9	4893450.497816	2467535.934970	2425914.562846
 10-14 	4995700.782580	2514303.247196	2481397.535384
 15-19 	5041567.447336	2526230.036252	2515337.411083
 20-24 	4893832.429311	2448049.530321	2445782.898989
 25-29 	4482718.881895	2245791.045565	2236927.836330
 30-34 	4466628.278744	2235506.548360	2231121.730384
 35-39 	4413816.802611	2217952.210703	2195864.591908
 40-44 	3898306.138362	1973705.648578	1924600.489784
 45-49 	3040481.703301	1549354.058883	1491127.644418
 50-54 	2353306.538516	1178985.724159	1174320.814357
 55-59 	1964802.309030	923130.873117	1041671.435913
 60-64 	1734136.377539	730865.056773	1003271.320767
 65-69 	1476395.465987	560462.383798	915933.082188
 70-74 	1064532.753331	367644.721407	696888.031924
 75-79 	674152.347051	205266.306719	468886.040331
 80+ 	574299.121451	141850.869684	432448.251767
Total	54787510.995585	26723057.554893	28064453.440692
2024			
 0-4	4805091.922331	2429682.374700	2375409.547631
 5-9	4872166.213743	2457479.932189	2414686.281555
 10-14 	4989839.548396	2512085.792905	2477753.755491
 15-19 	5018505.896242	2515436.130106	2503069.766135
 20-24 	4968354.343125	2485516.059805	2482838.283320
 25-29 	4511765.370960	2261326.358326	2250439.012635
 30-34 	4433673.242632	2220683.860412	2212989.382220
 35-39 	4411657.970295	2214522.152295	2197135.818000
 40-44 	4004141.664937	2023716.476252	1980425.188684
 45-49 	3175863.175287	1615064.843038	1560798.332249
 50-54 	2431778.058287	1224945.056802	1206833.001485
 55-59 	1990345.671387	945458.956053	1044886.715334
 60-64 	1729623.468957	740303.698493	989319.770464
 65-69 	1492145.282694	568862.902670	923282.380024
 70-74 	1096794.083914	379050.093885	717743.990030
 75-79 	694693.837932	211310.833492	483383.004440
 80+ 	596534.937066	146292.588547	450242.348519
Total	55222974.688186	26951738.109972	28271236.578214
2025			
 0-4	4793199.040650	2424140.582820	2369058.457830
 5-9	4852221.077884	2448113.221827	2404107.856057
 10-14 	4977882.691461	2506798.029359	2471084.662102
 15-19 	5001182.610262	2507543.749154	2493638.861108
 20-24 	5019689.698118	2511325.097428	2508364.600690
 25-29 	4565230.506067	2288965.159814	2276265.346253
 30-34 	4404529.297396	2208162.559027	2196366.738369
 35-39 	4394076.508503	2204243.866695	2189832.641808
 40-44 	4089898.774657	2063796.812356	2026101.962301
 45-49 	3313584.591222	1681419.848727	1632164.742495
 50-54 	2517860.478167	1270263.070705	1247597.407462
 55-59 	2026513.588511	974631.265878	1051882.322633
 60-64 	1729786.372688	752766.294685	977020.078003
 65-69 	1501024.183797	576119.849287	924904.334510
 70-74 	1127932.243533	390130.966360	737801.277173
 75-79 	716786.569022	217987.111710	498799.457312
 80+ 	619284.931189	150896.028443	468388.902746
Total	55650683.163128	27177303.514277	28473379.648851
2026			
 0-4	4782403.241934	2419140.534108	2363262.707826
 5-9	4834237.776885	2439753.244622	2394484.532263
 10-14 	4960260.838974	2498556.106643	2461704.732331
 15-19 	4991600.797073	2503673.484219	2487927.312854
 20-24 	5043193.937132	2523456.143493	2519737.793639
 25-29 	4638572.386669	2326284.595935	2312287.790734
 30-34 	4380863.887738	2198415.660230	2182448.227508
 35-39 	4366594.985476	2189909.627613	2176685.357864
 40-44 	4153495.054231	2092951.127515	2060543.926715
 45-49 	3448744.315688	1746173.409608	1702570.906080
 50-54 	2617839.807882	1323827.048966	1294012.758916
 55-59 	2068568.429349	1003283.569948	1065284.859401
 60-64 	1735710.113788	767356.771353	968353.342435
 65-69 	1503429.387652	582616.122792	920813.264860
 70-74 	1156045.953841	400255.156664	755790.797178
 75-79 	741463.079113	225623.449728	515839.629385
 80+ 	642123.955434	155539.046958	486584.908476
Total	56065147.948859	27396815.100396	28668332.848463
2027			
 0-4	4771974.659785	2414309.974212	2357664.685573
 5-9	4817828.649705	2432168.989005	2385659.660700
 10-14 	4939493.362721	2488770.682469	2450722.680252
 15-19 	4988790.762541	2503158.506992	2485632.255549
 20-24 	5034078.238161	2519289.508531	2514788.729630
 25-29 	4732743.853751	2373913.242890	2358830.610862
 30-34 	4367007.681398	2193585.754172	2173421.927226
 35-39 	4334472.030796	2174317.205096	2160154.825700
 40-44 	4193246.905506	2110368.542881	2082878.362626
 45-49 	3576589.824884	1807287.709283	1769302.115601
 50-54 	2730602.404720	1380390.985784	1350211.418937
 55-59 	2116785.942903	1035276.996461	1081508.946443
 60-64 	1749330.946168	785560.608014	963770.338154
 65-69 	1501473.829487	589090.975983	912382.853503
 70-74 	1180457.057170	409412.908569	771044.148601
 75-79 	767384.023554	233772.392273	533611.631281
 80+ 	665617.377069	160391.329575	505226.047494
Total	56467877.550320	27611066.312188	28856811.238131
2028			
 0-4	4761175.077654	2409273.655899	2351901.421755
 5-9	4803437.722595	2425583.212410	2377854.510185
 10-14 	4917874.484751	2478574.979680	2439299.505072
 15-19 	4979134.474568	2499031.816681	2480102.657887
 20-24 	5028480.714510	2517296.723993	2511183.990517
 25-29 	4817527.176926	2416830.656254	2400696.520672
 30-34 	4370867.162073	2197292.617425	2173574.544649
 35-39 	4301265.162260	2159053.358600	2142211.803660
 40-44 	4209841.648716	2116456.860579	2093384.788137
 45-49 	3693091.844168	1862881.952099	1830209.892069
 50-54 	2852018.281569	1440061.161326	1411957.120243
 55-59 	2175226.789331	1071237.448739	1103989.340592
 60-64 	1769982.425791	806140.498610	963841.927182
 65-69 	1497424.191319	596222.727776	901201.463542
 70-74 	1200260.367793	417582.849346	782677.518446
 75-79 	793729.451585	242138.070246	551591.381339
 80+ 	690218.478899	165599.011568	524619.467331
Total	56861555.454508	27821257.601230	29040297.853278
2029			
 0-4	4749653.802773	2403853.693693	2345800.109080
 5-9	4790833.854961	2419885.248364	2370948.606597
 10-14 	4896998.072107	2468747.126181	2428250.945926
 15-19 	4976632.204030	2498542.809569	2478089.394460
 20-24 	5005345.370012	2506667.072368	2498678.297644
 25-29 	4889866.010149	2453582.008830	2436284.001319
 30-34 	4398256.575626	2212349.407672	2185907.167953
 35-39 	4269302.172396	2145039.362014	2124262.810383
 40-44 	4207663.454104	2113697.079708	2093966.374397
 45-49 	3793942.781325	1910904.797630	1883037.983696
 50-54 	2979787.519095	1501979.239986	1477808.279109
 55-59 	2248147.827709	1113631.422246	1134516.405463
 60-64 	1793515.356672	826379.038916	967136.317756
 65-69 	1494288.652280	604933.909806	889354.742474
 70-74 	1214704.655185	424803.959857	789900.695327
 75-79 	819740.312950	250450.562516	569289.750434
 80+ 	716254.198823	171268.224521	544985.974302
Total	57244932.820197	28026714.963876	29218217.856321
2030			
 0-4	4737825.562801	2398261.615993	2339563.946809
 5-9	4779780.878641	2414947.697941	2364833.180700
 10-14 	4877260.026036	2459523.222940	2417736.803096
 15-19 	4963069.604925	2492474.228254	2470595.376671
 20-24 	4991740.395867	2500850.944803	2490889.451064
 25-29 	4939230.652808	2478753.756938	2460476.895869
 30-34 	4449230.277108	2239146.264231	2210084.012877
 35-39 	4240881.582673	2133118.127587	2107763.455086
 40-44 	4190982.097129	2104457.951978	2086524.145151
 45-49 	3875992.956884	1949661.278243	1926331.678641
 50-54 	3110151.120805	1564714.568663	1545436.552142
 55-59 	2328516.810035	1155639.531281	1172877.278754
 60-64 	1826627.444664	852726.760382	973900.684281
 65-69 	1495180.674427	616179.225258	879001.449169
 70-74 	1223381.257089	431191.962025	792189.295064
 75-79 	844922.468630	258560.728634	586361.739996
 80+ 	743727.762385	177408.950629	566318.811756
Total	57618501.572908	28227616.815781	29390884.757127
2031			
 0-4	4725051.284234	2392175.101547	2332876.182687
 5-9	4769834.887650	2410549.177750	2359285.709900
 10-14 	4859585.601167	2451370.458068	2408215.143098
 15-19 	4945071.883935	2484108.177386	2460963.706549
 20-24 	4984372.571793	2498284.812933	2486087.758860
 25-29 	4962380.698952	2491023.091307	2471357.607645
 30-34 	4520003.616428	2275639.474200	2244364.142227
 35-39 	4218163.058017	2124072.252806	2094090.805210
 40-44 	4165392.670453	2091580.943228	2073811.727225
 45-49 	3937511.239656	1978333.805194	1959177.434462
 50-54 	3238641.659045	1626252.765344	1612388.893700
 55-59 	2422003.026558	1205298.312730	1216704.713828
 60-64 	1865311.214357	878663.786105	986647.428252
 65-69 	1501099.672092	629173.737082	871925.935009
 70-74 	1226606.053817	437040.264220	789565.789597
 75-79 	867894.455338	266073.482879	601820.972459
 80+ 	772930.244472	184111.178822	588819.065650
Total	57981853.837963	28423750.821602	29558103.016361
2032			
 0-4	4711108.926658	2385483.940758	2325624.985900
 5-9	4760015.562865	2406187.138642	2353828.424222
 10-14 	4843405.563299	2443951.137477	2399454.425822
 15-19 	4925367.772917	2474940.989499	2450426.783417
 20-24 	4981299.470941	2497839.924104	2483459.546837
 25-29 	4954579.286620	2487788.424013	2466790.862607
 30-34 	4610571.124340	2321976.784613	2288594.339727
 35-39 	4204865.382090	2119710.965653	2085154.416437
 40-44 	4135503.847841	2077510.166526	2057993.681316
 45-49 	3976590.938584	1995982.553404	1980608.385179
 50-54 	3360569.902841	1684572.668250	1675997.234591
 55-59 	2527708.810354	1257883.047482	1269825.762872
 60-64 	1909659.373581	907636.700012	1002022.673569
 65-69 	1513678.941161	645175.431155	868503.510005
 70-74 	1226102.319415	442894.272916	783208.046499
 75-79 	888059.661969	272961.254852	615098.407117
 80+ 	803245.605495	191178.565238	612067.040257
Total	58332332.490971	28613673.964595	29718658.526376
2033			
 0-4	4695648.744644	2378013.311789	2317635.432855
 5-9	4749967.779984	2401681.785582	2348285.994401
 10-14 	4829173.710310	2437496.445698	2391677.264611
 15-19 	4906847.438264	2466431.077232	2440416.361032
 20-24 	4970029.899247	2492955.817651	2477074.081596
 25-29 	4949991.562022	2486645.054412	2463346.507610
 30-34 	4691560.478471	2363511.211298	2328049.267173
 35-39 	4208470.234465	2123523.435774	2084946.798691
 40-44 	4104590.647206	2063702.433247	2040888.213959
 45-49 	3993854.826680	2002977.589594	1990877.237086
 50-54 	3472116.086296	1737902.089141	1734213.997154
 55-59 	2641792.174073	1313496.861767	1328295.312307
 60-64 	1963400.105645	940166.766199	1023233.339445
 65-69 	1532404.038693	663145.164198	869258.874495
 70-74 	1223775.825266	449276.673075	774499.152191
 75-79 	904680.436842	279206.997828	625473.439014
 80+ 	834321.457880	198488.992784	635832.465096
Total	58672625.445987	28798621.707269	29874003.738718
2034			
 0-4	4678211.238469	2369531.006873	2308680.231596
 5-9	4739461.781054	2396921.317410	2342540.463643
 10-14 	4816693.329755	2431912.193027	2384781.136729
 15-19 	4888501.260182	2458015.500284	2430485.759898
 20-24 	4966232.309367	2491940.888660	2474291.420707
 25-29 	4927369.327862	2476452.450697	2450916.877165
 30-34 	4761297.695605	2399485.924781	2361811.770824
 35-39 	4234728.613690	2138315.332636	2096413.281054
 40-44 	4074852.276731	2051030.202171	2023822.074560
 45-49 	3993429.109279	2001649.552215	1991779.557063
 50-54 	3569177.924674	1784294.034555	1784883.890120
 55-59 	2762130.903922	1371366.113713	1390764.790209
 60-64 	2030321.406415	978376.774026	1051944.632390
 65-69 	1553678.432826	680795.024687	872883.408139
 70-74 	1222150.546576	456901.319548	765249.227028
 75-79 	917138.298687	284834.924535	632303.374151
 80+ 	865854.636392	205939.777169	659914.859223
Total	59001229.091487	28977762.336987	30023466.754500
2035			
 0-4	4659151.370026	2360217.442971	2298933.927056
 5-9	4728058.058876	2391684.658935	2336373.399941
 10-14 	4805735.799718	2427070.727740	2378665.071978
 15-19 	4868735.501711	2448872.467487	2419863.034224
 20-24 	4953193.148894	2486344.319701	2466848.829192
 25-29 	4914787.758674	2471277.321072	2443510.437602
 30-34 	4808784.674200	2424207.529102	2384577.145098
 35-39 	4283714.400901	2164455.994669	2119258.406232
 40-44 	4048424.160186	2040281.889507	2008142.270679
 45-49 	3979314.375474	1994206.957131	1985107.418344
 50-54 	3648723.239818	1822128.295444	1826594.944374
 55-59 	2885236.056418	1430182.112236	1455053.944182
 60-64 	2104486.101849	1016495.846242	1087990.255607
 65-69 	1583240.994523	703634.934630	879606.059893
 70-74 	1223829.814329	466511.513782	757318.300548
 75-79 	925105.146221	289929.765359	635175.380863
 80+ 	897630.564049	213482.722443	684147.841607
Total	59318151.165868	29150984.498448	30167166.667420
2036			
 0-4	4638435.588482	2350054.512584	2288381.075898
 5-9	4715596.925214	2385894.261950	2329702.663264
 10-14 	4795913.403068	2422782.742015	2373130.661053
 15-19 	4851375.611252	2440956.714063	2410418.897190
 20-24 	4935343.094212	2478232.297174	2457110.797038
 25-29 	4908047.588513	2469187.291714	2438860.296798
 30-34 	4831051.464202	2436445.452230	2394606.011971
 35-39 	4351762.173148	2199967.653168	2151794.519980
 40-44 	4027361.824425	2032224.440829	1995137.383597
 45-49 	3956779.446302	1983318.050183	1973461.396119
 50-54 	3709077.001509	1850610.015432	1858466.986077
 55-59 	3006926.795719	1488087.814548	1518838.981171
 60-64 	2190599.049625	1061384.273698	1129214.775928
 65-69 	1617898.510237	726133.324652	891765.185585
 70-74 	1229648.869141	477432.618144	752216.250998
 75-79 	928785.750825	294684.137598	634101.613227
 80+ 	929056.849357	220984.005522	708072.843835
Total	59623659.945231	29318379.605502	30305280.339729
2037			
 0-4	4616543.005125	2339283.598356	2277259.406769
 5-9	4701810.838101	2379415.488728	2322395.349373
 10-14 	4786249.359001	2418543.416788	2367705.942214
 15-19 	4835416.324586	2433730.984693	2401685.339893
 20-24 	4915980.818346	2469398.265667	2446582.552678
 25-29 	4905103.224969	2468970.874473	2436132.350495
 30-34 	4823521.614584	2433690.795989	2389830.818595
 35-39 	4438947.876966	2245033.164997	2193914.711969
 40-44 	4015263.345002	2028609.749631	1986653.595371
 45-49 	3930190.511561	1971287.700365	1958902.811196
 50-54 	3748392.203654	1868827.130638	1879565.073016
 55-59 	3122795.260594	1543207.102769	1579588.157825
 60-64 	2288188.311948	1109047.248144	1179141.063804
 65-69 	1657572.891730	751262.140467	906310.751264
 70-74 	1240924.829531	490686.068152	750238.761379
 75-79 	929499.631280	299470.284570	630029.346710
 80+ 	959318.224850	228330.626023	730987.598827
Total	59915718.271829	29478794.640451	30436923.631378
2038			
 0-4	4593591.895213	2327969.010713	2265622.884500
 5-9	4686428.448062	2372113.629607	2314314.818455
 10-14 	4776355.525879	2414157.801338	2362197.724541
 15-19 	4821359.764257	2427439.722419	2393920.041838
 20-24 	4897694.349969	2461131.299033	2436563.050936
 25-29 	4894536.912967	2464674.308906	2429862.604061
 30-34 	4818916.448609	2432806.590551	2386109.858058
 35-39 	4516678.408372	2285329.506298	2231348.902074
 40-44 	4019206.973262	2032771.276965	1986435.696296
 45-49 	3902557.669648	1959442.973610	1943114.696038
 50-54 	3767209.328721	1877101.407491	1890107.921230
 55-59 	3229255.727306	1593898.442959	1635357.284346
 60-64 	2393723.657355	1159569.016032	1234154.641323
 65-69 	1705590.988749	779419.891625	926171.097125
 70-74 	1257294.705259	505453.853534	751840.851724
 75-79 	928726.689890	304650.820800	624075.869090
 80+ 	987659.522824	235456.753970	752202.768855
Total	60196787.016344	29633386.305852	30563400.710491
2039			
 0-4	4569282.111636	2315962.537690	2253319.573946
 5-9	4669503.665533	2364018.667036	2305484.998497
 10-14 	4766004.355458	2409513.970983	2356490.384474
 15-19 	4808953.709778	2421961.441947	2386992.267832
 20-24 	4879703.666094	2452999.810369	2426703.855725
 25-29 	4890815.889938	2463971.555466	2426844.334472
 30-34 	4797232.017734	2423192.971094	2374039.046641
 35-39 	4583433.433821	2320239.446486	2263193.987335
 40-44 	4044756.409917	2047452.909597	1997303.500320
 45-49 	3875961.548784	1948606.738047	1927354.810737
 50-54 	3769370.510447	1877593.670412	1891776.840035
 55-59 	3322445.670335	1638347.542276	1684098.128058
 60-64 	2505284.725200	1212272.339488	1293012.385712
 65-69 	1765171.143031	812320.869333	952850.273698
 70-74 	1275797.832433	519936.490154	755861.342278
 75-79 	928433.959378	310725.038176	617708.921202
 80+ 	1013483.049631	242332.965124	771150.084506
Total	60465633.699149	29781448.963680	30684184.735469
2040			
 0-4	4543368.718647	2303133.757328	2240234.961318
 5-9	4651108.591792	2355168.836410	2295939.755383
 10-14 	4754746.996191	2404386.950041	2350360.046150
 15-19 	4797912.806840	2417140.895764	2380771.911076
 20-24 	4860248.080659	2444128.882040	2416119.198619
 25-29 	4878028.366790	2458643.007781	2419385.359009
 30-34 	4785721.442918	2418750.663594	2366970.779324
 35-39 	4628728.457869	2344255.659373	2284472.798496
 40-44 	4092031.566397	2073017.200082	2019014.366315
 45-49 	3852381.634438	1939502.630603	1912879.003835
 50-54 	3758592.746438	1872341.839751	1886250.906687
 55-59 	3399475.574541	1675028.069084	1724447.505458
 60-64 	2619695.639889	1265996.115502	1353699.524386
 65-69 	1831639.828344	845405.222474	986234.605869
 70-74 	1301053.534899	538543.760372	762509.774527
 75-79 	930650.118631	318218.827577	612431.291054
 80+ 	1036517.868615	249001.186415	787516.682200
Total	60721901.973896	29922663.504191	30799238.469705
2041			
 0-4	4516239.359489	2289666.971589	2226572.387900
 5-9	4631147.125468	2345513.110471	2285634.014997
 10-14 	4742428.520004	2398702.629103	2343725.890901
 15-19 	4787993.394121	2412858.757475	2375134.636646
 20-24 	4843106.034445	2436422.103595	2406683.930850
 25-29 	4860692.284440	2450919.794626	2409772.489815
 30-34 	4779814.926409	2417276.814115	2362538.112295
 35-39 	4649788.467433	2356204.021245	2293584.446187
 40-44 	4157548.506586	2107575.449428	2049973.057158
 45-49 	3833766.626971	1932868.880156	1900897.746816
 50-54 	3739799.780058	1863821.931080	1875977.848978
 55-59 	3458722.196515	1703166.473259	1755555.723256
 60-64 	2733124.376859	1319081.301042	1414043.075818
 65-69 	1908586.735355	884156.019991	1024430.715364
 70-74 	1330790.728620	556889.732151	773900.996469
 75-79 	936031.694422	326595.588591	609436.105832
 80+ 	1056618.679794	255509.559523	801109.120271
Total	60966199.436991	30057229.137438	30908970.299553
2042			
 0-4	4488525.278764	2275866.924203	2212658.354561
 5-9	4609722.798602	2335096.411123	2274626.387478
 10-14 	4728780.423876	2392324.769031	2336455.654845
 15-19 	4778400.304335	2408709.288342	2369691.015993
 20-24 	4827372.914286	2429405.488973	2397967.425313
 25-29 	4841879.043084	2442496.823518	2399382.219566
 30-34 	4777692.421904	2417648.697813	2360043.724092
 35-39 	4642140.121568	2353617.518613	2288522.602955
 40-44 	4241422.265357	2151336.719762	2090085.545595
 45-49 	3823643.284637	1930421.626975	1893221.657662
 50-54 	3717091.635285	1854176.991147	1862914.644138
 55-59 	3498384.013214	1721872.095146	1776511.918068
 60-64 	2841513.295987	1369839.437608	1471673.858379
 65-69 	1996000.503711	925420.703354	1070579.800357
 70-74 	1364744.102825	577382.135917	787361.966907
 75-79 	945555.843852	336620.908117	608934.935735
 80+ 	1074294.838710	262028.579434	812266.259275
Total	61197163.089997	30184265.119076	31012897.970921
2043			
 0-4	4460719.403092	2261950.314655	2198769.088437
 5-9	4586770.480389	2323870.098438	2262900.381951
 10-14 	4713521.873907	2385112.101124	2328409.772783
 15-19 	4768617.828837	2404431.533656	2364186.295181
 20-24 	4813530.658214	2423311.167857	2390219.490357
 25-29 	4824004.533907	2434585.733418	2389418.800489
 30-34 	4767549.077650	2413734.610453	2353814.467197
 35-39 	4638277.256961	2353273.518315	2285003.738646
 40-44 	4316268.083233	2190504.115594	2125763.967639
 45-49 	3828575.579751	1935244.441587	1893331.138165
 50-54 	3693219.847755	1844591.234174	1848628.613581
 55-59 	3518898.966995	1731400.347830	1787498.619166
 60-64 	2941553.313651	1416785.729759	1524767.583892
 65-69 	2090735.223696	969265.745814	1121469.477882
 70-74 	1405786.238929	600300.901553	805485.337376
 75-79 	959018.877448	347710.424825	611308.452623
 80+ 	1090214.881508	268754.039472	821460.842036
Total	61417262.125922	30304826.058522	31112436.067400
2044			
 0-4	4432902.064917	2247928.237798	2184973.827119
 5-9	4562353.155529	2311844.276491	2250508.879038
 10-14 	4696706.067140	2377093.648743	2319612.418396
 15-19 	4758315.504243	2399861.452169	2358454.052074
 20-24 	4801332.364179	2418021.969299	2383310.394880
 25-29 	4806333.223688	2426766.808947	2379566.414742
 30-34 	4764119.917094	2413352.967652	2350766.949442
 35-39 	4618252.343096	2344567.511423	2273684.831673
 40-44 	4380468.283165	2224417.079452	2156051.203712
 45-49 	3854020.069636	1950053.582719	1903966.486917
 50-54 	3670131.042256	1835822.197865	1834308.844391
 55-59 	3523809.759629	1733719.465690	1790090.293939
 60-64 	3029662.734226	1458265.804532	1571396.929694
 65-69 	2191114.352231	1015133.855160	1175980.497071
 70-74 	1456498.352568	626923.578174	829574.774394
 75-79 	974157.531203	358576.600895	615580.930308
 80+ 	1105396.529307	275971.881949	829424.647357
Total	61625573.294108	30418320.918958	31207252.375150
2045			
 0-4	4404938.640263	2233737.766821	2171200.873443
 5-9	4536666.364409	2299087.879060	2237578.485349
 10-14 	4678409.330166	2368311.917662	2310097.412503
 15-19 	4747038.931327	2394771.678090	2352267.253237
 20-24 	4790434.631692	2413358.207593	2377076.424099
 25-29 	4787358.204641	2418240.249869	2369117.954773
 30-34 	4752240.633559	2408603.702202	2343636.931357
 35-39 	4607674.370410	2340725.916308	2266948.454102
 40-44 	4424151.580683	2247868.963967	2176282.616716
 45-49 	3900135.215066	1975199.879058	1924935.336008
 50-54 	3649685.341863	1828542.336907	1821143.004955
 55-59 	3516548.738087	1730688.052716	1785860.685371
 60-64 	3103133.655052	1492876.514094	1610257.140958
 65-69 	2294341.540085	1062049.906410	1232291.633675
 70-74 	1513531.929138	653958.739912	859573.189226
 75-79 	994402.004968	372458.220409	621943.784559
 80+ 	1120996.259291	284007.656495	836988.602796
Total	61821687.370699	30524487.587572	31297199.783127
2046			
 0-4	4377345.755020	2219678.979144	2157666.775876
 5-9	4509789.830290	2285616.172836	2224173.657454
 10-14 	4658546.857110	2358725.188100	2299821.669011
 15-19 	4734643.688146	2389091.540800	2345552.147346
 20-24 	4780605.018588	2409204.823760	2371400.194828
 25-29 	4770660.195113	2410843.440939	2359816.754175
 30-34 	4735872.825242	2401478.153074	2334394.672168
 35-39 	4602550.608415	2339781.318459	2262769.289955
 40-44 	4444703.588536	2259739.373537	2184964.214999
 45-49 	3963619.464323	2008903.032518	1954716.431805
 50-54 	3633764.986449	1823475.196116	1810289.790333
 55-59 	3501705.292191	1724591.671732	1777113.620459
 60-64 	3160431.615177	1519895.841916	1640535.773260
 65-69 	2397026.412878	1108608.396235	1288418.016643
 70-74 	1579326.872464	685422.701520	893904.170944
 75-79 	1018398.889482	386172.336323	632226.553159
 80+ 	1137205.072169	292465.345993	844739.726176
Total	62006196.971593	30623693.513001	31382503.458593
2047			
 0-4	4350441.327247	2205981.747874	2144459.579372
 5-9	4482110.310945	2271622.788717	2210487.522227
 10-14 	4637218.946354	2348378.730897	2288840.215457
 15-19 	4720929.412575	2382722.547470	2338206.865105
 20-24 	4771058.135001	2405159.936779	2365898.198221
 25-29 	4755324.208161	2404114.603816	2351209.604345
 30-34 	4717882.402804	2393568.786186	2324313.616618
 35-39 	4601190.445682	2340676.823134	2260513.622547
 40-44 	4437719.460467	2257601.314393	2180118.146074
 45-49 	4044682.245055	2051432.177031	1993250.068024
 50-54 	3625781.694793	1822286.038089	1803495.656704
 55-59 	3483105.575244	1717408.658058	1765696.917186
 60-64 	3199854.287588	1538501.744763	1661352.542825
 65-69 	2495560.790212	1153364.777914	1342196.012298
 70-74 	1654266.992748	719036.758361	935230.234387
 75-79 	1045711.626845	401500.702003	644210.924842
 80+ 	1154818.982306	301910.353028	852908.629278
Total	62177656.844026	30715268.488515	31462388.355511
2048			
 0-4	4324380.334550	2192780.614068	2131599.720482
 5-9	4454081.704609	2257358.598947	2196723.105662
 10-14 	4614356.971249	2337222.480576	2277134.490674
 15-19 	4705640.008306	2375538.062171	2330101.946135
 20-24 	4761273.085225	2400962.262857	2360310.822368
 25-29 	4741829.490329	2398280.555320	2343548.935008
 30-34 	4700495.765935	2385982.069273	2314513.696662
 35-39 	4591912.433286	2337312.415638	2254600.017648
 40-44 	4434907.368815	2257927.122872	2176980.245944
 45-49 	4117062.143905	2089528.658620	2027533.485285
 50-54 	3631935.353032	1827879.774840	1804055.578191
 55-59 	3463276.062750	1710208.500009	1753067.562740
 60-64 	3221783.764784	1548926.578306	1672857.186478
 65-69 	2587003.077668	1195048.336196	1391954.741472
 70-74 	1735669.719634	754836.160613	980833.559021
 75-79 	1078686.561075	418605.775427	660080.785648
 80+ 	1174019.540066	312037.590541	861981.949525
Total	62338313.385218	30800435.556274	31537877.828945
2049			
 0-4	4299149.708036	2180074.644679	2119075.063357
 5-9	4426006.823773	2243018.225133	2182988.598640
 10-14 	4590018.210660	2325261.711950	2264756.498710
 15-19 	4688785.814598	2367546.964295	2321238.850303
 20-24 	4750920.030649	2396448.502577	2354471.528072
 25-29 	4729925.595346	2393222.238718	2336703.356629
 30-34 	4683199.359638	2378414.586604	2304784.773034
 35-39 	4589073.997155	2337389.220197	2251684.776958
 40-44 	4416865.833548	2250330.368082	2166535.465466
 45-49 	4179002.816755	2122451.557544	2056551.259211
 50-54 	3657514.459226	1842909.957505	1814604.501721
 55-59 	3444048.152765	1703698.335933	1740349.816832
 60-64 	3229461.365454	1552950.049251	1676511.316203
 65-69 	2668154.124480	1232232.678253	1435921.446228
 70-74 	1822132.561490	792384.827759	1029747.733731
 75-79 	1119234.769518	438332.695901	680902.073617
 80+ 	1193669.604746	322141.430470	871528.174276
Total	62487163.227838	30878807.994852	31608355.232987
2050			
 0-4	4277075.674152	2168974.893798	2108100.780354
 5-9	4397790.018492	2228598.589293	2169191.429199
 10-14 	4564370.210024	2312542.705707	2251827.504318
 15-19 	4670391.257411	2358758.647212	2311632.610200
 20-24 	4739477.101496	2391344.441342	2348132.660154
 25-29 	4719152.892824	2388684.108638	2330468.784187
 30-34 	4664792.225578	2370214.415998	2294577.809580
 35-39 	4578063.326514	2333173.095849	2244890.230665
 40-44 	4407411.297482	2247171.755022	2160239.542460
 45-49 	4221115.614524	2145226.791055	2075888.823468
 50-54 	3702412.530670	1867513.799039	1834898.731632
 55-59 	3426742.979723	1698210.309516	1728532.670206
