India		Total	Male	Female
1970			
 0-4	89765216.000000	46384444.000000	43380776.000000
 5-9	80127440.000000	41639612.000000	38487832.000000
 10-14 	70600720.000000	36840952.000000	33759772.000000
 15-19 	62923996.000000	33034056.000000	29889942.000000
 20-24 	51997120.000000	27173620.000000	24823502.000000
 25-29 	40914420.000000	20975228.000000	19939192.000000
 30-34 	37600304.000000	19260480.000000	18339826.000000
 35-39 	34176264.000000	17492324.000000	16683940.000000
 40-44 	29654230.000000	15447650.000000	14206582.000000
 45-49 	25205050.000000	13375038.000000	11830012.000000
 50-54 	20960584.000000	11120591.000000	9839993.000000
 55-59 	16994640.000000	8923058.000000	8071582.000000
 60-64 	13134322.000000	6790462.000000	6343859.500000
 65-69 	9293108.000000	4777366.500000	4515741.000000
 70-74 	5768772.500000	2930120.500000	2838652.000000
 75-79 	3253522.000000	1592307.000000	1661214.750000
 80+ 	2081939.125000	959962.375000	1121976.750000
Total	594451648.000000	308717280.000000	285734400.000000
1974			
 0-4	90824376.000000	46920112.000000	43904268.000000
 5-9	81812728.000000	42511656.000000	39301072.000000
 10-14 	72154824.000000	37634452.000000	34520372.000000
 15-19 	64223840.000000	33667816.000000	30556028.000000
 20-24 	54805136.000000	28778768.000000	26026366.000000
 25-29 	42010624.000000	21575258.000000	20435368.000000
 30-34 	38040628.000000	19530468.000000	18510162.000000
 35-39 	34840632.000000	17816932.000000	17023698.000000
 40-44 	30339390.000000	15728136.000000	14611255.000000
 45-49 	25848004.000000	13682897.000000	12165107.000000
 50-54 	21456610.000000	11378904.000000	10077706.000000
 55-59 	17431260.000000	9159889.000000	8271370.500000
 60-64 	13406470.000000	6933047.000000	6473423.000000
 65-69 	9659606.000000	4948389.000000	4711216.500000
 70-74 	5890212.500000	3002184.250000	2888028.500000
 75-79 	3438333.250000	1679715.500000	1758617.750000
 80+ 	2151822.500000	997243.625000	1154578.875000
Total	608334528.000000	315945856.000000	292388640.000000
1975			
 0-4	92762816.000000	47897608.000000	44865212.000000
 5-9	82689784.000000	42976128.000000	39713656.000000
 10-14 	73765992.000000	38452572.000000	35313416.000000
