India Total	Male	Female
1970			
 5-9	77834854.934497	40467168.406569	37367686.527929
 10-14 	69004522.854417	36029919.363415	32974603.491002
 15-19 	61251582.738067	32167373.039661	29084209.698406
 20-24 	49389069.144816	25685494.135439	23703575.009377
 25-29 	39942985.226017	20437212.842203	19505772.383814
 30-34 	37089415.365912	18956913.388215	18132501.977697
 35-39 	33468148.796917	17149380.346362	16318768.450555
 40-44 	28966264.237156	15152439.395318	13813824.841838
 45-49 	24594773.537871	13072828.414207	11521945.123664
 50-54 	20489431.737319	10869463.424061	9619968.313258
 55-59 	16596028.715277	8705557.803885	7890470.911392
 60-64 	12872371.920797	6655409.119381	6216962.801416
 65-69 	8968392.814527	4621327.642895	4347065.171632
 70-74 	5659778.429300	2864968.981343	2794809.447957
 75-79 	3076080.249523	1506980.275839	1569099.973683
 80+ 	2019091.540451	925558.403509	1093533.136942
Total	580428659.352828	301348365.039862	279080294.312966
1973			
 0-4	90196530.346600	46584466.164900	43612064.181700
 5-9	79472179.463361	41313058.608054	38159120.855307
 10-14 	70507889.140382	36792977.885204	33714911.255178
 15-19 	62772041.412351	32942156.329668	29829885.082684
 20-24 	52027974.299363	27195021.627154	24832952.672209
 25-29 	40863030.407829	20944386.248288	19918644.159541
 30-34 	37515608.736486	19213767.133870	18301841.602616
 35-39 	34141491.826847	17469342.004220	16672149.822627
 40-44 	29643413.390991	15434820.495289	14208592.895702
 45-49 	25210131.352259	13375021.534256	11835109.818003
 50-54 	20966380.736669	11123275.079927	9843105.656742
 55-59 	17007628.303674	8930684.615529	8076943.688145
 60-64 	13150269.269192	6799106.773168	6351162.496023
 65-69 	9313993.470584	4785971.942352	4528021.528231
 70-74 	5780796.188896	2937060.979304	2843735.209592
 75-79 	3256280.895456	1593196.871344	1663084.024111
 80+ 	2080298.810292	958965.309583	1121333.500708
Total	593905938.051232	308393279.602112	285512658.449120
1974			
 0-4	91876058.048172	47437477.475909	44438580.572264
 5-9	80482631.886868	41841594.687518	38641037.199350
 10-14 	72118115.734757	37610773.763086	34507341.971671
 15-19 	64193321.750839	33654825.634808	30538496.116031
 20-24 	54571431.888285	28636058.120628	25935373.767658
 25-29 	42185893.630735	21685804.831021	20500088.799714
 30-34 	37924245.853207	19454386.787590	18469859.065617
 35-39 	34768566.310712	17779952.144678	16988614.166034
 40-44 	30345838.925885	15729431.470986	14616407.454899
 45-49 	25848371.271305	13674842.738415	12173528.532890
 50-54 	21473526.466897	11389093.759648	10084432.707250
 55-59 	17433291.355907	9161289.280926	8272002.074981
 60-64 	13446736.267163	6954221.326680	6492514.940484
 65-69 	9646349.966166	4942761.521937	4703588.444229
 70-74 	5939571.737035	3023342.994950	2916228.742085
 75-79 	3412102.615578	1669523.782083	1742578.833495
 80+ 	2163512.211146	1001454.625938	1162057.585208
Total	607829565.920658	315646834.946799	292182730.973858
1975			
 0-4	93064295.631101	48053383.522610	45010912.108490
 5-9	81972029.806104	42599470.679453	39372559.126651
 10-14 	73926150.746205	38531300.141202	35394850.605003
 15-19 	65541108.736924	34322225.504666	31218883.232258
 20-24 	56932587.475054	29954610.991559	26977976.483495
 25-29 	43942579.270158	22681702.569757	21260876.700402
 30-34 	38329076.124409	19683933.793559	18645142.330850
 35-39 	35347582.660025	18080581.585772	17267001.074253
 40-44 	31070971.404308	16037259.367401	15033712.036908
 45-49 	26504798.490032	13969533.738545	12535264.751487
 50-54 	22011740.480494	11667041.971414	10344698.509079
 55-59 	17871242.051631	9395625.874647	8475616.176984
 60-64 	13765401.991121	7122244.758207	6643157.232914
 65-69 	9959851.942712	5089720.312085	4870131.630627
 70-74 	6140474.189427	3125454.399277	3015019.790150
 75-79 	3541018.984753	1735061.394595	1805957.590158
 80+ 	2267960.755846	1052394.289144	1215566.466702
Total	622188870.740303	323101544.893893	299087325.846410
1976			
 0-4	95083092.101617	49075352.213823	46007739.887794
 5-9	82819517.382652	43042321.563720	39777195.818932
 10-14 	75630108.243172	39400944.397183	36229163.845989
 15-19 	66939501.041126	35024969.512724	31914531.528402
 20-24 	58856549.247925	30993805.416647	27862743.831277
 25-29 	46227367.369834	23994451.473077	22232915.896757
 30-34 	38750900.098646	19904729.320800	18846170.777846
 35-39 	35858083.021181	18361275.739340	17496807.281841
 40-44 	31814451.230286	16361513.355324	15452937.874961
 45-49 	27167534.331887	14250447.581937	12917086.749950
 50-54 	22584701.034919	11958694.358400	10626006.676519
 55-59 	18311230.643110	9627125.489519	8684105.153591
 60-64 	14123223.714646	7311033.693105	6812190.021541
 65-69 	10229418.846539	5217551.699815	5011867.146723
 70-74 	6402024.437592	3250022.347239	3152002.090354
 75-79 	3628343.565062	1784338.476160	1844005.088902
 80+ 	2396704.072818	1112853.813685	1283850.259133
Total	636822750.383012	330671430.452499	306151319.930512
1977			
 0-4	97006742.523511	50061286.153574	46945456.369937
 5-9	83782457.570930	43531618.248959	40250839.321971
 10-14 	77421876.254649	40314147.966601	37107728.288048
 15-19 	68385395.677879	35756282.706748	32629112.971131
 20-24 	60513415.520472	31862019.382243	28651396.138229
 25-29 	48750448.615036	25445789.198576	23304659.416460
 30-34 	39353706.640824	20222531.675203	19131174.965622
 35-39 	36336985.966938	18633308.085395	17703677.881543
 40-44 	32538560.746381	16685561.035130	15852999.711251
 45-49 	27839174.838752	14527294.154356	13311880.684395
 50-54 	23185137.865061	12256576.219466	10928561.645595
 55-59 	18763786.610809	9862010.175664	8901776.435145
 60-64 	14504074.669765	7512014.422793	6992060.246972
 65-69 	10483079.836963	5340011.611356	5143068.225607
 70-74 	6683700.814243	3380855.020842	3302845.793401
 75-79 	3708972.633513	1831288.370976	1877684.262537
 80+ 	2531689.962874	1175915.099162	1355774.863712
Total	651789206.748600	338398509.527043	313390697.221558
1978			
 0-4	98948402.522321	51058208.987877	47890193.534443
 5-9	84928973.115859	44109832.779855	40819140.336004
 10-14 	79064119.966687	41157292.992682	37906826.974005
 15-19 	69878406.177328	36512601.476827	33365804.700501
 20-24 	62002674.194392	32623369.140607	29379305.053785
 25-29 	51330270.602148	26923154.127601	24407116.474547
 30-34 	40257229.446904	20713100.415673	19544129.031231
 35-39 	36775650.072171	18883748.297081	17891901.775090
 40-44 	33224074.344038	17002781.077847	16221293.266191
 45-49 	28526227.882676	14808021.598601	13718206.284075
 50-54 	23805254.789477	12553938.118426	11251316.671051
 55-59 	19234770.089429	10104317.841084	9130452.248345
 60-64 	14896316.260018	7718782.363689	7177533.896329
 65-69 	10737246.122115	5465330.802222	5271915.319893
 70-74 	6962965.996997	3509111.732721	3453854.264275
 75-79 	3801851.798041	1883207.698394	1918644.099647
 80+ 	2661574.818311	1237418.370303	1424156.448008
Total	667036008.198911	346264217.821490	320771790.377420
1979			
 0-4	100854028.927612	52041399.556917	48812629.370694
 5-9	86738513.130402	45025032.308869	41713480.821533
 10-14 	80058086.591586	41672824.403683	38385262.187903
 15-19 	71471599.758664	37320481.939853	34151117.818810
 20-24 	63391068.349066	33321409.314361	30069659.034705
 25-29 	53812444.177690	28331050.433155	25481393.744535
 30-34 	41549199.479467	21431365.048921	20117834.430546
 35-39 	37187883.811861	19114712.383881	18073171.427980
 40-44 	33856769.066747	17307897.450556	16548871.616191
 45-49 	29230324.309869	15097691.959863	14132632.350006
 50-54 	24440149.815789	12846330.743865	11593819.071924
 55-59 	19728118.229361	10355933.197101	9372185.032260
 60-64 	15295303.575104	7928350.814918	7366952.760186
 65-69 	11002002.977686	5598550.667374	5403452.310312
 70-74 	7226619.147535	3629612.372095	3597006.775440
 75-79 	3917954.281498	1943980.940260	1973973.341238
 80+ 	2781590.324251	1295734.054933	1485856.269318
Total	682541655.954188	354262357.590607	328279298.363581
1980			
 0-4	102697032.981290	52998690.644310	49698342.336981
 5-9	87998726.537180	45673963.693905	42324762.843275
 10-14 	81532156.225194	42420037.167380	39112119.057814
 15-19 	73257182.388465	38228648.993004	35028533.395461
 20-24 	64706863.707353	33974424.585942	30732439.121411
 25-29 	56116359.804390	29618864.488484	26497495.315907
 30-34 	43265160.426677	22399982.564855	20865177.861822
 35-39 	37590490.521146	19333570.917367	18256919.603779
 40-44 	34436751.262753	17601654.828244	16835096.434509
 45-49 	29950476.316944	15398308.171679	14552168.145266
 50-54 	25086057.900704	13131602.887780	11954455.012924
 55-59 	20245208.154697	10617401.608165	9627806.546532
 60-64 	15699855.637019	8139487.098058	7560368.538960
 65-69 	11280353.193400	5740916.189223	5539437.004177
 70-74 	7471086.357262	3741337.194087	3729749.163175
 75-79 	4059369.985002	2014300.528904	2045069.456097
 80+ 	2892445.722958	1351163.857781	1541281.865177
Total	698285577.122433	362384355.419168	335901221.703266
1981			
 0-4	104472741.715543	53928072.786877	50544668.928666
 5-9	90083925.366889	46727120.645519	43356804.721370
 10-14 	82382069.414005	42862434.647883	39519634.766123
 15-19 	74945494.038604	39089800.468415	35855693.570188
 20-24 	66082055.030864	34667426.798119	31414628.232746
 25-29 	58003968.701307	30638949.053668	27365019.647639
 30-34 	45510299.161129	23687563.604911	21822735.556218
 35-39 	38013629.926449	19548785.652061	18464844.274388
 40-44 	34950768.856257	17878797.149146	17071971.707111
 45-49 	30687120.653673	15715967.933466	14971152.720208
 50-54 	25735277.526670	13403812.853954	12331464.672717
 55-59 	20792048.101116	10891716.176624	9900331.924492
 60-64 	16103396.835212	8347791.846358	7755604.988854
 65-69 	11587278.637887	5899211.933142	5688066.704745
 70-74 	7679724.135423	3838414.902169	3841309.233254
 75-79 	4238020.660694	2098193.035307	2139827.625387
 80+ 	2990725.129749	1402470.573501	1588254.556249
Total	714258543.891473	370626530.061119	343632013.830354
1982			
 0-4	106199849.780481	54836832.738038	51363017.042443
