Incidence per 1000 by age and sex			
	Bangladesh		
 	Total	Male	Female
 25-29 	0.000106	0.000188	0.000017
 30-34 	0.000111	0.000201	0.000013
 35-39 	0.000104	0.000183	0.000012
 40-44 	0.000084	0.000147	0.000010
 45-49 	0.000052	0.000094	0.000006
 50-54 	0.000022	0.000040	0.000003
 55-59 	0.000010	0.000019	0.000000
 60-64 	0.000001	0.000002	0.000000
 65-69 	0.000000	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000048	0.000085	0.000009
1994			
 0-4	0.000008	0.000008	0.000008
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000188	0.000310	0.000062
 20-24 	0.000207	0.000357	0.000052
 25-29 	0.000211	0.000367	0.000044
 30-34 	0.000220	0.000392	0.000033
 35-39 	0.000205	0.000356	0.000032
 40-44 	0.000167	0.000286	0.000026
 45-49 	0.000104	0.000182	0.000017
 50-54 	0.000044	0.000078	0.000007
 55-59 	0.000020	0.000037	0.000001
 60-64 	0.000002	0.000004	0.000000
 65-69 	0.000001	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000001	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000098	0.000168	0.000022
1995			
 0-4	0.000027	0.000027	0.000027
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000668	0.001058	0.000263
 20-24 	0.000726	0.001215	0.000221
 25-29 	0.000734	0.001249	0.000188
 30-34 	0.000763	0.001335	0.000143
 35-39 	0.000708	0.001214	0.000135
 40-44 	0.000581	0.000974	0.000109
 45-49 	0.000364	0.000622	0.000072
 50-54 	0.000151	0.000264	0.000029
 55-59 	0.000069	0.000126	0.000004
 60-64 	0.000007	0.000013	0.000000
 65-69 	0.000002	0.000003	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000002	0.000004	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000344	0.000577	0.000095
1996			
 0-4	0.000212	0.000212	0.000212
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.005706	0.008698	0.002600
 20-24 	0.006137	0.009983	0.002185
 25-29 	0.006169	0.010261	0.001853
 30-34 	0.006378	0.010968	0.001409
 35-39 	0.005891	0.009968	0.001330
 40-44 	0.004861	0.008005	0.001081
 45-49 	0.003068	0.005123	0.000709
 50-54 	0.001262	0.002167	0.000282
 55-59 	0.000569	0.001038	0.000043
 60-64 	0.000059	0.000110	0.000001
 65-69 	0.000015	0.000029	0.000001
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000016	0.000029	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.002924	0.004781	0.000939
1997			
 0-4	0.000371	0.000372	0.000371
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.004116	0.006044	0.002111
 20-24 	0.004388	0.006934	0.001774
 25-29 	0.004380	0.007127	0.001504
 30-34 	0.004505	0.007618	0.001144
 35-39 	0.004148	0.006921	0.001079
 40-44 	0.003428	0.005564	0.000879
 45-49 	0.002184	0.003563	0.000576
 50-54 	0.000892	0.001503	0.000228
 55-59 	0.000395	0.000721	0.000035
 60-64 	0.000041	0.000076	0.000001
 65-69 	0.000011	0.000020	0.000001
 70-74 	0.000001	0.000001	0.000000
 75-79 	0.000011	0.000020	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.002129	0.003380	0.000794
1998			
 0-4	0.000549	0.000550	0.000549
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.004966	0.007034	0.002811
 20-24 	0.005252	0.008066	0.002361
 25-29 	0.005205	0.008288	0.002005
 30-34 	0.005326	0.008861	0.001523
 35-39 	0.004897	0.008048	0.001436
 40-44 	0.004040	0.006479	0.001172
 45-49 	0.002599	0.004145	0.000768
 50-54 	0.001059	0.001749	0.000303
 55-59 	0.000460	0.000838	0.000046
 60-64 	0.000048	0.000089	0.000001
 65-69 	0.000013	0.000023	0.000001
 70-74 	0.000001	0.000001	0.000000
 75-79 	0.000013	0.000024	0.000002
 80+ 	0.000000	0.000000	0.000000
Total	0.002572	0.003980	0.001071
1999			
 0-4	0.000771	0.000772	0.000770
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.005940	0.008126	0.003658
 20-24 	0.006236	0.009313	0.003071
 25-29 	0.006138	0.009566	0.002610
 30-34 	0.006246	0.010232	0.001980
 35-39 	0.005743	0.009290	0.001868
 40-44 	0.004722	0.007485	0.001526
 45-49 	0.003063	0.004785	0.000999
 50-54 	0.001251	0.002023	0.000394
 55-59 	0.000531	0.000967	0.000060
 60-64 	0.000055	0.000102	0.000001
 65-69 	0.000015	0.000027	0.000001
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000015	0.000027	0.000002
 80+ 	0.000000	0.000000	0.000000
Total	0.003080	0.004649	0.001409
2000			
 0-4	0.001049	0.001050	0.001048
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.007146	0.009455	0.004735
 20-24 	0.007449	0.010829	0.003971
 25-29 	0.007293	0.011126	0.003375
 30-34 	0.007366	0.011900	0.002558
 35-39 	0.006782	0.010799	0.002416
 40-44 	0.005555	0.008704	0.001973
 45-49 	0.003630	0.005563	0.001294
 50-54 	0.001491	0.002360	0.000512
 55-59 	0.000619	0.001123	0.000077
 60-64 	0.000063	0.000118	0.000001
 65-69 	0.000017	0.000031	0.000001
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000018	0.000032	0.000003
 80+ 	0.000000	0.000000	0.000000
Total	0.003707	0.005464	0.001839
2001			
 0-4	0.001380	0.001382	0.001378
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.008380	0.010733	0.005920
 20-24 	0.008675	0.012287	0.004963
 25-29 	0.008452	0.012623	0.004219
 30-34 	0.008474	0.013498	0.003199
 35-39 	0.007817	0.012252	0.003020
 40-44 	0.006379	0.009872	0.002465
 45-49 	0.004191	0.006316	0.001622
 50-54 	0.001733	0.002684	0.000642
 55-59 	0.000705	0.001273	0.000095
 60-64 	0.000071	0.000134	0.000002
 65-69 	0.000019	0.000035	0.000002
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000020	0.000036	0.000003
 80+ 	0.000000	0.000000	0.000000
Total	0.004349	0.006262	0.002319
2002			
 0-4	0.001700	0.001702	0.001698
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.008800	0.010922	0.006583
 20-24 	0.009054	0.012501	0.005517
 25-29 	0.008784	0.012842	0.004691
 30-34 	0.008739	0.013731	0.003559
 35-39 	0.008077	0.012464	0.003358
 40-44 	0.006574	0.010037	0.002738
 45-49 	0.004334	0.006437	0.001810
 50-54 	0.001802	0.002735	0.000715
 55-59 	0.000722	0.001294	0.000104
 60-64 	0.000072	0.000136	0.000002
 65-69 	0.000020	0.000036	0.000002
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000021	0.000036	0.000004
 80+ 	0.000000	0.000000	0.000000
Total	0.004582	0.006443	0.002610
2003			
 0-4	0.002054	0.002057	0.002052
 5-9	0.000000	0.000000	0.000000
