Incidence per 1000 by age and sex			
	Bangladesh		
 	Total	Male	Female
 25-29 	0.011038	0.014852	0.007289
 30-34 	0.010669	0.015881	0.005539
 35-39 	0.009867	0.014386	0.005217
 40-44 	0.008043	0.011584	0.004247
 45-49 	0.005272	0.007464	0.002824
 50-54 	0.002235	0.003161	0.001123
 55-59 	0.000877	0.001508	0.000165
 60-64 	0.000081	0.000155	0.000003
 65-69 	0.000023	0.000042	0.000003
 70-74 	0.000001	0.000003	0.000000
 75-79 	0.000025	0.000042	0.000006
 80+ 	0.000000	0.000000	0.000000
Total	0.005982	0.007715	0.004174
2007			
 0-4	0.003605	0.003608	0.003601
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.011935	0.012786	0.011053
 20-24 	0.011937	0.014624	0.009241
 25-29 	0.011396	0.015025	0.007859
 30-34 	0.010951	0.016066	0.005973
 35-39 	0.010117	0.014555	0.005626
 40-44 	0.008257	0.011716	0.004580
 45-49 	0.005398	0.007542	0.003039
 50-54 	0.002299	0.003207	0.001221
 55-59 	0.000899	0.001528	0.000179
 60-64 	0.000082	0.000156	0.000003
 65-69 	0.000023	0.000042	0.000003
 70-74 	0.000001	0.000003	0.000000
 75-79 	0.000025	0.000043	0.000006
 80+ 	0.000000	0.000000	0.000000
Total	0.006226	0.007863	0.004524
2008			
 0-4	0.003918	0.003922	0.003915
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.012513	0.013032	0.011976
 20-24 	0.012456	0.014903	0.010012
 25-29 	0.011857	0.015313	0.008513
 30-34 	0.011332	0.016373	0.006471
 35-39 	0.010458	0.014844	0.006098
 40-44 	0.008540	0.011936	0.004961
 45-49 	0.005573	0.007676	0.003286
 50-54 	0.002380	0.003278	0.001333
 55-59 	0.000927	0.001558	0.000194
 60-64 	0.000084	0.000159	0.000003
 65-69 	0.000024	0.000043	0.000003
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000026	0.000043	0.000007
 80+ 	0.000000	0.000000	0.000000
Total	0.006510	0.008059	0.004908
2009			
 0-4	0.004370	0.004373	0.004366
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.013202	0.013370	0.013029
 20-24 	0.013085	0.015288	0.010890
 25-29 	0.012421	0.015709	0.009258
 30-34 	0.011811	0.016796	0.007037
 35-39 	0.010891	0.015240	0.006637
 40-44 	0.008886	0.012235	0.005393
 45-49 	0.005797	0.007864	0.003569
 50-54 	0.002475	0.003369	0.001454
 55-59 	0.000959	0.001596	0.000211
 60-64 	0.000087	0.000166	0.000003
 65-69 	0.000024	0.000044	0.000003
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000027	0.000044	0.000007
 80+ 	0.000000	0.000000	0.000000
Total	0.006860	0.008323	0.005352
2010			
 0-4	0.004762	0.004764	0.004759
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.013884	0.013674	0.014102
 20-24 	0.013706	0.015631	0.011783
 25-29 	0.012977	0.016062	0.010017
 30-34 	0.012280	0.017173	0.007614
 35-39 	0.011309	0.015577	0.007180
 40-44 	0.009199	0.012478	0.005825
 45-49 	0.006017	0.008034	0.003858
 50-54 	0.002562	0.003445	0.001572
 55-59 	0.000989	0.001631	0.000230
 60-64 	0.000091	0.000172	0.000004
 65-69 	0.000025	0.000045	0.000004
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000027	0.000045	0.000008
 80+ 	0.000000	0.000000	0.000000
Total	0.007199	0.008564	0.005796
2011			
 0-4	0.005340	0.005342	0.005338
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.014734	0.014480	0.014997
 20-24 	0.014539	0.016546	0.012527
 25-29 	0.013759	0.017003	0.010649
 30-34 	0.013007	0.018179	0.008094
 35-39 	0.011970	0.016493	0.007635
 40-44 	0.009724	0.013203	0.006193
 45-49 	0.006367	0.008498	0.004099
 50-54 	0.002702	0.003644	0.001666
 55-59 	0.001049	0.001727	0.000249
 60-64 	0.000098	0.000184	0.000004
 65-69 	0.000026	0.000048	0.000004
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000029	0.000048	0.000008
 80+ 	0.000000	0.000000	0.000000
Total	0.007673	0.009121	0.006188
2012			
 0-4	0.005649	0.005649	0.005648
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.015590	0.015292	0.015900
 20-24 	0.015377	0.017465	0.013276
 25-29 	0.014549	0.017948	0.011285
 30-34 	0.013739	0.019188	0.008577
 35-39 	0.012637	0.017412	0.008092
 40-44 	0.010254	0.013942	0.006567
 45-49 	0.006718	0.008965	0.004344
 50-54 	0.002842	0.003840	0.001759
 55-59 	0.001108	0.001827	0.000268
 60-64 	0.000105	0.000195	0.000004
 65-69 	0.000028	0.000050	0.000004
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000031	0.000050	0.000009
 80+ 	0.000000	0.000000	0.000000
Total	0.008121	0.009655	0.006552
2013			
 0-4	0.006204	0.006204	0.006205
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.016683	0.016335	0.017046
 20-24 	0.016449	0.018647	0.014228
 25-29 	0.015562	0.019161	0.012095
 30-34 	0.014679	0.020486	0.009191
 35-39 	0.013497	0.018591	0.008673
 40-44 	0.010945	0.014906	0.007047
 45-49 	0.007168	0.009566	0.004654
 50-54 	0.003025	0.004092	0.001878
 55-59 	0.001181	0.001956	0.000292
 60-64 	0.000113	0.000208	0.000004
 65-69 	0.000030	0.000054	0.000005
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000033	0.000054	0.000009
 80+ 	0.000000	0.000000	0.000000
Total	0.008706	0.010349	0.007027
2014			
 0-4	0.006163	0.006162	0.006164
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.017220	0.016737	0.017724
 20-24 	0.016958	0.019097	0.014789
 25-29 	0.016039	0.019623	0.012572
 30-34 	0.015101	0.020980	0.009552
 35-39 	0.013882	0.019038	0.009014
 40-44 	0.011253	0.015294	0.007334
 45-49 	0.007352	0.009780	0.004832
 50-54 	0.003101	0.004184	0.001946
 55-59 	0.001206	0.002007	0.000306
 60-64 	0.000115	0.000212	0.000005
 65-69 	0.000030	0.000055	0.000005
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000033	0.000055	0.000010
 80+ 	0.000000	0.000000	0.000000
Total	0.008948	0.010600	0.007262
2015			
 0-4	0.006465	0.006463	0.006467
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.017177	0.016573	0.017807
 20-24 	0.016896	0.018903	0.014854
 25-29 	0.015978	0.019424	0.012627
 30-34 	0.015016	0.020768	0.009592
 35-39 	0.013800	0.018842	0.009054
 40-44 	0.011166	0.015128	0.007361
 45-49 	0.007261	0.009630	0.004834
 50-54 	0.003075	0.004136	0.001950
 55-59 	0.001188	0.001988	0.000306
 60-64 	0.000114	0.000209	0.000005
 65-69 	0.000030	0.000054	0.000005
 70-74 	0.000002	0.000003	0.000000
 75-79 	0.000033	0.000055	0.000010
 80+ 	0.000000	0.000000	0.000000
Total	0.008936	0.010542	0.007300
2016			
 0-4	0.006823	0.006821	0.006825
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.018070	0.017305	0.018867
 20-24 	0.017753	0.019732	0.015733
 25-29 	0.016786	0.020276	0.013375
 30-34 	0.015752	0.021678	0.010160
 35-39 	0.014468	0.019664	0.009589
 40-44 	0.011699	0.015799	0.007798
 45-49 	0.007594	0.010045	0.005119
 50-54 	0.003218	0.004313	0.002064
 55-59 	0.001233	0.002073	0.000321
 60-64 	0.000120	0.000219	0.000005
 65-69 	0.000032	0.000056	0.000005
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000034	0.000057	0.000010
 80+ 	0.000000	0.000000	0.000000
Total	0.009377	0.011021	0.007705
2017			
 0-4	0.007189	0.007187	0.007191
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.018855	0.017922	0.019827
 20-24 	0.018498	0.020427	0.016525
 25-29 	0.017490	0.020991	0.014049
 30-34 	0.016393	0.022441	0.010672
 35-39 	0.015045	0.020353	0.010073
 40-44 	0.012161	0.016361	0.008192
 45-49 	0.007888	0.010408	0.005382
 50-54 	0.003340	0.004461	0.002167
 55-59 	0.001269	0.002143	0.000334
 60-64 	0.000125	0.000230	0.000005
 65-69 	0.000033	0.000058	0.000005
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000035	0.000059	0.000011
 80+ 	0.000000	0.000000	0.000000
Total	0.009757	0.011425	0.008063
2018			
 0-4	0.007609	0.007607	0.007610
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.019769	0.018652	0.020935
 20-24 	0.019363	0.021245	0.017437
 25-29 	0.018307	0.021832	0.014826
 30-34 	0.017144	0.023339	0.011263
 35-39 	0.015719	0.021165	0.010629
 40-44 	0.012703	0.017018	0.008645
 45-49 	0.008247	0.010856	0.005694
 50-54 	0.003482	0.004635	0.002285
 55-59 	0.001314	0.002225	0.000350
 60-64 	0.000130	0.000241	0.000005
 65-69 	0.000035	0.000061	0.000005
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000037	0.000061	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010193	0.011892	0.008471
2019			
 0-4	0.008036	0.008035	0.008037
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.020577	0.019268	0.021943
 20-24 	0.020116	0.021927	0.018261
 25-29 	0.019017	0.022533	0.015529
 30-34 	0.017796	0.024089	0.011797
 35-39 	0.016303	0.021842	0.011132
 40-44 	0.013170	0.017562	0.009053
 45-49 	0.008563	0.011243	0.005979
 50-54 	0.003594	0.004769	0.002387
 55-59 	0.001352	0.002292	0.000363
 60-64 	0.000134	0.000251	0.000006
 65-69 	0.000036	0.000063	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000063	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010563	0.012278	0.008828
2020			
 0-4	0.008428	0.008427	0.008429
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021152	0.019654	0.022714
 20-24 	0.020640	0.022349	0.018889
 25-29 	0.019508	0.022968	0.016065
 30-34 	0.018247	0.024553	0.012203
 35-39 	0.016702	0.022260	0.011516
 40-44 	0.013485	0.017893	0.009362
 45-49 	0.008749	0.011444	0.006176
 50-54 	0.003639	0.004816	0.002447
 55-59 	0.001375	0.002333	0.000374
 60-64 	0.000136	0.000255	0.000006
 65-69 	0.000037	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000064	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010807	0.012515	0.009081
2021			
 0-4	0.009028	0.009027	0.009028
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021257	0.019709	0.022871
 20-24 	0.020729	0.022402	0.019013
 25-29 	0.019594	0.023023	0.016171
 30-34 	0.018334	0.024611	0.012284
 35-39 	0.016768	0.022311	0.011592
 40-44 	0.013527	0.017929	0.009421
 45-49 	0.008777	0.011482	0.006218
 50-54 	0.003647	0.004830	0.002464
 55-59 	0.001374	0.002336	0.000376
 60-64 	0.000134	0.000255	0.000006
 65-69 	0.000037	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000064	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010849	0.012565	0.009118
2022			
 0-4	0.009550	0.009550	0.009551
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021332	0.019733	0.022999
 20-24 	0.020801	0.022439	0.019123
 25-29 	0.019664	0.023062	0.016266
 30-34 	0.018407	0.024652	0.012356
 35-39 	0.016827	0.022348	0.011660
 40-44 	0.013560	0.017951	0.009474
 45-49 	0.008799	0.011508	0.006255
 50-54 	0.003658	0.004850	0.002486
 55-59 	0.001373	0.002338	0.000377
 60-64 	0.000133	0.000253	0.000006
 65-69 	0.000036	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000064	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010870	0.012592	0.009135
2023			
 0-4	0.010036	0.010036	0.010036
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021395	0.019748	0.023113
 20-24 	0.020874	0.022479	0.019228
 25-29 	0.019733	0.023104	0.016357
 30-34 	0.018481	0.024696	0.012427
 35-39 	0.016891	0.022389	0.011727
 40-44 	0.013595	0.017979	0.009526
 45-49 	0.008822	0.011531	0.006290
 50-54 	0.003677	0.004879	0.002512
 55-59 	0.001371	0.002340	0.000379
 60-64 	0.000131	0.000251	0.000006
 65-69 	0.000036	0.000063	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000064	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010881	0.012610	0.009142
2024			
 0-4	0.010487	0.010488	0.010487
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021455	0.019763	0.023220
 20-24 	0.020943	0.022522	0.019324
 25-29 	0.019801	0.023149	0.016444
 30-34 	0.018552	0.024743	0.012494
 35-39 	0.016957	0.022433	0.011791
 40-44 	0.013632	0.018009	0.009574
 45-49 	0.008843	0.011550	0.006321
 50-54 	0.003694	0.004908	0.002536
 55-59 	0.001365	0.002339	0.000378
 60-64 	0.000130	0.000250	0.000006
 65-69 	0.000036	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000038	0.000064	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010886	0.012622	0.009142
2025			
 0-4	0.010906	0.010908	0.010904
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021515	0.019785	0.023322
 20-24 	0.021009	0.022566	0.019413
 25-29 	0.019864	0.023196	0.016524
 30-34 	0.018618	0.024792	0.012556
 35-39 	0.017023	0.022478	0.011849
 40-44 	0.013670	0.018041	0.009619
 45-49 	0.008861	0.011564	0.006348
 50-54 	0.003693	0.004911	0.002542
 55-59 	0.001348	0.002326	0.000371
 60-64 	0.000129	0.000249	0.000006
 65-69 	0.000036	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000039	0.000065	0.000012
 80+ 	0.000000	0.000000	0.000000
Total	0.010884	0.012628	0.009134
2026			
 0-4	0.011294	0.011297	0.011291
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021578	0.019816	0.023420
 20-24 	0.021073	0.022611	0.019496
 25-29 	0.019924	0.023242	0.016596
 30-34 	0.018679	0.024840	0.012611
 35-39 	0.017086	0.022520	0.011901
 40-44 	0.013708	0.018074	0.009658
 45-49 	0.008876	0.011577	0.006371
 50-54 	0.003701	0.004927	0.002554
 55-59 	0.001343	0.002326	0.000374
 60-64 	0.000128	0.000248	0.000006
 65-69 	0.000036	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010876	0.012629	0.009120
2027			
 0-4	0.011656	0.011660	0.011651
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021644	0.019855	0.023515
 20-24 	0.021135	0.022655	0.019577
 25-29 	0.019979	0.023287	0.016661
 30-34 	0.018733	0.024888	0.012660
 35-39 	0.017145	0.022561	0.011949
 40-44 	0.013749	0.018108	0.009696
 45-49 	0.008890	0.011591	0.006392
 50-54 	0.003709	0.004941	0.002564
 55-59 	0.001341	0.002333	0.000379
 60-64 	0.000128	0.000248	0.000006
 65-69 	0.000036	0.000064	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010862	0.012624	0.009100
2028			
 0-4	0.011995	0.012001	0.011990
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021710	0.019898	0.023605
 20-24 	0.021195	0.022696	0.019656
 25-29 	0.020029	0.023331	0.016718
 30-34 	0.018783	0.024933	0.012705
 35-39 	0.017200	0.022601	0.011991
 40-44 	0.013791	0.018143	0.009730
 45-49 	0.008904	0.011606	0.006411
 50-54 	0.003715	0.004951	0.002572
 55-59 	0.001343	0.002347	0.000384
 60-64 	0.000127	0.000247	0.000006
 65-69 	0.000036	0.000065	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010843	0.012614	0.009074
2029			
 0-4	0.012318	0.012324	0.012312
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021773	0.019941	0.023690
 20-24 	0.021251	0.022736	0.019730
 25-29 	0.020075	0.023373	0.016768
 30-34 	0.018827	0.024976	0.012745
 35-39 	0.017251	0.022638	0.012031
 40-44 	0.013834	0.018177	0.009762
 45-49 	0.008919	0.011621	0.006428
 50-54 	0.003719	0.004957	0.002578
 55-59 	0.001347	0.002365	0.000388
 60-64 	0.000125	0.000244	0.000006
 65-69 	0.000036	0.000065	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010817	0.012597	0.009043
2030			
 0-4	0.012630	0.012636	0.012625
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021831	0.019982	0.023766
 20-24 	0.021304	0.022773	0.019797
 25-29 	0.020117	0.023414	0.016814
 30-34 	0.018868	0.025018	0.012782
 35-39 	0.017297	0.022674	0.012067
 40-44 	0.013875	0.018207	0.009791
 45-49 	0.008933	0.011636	0.006443
 50-54 	0.003721	0.004959	0.002582
 55-59 	0.001340	0.002363	0.000387
 60-64 	0.000118	0.000233	0.000006
 65-69 	0.000036	0.000065	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010787	0.012575	0.009007
2031			
 0-4	0.012939	0.012945	0.012934
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021884	0.020019	0.023836
 20-24 	0.021353	0.022811	0.019856
 25-29 	0.020158	0.023454	0.016857
 30-34 	0.018907	0.025059	0.012817
 35-39 	0.017339	0.022709	0.012100
 40-44 	0.013914	0.018235	0.009816
 45-49 	0.008949	0.011651	0.006457
 50-54 	0.003722	0.004961	0.002584
 55-59 	0.001340	0.002370	0.000389
 60-64 	0.000119	0.000236	0.000006
 65-69 	0.000036	0.000065	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000066	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010753	0.012549	0.008967
2032			
 0-4	0.013260	0.013264	0.013255
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021934	0.020055	0.023899
 20-24 	0.021398	0.022849	0.019907
 25-29 	0.020200	0.023494	0.016901
 30-34 	0.018944	0.025102	0.012849
 35-39 	0.017378	0.022745	0.012131
 40-44 	0.013952	0.018263	0.009840
 45-49 	0.008969	0.011671	0.006471
 50-54 	0.003723	0.004964	0.002587
 55-59 	0.001340	0.002377	0.000390
 60-64 	0.000121	0.000241	0.000006
 65-69 	0.000036	0.000066	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010717	0.012521	0.008926
2033			
 0-4	0.013576	0.013581	0.013571
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021978	0.020090	0.023954
 20-24 	0.021439	0.022888	0.019951
 25-29 	0.020240	0.023533	0.016944
 30-34 	0.018978	0.025145	0.012876
 35-39 	0.017413	0.022781	0.012158
 40-44 	0.013988	0.018291	0.009862
 45-49 	0.008992	0.011694	0.006485
 50-54 	0.003726	0.004968	0.002590
 55-59 	0.001341	0.002381	0.000390
 60-64 	0.000122	0.000244	0.000006
 65-69 	0.000036	0.000066	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010678	0.012489	0.008882
2034			
 0-4	0.013898	0.013902	0.013893
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022021	0.020125	0.024003
 20-24 	0.021479	0.022929	0.019989
 25-29 	0.020281	0.023572	0.016985
 30-34 	0.019011	0.025190	0.012899
 35-39 	0.017447	0.022818	0.012182
 40-44 	0.014023	0.018320	0.009882
 45-49 	0.009017	0.011717	0.006499
 50-54 	0.003729	0.004974	0.002592
 55-59 	0.001341	0.002385	0.000390
 60-64 	0.000122	0.000248	0.000006
 65-69 	0.000036	0.000066	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000068	0.000014
 80+ 	0.000000	0.000000	0.000000
Total	0.010637	0.012456	0.008836
2035			
 0-4	0.014234	0.014239	0.014228
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022067	0.020167	0.024053
 20-24 	0.021518	0.022971	0.020024
 25-29 	0.020321	0.023613	0.017023
 30-34 	0.019044	0.025236	0.012921
 35-39 	0.017479	0.022858	0.012205
 40-44 	0.014056	0.018352	0.009901
 45-49 	0.009040	0.011738	0.006510
 50-54 	0.003732	0.004980	0.002593
 55-59 	0.001340	0.002387	0.000389
 60-64 	0.000122	0.000247	0.000006
 65-69 	0.000037	0.000068	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000068	0.000014
 80+ 	0.000000	0.000000	0.000000
Total	0.010595	0.012420	0.008790
2036			
 0-4	0.014579	0.014585	0.014573
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022115	0.020212	0.024103
 20-24 	0.021557	0.023016	0.020059
 25-29 	0.020362	0.023658	0.017058
 30-34 	0.019077	0.025284	0.012943
 35-39 	0.017512	0.022901	0.012227
 40-44 	0.014086	0.018383	0.009918
 45-49 	0.009063	0.011758	0.006520
 50-54 	0.003737	0.004987	0.002594
 55-59 	0.001339	0.002388	0.000388
 60-64 	0.000122	0.000249	0.000006
 65-69 	0.000036	0.000067	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000041	0.000068	0.000014
 80+ 	0.000000	0.000000	0.000000
Total	0.010552	0.012383	0.008743
2037			
 0-4	0.014927	0.014933	0.014920
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022164	0.020259	0.024154
 20-24 	0.021599	0.023062	0.020095
 25-29 	0.020403	0.023705	0.017091
 30-34 	0.019113	0.025334	0.012969
 35-39 	0.017545	0.022944	0.012249
 40-44 	0.014116	0.018415	0.009935
 45-49 	0.009085	0.011777	0.006530
 50-54 	0.003745	0.004997	0.002597
 55-59 	0.001339	0.002390	0.000387
 60-64 	0.000122	0.000250	0.000006
 65-69 	0.000035	0.000066	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000068	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010507	0.012343	0.008696
2038			
 0-4	0.015272	0.015279	0.015265
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022212	0.020305	0.024203
 20-24 	0.021640	0.023107	0.020133
 25-29 	0.020442	0.023751	0.017121
 30-34 	0.019151	0.025383	0.012996
 35-39 	0.017576	0.022986	0.012271
 40-44 	0.014143	0.018447	0.009952
 45-49 	0.009108	0.011796	0.006542
 50-54 	0.003755	0.005009	0.002601
 55-59 	0.001339	0.002393	0.000387
 60-64 	0.000122	0.000251	0.000006
 65-69 	0.000035	0.000066	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000068	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010460	0.012299	0.008647
2039			
 0-4	0.015615	0.015622	0.015608
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022257	0.020346	0.024252
 20-24 	0.021679	0.023150	0.020170
 25-29 	0.020480	0.023796	0.017151
 30-34 	0.019189	0.025430	0.013025
 35-39 	0.017605	0.023023	0.012293
 40-44 	0.014168	0.018476	0.009969
 45-49 	0.009129	0.011814	0.006553
 50-54 	0.003766	0.005020	0.002606
 55-59 	0.001340	0.002395	0.000386
 60-64 	0.000122	0.000250	0.000006
 65-69 	0.000035	0.000067	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010409	0.012251	0.008597
2040			
 0-4	0.015963	0.015970	0.015956
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022301	0.020383	0.024301
 20-24 	0.021717	0.023189	0.020207
 25-29 	0.020516	0.023838	0.017182
 30-34 	0.019226	0.025474	0.013052
 35-39 	0.017631	0.023057	0.012315
 40-44 	0.014192	0.018504	0.009986
 45-49 	0.009148	0.011831	0.006565
 50-54 	0.003775	0.005028	0.002610
 55-59 	0.001341	0.002398	0.000386
 60-64 	0.000121	0.000250	0.000006
 65-69 	0.000035	0.000067	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000040	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010356	0.012199	0.008546
2041			
 0-4	0.016315	0.016322	0.016308
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022342	0.020417	0.024351
 20-24 	0.021753	0.023225	0.020243
 25-29 	0.020550	0.023875	0.017214
 30-34 	0.019261	0.025514	0.013079
 35-39 	0.017657	0.023090	0.012338
 40-44 	0.014214	0.018529	0.010004
 45-49 	0.009164	0.011844	0.006576
 50-54 	0.003783	0.005033	0.002613
 55-59 	0.001342	0.002401	0.000385
 60-64 	0.000121	0.000248	0.000006
 65-69 	0.000035	0.000067	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000039	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010301	0.012142	0.008494
2042			
 0-4	0.016669	0.016676	0.016662
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022382	0.020446	0.024400
 20-24 	0.021788	0.023258	0.020280
 25-29 	0.020583	0.023909	0.017247
 30-34 	0.019295	0.025551	0.013105
 35-39 	0.017684	0.023123	0.012362
 40-44 	0.014235	0.018551	0.010022
 45-49 	0.009178	0.011854	0.006587
 50-54 	0.003791	0.005037	0.002617
 55-59 	0.001345	0.002404	0.000385
 60-64 	0.000120	0.000248	0.000006
 65-69 	0.000035	0.000067	0.000006
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000039	0.000067	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.010244	0.012082	0.008441
2043			
 0-4	0.017020	0.017027	0.017014
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022418	0.020472	0.024448
 20-24 	0.021820	0.023287	0.020317
