Vietnam_test	Total	Male	Female
 5-9	7262019.062251	3684890.570781	3577128.491470
 10-14 	6743383.613310	3412743.529467	3330640.083843
 15-19 	6087480.873572	3069541.642534	3017939.231038
 20-24 	5161814.451721	2598577.044553	2563237.407168
 25-29 	3793063.035739	1897187.147426	1895875.888313
 30-34 	2483414.270129	1199927.075671	1283487.194458
 35-39 	2132209.985918	1021986.306720	1110223.679198
 40-44 	2157033.213022	1027995.678980	1129037.534041
 45-49 	2196754.052829	1039530.003131	1157224.049698
 50-54 	1845649.429798	860314.354091	985335.075706
 55-59 	1634885.946362	755162.704775	879723.241587
 60-64 	1341742.643233	613914.318174	727828.325058
 65-69 	1129796.157702	491137.707908	638658.449794
 70-74 	810684.440182	328031.236114	482653.204068
 75-79 	561536.802618	204360.127690	357176.674928
 80+ 	408427.987633	112329.008371	296098.979262
Total	53467733.443573	26246769.802725	27220963.640848
1980			
 0-4	7792751.498446	3968433.770890	3824317.727556
 5-9	7317960.085686	3712398.292030	3605561.793656
 10-14 	6840872.871457	3463276.829632	3377596.041825
 15-19 	6212223.631008	3132926.782396	3079296.848612
 20-24 	5347252.118778	2690052.490354	2657199.628424
 25-29 	4068127.268133	2039504.300558	2028622.967575
 30-34 	2640432.930441	1281370.240539	1359062.689902
 35-39 	2134173.338022	1020769.011192	1113404.326830
 40-44 	2109628.142937	1004240.442015	1105387.700923
 45-49 	2211815.327195	1045753.637271	1166061.689924
 50-54 	1888940.562459	880818.617900	1008121.944559
 55-59 	1665732.467541	766876.057213	898856.410329
 60-64 	1367475.707102	624811.018344	742664.688758
 65-69 	1152863.214411	502185.056584	650678.157827
 70-74 	831232.819772	336972.619498	494260.200274
 75-79 	580376.721724	212391.045117	367985.676607
 80+ 	437715.943607	122633.668622	315082.274985
Total	54599574.648718	26805413.880153	27794160.768565
1981			
 0-4	7893511.343250	4021092.377789	3872418.965461
 5-9	7381456.983599	3745779.406061	3635677.577538
 10-14 	6928529.664947	3507314.139444	3421215.525503
 15-19 	6333154.250625	3194217.387726	3138936.862899
 20-24 	5526306.026860	2779011.827014	2747294.199846
 25-29 	4335723.399939	2175160.023060	2160563.376879
 30-34 	2861158.629991	1397605.360618	1463553.269373
 35-39 	2151825.732062	1026952.990813	1124872.741249
 40-44 	2080326.732596	989774.123055	1090552.609541
 45-49 	2197039.075040	1037792.792994	1159246.282047
 50-54 	1952352.333133	910884.465414	1041467.867719
 55-59 	1685301.750171	774328.450339	910973.299832
 60-64 	1406433.150356	640787.924047	765645.226309
 65-69 	1166216.146529	509347.431942	656868.714586
 70-74 	861075.131550	349630.167967	511444.963582
 75-79 	591830.683481	217505.982837	374324.700644
 80+ 	470354.447741	134154.914705	336199.533036
Total	55822595.481871	27411339.765828	28411255.716044
1982			
 0-4	8020078.482695	4086945.029580	3933133.453115
 5-9	7438564.418871	3775676.148130	3662888.270741
 10-14 	7014056.147888	3550449.021789	3463607.126100
 15-19 	6450534.837568	3254270.939107	3196263.898461
 20-24 	5693978.714293	2862656.904487	2831321.809806
 25-29 	4590770.440620	2302692.211817	2288078.228804
 30-34 	3118429.700515	1533103.273959	1585326.426557
 35-39 	2196327.784550	1047124.172661	1149203.611889
 40-44 	2063755.310821	981526.859514	1082228.451307
 45-49 	2164464.350168	1021384.370090	1143079.980078
 50-54 	2018145.582570	941985.877372	1076159.705197
 55-59 	1702763.967859	781521.713965	921242.253894
 60-64 	1450339.294613	658457.941539	791881.353073
 65-69 	1176981.340837	515347.916713	661633.424124
 70-74 	893703.902602	363481.327784	530222.574818
 75-79 	601181.990638	221719.040457	379462.950181
 80+ 	503859.931395	145920.303939	357939.627456
Total	57097936.198502	28044263.052903	29053673.145599
1983			
 0-4	8167006.837000	4163111.772688	4003895.064312
 5-9	7498528.362416	3807400.281792	3691128.080624
 10-14 	7098514.859479	3593013.295202	3505501.564277
 15-19 	6558418.982776	3309704.971283	3248714.011493
 20-24 	5848891.071932	2940241.807169	2908649.264763
 25-29 	4831192.307966	2421953.021597	2409239.286370
 30-34 	3398402.616620	1679865.461415	1718537.155205
 35-39 	2276785.570925	1086485.399398	1190300.171527
 40-44 	2055556.822474	976942.310685	1078614.511789
 45-49 	2123687.359043	1001220.172642	1122467.186400
 50-54 	2074827.986558	968631.364292	1106196.622266
 55-59 	1725808.504125	791860.269388	933948.234738
 60-64 	1492996.024418	675302.391730	817693.632688
 65-69 	1190476.580341	522205.214321	668271.366020
 70-74 	924602.247595	376790.538488	547811.709107
 75-79 	612142.859546	226451.538930	385691.320616
 80+ 	536484.785345	157287.771254	379197.014092
Total	58414323.778559	28698467.582273	29715856.196286
1984			
 0-4	8324312.485753	4244459.719512	4079852.766242
 5-9	7570950.281603	3845757.190433	3725193.091170
 10-14 	7185620.883491	3638179.160281	3547441.723211
 15-19 	6649938.231646	3355628.839130	3294309.392517
 20-24 	5992765.353547	3012695.798674	2980069.554873
 25-29 	5053800.635675	2532022.946496	2521777.689178
 30-34 	3687638.837845	1830223.035185	1857415.802659
 35-39 	2399668.435619	1148758.912304	1250909.523315
 40-44 	2055818.448552	975924.100240	1079894.348313
 45-49 	2081600.400886	980621.349321	1100979.051566
 50-54 	2114054.428807	986815.191127	1127239.237680
 55-59 	1758926.902164	807260.516178	951666.385985
 60-64 	1530694.742562	689956.173850	840738.568711
 65-69 	1209853.194610	531076.604968	678776.589642
 70-74 	951181.806543	388528.093325	562653.713218
 75-79 	626879.961115	232539.941965	394340.019151
 80+ 	567234.883103	167900.973873	399333.909230
Total	59760939.913523	29368348.546863	30392591.366659
1985			
 0-4	8484769.004748	4327296.720309	4157472.284439
 5-9	7663426.607895	3894497.143153	3768929.464742
 10-14 	7246584.892042	3668416.867642	3578168.024399
 15-19 	6750327.503974	3407475.853727	3342851.650247
 20-24 	6128017.448508	3081415.645150	3046601.803358
 25-29 	5257103.987851	2632470.101524	2624633.886327
 30-34 	3977887.485653	1979497.803494	1998389.682159
 35-39 	2567997.860764	1235642.627952	1332355.232812
 40-44 	2066727.071334	979648.520819	1087078.550514
 45-49 	2041555.038168	961220.257568	1080334.780600
 50-54 	2133108.802073	995272.136749	1137836.665324
 55-59 	1803476.347041	828245.802721	975230.544320
 60-64 	1562219.705527	702106.705404	860113.000124
 65-69 	1235964.276184	542204.016619	693760.259565
 70-74 	972955.750521	398466.607628	574489.142893
 75-79 	645767.578291	240174.223211	405593.355080
 80+ 	596333.243824	177843.463925	418489.779899
Total	61134222.604397	30051894.497594	31082328.106803
1986			
 0-4	8639282.702578	4406994.451482	4232288.251095
 5-9	7775756.131172	3953400.463759	3822355.667413
 10-14 	7312794.387757	3703303.532873	3609490.854885
 15-19 	6838012.464037	3451288.594156	3386723.869880
 20-24 	6251374.816938	3143864.250438	3107510.566500
 25-29 	5441921.702825	2724556.998902	2717364.703923
 30-34 	4248701.337971	2116136.754265	2132564.583706
 35-39 	2790180.371512	1352042.664616	1438137.706896
 40-44 	2086827.824372	987293.306602	1099534.517769
 45-49 	2015019.497127	948548.428464	1066471.068664
 50-54 	2120376.301299	988583.687015	1131792.614284
 55-59 	1865634.202025	857319.748961	1008314.453064
 60-64 	1581970.801434	709706.815177	872263.986257
 65-69 	1273409.035019	557348.147163	716060.887856
 70-74 	986218.624366	405175.672837	581042.951529
 75-79 	671716.841614	250378.765839	421338.075775
 80+ 	622877.711979	186815.110964	436062.601015
Total	62522074.754025	30742757.393514	31779317.360511
1987			
 0-4	8781783.457122	4480474.305669	4301309.151453
 5-9	7909993.527122	4023412.866700	3886580.660422
 10-14 	7372235.025510	3734526.553192	3637708.472318
 15-19 	6923351.829051	3494039.642592	3429312.186459
 20-24 	6368428.218193	3203456.727132	3164971.491061
 25-29 	5611230.577388	2809463.547343	2801767.030045
 30-34 	4502995.188428	2242850.909283	2260144.279146
 35-39 	3045509.593610	1485903.580300	1559606.013309
 40-44 	2131488.954409	1007604.847036	1123884.107372
 45-49 	1999718.120429	941199.000982	1058519.119447
 50-54 	2089538.723713	973303.080903	1116235.642810
 55-59 	1929600.576667	887060.161846	1042540.414821
 60-64 	1599471.313522	716907.573311	882563.740210
 65-69 	1315153.216699	573813.503899	741339.712800
 70-74 	997387.169733	410992.430502	586394.739231
 75-79 	699789.071379	261414.616646	438374.454733
 80+ 	649209.862155	195620.609169	453589.252986
Total	63926884.425128	31442043.956507	32484840.468621
1988			
 0-4	8910090.676867	4547061.950261	4363028.726606
 5-9	8061602.422749	4102092.140763	3959510.281987
 10-14 	7434320.473046	3767472.184666	3666848.288380
 15-19 	7007856.589345	3536391.387952	3471465.201393
 20-24 	6474628.945014	3257529.261305	3217099.683710
 25-29 	5765746.563369	2887266.771530	2878479.791839
 30-34 	4741119.696643	2360639.196021	2380480.500621
 35-39 	3322049.715155	1630222.564135	1691827.151019
 40-44 	2210748.641539	1046259.535444	1164489.106096
 45-49 	1992002.478418	937038.124275	1054964.354144
 50-54 	2050337.900663	954178.883189	1096159.017474
 55-59 	1984449.228585	912339.165211	1072110.063375
 60-64 	1622139.126948	726955.213436	895183.913512
 65-69 	1355491.478884	589379.798903	766111.679981
 70-74 	1011074.427273	417565.799419	593508.627854
 75-79 	726335.751137	271990.711811	454345.039326
 80+ 	677067.886819	204863.859993	472204.026826
Total	65347062.002455	32149246.548312	33197815.454143
1989			
 0-4	9024243.455298	4607372.373764	4416871.081534
 5-9	8221222.091773	4184615.930225	4036606.161549
 10-14 	7509088.597925	3807170.693541	3701917.904384
 15-19 	7095745.889142	3581841.985212	3513903.903930
 20-24 	6562898.762269	3301244.041445	3261654.720823
 25-29 	5907139.149755	2958727.775926	2948411.373829
 30-34 	4961529.353337	2469274.841557	2492254.511780
 35-39 	3608359.598659	1778297.068835	1830062.529824
 40-44 	2332214.745106	1107535.545388	1224679.199718
 45-49 	1992690.740234	936365.910286	1056324.829948
 50-54 	2009980.590099	934676.337831	1075304.252268
 55-59 	2022448.780207	929518.359015	1092930.421192
 60-64 	1654410.630510	741727.149957	912683.480553
 65-69 	1391122.628270	602913.324932	788209.303338
 70-74 	1030022.343096	425845.303341	604177.039755
 75-79 	749317.885232	281370.902859	467946.982373
 80+ 	707313.705531	214862.934098	492450.771432
Total	66779748.946442	32863360.478213	33916388.468229
1990			
 0-4	9117600.784905	4658225.006912	4459375.777993
 5-9	8383089.647202	4268126.779820	4114962.867382
 10-14 	7604271.673807	3857445.333524	3746826.340283
 15-19 	7158804.384355	3613234.465394	3545569.918962
 20-24 	6657283.964533	3349474.092014	3307809.872520
 25-29 	6035573.676836	3024071.312208	3011502.364627
 30-34 	5162285.286191	2568019.314225	2594265.971966
 35-39 	3896868.567391	1925703.572974	1971164.994417
 40-44 	2499516.822962	1193399.886642	1306116.936320
 45-49 	2004351.387725	940531.625656	1063819.762069
 50-54 	1971961.006111	916476.047494	1055484.958617
 55-59 	2041255.859823	937529.461712	1103726.398111
 60-64 	1697641.669087	761724.584541	935917.084545
 65-69 	1421091.710615	614230.525289	806861.185326
 70-74 	1054910.663252	435989.520498	618921.142754
 75-79 	768437.342823	289431.626631	479005.716192
 80+ 	739879.573292	225638.659027	514240.914265
Total	68214824.020910	33579251.814559	34635572.206351
1991			
 0-4	9177599.989722	4693094.665316	4484505.324407
 5-9	8540506.315036	4349288.419742	4191217.895295
 10-14 	7719700.028680	3918098.189606	3801601.839074
 15-19 	7228462.986592	3650066.427410	3578396.559181
 20-24 	6737041.225678	3388834.542936	3348206.682742
 25-29 	6146874.930242	3080247.901281	3066627.028960
 30-34 	5343948.259388	2657974.639415	2685973.619973
 35-39 	4168025.356427	2061359.397578	2106665.958850
 40-44 	2721844.209128	1309093.850724	1412750.358404
 45-49 	2026271.401186	949079.213148	1077192.188038
 50-54 	1947809.470916	905073.136103	1042736.334813
 55-59 	2030132.255445	931462.611213	1098669.644232
 60-64 	1757820.549159	789299.443141	968521.106018
 65-69 	1440547.703130	621677.412329	818870.290801
 70-74 	1089666.889804	449397.132819	640269.756985
 75-79 	780905.500892	295195.620984	485709.879908
 80+ 	775698.718204	237499.326326	538199.391879
Total	69632855.789629	34286741.930070	35346113.859558
1992			
 0-4	9186140.363184	4701949.591798	4484190.771386
 5-9	8691215.826694	4427380.477474	4263835.349220
 10-14 	7857135.843711	3989952.449270	3867183.394441
 15-19 	7292452.156111	3683906.515522	3608545.640589
 20-24 	6814292.660512	3427243.392669	3387049.267843
 25-29 	6247150.910085	3130990.548100	3116160.361985
 30-34 	5508236.532840	2739797.172180	2768439.360660
