Vietnam		Total	Male	Female
1970			
 10-14 	6202253.000000	3138517.500000	3063735.250000
 15-19 	5309441.000000	2681126.500000	2628314.500000
 20-24 	3961378.250000	1992165.500000	1969212.750000
 25-29 	2597163.000000	1265234.000000	1331929.000000
 30-34 	2253274.750000	1093529.250000	1159745.375000
 35-39 	2255634.750000	1088157.625000	1167477.000000
 40-44 	2302767.750000	1105504.000000	1197263.750000
 45-49 	1921533.250000	910147.375000	1011385.875000
 50-54 	1733358.875000	814150.000000	919208.875000
 55-59 	1440849.750000	678113.500000	762736.250000
 60-64 	1274840.750000	580885.687500	693955.062500
 65-69 	977236.062500	423240.500000	553995.562500
 70-74 	752921.937500	300883.500000	452038.437500
 75-79 	417097.125000	143192.796875	273904.343750
 80+ 	308844.656250	78020.546875	230824.109375
Total	48031460.000000	23571780.000000	24459682.000000
1975			
 0-4	7531726.000000	3831508.750000	3700217.500000
 5-9	6944402.000000	3524775.500000	3419626.500000
 10-14 	6320473.000000	3197518.750000	3122954.500000
 15-19 	5497972.000000	2774306.000000	2723666.000000
 20-24 	4238431.000000	2136288.500000	2102142.750000
 25-29 	2751294.500000	1345074.125000	1406220.375000
 30-34 	2262549.750000	1095985.250000	1166564.500000
 35-39 	2207518.250000	1063024.875000	1144493.375000
 40-44 	2321892.500000	1113011.875000	1208880.750000
 45-49 	1956895.625000	926465.625000	1030430.000000
 50-54 	1767004.875000	826737.875000	940267.000000
 55-59 	1460785.125000	685898.062500	774887.000000
 60-64 	1296981.250000	590549.062500	706432.125000
 65-69 	990538.500000	428546.156250	561992.312500
 70-74 	770534.875000	308495.625000	462039.250000
 75-79 	438494.781250	152332.578125	286162.218750
 80+ 	321809.625000	82381.593750	239428.046875
Total	49079304.000000	24082900.000000	24996404.000000
1976			
 0-4	7587044.500000	3859510.750000	3727534.000000
 5-9	7023605.000000	3564950.500000	3458654.250000
 10-14 	6434550.000000	3255016.000000	3179534.000000
 15-19 	5665182.500000	2857505.750000	2807676.750000
 20-24 	4490459.000000	2265266.500000	2225192.250000
 25-29 	2950030.500000	1450149.750000	1499880.625000
 30-34 	2277166.500000	1100667.250000	1176499.125000
 35-39 	2167858.250000	1042350.750000	1125507.500000
 40-44 	2309964.750000	1105611.500000	1204353.250000
 45-49 	2007643.250000	950355.437500	1057287.750000
 50-54 	1790775.875000	835643.000000	955132.812500
 55-59 	1493753.750000	699158.375000	794595.375000
 60-64 	1312300.125000	598034.375000	714265.750000
 65-69 	1016910.937500	440084.625000	576826.312500
 70-74 	783757.750000	314655.656250	469102.093750
 75-79 	466837.156250	164460.968750	302376.187500
 80+ 	338854.125000	88207.625000	250646.484375
Total	50116692.000000	24591628.000000	25525064.000000
1977			
 0-4	7628068.500000	3880571.750000	3747496.500000
 5-9	7105337.000000	3606218.250000	3499119.000000
 10-14 	6545488.000000	3311503.000000	3233985.000000
 15-19 	5812434.500000	2931241.250000	2881193.500000
 20-24 	4720837.500000	2380742.750000	2340095.000000
 25-29 	3198689.250000	1583070.750000	1615618.500000
 30-34 	2298214.000000	1107901.125000	1190312.875000
 35-39 	2140697.750000	1028184.687500	1112513.000000
 40-44 	2267284.000000	1083363.250000	1183920.625000
 45-49 	2075821.250000	982541.437500	1093279.750000
 50-54 	1802376.625000	839829.250000	962547.437500
 55-59 	1539586.875000	717480.625000	822106.250000
 60-64 	1318767.500000	601981.562500	716786.000000
 65-69 	1054500.750000	456666.375000	597834.312500
 70-74 	790032.500000	318083.656250	471948.812500
 75-79 	500762.593750	178849.218750	321913.375000
 80+ 	358142.375000	94800.023438	263342.343750
Total	51157040.000000	25103028.000000	26054012.000000
1978			
 0-4	7667491.000000	3901244.250000	3766246.750000
 5-9	7186021.000000	3646568.750000	3539452.000000
 10-14 	6653843.000000	3367218.000000	3286624.750000
 15-19 	5946329.500000	2998624.750000	2947704.750000
 20-24 	4935045.000000	2486295.250000	2448749.750000
 25-29 	3482649.250000	1734689.750000	1747959.500000
 30-34 	2343852.250000	1127936.375000	1215915.875000
 35-39 	2127415.750000	1020915.375000	1106500.375000
 40-44 	2206508.750000	1052493.625000	1154015.125000
 45-49 	2147414.750000	1016165.250000	1131249.500000
 50-54 	1810542.500000	843241.500000	967301.000000
 55-59 	1591002.000000	737792.000000	853210.125000
 60-64 	1322171.875000	604474.750000	717697.187500
 65-69 	1095898.750000	474974.343750	620924.375000
 70-74 	793599.687500	320327.843750	473271.843750
 75-79 	534873.437500	193159.343750	341714.093750
 80+ 	379529.437500	102167.093750	277362.343750
Total	52224188.000000	25628288.000000	26595900.000000
1979			
 0-4	7718794.000000	3928382.000000	3790412.250000
 5-9	7265256.000000	3686070.000000	3579186.000000
 10-14 	6753586.000000	3418811.750000	3334774.000000
 15-19 	6073825.500000	3062937.750000	3010887.500000
 20-24 	5138980.500000	2586334.000000	2552646.500000
 25-29 	3773965.750000	1888357.000000	1885608.750000
 30-34 	2437711.500000	1174319.375000	1263391.875000
 35-39 	2125803.000000	1019053.250000	1106749.625000
 40-44 	2146991.000000	1022522.062500	1124469.000000
 45-49 	2200323.250000	1040720.625000	1159602.500000
 50-54 	1829377.250000	852161.437500	977215.750000
 55-59 	1637333.250000	755898.000000	881435.187500
 60-64 	1332722.125000	609671.812500	723050.250000
 65-69 	1131808.000000	491194.375000	640613.687500
 70-74 	802701.812500	324724.750000	477977.062500
 75-79 	563484.312500	205124.031250	358360.281250
 80+ 	404224.875000	110812.257813	293412.625000
Total	53336888.000000	26177094.000000	27159794.000000
1980			
 0-4	7795035.000000	3968546.250000	3826488.750000
 5-9	7350409.500000	3730087.250000	3620322.250000
 10-14 	6834936.500000	3459739.500000	3375197.000000
 15-19 	6201889.500000	3127535.000000	3074354.500000
 20-24 	5339709.500000	2685551.250000	2654158.000000
 25-29 	4058133.500000	2035420.750000	2022712.750000
 30-34 	2596192.500000	1256254.875000	1339937.500000
