Vietnam		Total	Male	Female
1970			
 0-4	127450.346939	70838.528834	56611.818105
 5-9	32026.678137	18984.919311	13041.758826
 10-14 	25258.522023	15990.574414	9267.947609
 15-19 	15707.579974	10777.123910	4930.456063
 20-24 	7825.519511	5040.711688	2784.807823
 25-29 	8551.100308	6439.048163	2112.052146
 30-34 	9884.385233	7558.709801	2325.675433
 35-39 	14772.571651	10599.586783	4172.984868
 40-44 	15529.031138	11072.805190	4456.225949
 45-49 	19196.488851	13427.008821	5769.480030
 50-54 	18756.786328	12169.256658	6587.529670
 55-59 	25930.155487	16138.709235	9791.446252
 60-64 	30842.002452	20968.288374	9873.714078
 65-69 	47043.950859	28914.546446	18129.404412
 70-74 	48703.422175	26711.574984	21991.847190
 75-79 	42199.082492	19797.232223	22401.850269
 80+ 	56602.042988	18150.959942	38451.083046
Total	546279.666545	313579.584776	232700.081769
1971			
 0-4	127450.346939	70838.528834	56611.818105
 5-9	32026.678137	18984.919311	13041.758826
 10-14 	25258.522023	15990.574414	9267.947609
 15-19 	15707.579974	10777.123910	4930.456063
 20-24 	7825.519511	5040.711688	2784.807823
 25-29 	8551.100308	6439.048163	2112.052146
 30-34 	9884.385233	7558.709801	2325.675433
 35-39 	14772.571651	10599.586783	4172.984868
 40-44 	15529.031138	11072.805190	4456.225949
 45-49 	19196.488851	13427.008821	5769.480030
 50-54 	18756.786328	12169.256658	6587.529670
 55-59 	25930.155487	16138.709235	9791.446252
 60-64 	30842.002452	20968.288374	9873.714078
 65-69 	47043.950859	28914.546446	18129.404412
 70-74 	48703.422175	26711.574984	21991.847190
 75-79 	42199.082492	19797.232223	22401.850269
 80+ 	56602.042988	18150.959942	38451.083046
Total	546279.666545	313579.584776	232700.081769
1972			
 0-4	127003.709169	70808.699694	56195.009475
 5-9	33458.693021	20013.000626	13445.692396
 10-14 	26938.687775	17149.191685	9789.496090
 15-19 	17307.079545	11923.836834	5383.242711
 20-24 	8950.795457	5826.088006	3124.707451
 25-29 	9083.666235	6857.730935	2225.935300
 30-34 	10226.095556	7853.869358	2372.226198
 35-39 	15101.765314	10882.637379	4219.127935
 40-44 	16691.484395	11936.933608	4754.550786
 45-49 	20063.023932	14071.444669	5991.579263
 50-54 	20017.461810	13030.094541	6987.367269
 55-59 	26966.455861	16881.309127	10085.146734
 60-64 	32758.528121	22299.923792	10458.604329
 65-69 	47965.742800	29278.149250	18687.593550
 70-74 	52242.035968	28471.713297	23770.322671
 75-79 	44009.876798	20405.515370	23604.361428
 80+ 	58785.567877	18584.941941	40200.625936
Total	567570.669634	326275.080113	241295.589520
1973			
 0-4	125161.256493	70047.906784	55113.349709
 5-9	32128.940902	19217.122530	12911.818372
 10-14 	26128.226853	16589.022704	9539.204149
 15-19 	17260.414998	11858.301346	5402.113652
 20-24 	9337.109728	6086.682193	3250.427535
 25-29 	8838.665606	6650.341900	2188.323706
 30-34 	9678.524450	7418.131591	2260.392860
 35-39 	13938.268960	10012.177345	3926.091615
 40-44 	16345.275495	11640.836689	4704.438806
 45-49 	19065.200640	13317.979599	5747.221041
 50-54 	19525.541185	12630.937497	6894.603688
 55-59 	25481.765598	15898.673565	9583.092033
 60-64 	31822.979377	21525.742683	10297.236694
 65-69 	44746.022164	27160.839126	17585.183038
 70-74 	51545.699752	28028.946092	23516.753660
 75-79 	42444.617427	19628.597097	22816.020331
 80+ 	57453.716779	18040.534550	39413.182229
Total	550902.226408	315752.773290	235149.453117
1974			
 0-4	121544.549327	68293.557313	53250.992014
