Vietnam	Total	Male	Female
 10-14 	4202.047798	2767.331514	1434.716285
 15-19 	9508.122306	5337.227295	4170.895010
 20-24 	12677.023596	7607.931084	5069.092513
 25-29 	14302.299920	9325.949565	4976.350355
 30-34 	14369.572691	9861.764252	4507.808440
 35-39 	15477.060175	11303.230626	4173.829549
 40-44 	17722.233441	13379.319700	4342.913741
 45-49 	20722.637434	15519.114615	5203.522819
 50-54 	22645.267592	16592.642246	6052.625346
 55-59 	20310.793228	13943.892575	6366.900653
 60-64 	21510.483740	13950.047802	7560.435938
 65-69 	32893.197058	20459.939852	12433.257206
 70-74 	47251.045708	27258.774865	19992.270843
 75-79 	50788.262776	26345.314487	24442.948289
 80+ 	141981.375752	53370.436444	88610.939308
Total	484533.847041	268597.830757	215936.016284
2006			
 0-4	33814.797668	18962.540354	14852.257314
 5-9	4009.839696	2417.998960	1591.840736
 10-14 	3793.704187	2469.908362	1323.795825
 15-19 	9207.444945	5176.772765	4030.672180
 20-24 	12644.201311	7690.408852	4953.792460
 25-29 	14326.081938	9451.255223	4874.826715
 30-34 	14315.708873	9936.605162	4379.103711
 35-39 	15463.359591	11405.490695	4057.868896
 40-44 	17898.153106	13617.926171	4280.226934
 45-49 	21232.698009	16016.976896	5215.721113
 50-54 	24255.723742	17892.547501	6363.176241
 55-59 	22273.015760	15425.505681	6847.510078
 60-64 	21673.438174	14026.567141	7646.871034
 65-69 	32080.156463	19935.997254	12144.159209
 70-74 	46591.077543	26820.562224	19770.515319
 75-79 	52164.975247	27030.522810	25134.452437
 80+ 	145587.197614	54565.996131	91021.201484
Total	491331.573867	272843.582183	218487.991685
2007			
 0-4	33427.333911	18700.785259	14726.548651
 5-9	3852.642966	2335.865928	1516.777038
 10-14 	3474.328266	2253.334925	1220.993341
 15-19 	8888.346876	5022.952678	3865.394198
 20-24 	12537.852633	7735.973576	4801.879057
 25-29 	14263.395570	9533.946364	4729.449206
 30-34 	14146.568193	9936.158922	4210.409271
 35-39 	15323.154972	11409.848479	3913.306492
 40-44 	17964.663859	13737.457064	4227.206794
 45-49 	21589.696092	16369.901609	5219.794483
 50-54 	25658.350398	19013.645683	6644.704715
 55-59 	24498.824603	17092.946110	7405.878493
 60-64 	22123.010437	14297.228361	7825.782076
 65-69 	31430.522992	19502.579270	11927.943722
 70-74 	45456.290431	26102.313276	19353.977155
 75-79 	53555.267583	27700.629245	25854.638338
 80+ 	149350.603506	55795.847523	93554.755983
Total	497540.853286	276541.414273	220999.439013
2008			
 0-4	32726.773517	18198.240285	14528.533232
 5-9	3737.112221	2283.054686	1454.057535
 10-14 	3231.899182	2101.594888	1130.304294
 15-19 	8529.325670	4849.271165	3680.054505
 20-24 	12385.460289	7741.392388	4644.067901
 25-29 	14154.692215	9542.819320	4611.872895
 30-34 	13927.754546	9849.577217	4078.177330
 35-39 	15092.611474	11290.846615	3801.764859
 40-44 	17916.358933	13697.607046	4218.751887
 45-49 	21810.608676	16548.013549	5262.595127
 50-54 	26811.018158	19885.557224	6925.460934
 55-59 	26797.935803	18777.777847	8020.157956
 60-64 	22898.240047	14784.924437	8113.315610
 65-69 	30854.467299	19085.370080	11769.097219
 70-74 	44061.610169	25223.927932	18837.682237
 75-79 	54664.258322	28191.883640	26472.374683
 80+ 	153378.658143	57118.622735	96260.035409
Total	502978.784665	279170.481055	223808.303611
2009			
 0-4	31845.202404	17557.771816	14287.430588
 5-9	3643.053616	2243.241863	1399.811753
 10-14 	3049.224064	1992.911302	1056.312762
 15-19 	8101.429267	4626.853682	3474.575586
 20-24 	12200.826758	7725.797665	4475.029093
 25-29 	14026.476050	9679.535320	4346.940730
 30-34 	13756.819298	9945.015753	3811.803545
 35-39 	14948.615011	11414.905638	3533.709373
 40-44 	17895.113031	13807.648871	4087.464161
 45-49 	22056.511482	16861.453306	5195.058176
 50-54 	27800.304547	20684.077557	7116.226990
 55-59 	29060.137553	20429.505154	8630.632399
 60-64 	24051.514348	15537.090373	8514.423975
 65-69 	30379.991056	18704.626800	11675.364256
 70-74 	42607.558217	24307.594522	18299.963695
 75-79 	55294.110542	28411.863745	26882.246797
 80+ 	157702.530808	58558.744304	99143.786504
Total	508419.418052	282488.637669	225930.780383
2010			
 0-4	30853.371802	16856.891812	13996.479990
 5-9	3568.614039	2215.279097	1353.334942
 10-14 	2922.447962	1922.601589	999.846373
 15-19 	7606.842955	4359.069723	3247.773232
 20-24 	12015.316260	7681.588303	4333.727957
 25-29 	14214.319654	9850.139844	4364.179810
 30-34 	13997.590278	10131.961361	3865.628916
 35-39 	15157.307873	11556.689038	3600.618836
 40-44 	18196.444525	13971.377816	4225.066710
 45-49 	22534.318905	17178.214628	5356.104276
 50-54 	28767.452834	21353.539750	7413.913084
 55-59 	31264.195848	21977.969838	9286.226010
 60-64 	25652.105585	16597.409325	9054.696260
 65-69 	30093.586910	18430.822624	11662.764286
 70-74 	41206.901891	23432.999942	17773.901948
 75-79 	55396.763676	28359.988449	27036.775227
 80+ 	162399.607512	60142.880025	102256.727487
Total	515847.188507	286019.423163	229827.765344
2011			
 0-4	29898.356658	16207.663412	13690.693245
 5-9	3513.353053	2199.627541	1313.725512
 10-14 	2838.013906	1879.700418	958.313488
 15-19 	7079.912095	4071.482952	3008.429142
 20-24 	11809.840054	7600.862257	4208.977798
 25-29 	14266.235791	9913.890456	4352.345334
 30-34 	14129.567373	10236.370058	3893.197315
 35-39 	15167.357221	11550.743664	3616.613556
 40-44 	18260.224721	13953.251145	4306.973575
 45-49 	22762.113415	17306.518899	5455.594516
 50-54 	29464.441960	21825.795852	7638.646108
 55-59 	33202.669121	23312.436138	9890.232984
 60-64 	27855.658415	18087.161355	9768.497060
 65-69 	30051.805900	18311.399027	11740.406873
 70-74 	40150.420632	22783.529934	17366.890698
 75-79 	54685.711342	27907.370940	26778.340402
 80+ 	167755.461810	61983.081837	105772.379972
Total	522891.143465	289130.885887	233760.257578
2012			
 0-4	29078.574384	15685.010673	13393.563712
 5-9	3473.135223	2195.011533	1278.123691
 10-14 	2784.682275	1856.214849	928.467427
 15-19 	6575.119467	3800.217085	2774.902382
 20-24 	11510.549118	7460.680220	4049.868898
 25-29 	14165.692925	9981.733920	4183.959004
 30-34 	14160.577791	10406.174288	3754.403503
 35-39 	15124.133807	11602.622725	3521.511082
 40-44 	18238.811536	13983.407223	4255.404313
 45-49 	22885.181719	17457.111512	5428.070207
 50-54 	30012.798649	22270.497133	7742.301516
 55-59 	34936.180581	24533.137695	10403.042886
 60-64 	30489.555417	19892.818472	10596.736945
 65-69 	30496.803746	18525.855356	11970.948390
 70-74 	39362.527426	22305.117108	17057.410319
 75-79 	53459.425817	27226.378650	26233.047167
 80+ 	173072.056048	63799.558469	109272.497579
Total	529825.805929	292981.546908	236844.259021
2013			
 0-4	28464.241697	15337.020715	13127.220981
 5-9	3448.391786	2202.954957	1245.436828
 10-14 	2769.010470	1847.245421	921.765048
 15-19 	6149.961079	3580.203401	2569.757677
 20-24 	11103.789773	7239.201169	3864.588604
 25-29 	14064.353697	10002.700762	4061.652935
 30-34 	14222.601013	10538.931960	3683.669053
 35-39 	15110.732626	11613.234445	3497.498181
 40-44 	18213.556433	13958.551874	4255.004559
 45-49 	22954.971395	17516.591815	5438.379580
 50-54 	30461.864965	22613.818691	7848.046274
 55-59 	36479.699468	25610.519010	10869.180458
 60-64 	33402.079395	21895.813998	11506.265397
 65-69 	31535.143485	19145.527286	12389.616199
 70-74 	38760.154445	21929.047698	16831.106747
 75-79 	51986.000402	26455.893177	25530.107225
 80+ 	178162.925140	65508.898420	112654.026720
Total	537289.477267	296996.154800	240293.322467
2014			
 0-4	27924.403177	15074.454047	12849.949130
 5-9	3432.114199	2217.382311	1214.731888
 10-14 	2771.119709	1850.611292	920.508417
 15-19 	5830.937938	3419.882906	2411.055033
 20-24 	10581.747059	6901.089243	3680.657817
 25-29 	13887.104490	9774.604584	4112.499906
 30-34 	14161.881969	10315.970248	3845.911721
 35-39 	14925.102959	11195.363385	3729.739574
 40-44 	17976.439715	13541.766064	4434.673651
 45-49 	22719.961400	17135.861593	5584.099807
 50-54 	30648.525200	22620.462453	8028.062747
 55-59 	37720.497683	26405.713551	11314.784132
 60-64 	36338.965721	23894.401257	12444.564464
 65-69 	33202.402472	20188.516400	13013.886072
 70-74 	38349.932515	21645.679099	16704.253416
 75-79 	50476.964911	25689.178996	24787.785915
 80+ 	182848.581601	67038.602516	115809.979084
Total	543796.682719	298909.539946	244887.142773
2015			
 0-4	27411.364241	14842.396200	12568.968041
 5-9	3418.807375	2231.035217	1187.772158
 10-14 	2778.774651	1858.975365	919.799285
 15-19 	5610.834796	3315.704510	2295.130286
 20-24 	9985.398198	6516.455790	3468.942408
 25-29 	13779.627056	9736.214520	4043.412536
 30-34 	14243.332867	10433.452189	3809.880677
 35-39 	15037.538820	11293.999208	3743.539612
 40-44 	17966.535401	13527.014445	4439.520956
 45-49 	22800.965013	17202.164605	5598.800408
 50-54 	30958.454788	22865.240236	8093.214552
 55-59 	38832.698599	27189.038727	11643.659872
 60-64 	39229.258613	25881.015913	13348.242699
 65-69 	35539.154305	21694.016501	13845.137804
 70-74 	38196.247428	21500.637777	16695.609650
 75-79 	49040.326028	24971.277246	24069.048782
 80+ 	186956.138558	68341.187928	118614.950630
Total	551785.456738	303399.826379	248385.630359
2016			
 0-4	26753.176278	14521.059350	12232.116927
 5-9	3394.668260	2232.514485	1162.153775
 10-14 	2781.805798	1866.050367	915.755431
 15-19 	5460.942604	3247.431403	2213.511201
 20-24 	9368.593348	6116.363666	3252.229682
 25-29 	13659.399737	9676.559338	3982.840399
 30-34 	14349.071288	10534.881961	3814.189327
 35-39 	15226.524700	11415.188519	3811.336180
 40-44 	17990.697990	13512.296186	4478.401804
 45-49 	22851.830310	17208.147652	5643.682658
 50-54 	31166.703677	23000.487152	8166.216526
 55-59 	39735.449654	27815.605713	11919.843942
 60-64 	41816.733427	27635.617538	14181.115889
 65-69 	38697.722494	23762.534405	14935.188088
 70-74 	38291.535262	21487.657640	16803.877622
 75-79 	47947.951155	24436.075902	23511.875253
 80+ 	189914.953785	69200.096537	120714.857249
Total	559407.759767	307668.567814	251739.191954
2017			
