Vietnam_test	Total	Male	Female
 75-79 	7389.416595	2704.215102	4685.201493
 80+ 	12161.868852	3692.079044	8469.789808
Total	637846.214348	315269.383521	322576.830827
2021			
 0-4	38907.739805	20201.256091	18706.483714
 5-9	46604.858110	24348.140970	22256.717141
 10-14 	30577.090295	16022.354599	14554.735696
 15-19 	46437.318981	24094.949767	22342.369214
 20-24 	51462.607272	26452.359908	25010.247364
 25-29 	58790.101895	30003.454523	28786.647372
 30-34 	63571.509420	32078.590869	31492.918551
 35-39 	56056.412691	27969.627869	28086.784822
 40-44 	48189.454805	23780.403856	24409.050949
 45-49 	43337.809945	21257.946738	22079.863207
 50-54 	39493.655413	19299.348249	20194.307164
 55-59 	35450.772657	17054.068415	18396.704242
 60-64 	29920.057003	13901.738873	16018.318129
 65-69 	21803.001290	9688.647169	12114.354121
 70-74 	12417.761610	5044.801060	7372.960550
 75-79 	7539.692237	2755.984481	4783.707756
 80+ 	12273.129919	3724.354856	8548.775063
Total	642832.973349	317678.028293	325154.945056
2022			
 0-4	38194.648788	19802.486290	18392.162498
 5-9	46068.574688	24032.442868	22036.131819
 10-14 	30490.147748	15977.297000	14512.850748
 15-19 	46972.804567	24437.665442	22535.139125
 20-24 	51232.398907	26348.142788	24884.256119
 25-29 	56100.696348	28660.349518	27440.346830
 30-34 	63606.051625	32148.288857	31457.762768
 35-39 	57353.633840	28655.068569	28698.565271
 40-44 	49336.687473	24373.800051	24962.887422
 45-49 	43916.908592	21522.132633	22394.775958
 50-54 	40045.012988	19541.986679	20503.026309
 55-59 	36091.886548	17385.066153	18706.820395
 60-64 	30881.722261	14397.289506	16484.432754
 65-69 	23272.094143	10378.203662	12893.890481
 70-74 	13774.847987	5670.629036	8104.218952
 75-79 	7804.136284	2856.461421	4947.674863
 80+ 	12386.375088	3758.137063	8628.238025
Total	647528.627876	319945.447536	327583.180340
2023			
 0-4	37488.479723	19409.651581	18078.828142
 5-9	45436.706328	23666.422794	21770.283535
 10-14 	30348.084150	15895.080788	14453.003362
 15-19 	47460.629077	24751.945713	22708.683364
 20-24 	51424.549139	26475.812687	24948.736452
 25-29 	53703.532751	27457.616301	26245.916449
 30-34 	62824.605168	31803.254333	31021.350835
 35-39 	58596.534531	29316.705046	29279.829485
 40-44 	50587.759316	25025.848984	25561.910332
 45-49 	44532.781857	21812.377552	22720.404305
