Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 65-69 	0.702689	0.657115	0.045574
 70-74 	0.157075	0.144555	0.012520
 75-79 	0.089179	0.075071	0.014108
 80+ 	0.028195	0.023004	0.005191
Total	3128.139001	2149.322976	978.816025
2002			
 0-4	14.966388	7.715595	7.250794
 5-9	6.240930	3.210949	3.029981
 10-14 	1.415239	0.724815	0.690423
 15-19 	256.742933	151.946523	104.796410
 20-24 	737.764121	452.175380	285.588741
 25-29 	727.727905	481.310413	246.417493
 30-34 	649.101700	464.639977	184.461722
 35-39 	567.645198	429.530664	138.114533
 40-44 	432.013947	325.128446	106.885501
 45-49 	266.923204	198.987225	67.935980
 50-54 	99.661904	72.945582	26.716322
 55-59 	26.570567	20.099695	6.470872
 60-64 	7.606424	6.736417	0.870007
 65-69 	0.948334	0.885512	0.062822
 70-74 	0.200694	0.184788	0.015907
 75-79 	0.101643	0.085951	0.015691
 80+ 	0.039217	0.031975	0.007242
Total	3795.670348	2616.339907	1179.330442
2003			
 0-4	16.850637	8.693380	8.157257
 5-9	7.899506	4.065803	3.833704
 10-14 	1.971019	1.010055	0.960964
 15-19 	259.220491	156.388455	102.832036
 20-24 	832.751853	512.166240	320.585613
 25-29 	848.322766	560.057961	288.264806
 30-34 	755.314793	539.239969	216.074823
 35-39 	661.203481	501.305406	159.898075
 40-44 	509.355931	385.538523	123.817409
 45-49 	325.162015	243.436726	81.725289
 50-54 	127.848908	94.139822	33.709086
 55-59 	33.126887	24.864073	8.262815
 60-64 	9.244524	8.071202	1.173322
 65-69 	1.247886	1.161979	0.085907
 70-74 	0.242284	0.223296	0.018988
 75-79 	0.111333	0.094915	0.016418
 80+ 	0.050046	0.040723	0.009323
Total	4389.924360	3040.498526	1349.425834
2004			
 0-4	18.121290	9.361763	8.759528
 5-9	9.734894	5.013103	4.721791
 10-14 	2.688333	1.378509	1.309824
 15-19 	248.858198	153.701607	95.156591
 20-24 	892.206785	553.097550	339.109235
 25-29 	951.980663	627.977786	324.002877
 30-34 	845.551944	602.879601	242.672343
 35-39 	737.389272	560.092790	177.296482
 40-44 	574.175800	437.622450	136.553350
 45-49 	376.899580	283.739448	93.160132
 50-54 	155.563415	115.282242	40.281173
 55-59 	40.462148	30.238126	10.224022
 60-64 	10.769045	9.250504	1.518541
 65-69 	1.593918	1.477126	0.116792
 70-74 	0.279195	0.257657	0.021538
 75-79 	0.118740	0.102244	0.016497
 80+ 	0.059397	0.048357	0.011040
Total	4866.452620	3391.520864	1474.931756
2005			
 0-4	18.715691	9.689045	9.026646
 5-9	11.624481	5.990605	5.633876
 10-14 	3.551313	1.822125	1.729189
 15-19 	230.625408	145.885704	84.739703
 20-24 	907.955314	568.286674	339.668639
 25-29 	1024.525877	673.798435	350.727442
 30-34 	902.792782	641.253432	261.539350
 35-39 	787.179430	597.408317	189.771113
 40-44 	615.116590	470.951785	144.164806
 45-49 	409.580578	308.795519	100.785059
 50-54 	175.461747	129.955959	45.505788
 55-59 	46.820987	34.693838	12.127150
 60-64 	11.690041	9.821388	1.868653
 65-69 	1.863552	1.708518	0.155034
 70-74 	0.299443	0.275982	0.023461
 75-79 	0.121957	0.105791	0.016166
 80+ 	0.063445	0.051423	0.012022
Total	5147.988638	3600.494541	1547.494097
2006			
 0-4	16.406967	8.506252	7.900714
 5-9	12.855317	6.626758	6.228559
 10-14 	4.527416	2.324436	2.202979
 15-19 	208.418349	134.515440	73.902910
 20-24 	879.293961	559.870838	319.423123
 25-29 	1052.223956	697.757196	354.466760
 30-34 	922.620996	660.040014	262.580982
 35-39 	803.206921	613.815101	189.391820
 40-44 	627.976525	487.109185	140.867341
 45-49 	418.396502	321.071472	97.325030
 50-54 	183.136244	138.646631	44.489613
 55-59 	50.977449	38.633140	12.344309
 60-64 	11.933519	10.030617	1.902902
 65-69 	2.047217	1.877505	0.169712
 70-74 	0.309062	0.287078	0.021984
 75-79 	0.121455	0.106630	0.014826
 80+ 	0.062554	0.051589	0.010966
Total	5194.514411	3681.269880	1513.244531
2007			
 0-4	12.080480	6.257506	5.822975
 5-9	12.781524	6.580199	6.201324
 10-14 	5.422623	2.784260	2.638363
 15-19 	185.383236	121.387517	63.995720
 20-24 	821.815474	532.472555	289.342919
 25-29 	1046.741308	699.254236	347.487072
 30-34 	916.950057	658.949756	258.000301
 35-39 	796.663338	611.318125	185.345212
 40-44 	621.443235	486.710521	134.732714
 45-49 	412.024167	320.177333	91.846835
 50-54 	183.540390	140.879820	42.660570
 55-59 	53.814752	41.341230	12.473521
 60-64 	11.996833	10.025242	1.971591
 65-69 	2.157081	1.965180	0.191900
 70-74 	0.313978	0.292726	0.021252
 75-79 	0.117563	0.104037	0.013526
 80+ 	0.059378	0.049488	0.009890
Total	5083.305418	3640.549731	1442.755687
2008			
 0-4	9.334817	4.826267	4.508550
 5-9	11.724433	6.019364	5.705070
 10-14 	6.058549	3.108749	2.949800
 15-19 	163.649977	108.052465	55.597512
 20-24 	749.677350	492.386590	257.290760
 25-29 	1014.795909	678.370429	336.425480
 30-34 	894.534881	640.256494	254.278387
 35-39 	773.068970	591.220119	181.848850
 40-44 	599.071073	469.819823	129.251250
