Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 80+ 	78.650931	61.450395	17.200536
Total	327004.835283	241154.995165	85849.840118
2026			
 0-4	1180.676760	609.306442	571.370318
 5-9	1604.017223	837.929165	766.088058
 10-14 	2171.567866	1156.133780	1015.434087
 15-19 	8305.687869	5262.826234	3042.861635
 20-24 	17322.129609	11862.020926	5460.108683
 25-29 	23398.720413	16943.885037	6454.835375
 30-34 	36178.043097	27302.825377	8875.217720
 35-39 	50941.456029	38722.575736	12218.880293
 40-44 	55503.743239	41110.242231	14393.501008
 45-49 	47390.544037	35054.902371	12335.641666
 50-54 	34194.408849	25870.861704	8323.547145
 55-59 	23819.810883	18287.148146	5532.662737
 60-64 	15097.306989	11409.811533	3687.495455
 65-69 	7959.859596	5770.068088	2189.791509
 70-74 	2848.985965	2001.063498	847.922467
 75-79 	624.330677	430.494321	193.836356
 80+ 	104.951502	79.229084	25.722418
Total	328646.240604	242711.323672	85934.916932
2027			
 0-4	1112.744162	573.524633	539.219529
 5-9	1506.165851	786.044452	720.121399
 10-14 	1969.380848	1046.793183	922.587665
 15-19 	8228.197349	5223.889758	3004.307590
 20-24 	17769.168079	12152.233446	5616.934633
 25-29 	23152.029069	16747.551433	6404.477636
 30-34 	33656.761986	25473.178944	8183.583042
 35-39 	48931.265492	37456.068301	11475.197191
 40-44 	54741.308754	40878.853393	13862.455360
 45-49 	48902.533693	36028.984182	12873.549511
 50-54 	35446.899822	26669.521628	8777.378194
 55-59 	24966.009635	19096.372370	5869.637265
 60-64 	16169.928851	12265.286514	3904.642338
 65-69 	8938.565412	6491.240563	2447.324849
 70-74 	3474.311280	2436.122064	1038.189217
 75-79 	835.876557	571.333071	264.543486
 80+ 	140.983130	102.859827	38.123303
Total	329942.129970	243999.857762	85942.272208
2028			
 0-4	1055.766065	543.596998	512.169067
 5-9	1408.552814	734.436837	674.115976
 10-14 	1809.801988	959.832184	849.969804
 15-19 	8049.692843	5127.368003	2922.324839
 20-24 	18187.601968	12425.854613	5761.747354
 25-29 	23198.586767	16759.108454	6439.478313
 30-34 	31489.814326	23894.837983	7594.976343
 35-39 	46563.291936	35871.604113	10691.687823
 40-44 	53625.846500	40418.840491	13207.006009
 45-49 	50064.700571	36815.125998	13249.574573
 50-54 	36745.113158	27481.279165	9263.833993
 55-59 	26109.892508	19889.337701	6220.554807
 60-64 	17227.634967	13091.163653	4136.471314
 65-69 	9901.308999	7212.459092	2688.849907
 70-74 	4171.730898	2922.353107	1249.377792
 75-79 	1099.796069	747.265183	352.530886
 80+ 	191.171677	135.136384	56.035292
Total	330900.304053	245029.599961	85870.704091
2029			
 0-4	1006.605815	517.875892	488.729923
 5-9	1311.310219	682.929935	628.380285
 10-14 	1700.689428	900.246465	800.442964
 15-19 	7827.467082	5005.557936	2821.909146
 20-24 	18480.598092	12623.285314	5857.312778
 25-29 	23430.596475	16915.394879	6515.201596
 30-34 	29814.054331	22661.634156	7152.420175
 35-39 	43889.410985	34001.211544	9888.199441
 40-44 	52239.960025	39747.370010	12492.590015
 45-49 	50762.234382	37370.253636	13391.980746
 50-54 	38125.690668	28334.306066	9791.384603
 55-59 	27253.675784	20659.018740	6594.657044
 60-64 	18245.069099	13866.747198	4378.321901
 65-69 	10857.236185	7946.708534	2910.527650
 70-74 	4931.418561	3453.116863	1478.301698
 75-79 	1419.821111	960.815569	459.005542
 80+ 	261.147710	179.661588	81.486122
Total	331556.985953	245826.134324	85730.851630
2030			
 0-4	964.719871	496.064070	468.655802
 5-9	1224.086404	636.664412	587.421993
 10-14 	1603.051517	847.876533	755.174984
 15-19 	7573.447355	4864.105396	2709.341959
 20-24 	18656.710858	12744.442815	5912.268042
 25-29 	23819.097400	17181.543194	6637.554206
 30-34 	28648.138459	21803.894154	6844.244305
 35-39 	40985.111161	31912.388197	9072.722963
 40-44 	50671.274829	38925.365337	11745.909492
 45-49 	50926.246646	37630.877152	13295.369493
 50-54 	39557.742349	29206.865647	10350.876702
 55-59 	28309.665341	21344.693809	6964.971532
 60-64 	19313.598819	14673.068890	4640.529929
 65-69 	11806.392488	8677.033851	3129.358637
 70-74 	5733.212794	4015.094116	1718.118679
 75-79 	1800.800224	1215.405625	585.394599
