SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 30-34 	77186.909729	37094.899148	40092.010581
 35-39 	56844.488723	28516.797926	28327.690796
 40-44 	37580.272865	18814.719751	18765.553115
 45-49 	23200.602618	11109.909771	12090.692848
 50-54 	14389.933837	6531.376591	7858.557247
 55-59 	8492.053006	3905.059875	4586.993132
 60-64 	5104.575790	2615.452961	2489.122828
 65-69 	3233.688920	1751.735833	1481.953088
 70-74 	2261.293497	1013.758287	1247.535210
 75-79 	711.866482	395.473644	316.392838
 80+ 	31.031180	26.599534	4.431647
Total	456826.915952	204166.056403	252660.859550
1994			
 0-4	24324.821079	12315.691031	12009.130048
 5-9	3255.541925	1645.277034	1610.264891
 10-14 	496.726661	250.919728	245.806933
 15-19 	48144.636025	14462.119172	33682.516853
 20-24 	143656.773568	54418.423117	89238.350451
 25-29 	162219.249121	69952.959769	92266.289352
 30-34 	131384.986025	62235.729880	69149.256145
 35-39 	97360.916992	48064.694011	49296.222981
 40-44 	65475.148478	32213.896302	33261.252176
 45-49 	40331.135321	18998.553527	21332.581793
 50-54 	25027.557570	11181.527903	13846.029667
 55-59 	14758.758030	6651.282531	8107.475499
 60-64 	8824.535594	4424.417917	4400.117677
 65-69 	5555.431897	2980.319268	2575.112629
 70-74 	3841.437694	1715.281767	2126.155926
 75-79 	1255.712067	677.926779	577.785289
 80+ 	63.377162	52.496142	10.881020
Total	775976.745207	342241.515876	433735.229331
1995			
 0-4	37939.745426	19207.560447	18732.184979
 5-9	5843.614012	2953.245898	2890.368114
 10-14 	998.741397	504.514206	494.227191
 15-19 	70564.920575	20858.924180	49705.996395
 20-24 	218114.097630	81545.678778	136568.418852
 25-29 	252804.211070	107682.286678	145121.924392
 30-34 	205718.592038	96403.326007	109315.266030
 35-39 	153108.304860	74602.052446	78506.252414
 40-44 	104804.152745	50753.815514	54050.337231
 45-49 	64965.409575	30109.515586	34855.893990
 50-54 	40061.950398	17615.925630	22446.024768
 55-59 	23704.831988	10475.244220	13229.587768
 60-64 	14053.397723	6889.145510	7164.252214
 65-69 	8782.332334	4653.929696	4128.402637
 70-74 	6003.280273	2681.258879	3322.021394
 75-79 	2036.771450	1067.249119	969.522331
 80+ 	121.155756	96.325835	24.829921
Total	1209625.509250	528099.998629	681525.510621
1996			
 0-4	54403.427805	27540.317101	26863.110704
 5-9	9694.809894	4899.421176	4795.388718
 10-14 	1873.935408	946.618157	927.317251
 15-19 	94366.372463	27484.005616	66882.366847
 20-24 	303269.721824	111985.239749	191284.482075
 25-29 	362122.031373	152856.352877	209265.678495
 30-34 	297389.758775	138231.999958	159157.758817
 35-39 	221831.328770	106940.067315	114891.261455
 40-44 	154607.514100	73779.862149	80827.651951
 45-49 	97208.010021	44341.175051	52866.834969
 50-54 	59208.300134	25613.380878	33594.919256
 55-59 	35294.571689	15293.897015	20000.674674
 60-64 	20687.928494	9901.213500	10786.714994
 65-69 	12821.495866	6688.540048	6132.955818
 70-74 	8657.203502	3877.782629	4779.420873
 75-79 	3049.351616	1547.432320	1501.919296
 80+ 	216.358300	164.066996	52.291304
Total	1736702.120034	752091.372536	984610.747498
1997			
 0-4	72369.475583	36632.617966	35736.857616
 5-9	14898.474116	7528.741097	7369.733019
 10-14 	3273.380987	1653.506226	1619.874761
 15-19 	115908.230076	33388.569974	82519.660101
 20-24 	389344.341895	142173.395899	247170.945996
 25-29 	480817.518281	201650.106554	279167.411726
 30-34 	400481.416898	185152.597038	215328.819860
 35-39 	298631.634685	142914.186987	155717.447697
 40-44 	211610.239956	99762.761231	111847.478725
 45-49 	135662.590453	61043.523027	74619.067426
 50-54 	81425.882785	34698.834345	46727.048439
 55-59 	48972.110427	20836.963594	28135.146834
 60-64 	28373.352573	13256.271480	15117.081094
 65-69 	17423.480165	8929.122583	8494.357582
 70-74 	11606.821646	5223.875039	6382.946607
 75-79 	4251.109063	2088.884268	2162.224795
 80+ 	359.337739	258.359600	100.978139
Total	2315409.397326	997192.316908	1318217.080418
1998			
 0-4	90520.275643	45816.945696	44703.329947
 5-9	21336.103758	10780.996474	10555.107283
 10-14 	5328.574412	2691.517511	2637.056901
 15-19 	132314.587734	37803.645299	94510.942434
