SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 65-69 	134731.039480	46804.891463	87926.148017
 70-74 	75898.592857	25599.527281	50299.065576
 75-79 	38687.251761	12831.187837	25856.063925
 80+ 	17842.047440	5589.308669	12252.738771
Total	7283361.955033	2998031.280852	4285330.674181
2019			
 0-4	42055.664672	21220.080722	20835.583950
 5-9	46578.203956	23427.483879	23150.720077
 10-14 	54392.370344	27355.779389	27036.590954
 15-19 	145441.978472	56116.118033	89325.860439
 20-24 	388228.903707	140751.607583	247477.296123
 25-29 	742591.504358	280875.275174	461716.229184
 30-34 	1122624.094352	452042.127048	670581.967304
 35-39 	1314063.950153	553583.615692	760480.334461
 40-44 	1181572.206503	514788.545758	666783.660746
 45-49 	855439.726030	382232.073798	473207.652232
 50-54 	571607.743939	249260.519270	322347.224669
 55-59 	375415.833166	150028.165131	225387.668036
 60-64 	248158.798213	89413.531848	158745.266365
 65-69 	146723.558072	50637.637735	96085.920337
 70-74 	81889.068500	27248.528393	54640.540107
 75-79 	41906.587422	13690.337689	28216.249733
 80+ 	19814.485053	6043.221579	13771.263474
Total	7378504.676912	3038714.648720	4339790.028192
2020			
 0-4	39436.764541	19905.961389	19530.803152
 5-9	42746.075790	21499.069654	21247.006135
 10-14 	51795.664274	26043.871787	25751.792487
 15-19 	145488.915690	56224.133240	89264.782450
 20-24 	380490.762902	138952.499908	241538.262994
 25-29 	709722.590046	269452.335636	440270.254410
 30-34 	1072978.674947	431939.655517	641039.019430
 35-39 	1300487.741143	546714.881484	753772.859659
 40-44 	1216159.330497	527386.017120	688773.313377
 45-49 	909373.941495	404208.431191	505165.510304
 50-54 	606509.562355	266036.294406	340473.267949
 55-59 	398892.427222	162019.144441	236873.282781
 60-64 	264085.072660	96016.785376	168068.287284
 65-69 	158933.127226	54574.723451	104358.403776
 70-74 	88443.844437	29060.118965	59383.725472
 75-79 	45085.837483	14503.245849	30582.591633
 80+ 	21901.809443	6519.677531	15382.131911
Total	7452532.142151	3071056.846947	4381475.295204
2021			
 0-4	37166.211027	18766.310482	18399.900545
 5-9	39223.843209	19727.890174	19495.953036
 10-14 	49063.637866	24665.088020	24398.549845
 15-19 	145909.731433	56383.446862	89526.284572
 20-24 	377012.361243	138471.204593	238541.156650
 25-29 	682344.395205	260498.778564	421845.616642
 30-34 	1022365.045423	412056.246921	610308.798502
 35-39 	1276368.048569	535869.652508	740498.396060
 40-44 	1239225.891651	535418.778358	703807.113293
 45-49 	960856.777296	424583.982421	536272.794875
 50-54 	643308.968497	283143.621978	360165.346518
 55-59 	423997.095640	174761.483629	249235.612010
 60-64 	278945.753294	102683.273397	176262.479897
 65-69 	171412.557822	58654.260603	112758.297219
 70-74 	95696.892707	31088.223317	64608.669390
 75-79 	48190.830284	15257.744850	32933.085434
 80+ 	24089.080876	7013.530230	17075.550646
Total	7515177.122042	3099043.516907	4416133.605135
2022			
 0-4	35185.019082	17771.417357	17413.601725
 5-9	36020.912317	18118.235040	17902.677277
 10-14 	46270.109287	23256.366618	23013.742668
 15-19 	146433.752184	56617.602589	89816.149596
 20-24 	376648.390857	138845.809295	237802.581562
 25-29 	660776.970194	253900.320903	406876.649291
 30-34 	973999.350446	393592.454894	580406.895552
 35-39 	1242469.577791	521392.368899	721077.208892
 40-44 	1250734.899112	538849.210751	711885.688361
 45-49 	1008215.444501	442928.069130	565287.375372
 50-54 	681891.839283	300408.878297	381482.960987
 55-59 	450762.635792	188145.667578	262616.968214
 60-64 	293278.931567	109591.474776	183687.456791
 65-69 	184034.721824	62873.730349	121160.991475
 70-74 	103553.744651	33308.323434	70245.421217
 75-79 	51350.169776	15993.522444	35356.647331
 80+ 	26356.857830	7515.914284	18840.943546
Total	7567983.326496	3123109.366640	4444873.959857
2023			
 0-4	33456.254460	16902.920526	16553.333933
 5-9	33132.193748	16667.187601	16465.006147
 10-14 	43441.176894	21830.982678	21610.194216
 15-19 	146490.183223	56793.934545	89696.248677
 20-24 	379608.002646	140099.391932	239508.610714
 25-29 	644605.447059	249384.029787	395221.417272
 30-34 	929900.944551	377270.261195	552630.683356
 35-39 	1199732.344516	503746.114595	695986.229921
 40-44 	1251317.973529	537938.932484	713379.041045
 45-49 	1049753.611789	458686.416107	591067.195682
 50-54 	721895.409671	317672.890709	404222.518962
 55-59 	478703.395122	201816.082247	276887.312875
 60-64 	308181.667729	117064.952031	191116.715698
 65-69 	196551.764390	67215.825066	129335.939324
 70-74 	111783.311194	35647.588229	76135.722965
 75-79 	54775.821230	16778.490035	37997.331195
 80+ 	28672.874875	8012.502228	20660.372648
Total	7612002.376625	3143528.501995	4468473.874630
2024			
 0-4	31946.975500	16144.423977	15802.551524
 5-9	30544.788742	15368.008446	15176.780295
 10-14 	40603.356176	20402.253310	20201.102866
 15-19 	144034.124497	55961.372939	88072.751559
 20-24 	383821.671563	141739.696207	242081.975357
 25-29 	636757.022940	247876.208757	388880.814183
 30-34 	891040.702645	363403.113676	527637.588969
 35-39 	1150513.413728	483928.012408	666585.401320
 40-44 	1241589.875441	532995.560476	708594.314965
 45-49 	1084037.942496	471355.959761	612681.982734
 50-54 	764317.720924	335665.729905	428651.991018
 55-59 	505967.067636	214563.464777	291403.602858
 60-64 	324587.952666	125349.394137	199238.558528
 65-69 	208665.523433	71655.231577	137010.291856
 70-74 	120221.364807	38056.362703	82165.002104
 75-79 	58631.742165	17666.712396	40965.029769
 80+ 	31022.690650	8494.603075	22528.087574
Total	7648303.936008	3160626.108528	4487677.827480
2025			
 0-4	30629.758239	15482.248585	15147.509654
 5-9	28240.675897	14211.459681	14029.216215
 10-14 	37807.402727	18995.620241	18811.782486
 15-19 	138933.221394	53856.099597	85077.121797
 20-24 	390064.557161	144443.008391	245621.548770
 25-29 	635011.651104	248337.666132	386673.984972
 30-34 	858056.072216	352129.545223	505926.526993
 35-39 	1098143.497773	463303.311081	634840.186692
 40-44 	1222284.472954	524358.862362	697925.610593
 45-49 	1109840.073293	480569.685873	629270.387420
 50-54 	807551.906831	352774.800420	454777.106411
 55-59 	533735.816198	227737.661790	305998.154408
 60-64 	342812.738453	134475.833067	208336.905386
 65-69 	220218.605293	76194.494280	144024.111013
 70-74 	128924.444599	40560.754037	88363.690561
 75-79 	62962.904934	18677.337429	44285.567505
 80+ 	33419.912132	8963.316842	24456.595291
Total	7678637.711197	3175071.705032	4503566.006165
2026			
 0-4	30059.288767	15196.782399	14862.506368
 5-9	26361.861147	13269.217835	13092.643311
 10-14 	35112.107813	17640.471433	17471.636380
 15-19 	132013.610676	50727.561096	81286.049580
 20-24 	395649.167949	147091.769276	248557.398672
 25-29 	639308.948102	250929.911843	388379.036259
 30-34 	831117.342477	343353.565676	487763.776801
 35-39 	1046272.017052	443319.061883	602952.955168
 40-44 	1194391.924465	512449.159167	681942.765298
 45-49 	1126128.304208	486031.301621	640097.002586
 50-54 	849463.661146	368824.171078	480639.490068
 55-59 	563637.710375	241322.372939	322315.337437
 60-64 	362899.353459	144365.720017	218533.633442
 65-69 	231170.915804	80858.412048	150312.503756
 70-74 	137920.943617	43181.140850	94739.802767
 75-79 	67826.042747	19834.459927	47991.582821
 80+ 	35874.437800	9419.826614	26454.611185
Total	7705207.637604	3187814.905704	4517392.731900
2027			
 0-4	30198.180868	15268.472885	14929.707984
 5-9	25016.597729	12595.751267	12420.846462
 10-14 	32598.370644	16377.418427	16220.952217
 15-19 	124341.314044	47006.192190	77335.121854
 20-24 	399601.521498	149259.156860	250342.364637
 25-29 	647580.558401	254944.450473	392636.107929
 30-34 	810745.295293	337122.779640	473622.515653
 35-39 	997921.171873	425126.484535	572794.687338
 40-44 	1158605.640915	497594.375208	661011.265706
 45-49 	1132862.474840	487715.644149	645146.830691
 50-54 	888507.895072	383443.186448	505064.708623
 55-59 	595632.589411	255202.870216	340429.719196
 60-64 	384788.177510	154915.610022	229872.567488
 65-69 	241964.579253	85789.186789	156175.392465
 70-74 	147115.672917	45918.918005	101196.754912
 75-79 	73143.185999	21117.547754	52025.638244
 80+ 	38461.318896	9884.737545	28576.581352
Total	7729084.545164	3199282.782413	4529801.762751
2028			
 0-4	30563.634090	15452.786218	15110.847872
 5-9	24177.693236	12176.930553	12000.762683
 10-14 	30362.653219	15254.919824	15107.733394
 15-19 	119226.554148	44472.281365	74754.272783
 20-24 	399346.472734	149412.535842	249933.936892
 25-29 	658144.662989	259709.823137	398434.839852
 30-34 	796938.092875	333452.805398	463485.287478
 35-39 	954772.155620	409313.332111	545458.823509
 40-44 	1115792.401661	480224.359884	635568.041777
 45-49 	1130585.331000	485855.899609	644729.431392
 50-54 	923166.357675	396163.405256	527002.952420
 55-59 	629472.502308	269289.530992	360182.971316
 60-64 	408015.778973	165825.423947	242190.355025
 65-69 	253490.031751	91236.005971	162254.025779
 70-74 	156314.010881	48764.754316	107549.256565
 75-79 	78751.406023	22478.874729	56272.531294
 80+ 	41290.426933	10388.234341	30902.192592
Total	7750410.166116	3209471.903493	4540938.262623
2029			
 0-4	30682.863841	15511.205664	15171.658177
 5-9	23666.901353	11922.487760	11744.413593
 10-14 	28463.376295	14302.178904	14161.197391
 15-19 	113006.221261	41409.554437	71596.666823
 20-24 	398814.576326	149272.017099	249542.559227
 25-29 	667018.911446	263853.566998	403165.344448
 30-34 	792285.547751	333250.378015	459035.169736
 35-39 	917604.540112	396121.388156	521483.151956
 40-44 	1068244.110534	461321.313735	606922.796798
 45-49 	1119936.400328	480785.691823	639150.708505
 50-54 	952207.866093	406571.468602	545636.397491
 55-59 	666025.420580	284219.470045	381805.950535
 60-64 	431014.114892	176102.250639	254911.864254
 65-69 	266515.460262	97394.383886	169121.076376
 70-74 	165289.127072	51708.251718	113580.875354
 75-79 	84548.654192	23890.621925	60658.032266
 80+ 	44443.858583	10952.496848	33491.361735
Total	7769767.950920	3218588.726255	4551179.224665
2030			
 0-4	30083.911627	15207.672616	14876.239011
 5-9	23190.532402	11684.552172	11505.980229
 10-14 	26893.497639	13515.356903	13378.140736
 15-19 	105294.329038	37621.134516	67673.194521
 20-24 	398457.927891	149008.493113	249449.434778
 25-29 	675088.593113	267865.180877	407223.412235
 30-34 	794292.736098	335442.104694	458850.631404
 35-39 	886690.314176	385570.092115	501120.222061
 40-44 	1018884.068914	442088.587824	576795.481090
 45-49 	1101414.764376	472742.374160	628672.390215
 50-54 	974436.503904	414302.231920	560134.271984
 55-59 	703861.122514	298623.899014	405237.223500
 60-64 	454673.476753	186835.776216	267837.700537
 65-69 	281272.750067	104285.115614	176987.634453
 70-74 	173905.575097	54752.854872	119152.720224
 75-79 	90578.702982	25370.110022	65208.592961
 80+ 	47932.723047	11580.819805	36351.903243
Total	7786951.529636	3226496.356454	4560455.173182
2031			
 0-4	29196.057870	14759.052635	14437.005235
 5-9	22658.552623	11417.995775	11240.556849
 10-14 	25593.275938	12864.139678	12729.136259
 15-19 	97203.443097	33658.356876	63545.086221
 20-24 	396579.717538	147882.683139	248697.034398
 25-29 	681616.112767	271295.261588	410320.851179
 30-34 	802423.873251	339961.663118	462462.210133
 35-39 	861898.221654	377479.920159	484418.301495
 40-44 	970848.749765	423772.116194	547076.633572
 45-49 	1075686.296496	462003.768142	613682.528354
 50-54 	988810.341977	419040.232654	569770.109322
 55-59 	740957.006960	312309.403692	428647.603269
 60-64 	480369.219150	197977.135110	282392.084040
 65-69 	297747.660749	111835.794100	185911.866650
 70-74 	182117.784549	57915.425167	124202.359382
 75-79 	96858.436807	26929.308108	69929.128699
 80+ 	51773.196721	12279.120622	39494.076099
Total	7802337.947913	3233381.376756	4568956.571157
2032			
 0-4	28243.963329	14278.626782	13965.336548
 5-9	22051.385733	11113.189092	10938.196640
 10-14 	24496.181554	12314.917498	12181.264056
 15-19 	92668.014401	31438.034580	61229.979821
 20-24 	389011.999266	143903.724541	245108.274725
 25-29 	687404.973438	274466.187471	412938.785967
 30-34 	814242.008071	345858.267427	468383.740644
 35-39 	843651.970117	371924.464619	471727.505498
 40-44 	926711.102406	407345.016872	519366.085535
 45-49 	1043226.848024	448800.689446	594426.158578
 50-54 	995160.812619	420701.827900	574458.984719
 55-59 	775852.286393	324930.720744	450921.565649
 60-64 	508084.213595	209431.008663	298653.204932
 65-69 	315829.260474	119951.012982	195878.247492
 70-74 	190263.992995	61295.080954	128968.912041
 75-79 	103304.182723	28566.539933	74737.642790
 80+ 	55944.361459	13041.268555	42903.092904
Total	7816147.556597	3239360.578058	4576786.978539
2033			
 0-4	27327.122887	13816.403403	13510.719483
 5-9	21378.266806	10774.987210	10603.279596
 10-14 	23538.779183	11835.672595	11703.106588
 15-19 	93029.008174	31643.841027	61385.167147
 20-24 	378729.234463	138713.128336	240016.106127
 25-29 	689428.927943	275606.614776	413822.313167
 30-34 	827509.265545	352118.980726	475390.284819
 35-39 	832068.379390	369036.748257	463031.631133
 40-44 	887820.804297	393253.806010	494566.998287
 45-49 	1004735.043464	433483.331820	571251.711645
 50-54 	993826.418626	419427.957129	574398.461497
 55-59 	807159.996662	336074.019299	471085.977363
 60-64 	537623.929367	221131.638918	316492.290449
 65-69 	335109.910463	128386.956248	206722.954216
 70-74 	199035.345378	65064.525411	133970.819967
 75-79 	109755.974616	30273.265315	79482.709301
 80+ 	60400.602379	13853.922377	46546.680002
Total	7828477.009642	3244495.798856	4583981.210786
2034			
 0-4	26481.053356	13390.112481	13090.940875
 5-9	20651.473602	10409.558100	10241.915502
 10-14 	22667.614488	11399.445333	11268.169155
 15-19 	93203.467320	31769.109399	61434.357921
 20-24 	368166.853125	133483.583583	234683.269542
 25-29 	691465.179858	276491.725754	414973.454104
 30-34 	837640.433402	357017.500441	480622.932961
 35-39 	829486.259150	369670.420360	459815.838789
 40-44 	854611.304557	381594.861451	473016.443105
 45-49 	962098.269437	416851.744743	545246.524694
 50-54 	985137.139990	415407.809234	569729.330756
 55-59 	833660.994297	345319.813731	488341.180567
 60-64 	569610.034865	233551.465174	336058.569691
 65-69 	354281.655681	136348.414321	217933.241361
 70-74 	209017.531499	69354.335252	139663.196247
 75-79 	116031.222711	32039.672464	83991.550247
 80+ 	65118.126722	14711.147439	50406.979284
Total	7839328.614060	3248810.719261	4590517.894800
2035			
 0-4	25720.638815	13007.138652	12713.500164
 5-9	19880.548907	10021.935816	9858.613091
 10-14 	21840.764719	10985.207170	10855.557549
 15-19 	92864.013615	31656.575915	61207.437700
 20-24 	357111.746681	128069.195062	229042.551619
 25-29 	694040.742053	277382.944713	416657.797340
 30-34 	845543.342505	361027.671318	484515.671187
 35-39 	833490.092109	372801.170195	460688.921913
 40-44 	827192.501578	372328.249608	454864.251969
 45-49 	917903.859392	399962.696741	517941.162652
 50-54 	969428.934077	408801.887489	560627.046588
 55-59 	854234.867535	352326.191453	501908.676081
 60-64 	602843.949870	245584.087403	357259.862467
 65-69 	373990.864885	144681.821668	229309.043217
 70-74 	220394.119875	74178.853726	146215.266149
 75-79 	122039.590077	33870.508537	88169.081540
 80+ 	70129.656653	15624.538141	54505.118512
Total	7848650.233343	3252310.673606	4596339.559737
2036			
 0-4	25051.190019	12670.087093	12381.102926
 5-9	19100.598725	9629.832830	9470.765895
 10-14 	21037.855613	10582.746039	10455.109574
 15-19 	92483.969042	31527.822392	60956.146650
 20-24 	346128.240424	122763.315008	223364.925415
 25-29 	694149.696320	276959.236964	417190.459356
 30-34 	852037.133545	364410.640394	487626.493151
 35-39 	843453.521780	378296.029535	465157.492245
 40-44 	805404.503373	365288.687778	440115.815595
 45-49 	874992.486521	383936.348278	491056.138243
 50-54 	947242.913867	399835.192921	547407.720946
 55-59 	867940.860885	356815.019933	511125.840952
 60-64 	635527.434419	257065.224887	378462.209532
 65-69 	395416.780477	153333.468148	242083.312329
 70-74 	233151.020913	79486.104371	153664.916542
 75-79 	127765.715715	35780.878657	91984.837057
 80+ 	75457.406850	16605.029674	58852.377176
Total	7856341.328487	3254985.664903	4601355.663583
2037			
 0-4	24465.246590	12375.135979	12090.110611
 5-9	18339.513147	9247.291186	9092.221961
 10-14 	20244.491179	10184.866379	10059.624800
 15-19 	92512.599410	31593.272873	60919.326537
 20-24 	339340.178838	119588.098082	219752.080756
 25-29 	685877.628499	272409.518844	413468.109655
 30-34 	859059.901960	368035.313747	491024.588213
 35-39 	856926.480904	385140.315828	471786.165076
 40-44 	789644.372634	360581.755074	429062.617561
 45-49 	835676.723519	369627.402233	466049.321286
 50-54 	918950.820997	388692.269083	530258.551914
 55-59 	874568.699307	358686.303796	515882.395511
 60-64 	666354.530955	267704.607200	398649.923755
 65-69 	418578.286763	162233.095655	256345.191108
 70-74 	247178.435798	85202.459808	161975.975990
 75-79 	133462.636373	37834.049873	95628.586500
 80+ 	81031.346523	17648.148139	63383.198384
Total	7862211.893398	3256783.903779	4605427.989619
2038			
 0-4	23947.202662	12114.365787	11832.836875
 5-9	17615.918841	8883.675257	8732.243584
 10-14 	19451.949629	9787.236732	9664.712897
 15-19 	92985.806476	31872.938915	61112.867561
 20-24 	338107.762075	119107.314773	219000.447302
 25-29 	672583.244082	265711.746760	406871.497322
 30-34 	863177.209113	369952.998027	493224.211086
 35-39 	871557.585741	392200.483140	479357.102601
 40-44 	780084.017720	358404.884414	421679.133306
 45-49 	801144.292503	357403.292812	443740.999691
 50-54 	885140.324408	375666.521245	509473.803163
 55-59 	874335.227625	358026.255473	516308.972152
 60-64 	694107.110191	277158.048105	416949.062086
 65-69 	443336.696044	171337.077982	271999.618062
 70-74 	262154.741597	91148.393831	171006.347767
 75-79 	139628.559648	40136.291822	99492.267827
 80+ 	86718.536789	18741.954362	67976.582427
Total	7866076.185145	3257653.479436	4608422.705709
2039			
 0-4	23536.942794	11907.987216	11628.955578
 5-9	16954.968283	8551.672101	8403.296182
 10-14 	18658.390225	9389.015716	9269.374509
 15-19 	93600.288907	32223.192824	61377.096083
 20-24 	336661.069925	118526.997106	218134.072820
 25-29 	659022.149484	258991.358790	400030.790694
 30-34 	867151.616993	371607.464544	495544.152450
 35-39 	882651.344741	397622.114602	485029.230139
 40-44 	778895.645889	359570.657664	419324.988225
 45-49 	771744.272488	347325.323065	424418.949423
 50-54 	847491.748961	361453.342238	486038.406723
 55-59 	867475.670911	354977.873809	512497.797101
 60-64 	717712.335930	285066.583638	432645.752291
 65-69 	470137.525968	180984.880069	289152.645899
 70-74 	277078.546243	96745.715428	180332.830816
 75-79 	146681.242552	42767.028500	103914.214053
 80+ 	92393.054304	19878.907076	72514.147227
Total	7867846.814598	3257590.114385	4610256.700213
2040			
 0-4	23308.286095	11793.065891	11515.220205
 5-9	16396.586022	8271.369826	8125.216195
 10-14 	17864.512688	8990.604583	8873.908105
 15-19 	93866.642474	32398.440407	61468.202067
 20-24 	335227.792174	117963.774186	217264.017988
 25-29 	645148.476735	252167.355930	392981.120805
 30-34 	871353.941058	373207.359635	498146.581423
 35-39 	891007.551174	401804.094868	489203.456306
 40-44 	783848.971073	363147.280585	420701.690488
 45-49 	747575.399120	339361.096598	408214.302521
 50-54 	808314.954203	346973.853288	461341.100915
 55-59 	854263.612610	349668.809672	504594.802938
 60-64 	736187.615604	291141.432106	445046.183498
 65-69 	498053.444961	190350.069901	307703.375060
 70-74 	292388.860406	102617.425207	189771.435199
 75-79 	154752.279374	45734.848009	109017.431365
 80+ 	98033.297427	21069.456140	76963.841287
Total	7867592.223198	3256660.336833	4610931.886365
2041			
 0-4	23211.913630	11744.592915	11467.320715
 5-9	15958.196614	8051.479028	7906.717586
 10-14 	17096.748887	8605.345469	8491.403418
 15-19 	93590.524159	32300.407124	61290.117035
 20-24 	334192.240945	117600.511396	216591.729549
 25-29 	632039.117591	245784.802197	386254.315394
 30-34 	872141.207996	373081.806878	499059.401118
 35-39 	898044.173785	405332.709962	492711.463823
 40-44 	794390.725066	369003.720019	425387.005046
 45-49 	728528.048004	333389.798749	395138.249255
 50-54 	770180.969233	333217.989417	436962.979816
 55-59 	835166.235138	342289.317870	492876.917268
 60-64 	748722.638240	295154.398006	453568.240233
 65-69 	525554.816636	199310.156693	326244.659942
 70-74 	309065.616279	108714.581766	200351.034513
 75-79 	163821.846502	49005.763592	114816.082910
 80+ 	103662.542491	22328.813962	81333.728528
Total	7865367.561194	3254916.195044	4610451.366150
2042			
 0-4	23170.076158	11723.293183	11446.782975
 5-9	15631.274924	7887.624403	7743.650521
 10-14 	16380.942402	8246.247818	8134.694583
 15-19 	92717.861253	31904.584816	60813.276436
 20-24 	333817.567607	117552.210037	216265.357570
 25-29 	623879.668100	241949.373896	381930.294204
 30-34 	863684.761804	368386.481068	495298.280736
 35-39 	905898.586457	409206.240763	496692.345694
 40-44 	808259.703570	376165.600915	432094.102655
 45-49 	715020.259465	329551.128297	385469.131168
 50-54 	735221.585954	320950.667400	414270.918554
 55-59 	810516.031304	333004.041681	477511.989623
 60-64 	755117.538111	297013.668641	458103.869470
 65-69 	551537.417655	207646.356954	343891.060701
 70-74 	327152.443899	114991.332241	212161.111658
 75-79 	173791.287494	52530.519748	121260.767746
 80+ 	109416.753862	23688.545614	85728.208248
Total	7861213.760017	3252397.917475	4608815.842543
2043			
 0-4	23100.190796	11687.570328	11412.620468
 5-9	15394.923740	7769.226539	7625.697202
 10-14 	15739.525820	7924.591770	7814.934051
 15-19 	91216.818360	31200.801711	60016.016649
 20-24 	334265.484051	117886.811027	216378.673024
 25-29 	621778.136805	241092.988810	380685.147995
 30-34 	849457.083532	361140.992789	488316.090743
 35-39 	911299.613908	411605.527015	499694.086893
 40-44 	823192.495473	383491.808824	439700.686649
 45-49 	707262.034038	328071.877462	379190.156576
 50-54 	704577.249129	310513.600594	394063.648535
 55-59 	780847.162737	322073.797041	458773.365695
 60-64 	755526.668516	296776.541988	458750.126528
 65-69 	574993.793294	215099.344637	359894.448657
 70-74 	346564.194447	121422.258111	225141.936336
 75-79 	184429.017076	56193.671678	128235.345398
 80+ 	115540.546081	25197.122734	90343.423347
Total	7855184.937805	3249148.533060	4606036.404745
2044			
 0-4	22933.773119	11603.035055	11330.738064
 5-9	15213.234244	7678.147419	7535.086826
 10-14 	15187.321339	7647.801179	7539.520159
 15-19 	89303.279040	30300.476513	59002.802528
 20-24 	335284.258629	118474.241564	216810.017066
 25-29 	619458.463334	240140.444766	379318.018568
 30-34 	835177.540643	353975.619262	481201.921381
 35-39 	916439.278258	413735.216364	502704.061895
 40-44 	834732.676684	389174.955871	445557.720813
 45-49 	707239.062929	329693.400142	377545.662788
 50-54 	678614.939421	301980.251676	376634.687745
 55-59 	747690.488805	310111.433000	437579.055805
 60-64 	750136.888074	294556.303565	455580.584509
 65-69 	595039.981679	221389.884206	373650.097474
 70-74 	367594.418560	128224.434307	239369.984253
 75-79 	195037.145420	59624.416503	135412.728917
 80+ 	122213.475326	26888.784682	95324.690644
Total	7847296.225506	3245198.846074	4602097.379432
2045			
 0-4	22639.477660	11454.039781	11185.437879
 5-9	15041.068643	7591.644328	7449.424315
 10-14 	14725.346971	7416.335923	7309.011048
 15-19 	87293.990011	29359.229053	57934.760957
 20-24 	336245.848439	119014.764870	217231.083569
 25-29 	616990.756195	239119.552154	377871.204041
 30-34 	820996.533138	346914.141473	474082.391666
 35-39 	921525.630462	415728.799651	505796.830811
 40-44 	843609.204297	393552.176167	450057.028130
 45-49 	712894.587856	333566.580290	379328.007566
 50-54 	657450.729800	295335.316468	362115.413332
 55-59 	713125.420298	297917.679418	415207.740879
 60-64 	739185.312314	290456.273431	448729.038883
 65-69 	610862.117909	226294.320617	384567.797291
 70-74 	389589.838087	134842.952286	254746.885801
 75-79 	205883.271221	63239.436149	142643.835072
 80+ 	129480.272684	28767.524009	100712.748675
Total	7837539.405985	3240570.766067	4596968.639917
2046			
 0-4	22298.116562	11281.592262	11016.524300
 5-9	14855.326125	7498.289212	7357.036912
 10-14 	14338.905548	7222.807530	7116.098018
 15-19 	85475.166840	28515.159178	56960.007662
 20-24 	336534.347559	119222.931134	217311.416425
 25-29 	614945.411719	238294.231139	376651.180580
 30-34 	807838.232859	340421.014921	467417.217937
 35-39 	922971.378917	415910.830356	507060.548562
 40-44 	851367.423746	397317.100069	454050.323677
 45-49 	723720.664477	339556.186262	384164.478215
 50-54 	640987.636716	290477.528939	350510.107777
 55-59 	679462.496509	286349.760561	393112.735948
 60-64 	723068.449417	284630.223560	438438.225857
 65-69 	621792.651200	229637.572075	392155.079125
 70-74 	411320.131203	141196.972448	270123.158755
 75-79 	217749.675763	67000.014674	150749.661090
 80+ 	137306.898395	30816.985692	106489.912703
Total	7826032.913556	3235349.200011	4590683.713545
2047			
 0-4	21954.514560	11108.207106	10846.307454
 5-9	14648.122363	7394.087908	7254.034455
 10-14 	14007.925584	7057.100474	6950.825110
 15-19 	84136.542202	27905.246540	56231.295662
 20-24 	335658.847580	118873.018088	216785.829492
 25-29 	613758.325284	237865.369232	375892.956052
 30-34 	799473.683144	336401.031201	463072.651943
 35-39 	915311.514026	411600.358880	503711.155146
 40-44 	860125.847985	401479.081766	458646.766219
 45-49 	737620.061728	346741.696534	390878.365194
 50-54 	629573.537164	287523.229395	342050.307770
 55-59 	648627.613296	276068.458330	372559.154966
 60-64 	702059.038701	277210.236346	424848.802355
 65-69 	627647.402119	231339.019832	396308.382287
 70-74 	431905.569917	147136.597455	284768.972462
 75-79 	230687.231194	70877.817636	159809.413558
 80+ 	145675.858845	33020.462018	112655.396827
Total	7812871.635693	3229601.018743	4583270.616951
2048			
 0-4	21628.496063	10943.802887	10684.693175
 5-9	14414.885487	7276.708381	7138.177105
 10-14 	13715.305880	6910.583756	6804.722124
 15-19 	83128.086076	27454.916304	55673.169772
 20-24 	333559.759772	117949.833408	215609.926364
 25-29 	613772.254687	237991.425025	375780.829662
 30-34 	797049.831180	335296.859592	461752.971589
 35-39 	901757.458593	404622.364393	497135.094200
 40-44 	866757.115537	404378.539874	462378.575663
 45-49 	752436.894536	354014.982579	398421.911957
 50-54 	623359.229242	286667.552634	336691.676608
 55-59 	621659.280711	267365.603922	354293.676789
 60-64 	676607.645067	268408.661377	408198.983690
 65-69 	628520.787140	231428.162195	397092.624945
 70-74 	450561.495463	152482.471376	298079.024087
 75-79 	244638.395972	74855.928588	169782.467385
 80+ 	154575.307252	35336.191498	119239.115755
Total	7798142.228658	3223384.587787	4574757.640871
2049			
 0-4	21330.824877	10793.759507	10537.065371
 5-9	14154.396254	7145.593216	7008.803037
 10-14 	13438.690025	6771.993815	6666.696211
 15-19 	82325.700824	27106.433128	55219.267696
 20-24 	330585.547246	116624.207158	213961.340089
 25-29 	614721.772807	238546.910147	376174.862660
 30-34 	794525.640597	334134.554372	460391.086225
 35-39 	888220.446904	397739.146171	490481.300733
 40-44 	872963.792776	406971.960502	465991.832274
 45-49 	764056.500510	359703.243870	404353.256640
 50-54 	624071.059711	288532.169159	335538.890551
 55-59 	598876.586993	260295.847505	338580.739488
 60-64 	648054.500356	258736.492522	389318.007834
 65-69 	624538.759783	229980.700664	394558.059119
 70-74 	466601.745030	157034.156489	309567.588541
 75-79 	259744.200408	79045.703286	180698.497123
 80+ 	163688.434585	37581.196849	126107.237736
Total	7781898.599687	3216744.068360	4565154.531327
2050			
 0-4	21082.596775	10668.730729	10413.866045
 5-9	13877.888562	7006.441462	6871.447100
 10-14 	13167.377936	6635.967064	6531.410871
 15-19 	81687.080381	26839.968258	54847.112123
 20-24 	327214.056259	115125.163330	212088.892930
 25-29 	615763.340014	239135.174843	376628.165171
 30-34 	791982.279911	332951.492312	459030.787599
 35-39 	874952.212998	391039.780173	483912.432825
 40-44 	878889.337213	409347.909125	469541.428087
 45-49 	773154.698978	364102.935385	409051.763593
 50-54 	629806.170492	292345.351165	337460.819327
 55-59 	580373.016530	254839.124234	325533.892296
 60-64 	618215.670876	248859.977479	369355.693397
