SouthAfricaIC2	Total	Male	Female
 50-54 	215537.394920	100236.122505	115301.272415
 55-59 	134078.887778	61927.566046	72151.321733
 60-64 	77563.847194	36967.557340	40596.289854
 65-69 	44036.307420	21886.952448	22149.354972
 70-74 	29313.445428	13399.174056	15914.271372
 75-79 	16315.132603	6952.792063	9362.340540
 80+ 	5686.387725	2254.156323	3432.231402
Total	3883824.411620	1670405.182562	2213419.229058
2043			
 0-4	21758.483466	11014.609966	10743.873501
 5-9	13069.069655	6605.529456	6463.540198
 10-14 	10838.077963	5473.227296	5364.850668
 15-19 	77351.492772	24375.451464	52976.041308
 20-24 	327323.202341	113828.130336	213495.072005
 25-29 	609093.869065	235560.487711	373533.381354
 30-34 	732810.139491	308618.191168	424191.948323
 35-39 	686987.574975	308097.738325	378889.836649
 40-44 	533651.683446	248824.966782	284826.716664
 45-49 	350994.328964	165369.130292	185625.198671
 50-54 	215265.670543	99968.065441	115297.605102
 55-59 	135015.484521	62152.609085	72862.875437
 60-64 	79867.395593	37981.820472	41885.575121
 65-69 	45342.528096	22572.148976	22770.379120
 70-74 	29518.922195	13625.160580	15893.761615
 75-79 	16303.117686	7038.765247	9264.352439
 80+ 	5605.106066	2254.635187	3350.470879
Total	3890796.146838	1673360.667784	2217435.479053
2044			
 0-4	21550.800978	10909.491360	10641.309617
 5-9	12916.238002	6528.315295	6387.922707
 10-14 	10671.539061	5389.243587	5282.295474
 15-19 	77100.855377	24296.008467	52804.846910
 20-24 	324729.207979	112695.211398	212033.996581
 25-29 	607110.760731	234763.658254	372347.102477
 30-34 	733667.377181	308971.934327	424695.442853
 35-39 	684700.408538	306954.567518	377745.841021
 40-44 	539436.710606	251416.538039	288020.172566
 45-49 	354143.570879	166702.706235	187440.864645
 50-54 	215000.957522	99718.224743	115282.732779
 55-59 	135468.192486	62163.127837	73305.064649
 60-64 	81978.482260	38887.227729	43091.254531
 65-69 	46849.006828	23334.364364	23514.642463
 70-74 	29888.708684	13922.020480	15966.688204
 75-79 	16277.701297	7102.027556	9175.673741
 80+ 	5530.590092	2259.293353	3271.296740
Total	3897021.108501	1676013.960542	2221007.147959
2045			
 0-4	21360.866172	10813.359277	10547.506895
 5-9	12771.792107	6455.335077	6316.457030
 10-14 	10517.011915	5311.303321	5205.708594
 15-19 	76977.526251	24278.598926	52698.927325
 20-24 	322294.238441	111631.101867	210663.136574
 25-29 	604692.800069	233770.848206	370921.951863
 30-34 	733962.600621	309107.314453	424855.286167
 35-39 	684195.692733	306633.112416	377562.580317
 40-44 	541542.112558	252319.967236	289222.145322
 45-49 	359305.206791	168984.037929	190321.168862
 50-54 	214711.501529	99464.142413	115247.359116
 55-59 	135617.977191	62053.843783	73564.133408
 60-64 	83823.374415	39651.007933	44172.366482
 65-69 	48503.912404	24150.028387	24353.884017
 70-74 	30405.600848	14248.225173	16157.375675
 75-79 	16272.077183	7190.884710	9081.192473
 80+ 	5470.419702	2270.505578	3199.914125
Total	3902424.710930	1678333.616686	2224091.094244
2046			
 0-4	21184.342974	10724.015272	10460.327702
 5-9	12636.151876	6386.802599	6249.349277
 10-14 	10373.099771	5238.705696	5134.394074
 15-19 	76932.217214	24298.250966	52633.966249
 20-24 	320177.887224	110718.152934	209459.734290
 25-29 	601852.480654	232577.715343	369274.765312
 30-34 	733469.842729	308912.459280	424557.383449
 35-39 	685084.006006	306972.501392	378111.504614
 40-44 	540735.438379	251875.712500	288859.725878
 45-49 	365949.405695	171973.252467	193976.153228
 50-54 	214493.398236	99244.942126	115248.456110
 55-59 	135663.947106	61922.872224	73741.074882
 60-64 	85362.365434	40256.834428	45105.531006
 65-69 	50233.115764	24985.042662	25248.073102
 70-74 	31063.829145	14624.693193	16439.135952
 75-79 	16317.026787	7295.973398	9021.053388
 80+ 	5428.781872	2289.020925	3139.760946
Total	3906957.336866	1680296.947408	2226660.389458
2047			
 0-4	21016.947649	10639.288628	10377.659021
 5-9	12509.031537	6322.573935	6186.457602
 10-14 	10238.838909	5170.967872	5067.871037
