Workshop_1_Demo	Total	Male	Female
 45-49 	5500.117661	2791.585350	2708.532311
 50-54 	4415.369821	2196.605543	2218.764278
 55-59 	3556.663551	1686.051015	1870.612535
 60-64 	2730.620333	1253.268213	1477.352120
 65-69 	1921.950023	819.683162	1102.266861
 70-74 	1234.534953	474.857231	759.677722
 75-79 	685.910907	239.157404	446.753502
 80+ 	523.065272	159.918576	363.146696
Total	106118.979206	52632.333003	53486.646203
1978			
 0-4	9627.274251	4827.356892	4799.917359
 5-9	9718.992968	4859.697640	4859.295328
 10-14 	6131.068549	3078.953535	3052.115013
 15-19 	12794.451144	6448.739621	6345.711523
 20-24 	13878.493367	6990.650772	6887.842595
 25-29 	11715.816355	5921.954776	5793.861579
 30-34 	9538.823640	4812.882844	4725.940796
 35-39 	8107.193631	4049.215389	4057.978242
 40-44 	6769.008265	3375.944840	3393.063425
 45-49 	5667.181595	2863.371236	2803.810359
 50-54 	4549.948122	2273.940009	2276.008114
 55-59 	3624.780160	1721.023732	1903.756428
 60-64 	2811.613522	1287.900683	1523.712839
 65-69 	1960.734585	839.833556	1120.901029
 70-74 	1275.466566	489.639262	785.827304
 75-79 	699.120942	242.045325	457.075617
 80+ 	530.151522	160.493055	369.658467
Total	109400.119183	54243.643166	55156.476018
1979			
 0-4	9845.900553	4937.205030	4908.695523
 5-9	10000.273329	5006.229171	4994.044158
 10-14 	6327.254693	3165.509558	3161.745135
 15-19 	13154.770584	6630.742497	6524.028087
 20-24 	14316.506810	7206.380178	7110.126632
 25-29 	12216.232598	6169.669396	6046.563202
 30-34 	9863.479669	4981.738729	4881.740940
 35-39 	8359.254699	4180.640751	4178.613949
 40-44 	6962.640489	3462.857927	3499.782562
 45-49 	5833.028901	2932.314020	2900.714882
 50-54 	4693.090018	2351.953818	2341.136200
 55-59 	3701.517819	1763.381679	1938.136140
 60-64 	2888.073145	1320.044209	1568.028936
 65-69 	2007.044265	862.535736	1144.508529
 70-74 	1313.636828	504.299527	809.337300
 75-79 	717.410756	246.825469	470.585287
 80+ 	537.590981	161.100494	376.490488
Total	112737.706136	55883.428187	56854.277949
1980			
 0-4	10068.787306	5049.659675	5019.127631
 5-9	10251.150820	5126.101728	5125.049092
 10-14 	6535.241742	3270.308184	3264.933558
 15-19 	13536.912572	6822.819328	6714.093244
 20-24 	14739.793493	7416.743208	7323.050285
 25-29 	12722.267889	6418.880731	6303.387158
 30-34 	10235.333658	5173.091172	5062.242486
 35-39 	8610.447493	4313.942540	4296.504953
 40-44 	7173.545576	3561.780837	3611.764739
 45-49 	5998.696375	2999.742068	2998.954307
 50-54 	4845.192311	2430.240431	2414.951880
 55-59 	3789.307375	1814.300168	1975.007206
 60-64 	2959.863761	1350.141076	1609.722685
 65-69 	2062.042781	887.997400	1174.045381
 70-74 	1348.975474	518.938890	830.036584
 75-79 	740.833236	253.485680	487.347556
 80+ 	545.768493	161.912768	383.855725
Total	116164.160354	57570.085885	58594.074469
1981			
 0-4	10302.463131	5168.270573	5134.192559
 5-9	10506.276863	5261.423755	5244.853108
 10-14 	6742.417485	3368.045568	3374.371917
 15-19 	13954.286404	7028.588078	6925.698327
 20-24 	15165.185870	7632.855009	7532.330861
 25-29 	13230.459136	6670.946257	6559.512880
 30-34 	10686.357055	5404.921503	5281.435553
 35-39 	8866.552170	4453.132297	4413.419873
 40-44 	7416.977255	3682.500619	3734.476636
 45-49 	6168.822563	3070.988722	3097.833840
 50-54 	5007.015957	2507.685052	2499.330905
 55-59 	3897.243667	1878.741851	2018.501816
 60-64 	3023.861246	1378.039201	1645.822045
 65-69 	2130.793977	917.736228	1213.057749
 70-74 	1379.602422	533.263458	846.338964
 75-79 	770.514398	262.461742	508.052656
 80+ 	555.016256	163.099922	391.916334
Total	119803.845855	59382.699835	60421.146020
1982			
 0-4	10545.504675	5291.914747	5253.589928
 5-9	10767.221931	5392.683195	5374.538736
 10-14 	6942.354443	3466.366044	3475.988400
 15-19 	14414.164147	7254.754784	7159.409363
 20-24 	15599.421202	7855.212272	7744.208930
 25-29 	13732.259052	6920.532835	6811.726216
 30-34 	11181.466132	5657.958837	5523.507295
 35-39 	9143.098780	4603.379345	4539.719435
 40-44 	7679.389543	3816.409773	3862.979770
 45-49 	6347.521944	3148.194623	3199.327321
 50-54 	5175.306115	2584.423425	2590.882690
 55-59 	4019.862815	1950.646099	2069.216716
 60-64 	3088.394966	1408.112330	1680.282636
 65-69 	2205.488794	949.059970	1256.428824
 70-74 	1411.030907	548.465823	862.565084
 75-79 	802.650699	272.525272	530.125427
 80+ 	566.497758	165.014096	401.483662
Total	123621.633903	61285.653470	62335.980433
1983			
 0-4	10795.098952	5418.861135	5376.237817
 5-9	11030.896421	5525.924974	5504.971448
 10-14 	7139.382204	3564.738274	3574.643930
 15-19 	14915.913682	7497.197490	7418.716192
 20-24 	16052.977047	8087.290382	7965.686665
 25-29 	14226.717378	7167.280296	7059.437082
 30-34 	11705.353201	5923.892096	5781.461105
 35-39 	9455.069536	4771.106870	4683.962666
 40-44 	7951.668570	3958.336421	3993.332149
 45-49 	6540.412812	3234.506582	3305.906229
 50-54 	5348.414299	2660.632673	2687.781626
 55-59 	4155.259374	2027.107030	2128.152344
 60-64 	3159.135670	1443.632601	1715.503069
 65-69 	2281.231936	980.152172	1301.079763
 70-74 	1447.297667	565.532615	881.765052
 75-79 	834.872701	283.063941	551.808760
 80+ 	581.106422	167.880215	413.226207
Total	127620.807872	63277.135767	64343.672105
1984			
 0-4	11044.527070	5545.599617	5498.927454
 5-9	11304.176049	5664.497151	5639.678898
 10-14 	7343.151990	3670.333856	3672.818134
 15-19 	15443.771754	7745.387244	7698.384509
 20-24 	16537.061724	8332.291897	8204.769827
 25-29 	14705.170043	7405.100027	7300.070016
 30-34 	12239.453686	6191.237181	6048.216505
 35-39 	9808.936076	4957.179402	4851.756674
 40-44 	8224.898153	4102.083859	4122.814294
 45-49 	6748.236153	3329.991623	3418.244530
 50-54 	5522.470009	2734.656264	2787.813745
 55-59 	4300.700168	2104.813923	2195.886246
 60-64 	3239.387546	1486.191172	1753.196374
 65-69 	2355.054282	1010.018443	1345.035839
 70-74 	1490.731783	584.880479	905.851304
 75-79 	865.857729	293.729504	572.128225
 80+ 	599.311798	171.789713	427.522084
Total	131772.896014	65329.781355	66443.114659
1985			
 0-4	11288.627782	5669.572409	5619.055372
 5-9	11589.750293	5809.575565	5780.174728
 10-14 	7529.687591	3759.530449	3770.157143
 15-19 	16002.426345	8012.126035	7990.300311
 20-24 	17065.370754	8595.547963	8469.822792
 25-29 	15160.291727	7627.900875	7532.390852
 30-34 	12770.613102	6450.940273	6319.672828
 35-39 	10203.541807	5158.816054	5044.725753
 40-44 	8493.119181	4242.614770	4250.504412
 45-49 	6968.911065	3432.765521	3536.145543
 50-54 	5693.685867	2804.346757	2889.339110
 55-59 	4453.661410	2181.290995	2272.370415
 60-64 	3329.752385	1535.656117	1794.096268
 65-69 	2426.290254	1038.613040	1387.677214
 70-74 	1541.805577	606.385947	935.419630
 75-79 	895.449083	304.465278	590.983805
 80+ 	621.010553	176.677136	444.333417
Total	136033.994776	67406.825182	68627.169594
1986			
 0-4	11514.872571	5783.704386	5731.168184
 5-9	11877.288003	5955.042976	5922.245027
 10-14 	7717.827170	3858.714257	3859.112914
 15-19 	16519.280882	8240.817195	8278.463687
 20-24 	17621.169077	8857.802466	8763.366611
 25-29 	15582.940516	7832.538768	7750.401747
 30-34 	13265.137001	6687.758265	6577.378736
 35-39 	10644.881581	5378.950486	5265.931095
 40-44 	8742.086033	4371.088111	4370.997922
 45-49 	7201.686609	3541.924196	3659.762413
 50-54 	5854.087047	2866.425120	2987.661927
 55-59 	4607.049941	2250.283976	2356.765964
 60-64 	3433.486182	1593.294037	1840.192145
 65-69 	2489.541790	1064.211956	1425.329834
 70-74 	1602.575396	630.126671	972.448725
 75-79 	921.384058	314.686132	606.697926
 80+ 	646.209930	182.478376	463.731554
Total	140241.503785	69409.847374	70831.656412
1987			
 0-4	11720.985498	5888.087302	5832.898196
 5-9	12163.933581	6100.143992	6063.789588
 10-14 	7909.351025	3954.657031	3954.693994
 15-19 	17002.816397	8470.319051	8532.497347
 20-24 	18211.347918	9130.703597	9080.644321
 25-29 	15991.377907	8022.092551	7969.285357
 30-34 	13727.794124	6899.825864	6827.968260
 35-39 	11109.281484	5602.453593	5506.827891
 40-44 	8993.368334	4496.499564	4496.868770
 45-49 	7437.817792	3652.777279	3785.040513
 50-54 	6010.457429	2925.473121	3084.984308
 55-59 	4758.605375	2312.956245	2445.649130
 60-64 	3546.146035	1654.198723	1891.947312
 65-69 	2552.170425	1090.735895	1461.434529
 70-74 	1667.721916	654.819699	1012.902217
 75-79 	947.915416	325.430906	622.484510
 80+ 	673.431973	188.941596	484.490378
Total	144424.522629	71370.116007	73054.406622
1988			
 0-4	11905.060425	5981.859368	5923.201057
 5-9	12448.465058	6244.213214	6204.251843
 10-14 	8101.583936	4051.466756	4050.117180
 15-19 	17488.661307	8709.146716	8779.514591
 20-24 	18831.111831	9411.611119	9419.500712
 25-29 	16407.121813	8212.438831	8194.682982
