bangladesh_test	Total	Male	Female
 5-9	11309462.152991	5784702.410372	5524759.742619
 10-14 	11752380.999490	6010510.950142	5741870.049348
 15-19 	12141315.557157	6204096.955129	5937218.602028
 20-24 	12544193.070418	6359383.067132	6184810.003285
 25-29 	13042959.708342	6530180.005302	6512779.703040
 30-34 	13372620.372881	6655610.947216	6717009.425664
 35-39 	13446464.425788	6664183.525982	6782280.899805
 40-44 	13424848.172822	6626835.314476	6798012.858346
 45-49 	13889902.082774	6849177.130818	7040724.951956
 50-54 	13856804.124975	6808084.733342	7048719.391633
 55-59 	13151823.581464	6391073.692153	6760749.889311
 60-64 	11929781.791770	5679710.123707	6250071.668063
 65-69 	10375143.102361	4862459.671516	5512683.430846
 70-74 	8280132.498932	3861521.622506	4418610.876426
 75-79 	5992906.822867	2801417.515190	3191489.307677
 80+ 	6767242.955166	3213085.531188	3554157.423978
Total	196197623.277521	96888289.852436	99309333.425085
2050			
 0-4	10832619.918448	5541922.078610	5290697.839838
 5-9	11222338.436306	5740492.024613	5481846.411694
 10-14 	11656596.341976	5961742.202108	5694854.139868
 15-19 	12022437.545858	6143175.270546	5879262.275312
 20-24 	12395675.718307	6284365.868822	6111309.849485
 25-29 	12903630.236980	6458370.251674	6445259.985306
 30-34 	13288767.567249	6612039.779267	6676727.787982
 35-39 	13405222.447216	6643735.009135	6761487.438081
 40-44 	13365459.900919	6599333.649794	6766126.251125
 45-49 	13739957.211663	6773660.741321	6966296.470342
 50-54 	13869493.685635	6817639.324338	7051854.361297
 55-59 	13261691.428573	6459526.134430	6802165.294143
 60-64 	12085571.782667	5773188.900351	6312382.882316
 65-69 	10563639.461753	4954506.961469	5609132.500285
 70-74 	8551826.524107	3985254.467718	4566572.056389
 75-79 	6154568.687271	2860362.489426	3294206.197845
 80+ 	7135298.743176	3373215.363762	3762083.379414
Total	196454795.638102	96982530.517382	99472265.120720
