bangladesh_test	Total	Male	Female
 60-64 	1881064.700672	1010839.029541	870225.671131
 65-69 	1424538.944708	774385.175825	650153.768883
 70-74 	1008260.350133	553518.251380	454742.098753
 75-79 	628166.638214	352275.359066	275891.279148
 80+ 	452677.334876	251510.810452	201166.524424
Total	94794465.554205	49216145.261123	45578320.293082
1986			
 0-4	15765222.137277	8027882.855278	7737339.281998
 5-9	13768892.742214	7016829.514978	6752063.227236
 10-14 	12082232.082660	6160080.414540	5922151.668120
 15-19 	10599607.314363	5441752.379165	5157854.935198
 20-24 	9273226.160423	4801235.009764	4471991.150659
 25-29 	7305969.884982	3829359.526125	3476610.358857
 30-34 	5370013.129353	2902453.184129	2467559.945224
 35-39 	4532157.045830	2401245.970515	2130911.075315
 40-44 	4182100.256970	2159916.689343	2022183.567628
 45-49 	3596406.722310	1904716.683676	1691690.038634
 50-54 	2918962.028575	1576150.126155	1342811.902420
 55-59 	2378154.025792	1277405.984060	1100748.041732
 60-64 	1924350.302368	1032669.050915	891681.251454
 65-69 	1463699.987092	793863.144558	669836.842534
 70-74 	1034870.482006	566795.033190	468075.448816
 75-79 	647969.071570	361885.740793	286083.330777
 80+ 	472997.852607	263939.567204	209058.285403
Total	97316831.226392	50518180.874387	46798650.352005
1987			
 0-4	15924136.093314	8111025.022311	7813111.071003
 5-9	14063943.066102	7169298.683370	6894644.382732
 10-14 	12415921.018645	6329023.002771	6086898.015874
 15-19 	10800714.940875	5534018.418187	5266696.522687
 20-24 	9596801.501537	4966685.081737	4630116.419800
 25-29 	7709900.150644	4026112.518120	3683787.632524
 30-34 	5652693.719735	3045840.256486	2606853.463249
 35-39 	4629307.132425	2475048.646695	2154258.485730
 40-44 	4223345.188796	2184933.711203	2038411.477592
 45-49 	3707867.508698	1950926.801049	1756940.707648
 50-54 	3012041.526259	1624667.331708	1387374.194551
 55-59 	2441766.173729	1314415.726506	1127350.447223
 60-64 	1970733.970876	1056505.409061	914228.561815
 65-69 	1506554.449004	814979.948645	691574.500359
 70-74 	1063201.226154	581175.080253	482026.145901
 75-79 	668696.784421	371590.846642	297105.937779
 80+ 	493248.425792	276223.031471	217025.394320
Total	99880872.877006	51832469.516215	48048403.360791
1988			
 0-4	16062866.217798	8184001.944719	7878864.273079
 5-9	14339563.746698	7311971.836782	7027591.909916
 10-14 	12754750.413802	6502018.086106	6252732.327696
 15-19 	11034463.703419	5643310.332669	5391153.370750
 20-24 	9881683.736704	5110027.561908	4771656.174796
 25-29 	8091748.643190	4213623.940937	3878124.702253
 30-34 	5988008.835158	3208265.997827	2779742.837330
 35-39 	4744914.797969	2556604.979444	2188309.818525
 40-44 	4263704.570948	2214901.753093	2048802.817855
 45-49 	3814441.913267	1994388.178473	1820053.734794
 50-54 	3112740.257029	1674999.515305	1437740.741724
 55-59 	2511725.576017	1354359.926233	1157365.649784
 60-64 	2019570.585823	1082176.041363	937394.544460
 65-69 	1551255.459244	836800.658040	714454.801204
 70-74 	1093231.310711	596369.245615	496862.065095
 75-79 	689938.575204	381448.049134	308490.526070
 80+ 	513683.205701	288335.480868	225347.724832
Total	102468291.548682	53153603.528517	49314688.020165
1989			
 0-4	16181782.708764	8246599.737201	7935182.971562
 5-9	14592855.349591	7443514.046543	7149341.303047
 10-14 	13086371.562315	6672065.953446	6414305.608869
 15-19 	11385759.037377	5818215.058166	5567543.979211
 20-24 	10037415.641048	5179729.724803	4857685.916245
 25-29 	8456968.003475	4395658.247707	4061309.755768
 30-34 	6365160.638003	3387401.953350	2977758.684653
 35-39 	4886823.522832	2647792.727702	2239030.795130
 40-44 	4309933.888773	2253065.581107	2056868.307666
 45-49 	3908052.158537	2033068.435503	1874983.723034
 50-54 	3218290.933288	1725349.862482	1492941.070807
 55-59 	2587137.253540	1396384.270747	1190752.982793
 60-64 	2070501.856111	1109540.875886	960960.980225
 65-69 	1596251.059813	858554.280814	737696.778999
 70-74 	1124902.048635	612167.593228	512734.455407
 75-79 	711375.372053	391465.329971	319910.042082
 80+ 	534462.113466	300263.922614	234198.190852
Total	105054043.147621	54470837.601270	50583205.546351
1990			
 0-4	16275944.566965	8296588.941099	7979355.625866
 5-9	14824769.288162	7564023.640265	7260745.647896
 10-14 	13405902.763499	6836315.346759	6569587.416740
 15-19 	11578692.888638	5905454.915607	5673237.973032
 20-24 	10321048.541308	5317390.747362	5003657.793945
 25-29 	8818601.435606	4579246.083120	4239355.352486
 30-34 	6765601.290325	3576696.839881	3188904.450445
 35-39 	5067188.997232	2752704.331213	2314484.666019
 40-44 	4367435.556701	2301376.756976	2066058.799725
 45-49 	3984074.135129	2066455.126717	1917619.008412
 50-54 	3327562.569988	1774904.112520	1552658.457468
 55-59 	2668494.228545	1440494.823285	1227999.405260
 60-64 	2124106.696971	1138806.507122	985300.189848
 65-69 	1640925.084410	879964.022778	760961.061632
 70-74 	1158338.684265	628582.054711	529756.629554
 75-79 	732918.252666	401624.600794	331293.651871
 80+ 	555691.990045	312079.832927	243612.157118
Total	107617296.970453	55772708.683136	51844588.287318
1991			
 0-4	16334257.282936	8328563.603343	8005693.679593
 5-9	15034210.025638	7672577.306029	7361632.719609
 10-14 	13706742.029067	6991138.871348	6715603.157718
 15-19 	11939956.853713	6084815.085749	5855141.767964
 20-24 	10441879.771621	5362521.006272	5079358.765349
 25-29 	9115729.565674	4728767.417491	4386962.148182
 30-34 	7166751.610881	3768824.459709	3397927.151172
 35-39 	5287418.257138	2870590.970653	2416827.286485
 40-44 	4445161.435416	2363629.576993	2081531.858422
 45-49 	4037482.030997	2094200.297872	1943281.733125
 50-54 	3436948.027340	1822237.296322	1614710.731018
 55-59 	2753756.672115	1484752.113081	1269004.559034
 60-64 	2180763.911853	1170011.102588	1010752.809264
 65-69 	1683843.916432	900148.669817	783695.246614
 70-74 	1193450.149321	645264.979800	548185.169522
 75-79 	754235.835396	411955.187799	342280.647597
 80+ 	577496.093582	323753.084175	253743.009407
Total	110090083.469118	57023751.029042	53066332.440076
1992			
 0-4	16374894.859035	8351089.963095	8023804.895940
 5-9	15219337.738652	7768845.024726	7450492.713925
 10-14 	13987754.712691	7135982.759789	6851771.952902
 15-19 	12232581.954813	6227549.761287	6005032.193526
 20-24 	10597879.937935	5424187.313319	5173692.624616
 25-29 	9415616.523258	4879471.474110	4536145.049148
 30-34 	7555090.974435	3957236.023886	3597854.950549
 35-39 	5558526.431539	3007429.134463	2551097.297076
 40-44 	4538749.224197	2435107.289498	2103641.934699
 45-49 	4079601.617470	2121769.782277	1957831.835193
 50-54 	3544808.670261	1867637.053228	1677171.617033
 55-59 	2843802.971763	1529805.541396	1313997.430367
 60-64 	2241110.096452	1203063.591602	1038046.504851
 65-69 	1726552.417608	920417.267182	806135.150426
 70-74 	1229912.155827	662311.120425	567601.035403
 75-79 	775896.507437	422494.367490	353402.139947
 80+ 	599773.116570	335412.197222	264360.919348
Total	112521889.909943	58249809.664994	54272080.244949
1993			
 0-4	16396711.667089	8364510.783618	8032200.883470
 5-9	15383072.749677	7853420.326993	7529652.422685
 10-14 	14251883.830999	7272206.445358	6979677.385641
 15-19 	12530425.269442	6375081.977352	6155343.292090
 20-24 	10780047.627818	5498489.427433	5281558.200385
 25-29 	9670887.190250	5004770.811992	4666116.378259
 30-34 	7920164.450117	4136684.594231	3783479.855886
 35-39 	5880528.960546	3164205.110108	2716323.850438
 40-44 	4651231.421729	2514959.649858	2136271.771871
 45-49 	4119346.723588	2153310.867229	1966035.856359
 50-54 	3645250.749963	1909520.161291	1735730.588672
 55-59 	2938665.423510	1575559.363972	1363106.059537
 60-64 	2305619.609532	1238010.702018	1067608.907514
 65-69 	1769924.872728	941547.392859	828377.479869
 70-74 	1266979.471401	679458.629550	587520.841851
 75-79 	798358.419320	433336.508875	365021.910445
 80+ 	622453.589454	347134.628918	275318.960537
Total	114931552.027163	59462207.381654	55469344.645509
1994			
 0-4	16403062.038621	8368795.824754	8034266.213867
 5-9	15527473.465098	7928825.401877	7598648.063221
 10-14 	14497810.519977	7399687.371504	7098123.148472
 15-19 	12831203.835490	6527137.359993	6304066.475498
 20-24 	11084201.442841	5641446.972977	5442754.469864
 25-29 	9796300.186519	5055363.230117	4740936.956402
 30-34 	8268806.842762	4310296.483611	3958510.359152
 35-39 	6242488.552889	3337159.193187	2905329.359702
 40-44 	4789152.015775	2604047.369672	2185104.646103
 45-49 	4165667.406529	2192484.355898	1973183.050630
 50-54 	3733143.775264	1946936.412322	1786207.362942
 55-59 	3037744.189025	1621545.504140	1416198.684885
 60-64 	2374904.810217	1274987.519337	1099917.290881
 65-69 	1814888.151671	964236.358963	850651.792708
 70-74 	1304060.955559	696524.189059	607536.766501
 75-79 	821972.867973	444595.997244	377376.870729
 80+ 	645534.814491	358971.126881	286563.687610
Total	117338415.870702	60673040.671535	56665375.199167
1995			
 0-4	16401659.062268	8369971.995070	8031687.067198
 5-9	15646045.410176	7990194.655117	7655850.755059
 10-14 	14725253.576541	7517652.615224	7207600.961317
 15-19 	13134822.939895	6683885.575568	6450937.364326
 20-24 	11246145.544503	5707538.448363	5538607.096139
 25-29 	10052730.890391	5175393.989989	4877336.900402
 30-34 	8615149.311997	4485445.911727	4129703.400271
 35-39 	6626360.747735	3519206.393907	3107154.353828
 40-44 	4963575.195703	2705825.523445	2257749.672259
 45-49 	4224079.756358	2241078.676397	1983001.079961
 50-54 	3804791.802710	1979373.657709	1825418.145001
 55-59 	3140303.805812	1667300.905277	1473002.900535
 60-64 	2449650.028770	1314226.441384	1135423.587386
 65-69 	1862201.812258	988894.805190	873307.007068
 70-74 	1340803.631444	713404.973373	627398.658071
 75-79 	846918.480560	456370.316335	390548.164225
 80+ 	669085.327156	370934.427576	298150.899580
Total	119749577.324277	61886699.311651	57862878.012626
1996			
 0-4	16393163.740199	8366672.409465	8026491.330733
 5-9	15742558.255698	8041035.626394	7701522.629304
 10-14 	14937687.468421	7628098.728309	7309588.740112
 15-19 	13445216.224949	6847852.835874	6597363.389075
 20-24 	11610858.856316	5889536.165346	5721322.690970
 25-29 	10170556.277941	5216667.704685	4953888.573256
 30-34 	8910556.705408	4632818.254721	4277738.450687
 35-39 	7016679.545551	3705428.826673	3311250.718878
 40-44 	5177692.718788	2819943.961919	2357748.756868
 45-49 	4305661.204070	2303329.665260	2002331.538809
 50-54 	3859186.210123	2007533.404830	1851652.805293
 55-59 	3245848.647249	1713083.693232	1532764.954017
 60-64 	2529872.875500	1355413.182776	1174459.692724
 65-69 	1913580.205922	1016735.429733	896844.776189
 70-74 	1376929.114580	730153.625999	646775.488581
 75-79 	873536.246581	468780.614897	404755.631684
 80+ 	693147.767995	383107.658369	310040.109626
Total	122202732.065291	63126191.788485	59076540.276807
1997			
 0-4	16377694.139488	8359772.046542	8017922.092946
 5-9	15820661.057674	8081944.061090	7738716.996585
 10-14 	15126315.614955	7726667.455467	7399648.159488
 15-19 	13744564.295320	7007215.844840	6737348.450480
 20-24 	11927216.376291	6048895.650462	5878320.725829
 25-29 	10334539.554315	5281078.717237	5053460.837078
 30-34 	9212232.837180	4782859.479621	4429373.357559
 35-39 	7396126.251899	3887901.486103	3508224.765796
 40-44 	5440663.319170	2951819.237460	2488844.081710
 45-49 	4402891.004648	2373978.274293	2028912.730355
 50-54 	3903773.958310	2035255.009360	1868518.948950
 55-59 	3350280.410854	1757482.651333	1592797.759522
 60-64 	2614694.019340	1397718.637933	1216975.381407
 65-69 	1968389.259989	1046592.121504	921797.138485
 70-74 	1413008.177721	747216.576142	665791.601578
 75-79 	901258.155635	481611.763176	419646.392459
 80+ 	717992.698075	395550.119262	322442.578813
Total	124652301.130866	64363559.131825	60288741.999041
1998			
 0-4	16354334.230559	8348814.240356	8005519.990204
 5-9	15879132.479846	8113064.688960	7766067.790886
 10-14 	15293180.434421	7813204.259846	7479976.174574
 15-19 	14027719.921122	7157939.224202	6869780.696921
 20-24 	12257836.997702	6219531.871513	6038305.126189
 25-29 	10531731.371840	5362280.835044	5169450.536796
 30-34 	9471730.886059	4908542.885886	4563188.000172
 35-39 	7754046.366557	4061709.612170	3692336.754387
 40-44 	5752755.055616	3102682.831692	2650072.223924
 45-49 	4517943.691468	2452250.174723	2065693.516745
 50-54 	3946684.243609	2066532.541537	1880151.702072
 55-59 	3447890.479698	1798717.616976	1649172.862722
 60-64 	2703971.840400	1440776.267507	1263195.572893
 65-69 	2026926.582334	1078256.878865	948669.703469
 70-74 	1449758.657195	765143.306202	684615.350994
 75-79 	929585.472872	494633.717124	434951.755748
 80+ 	743908.505604	408367.635709	335540.869894
Total	127089137.216902	65592448.588311	61496688.628591
1999			
 0-4	16319863.274922	8332153.583443	7987709.691479
 5-9	15922909.508666	8135390.791196	7787518.717470
 10-14 	15441074.464503	7890405.352195	7550669.112308
 15-19 	14286772.981736	7295610.654238	6991162.327498
 20-24 	12586878.422900	6391260.960412	6195617.462488
 25-29 	10851239.434915	5511493.107453	5339746.327461
 30-34 	9602202.266599	4959379.442145	4642822.824454
 35-39 	8095733.711990	4229334.052193	3866399.659797
 40-44 	6102820.852880	3268716.797519	2834104.055360
 45-49 	4654562.298480	2538182.541502	2116379.756978
 50-54 	3994858.183849	2104426.396101	1890431.787748
 55-59 	3532803.985510	1835247.712101	1697556.273409
 60-64 	2795592.626801	1483391.097298	1312201.529503
 65-69 	2088286.447948	1111194.373571	977092.074377
 70-74 	1487426.590628	784264.773831	703161.816797
 75-79 	958160.960892	507703.991221	450456.969671
 80+ 	771121.033131	421658.265880	349462.767251
Total	129492307.046349	66799813.892299	62692493.154050
2000			
 0-4	16274354.536838	8309823.752090	7964530.784748
 5-9	15957418.324569	8154151.824615	7803266.499954
 10-14 	15565182.673361	7954224.253910	7610958.419451
 15-19 	14520089.128782	7418648.196328	7101440.932454
 20-24 	12904493.319922	6556824.357203	6347668.962719
 25-29 	11027367.984806	5580560.227297	5446807.757509
 30-34 	9859527.382505	5076532.018945	4782995.363560
 35-39 	8433470.447568	4397161.722467	4036308.725101
 40-44 	6472688.672186	3442662.170675	3030026.501511
 45-49 	4820548.796307	2633945.296170	2186603.500137
 50-54 	4051269.736419	2149830.248938	1901439.487481
 55-59 	3600283.268102	1865920.808604	1734362.459498
 60-64 	2886808.729877	1524248.457992	1362560.271885
 65-69 	2151038.314984	1144831.454264	1006206.860720
 70-74 	1525678.099384	804563.301575	721114.797809
 75-79 	986793.402561	520777.923961	466015.478599
 80+ 	799724.898638	435478.894258	364246.004380
Total	131836737.716809	67970184.909294	63866552.807515
2001			
 0-4	16218001.271733	8281922.623275	7936078.648458
 5-9	15979213.693211	8165717.273933	7813496.419278
 10-14 	15667769.772159	8007352.175820	7660417.596339
 15-19 	14725444.623211	7525581.415453	7199863.207758
 20-24 	13199717.329604	6708321.137248	6491396.192356
 25-29 	11388327.556561	5750394.826388	5637932.730172
 30-34 	9967423.446416	5106570.888333	4860852.558083
 35-39 	8711440.953801	4531613.090902	4179827.862899
 40-44 	6843196.454244	3617460.926378	3225735.527866
 45-49 	5014974.848213	2737261.611922	2277713.236291
 50-54 	4122424.180196	2205031.357162	1917392.823034
 55-59 	3646627.664122	1889868.984685	1756758.679437
 60-64 	2974286.633885	1561883.443123	1412403.190762
 65-69 	2212709.209733	1177488.712097	1035220.497636
 70-74 	1564367.533650	826191.186497	738176.347153
 75-79 	1014975.061820	533666.150292	481308.911528
 80+ 	829852.932262	449892.473046	379960.459216
Total	134080753.164821	69076218.276554	65004534.888268
2002			
 0-4	16140502.971740	8243181.956691	7897321.015049
 5-9	15994742.886570	8174053.657984	7820689.228586
 10-14 	15753533.912034	8051113.271190	7702420.640845
 15-19 	14904810.715270	7618102.697873	7286708.017397
 20-24 	13466483.393574	6843049.320855	6623434.072719
 25-29 	11692501.044226	5888974.548762	5803526.495464
 30-34 	10116158.133736	5154570.621002	4961587.512734
 35-39 	8990094.101457	4664645.762620	4325448.338837
 40-44 	7200609.267165	3786735.616911	3413873.650255
 45-49 	5249604.827692	2854338.728078	2395266.099614
 50-54 	4201970.228600	2265159.726338	1936810.502262
 55-59 	3681076.539540	1911884.660133	1769191.879408
 60-64 	3055856.118408	1595941.715991	1459914.402417
 65-69 	2273646.761785	1209130.688004	1064516.073781
 70-74 	1602857.932508	848325.245556	754532.686952
 75-79 	1043089.219970	546821.952435	496267.267535
 80+ 	861313.679277	464818.332419	396495.346857
