Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 25-29 	16423.008768	6987.676381	9435.332386																																																																																																																																																																																																																																																							
 30-34 	17518.314224	7378.756375	10139.557849																																																																																																																																																																																																																																																							
 35-39 	17759.759936	7804.323534	9955.436402																																																																																																																																																																																																																																																							
 40-44 	21299.293471	10015.332495	11283.960976																																																																																																																																																																																																																																																							
 45-49 	22989.424139	11067.979899	11921.444241																																																																																																																																																																																																																																																							
 50-54 	24899.584028	12921.285448	11978.298581																																																																																																																																																																																																																																																							
 55-59 	28351.425570	14463.747482	13887.678088																																																																																																																																																																																																																																																							
 60-64 	35851.211178	19348.521148	16502.690030																																																																																																																																																																																																																																																							
 65-69 	43134.884082	23872.940191	19261.943892																																																																																																																																																																																																																																																							
 70-74 	48609.749116	26557.330089	22052.419027																																																																																																																																																																																																																																																							
 75-79 	44723.933722	23986.590274	20737.343448																																																																																																																																																																																																																																																							
 80+ 	53797.003864	28966.323001	24830.680862																																																																																																																																																																																																																																																							
Total	1323266.853861	672239.189634	651027.664228																																																																																																																																																																																																																																																							
1975																																																																																																																																																																																																																																																										
 0-4	737156.467416	381616.142069	355540.325347																																																																																																																																																																																																																																																							
 5-9	76188.040662	33961.326784	42226.713878																																																																																																																																																																																																																																																							
 10-14 	23425.492895	10417.932005	13007.560890																																																																																																																																																																																																																																																							
 15-19 	18360.577075	7661.571079	10699.005996																																																																																																																																																																																																																																																							
 20-24 	17946.245806	7876.413739	10069.832068																																																																																																																																																																																																																																																							
 25-29 	15980.454155	6784.130999	9196.323156																																																																																																																																																																																																																																																							
 30-34 	17226.682070	7206.948709	10019.733361																																																																																																																																																																																																																																																							
 35-39 	17656.530097	7732.657422	9923.872676																																																																																																																																																																																																																																																							
 40-44 	21197.507652	9988.348739	11209.158913																																																																																																																																																																																																																																																							
 45-49 	22701.556129	10925.790119	11775.766010																																																																																																																																																																																																																																																							
 50-54 	24490.484152	12737.466576	11753.017576																																																																																																																																																																																																																																																							
 55-59 	27711.870280	14124.424488	13587.445792																																																																																																																																																																																																																																																							
 60-64 	34954.647162	18856.537113	16098.110049																																																																																																																																																																																																																																																							
