Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 20-24 	18570.060260	8038.136017	10531.924243																																																																																																																																																																																																																																																							
 25-29 	15197.334367	6510.786971	8686.547396																																																																																																																																																																																																																																																							
 30-34 	16049.483413	6654.367985	9395.115428																																																																																																																																																																																																																																																							
 35-39 	17357.173468	7501.510372	9855.663096																																																																																																																																																																																																																																																							
 40-44 	21209.409804	10016.453580	11192.956224																																																																																																																																																																																																																																																							
 45-49 	22409.117591	10883.358125	11525.759466																																																																																																																																																																																																																																																							
 50-54 	24003.002046	12603.434233	11399.567813																																																																																																																																																																																																																																																							
 55-59 	27188.198439	13875.190385	13313.008054																																																																																																																																																																																																																																																							
 60-64 	34557.085247	18689.324288	15867.760959																																																																																																																																																																																																																																																							
 65-69 	39630.751164	21791.945699	17838.805464																																																																																																																																																																																																																																																							
 70-74 	44116.163648	24626.230991	19489.932657																																																																																																																																																																																																																																																							
 75-79 	40170.570476	21951.722360	18218.848116																																																																																																																																																																																																																																																							
 80+ 	52368.239259	28263.912568	24104.326691																																																																																																																																																																																																																																																							
Total	1143362.338567	583296.218003	560066.120564																																																																																																																																																																																																																																																							
1979																																																																																																																																																																																																																																																										
 0-4	670367.453608	347007.432353	323360.021255																																																																																																																																																																																																																																																							
 5-9	52074.762511	23388.129604	28686.632908																																																																																																																																																																																																																																																							
 10-14 	20600.844923	9335.813454	11265.031469																																																																																																																																																																																																																																																							
 15-19 	19172.378519	7911.206228	11261.172291																																																																																																																																																																																																																																																							
 20-24 	19241.862545	8337.281588	10904.580958																																																																																																																																																																																																																																																							
 25-29 	15150.818896	6538.938807	8611.880089																																																																																																																																																																																																																																																							
 30-34 	15727.318217	6549.689729	9177.628488																																																																																																																																																																																																																																																							
 35-39 	17202.811225	7413.800050	9789.011175																																																																																																																																																																																																																																																							
 40-44 	21346.223190	10069.811899	11276.411291																																																																																																																																																																																																																																																							
 45-49 	22546.728155	10995.425247	11551.302909																																																																																																																																																																																																																																																							
 50-54 	24129.102600	12717.866406	11411.236194																																																																																																																																																																																																																																																							
 55-59 	27405.306286	13998.128649	13407.177638																																																																																																																																																																																																																																																							
 60-64 	35028.670706	18950.338697	16078.332010																																																																																																																																																																																																																																																							
 65-69 	40207.444784	22046.256504	18161.188280																																																																																																																																																																																																																																																							
 70-74 	45083.361774	25203.294490	19880.067283																																																																																																																																																																																																																																																							
 75-79 	41485.160121	22802.576045	18682.584076																																																																																																																																																																																																																																																							
 80+ 	55341.627667	29894.505969	25447.121698																																																																																																																																																																																																																																																							
Total	1142111.875728	583160.495718	558951.380010																																																																																																																																																																																																																																																							
1980																																																																																																																																																																																																																																																										
 0-4	662006.586928	342609.348282	319397.238646																																																																																																																																																																																																																																																							
 5-9	51592.545742	23202.590479	28389.955263																																																																																																																																																																																																																																																							
 10-14 	20654.923708	9384.650736	11270.272972																																																																																																																																																																																																																																																							
 15-19 	19467.259896	8083.639709	11383.620187																																																																																																																																																																																																																																																							
 20-24 	19948.122453	8662.238759	11285.883695																																																																																																																																																																																																																																																							
 25-29 	15267.820046	6639.708180	8628.111866																																																																																																																																																																																																																																																							
 30-34 	15491.802093	6514.081538	8977.720555																																																																																																																																																																																																																																																							
 35-39 	16999.876986	7323.365544	9676.511442																																																																																																																																																																																																																																																							
 40-44 	21501.366730	10118.481354	11382.885376																																																																																																																																																																																																																																																							
 45-49 	22741.140794	11127.525270	11613.615523																																																																																																																																																																																																																																																							
 50-54 	24302.735750	12860.376069	11442.359681																																																																																																																																																																																																																																																							
 55-59 	27652.390002	14131.596746	13520.793256																																																																																																																																																																																																																																																							
 60-64 	35565.403980	19232.128660	16333.275320																																																																																																																																																																																																																																																							
 65-69 	40837.427976	22325.843700	18511.584276																																																																																																																																																																																																																																																							
 70-74 	46111.107409	25755.248932	20355.858478																																																																																																																																																																																																																																																							
 75-79 	42800.558463	23657.701097	19142.857366																																																																																																																																																																																																																																																							
 80+ 	58535.726436	31660.330569	26875.395867																																																																																																																																																																																																																																																							
Total	1141476.795393	583288.855624	558187.939768																																																																																																																																																																																																																																																							
1981																																																																																																																																																																																																																																																										
 0-4	652437.382875	337657.294832	314780.088042																																																																																																																																																																																																																																																							
 5-9	51972.331482	23438.500609	28533.830874																																																																																																																																																																																																																																																							
 10-14 	20560.494669	9363.701963	11196.792707																																																																																																																																																																																																																																																							
 15-19 	19672.529066	8224.394988	11448.134079																																																																																																																																																																																																																																																							
 20-24 	20584.747942	8973.436683	11611.311259																																																																																																																																																																																																																																																							
 25-29 	15537.749711	6812.976752	8724.772959																																																																																																																																																																																																																																																							
 30-34 	15348.922074	6556.932910	8791.989164																																																																																																																																																																																																																																																							
 35-39 	16735.375614	7235.492136	9499.883478																																																																																																																																																																																																																																																							
 40-44 	21611.538163	10150.835020	11460.703143																																																																																																																																																																																																																																																							
 45-49 	22914.674041	11261.175177	11653.498864																																																																																																																																																																																																																																																							
 50-54 	24454.542235	13029.242272	11425.299964																																																																																																																																																																																																																																																							
 55-59 	27836.367981	14261.750544	13574.617437																																																																																																																																																																																																																																																							
 60-64 	36071.188675	19526.523673	16544.665002																																																																																																																																																																																																																																																							
 65-69 	41378.046557	22618.152259	18759.894298																																																																																																																																																																																																																																																							
 70-74 	47110.568863	26260.491561	20850.077302																																																																																																																																																																																																																																																							
 75-79 	44000.110087	24468.953068	19531.157019																																																																																																																																																																																																																																																							
 80+ 	61900.174283	33546.588969	28353.585314																																																																																																																																																																																																																																																							
Total	1140126.744320	583386.443415	556740.300905																																																																																																																																																																																																																																																							
1982																																																																																																																																																																																																																																																										
 0-4	641219.969085	331855.968842	309364.000243																																																																																																																																																																																																																																																							
 5-9	51787.598414	23425.606084	28361.992329																																																																																																																																																																																																																																																							
 10-14 	20469.463444	9348.030617	11121.432827																																																																																																																																																																																																																																																							
 15-19 	19851.484482	8347.731048	11503.753434																																																																																																																																																																																																																																																							
 20-24 	21103.583021	9240.143780	11863.439241																																																																																																																																																																																																																																																							
 25-29 	15982.068591	7053.856872	8928.211719																																																																																																																																																																																																																																																							
 30-34 	15286.636143	6658.672079	8627.964064																																																																																																																																																																																																																																																							
 35-39 	16452.329260	7167.054183	9285.275077																																																																																																																																																																																																																																																							
 40-44 	21674.465182	10159.610468	11514.854714																																																																																																																																																																																																																																																							
 45-49 	23086.192054	11386.837798	11699.354256																																																																																																																																																																																																																																																							
 50-54 	24606.751918	13212.644410	11394.107508																																																																																																																																																																																																																																																							
 55-59 	27995.581305	14396.945095	13598.636209																																																																																																																																																																																																																																																							
 60-64 	36591.783814	19832.284422	16759.499392																																																																																																																																																																																																																																																							
 65-69 	41873.105094	22909.807449	18963.297645																																																																																																																																																																																																																																																							
 70-74 	48090.355454	26730.505511	21359.849943																																																																																																																																																																																																																																																							
 75-79 	45098.296379	25207.899956	19890.396424																																																																																																																																																																																																																																																							
 80+ 	65301.862139	35484.527572	29817.334567																																																																																																																																																																																																																																																							
Total	1136471.525780	582418.126189	554053.399591																																																																																																																																																																																																																																																							
1983																																																																																																																																																																																																																																																										
 0-4	627892.924887	324952.502793	302940.422094																																																																																																																																																																																																																																																							
 5-9	51285.206681	23278.745441	28006.461240																																																																																																																																																																																																																																																							
 10-14 	20374.725487	9338.445132	11036.280355																																																																																																																																																																																																																																																							
 15-19 	19945.987403	8430.086035	11515.901369																																																																																																																																																																																																																																																							
 20-24 	21484.966732	9451.784801	12033.181931																																																																																																																																																																																																																																																							
 25-29 	16561.996352	7343.097828	9218.898524																																																																																																																																																																																																																																																							
 30-34 	15284.964049	6791.689948	8493.274102																																																																																																																																																																																																																																																							
 35-39 	16187.936755	7131.625604	9056.311151																																																																																																																																																																																																																																																							
 40-44 	21666.509370	10142.445872	11524.063498																																																																																																																																																																																																																																																							
 45-49 	23258.241323	11503.339116	11754.902207																																																																																																																																																																																																																																																							
 50-54 	24760.433512	13405.168823	11355.264689																																																																																																																																																																																																																																																							
 55-59 	28135.983750	14540.858803	13595.124947																																																																																																																																																																																																																																																							
 60-64 	37098.476401	20133.200175	16965.276226																																																																																																																																																																																																																																																							
 65-69 	42334.586718	23198.693894	19135.892824																																																																																																																																																																																																																																																							
 70-74 	49019.341112	27166.331347	21853.009765																																																																																																																																																																																																																																																							
 75-79 	46119.356723	25867.075186	20252.281536																																																																																																																																																																																																																																																							
 80+ 	68701.242384	37453.284510	31247.957874																																																																																																																																																																																																																																																							
Total	1130112.879639	580128.375307	549984.504332																																																																																																																																																																																																																																																							
1984																																																																																																																																																																																																																																																										
 0-4	612645.814952	317047.189427	295598.625525																																																																																																																																																																																																																																																							
 5-9	50635.132055	23065.542019	27569.590035																																																																																																																																																																																																																																																							
 10-14 	20474.249878	9434.294451	11039.955426																																																																																																																																																																																																																																																							
 15-19 	19817.353036	8408.204258	11409.148778																																																																																																																																																																																																																																																							
 20-24 	21784.565100	9632.572171	12151.992929																																																																																																																																																																																																																																																							
 25-29 	17222.194605	7656.679713	9565.514892																																																																																																																																																																																																																																																							
 30-34 	15354.473454	6941.659686	8412.813768																																																																																																																																																																																																																																																							
 35-39 	15970.644999	7135.790031	8834.854968																																																																																																																																																																																																																																																							
 40-44 	21596.761106	10109.737332	11487.023774																																																																																																																																																																																																																																																							
 45-49 	23468.338270	11623.907186	11844.431084																																																																																																																																																																																																																																																							
 50-54 	24964.779294	13622.388963	11342.390331																																																																																																																																																																																																																																																							
 55-59 	28310.511820	14715.392846	13595.118974																																																																																																																																																																																																																																																							
 60-64 	37619.772875	20440.415130	17179.357745																																																																																																																																																																																																																																																							
 65-69 	42845.662485	23516.508122	19329.154363																																																																																																																																																																																																																																																							
 70-74 	49945.793169	27604.851070	22340.942098																																																																																																																																																																																																																																																							
 75-79 	47137.740669	26474.599094	20663.141575																																																																																																																																																																																																																																																							
 80+ 	72088.753484	39446.134700	32642.618785																																																																																																																																																																																																																																																							
Total	1121882.541253	576875.866200	545006.675053																																																																																																																																																																																																																																																							
1985																																																																																																																																																																																																																																																										
 0-4	595422.416297	308126.943478	287295.472819																																																																																																																																																																																																																																																							
 5-9	49848.010770	22789.119373	27058.891397																																																																																																																																																																																																																																																							
 10-14 	20312.845773	9404.152873	10908.692900																																																																																																																																																																																																																																																							
 15-19 	19704.226659	8362.722743	11341.503916																																																																																																																																																																																																																																																							
 20-24 	22064.134271	9808.940392	12255.193879																																																																																																																																																																																																																																																							
 25-29 	17892.247070	7966.030406	9926.216664																																																																																																																																																																																																																																																							
 30-34 	15540.261495	7116.651339	8423.610156																																																																																																																																																																																																																																																							
 35-39 	15801.905090	7174.765817	8627.139273																																																																																																																																																																																																																																																							
 40-44 	21459.769657	10064.322451	11395.447206																																																																																																																																																																																																																																																							
 45-49 	23732.404305	11753.779732	11978.624573																																																																																																																																																																																																																																																							
 50-54 	25258.140376	13882.386387	11375.753989																																																																																																																																																																																																																																																							
 55-59 	28556.638290	14940.879493	13615.758797																																																																																																																																																																																																																																																							
 60-64 	38189.533747	20777.708106	17411.825642																																																																																																																																																																																																																																																							
 65-69 	43455.749073	23887.744451	19568.004623																																																																																																																																																																																																																																																							
 70-74 	50920.153365	28085.344483	22834.808881																																																																																																																																																																																																																																																							
 75-79 	48193.738681	27055.837024	21137.901657																																																																																																																																																																																																																																																							
 80+ 	75430.259412	41442.266390	33987.993022																																																																																																																																																																																																																																																							
Total	1111782.434331	572639.594938	539142.839393																																																																																																																																																																																																																																																							
1986																																																																																																																																																																																																																																																										
 0-4	576808.563274	298455.238110	278353.325164																																																																																																																																																																																																																																																							
 5-9	48941.130685	22454.034202	26487.096482																																																																																																																																																																																																																																																							
 10-14 	20377.803441	9490.897102	10886.906338																																																																																																																																																																																																																																																							
 15-19 	19520.376323	8312.096493	11208.279829																																																																																																																																																																																																																																																							
 20-24 	22180.532009	9901.449751	12279.082258																																																																																																																																																																																																																																																							
 25-29 	18513.718464	8243.729973	10269.988491																																																																																																																																																																																																																																																							
 30-34 	15865.825206	7315.795206	8550.030000																																																																																																																																																																																																																																																							
