south_africa_test	Total	Male	Female
 0-4	22524.032077	11369.432490	11154.599587
 5-9	24496.903258	12346.356747	12150.546511
 10-14 	15051.065561	7570.436890	7480.628672
 15-19 	23609.984563	11890.125025	11719.859538
 20-24 	23885.874756	12186.874899	11698.999857
 25-29 	20667.180422	10731.464427	9935.715996
 30-34 	18400.843070	9703.359203	8697.483868
 35-39 	15704.622920	8435.833407	7268.789513
 40-44 	11999.842403	6543.025708	5456.816695
 45-49 	8993.616014	4883.693936	4109.922078
 50-54 	7577.429841	3908.130394	3669.299447
 55-59 	6951.996617	3278.922327	3673.074290
 60-64 	6633.879942	2799.898668	3833.981275
 65-69 	5641.994841	2174.301592	3467.693250
 70-74 	4042.459404	1409.327204	2633.132200
 75-79 	2606.773216	797.876093	1808.897122
 80+ 	2240.592550	559.438402	1681.154147
Total	221029.091456	110588.497411	110440.594046
2022			
 0-4	21932.606051	11073.828167	10858.777885
 5-9	23869.467262	12033.802118	11835.665145
 10-14 	14778.120168	7435.326123	7342.794045
 15-19 	23086.976356	11627.683095	11459.293261
 20-24 	23802.624255	12137.539799	11665.084456
 25-29 	20225.570509	10489.232896	9736.337612
 30-34 	18022.840081	9479.961593	8542.878488
 35-39 	15664.640265	8382.610581	7282.029684
 40-44 	12248.725592	6660.366449	5588.359143
 45-49 	9101.906246	4956.833469	4145.072778
 50-54 	7464.946424	3895.850322	3569.096101
 55-59 	6751.434007	3238.089180	3513.344827
 60-64 	6405.741680	2737.445898	3668.295782
 65-69 	5580.819033	2156.353933	3424.465100
 70-74 	4062.523990	1418.954747	2643.569242
 75-79 	2621.673461	801.384803	1820.288657
 80+ 	2271.099249	562.159208	1708.940040
Total	217891.714629	109087.422383	108804.292247
2023			
 0-4	21421.903221	10818.764142	10603.139078
 5-9	23325.682168	11763.243018	11562.439149
 10-14 	14494.984500	7294.878747	7200.105753
 15-19 	22587.489810	11378.152597	11209.337213
 20-24 	23766.172901	12114.390711	11651.782190
 25-29 	19917.192726	10318.073660	9599.119065
 30-34 	17684.699467	9282.430868	8402.268599
 35-39 	15582.117665	8307.482726	7274.634939
 40-44 	12502.671281	6777.209124	5725.462156
 45-49 	9276.888737	5058.826876	4218.061861
 50-54 	7406.854018	3907.055904	3499.798114
 55-59 	6596.869740	3214.217168	3382.652572
 60-64 	6187.796377	2683.630116	3504.166261
 65-69 	5508.199291	2136.533973	3371.665319
 70-74 	4088.227151	1431.104583	2657.122568
 75-79 	2639.943937	806.645426	1833.298512
 80+ 	2309.978490	567.535679	1742.442811
Total	215297.671479	107860.175318	107437.496161
2024			
 0-4	20979.347821	10597.931396	10381.416425
 5-9	22837.474416	11520.469703	11317.004713
 10-14 	14269.761239	7183.800104	7085.961136
 15-19 	22105.851564	11137.991947	10967.859617
 20-24 	23674.047470	12065.465716	11608.581754
 25-29 	19748.082291	10220.353186	9527.729106
 30-34 	17384.069091	9108.686659	8275.382432
 35-39 	15468.887087	8217.870983	7251.016104
 40-44 	12741.292129	6883.340982	5857.951146
 45-49 	9511.056054	5186.267394	4324.788660
 50-54 	7415.819317	3950.476574	3465.342743
 55-59 	6468.668100	3195.295708	3273.372392
 60-64 	5989.776401	2641.259519	3348.516882
 65-69 	5421.132248	2114.822121	3306.310127
 70-74 	4114.672242	1443.809098	2670.863144
 75-79 	2664.579894	814.616139	1849.963756
 80+ 	2354.363624	574.690782	1779.672841
Total	213148.880990	106857.148011	106291.732978
2025			
 0-4	20601.051407	10409.389091	10191.662316
 5-9	22406.384951	11306.311515	11100.073436
 10-14 	14050.337698	7075.559182	6974.778516
 15-19 	21756.298069	10965.164265	10791.133804
 20-24 	23521.094915	11987.495363	11533.599552
 25-29 	19724.091648	10199.253057	9524.838591
 30-34 	17123.693784	8959.198874	8164.494910
 35-39 	15336.995099	8121.236289	7215.758810
 40-44 	12951.000242	6972.001180	5978.999062
 45-49 	9794.098233	5334.413591	4459.684643
 50-54 	7467.017543	4001.201089	3465.816454
 55-59 	6387.344070	3204.360094	3182.983976
 60-64 	5821.869084	2613.761616	3208.107468
 65-69 	5319.490945	2092.013607	3227.477339
 70-74 	4139.407690	1456.177813	2683.229877
 75-79 	2697.195687	825.770976	1871.424711
 80+ 	2402.752694	583.177040	1819.575655
Total	211500.123760	106106.484640	105393.639120
2026			
 0-4	20281.389319	10250.328595	10031.060724
 5-9	22034.740917	11121.978426	10912.762490
 10-14 	13837.784125	6970.581493	6867.202632
 15-19 	21526.496528	10853.302974	10673.193554
 20-24 	23298.610683	11875.037850	11423.572833
 25-29 	19820.908147	10242.881530	9578.026618
 30-34 	16907.547164	8834.875997	8072.671167
 35-39 	15201.091398	8026.065902	7175.025495
 40-44 	13124.128423	7039.540283	6084.588140
 45-49 	10110.324060	5495.624919	4614.699141
 50-54 	7585.128714	4090.271612	3494.857102
 55-59 	6335.182287	3217.210994	3117.971292
 60-64 	5685.929939	2597.696389	3088.233550
 65-69 	5205.272471	2069.438637	3135.833835
 70-74 	4155.798464	1465.952078	2689.846386
 75-79 	2741.359051	841.213096	1900.145955
 80+ 	2453.598959	592.522462	1861.076497
Total	210305.290648	105584.523239	104720.767409
2027			
 0-4	20015.722395	10118.416954	9897.305441
