Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 35-39 	0.000401	0.000788	0.000043
 40-44 	0.000319	0.000630	0.000035
 45-49 	0.000205	0.000407	0.000023
 50-54 	0.000085	0.000171	0.000009
 55-59 	0.000039	0.000083	0.000001
 60-64 	0.000004	0.000008	0.000000
 65-69 	0.000001	0.000002	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000001	0.000002	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000178	0.000334	0.000028
1979			
 0-4	0.000032	0.000032	0.000031
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000725	0.000998	0.000446
 20-24 	0.000763	0.001145	0.000376
 25-29 	0.000748	0.001175	0.000320
 30-34 	0.000732	0.001258	0.000242
 35-39 	0.000665	0.001140	0.000228
 40-44 	0.000531	0.000912	0.000184
 45-49 	0.000342	0.000587	0.000122
 50-54 	0.000142	0.000249	0.000048
 55-59 	0.000059	0.000119	0.000007
 60-64 	0.000006	0.000012	0.000000
 65-69 	0.000001	0.000003	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000001	0.000003	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000316	0.000491	0.000147
1980			
 0-4	0.000044	0.000044	0.000043
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000892	0.001439	0.000337
 20-24 	0.000971	0.001650	0.000283
 25-29 	0.000969	0.001693	0.000241
 30-34 	0.000971	0.001812	0.000183
 35-39 	0.000876	0.001643	0.000172
 40-44 	0.000698	0.001314	0.000139
 45-49 	0.000446	0.000842	0.000091
 50-54 	0.000187	0.000360	0.000037
 55-59 	0.000082	0.000171	0.000005
 60-64 	0.000008	0.000018	0.000000
 65-69 	0.000002	0.000005	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000002	0.000005	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000410	0.000716	0.000114
1981			
 0-4	0.000062	0.000063	0.000062
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001183	0.001924	0.000429
 20-24 	0.001288	0.002205	0.000361
 25-29 	0.001289	0.002264	0.000307
 30-34 	0.001300	0.002423	0.000233
 35-39 	0.001165	0.002197	0.000219
 40-44 	0.000929	0.001758	0.000177
 45-49 	0.000590	0.001120	0.000116
 50-54 	0.000250	0.000483	0.000047
 55-59 	0.000108	0.000228	0.000007
 60-64 	0.000011	0.000024	0.000000
 65-69 	0.000003	0.000006	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000003	0.000006	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000552	0.000970	0.000148
1982			
 0-4	0.000109	0.000110	0.000109
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001903	0.002873	0.000916
 20-24 	0.002037	0.003292	0.000769
 25-29 	0.002022	0.003380	0.000654
 30-34 	0.002029	0.003617	0.000498
 35-39 	0.001810	0.003281	0.000467
 40-44 	0.001447	0.002627	0.000378
 45-49 	0.000917	0.001667	0.000247
 50-54 	0.000391	0.000722	0.000101
 55-59 	0.000164	0.000340	0.000014
 60-64 	0.000017	0.000036	0.000000
 65-69 	0.000004	0.000010	0.000000
 70-74 	0.000000	0.000001	0.000000
 75-79 	0.000004	0.000010	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000882	0.001469	0.000315
1983			
 0-4	0.000158	0.000159	0.000157
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.002486	0.003808	0.001139
 20-24 	0.002668	0.004363	0.000956
 25-29 	0.002651	0.004480	0.000814
 30-34 	0.002682	0.004794	0.000619
 35-39 	0.002378	0.004351	0.000581
 40-44 	0.001903	0.003484	0.000471
 45-49 	0.001203	0.002207	0.000307
 50-54 	0.000512	0.000955	0.000125
 55-59 	0.000216	0.000450	0.000018
 60-64 	0.000022	0.000048	0.000000
 65-69 	0.000006	0.000013	0.000000
 70-74 	0.000000	0.000001	0.000000
 75-79 	0.000005	0.000013	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.001171	0.001972	0.000398
1984			
 0-4	0.000281	0.000282	0.000279
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.003782	0.005118	0.002421
 20-24 	0.003956	0.005862	0.002030
 25-29 	0.003877	0.006019	0.001728
 30-34 	0.003860	0.006441	0.001314
 35-39 	0.003440	0.005853	0.001235
 40-44 	0.002750	0.004683	0.001001
 45-49 	0.001743	0.002968	0.000653
 50-54 	0.000736	0.001276	0.000263
 55-59 	0.000299	0.000607	0.000039
