Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 50-54 	0.103900	0.174556	0.038451
 55-59 	0.041816	0.084825	0.006095
 60-64 	0.003706	0.008426	0.000089
 65-69 	0.001025	0.002301	0.000095
 70-74 	0.000055	0.000134	0.000003
 75-79 	0.000966	0.002310	0.000188
 80+ 	0.000000	0.000000	0.000000
Total	0.295835	0.452283	0.144032
2007			
 0-4	0.167868	0.168950	0.166692
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.476625	0.631189	0.315315
 20-24 	0.494051	0.719647	0.263116
 25-29 	0.481536	0.739408	0.223544
 30-34 	0.478143	0.790669	0.169580
 35-39 	0.437189	0.716495	0.160000
 40-44 	0.351739	0.575326	0.129864
 45-49 	0.224566	0.368747	0.085540
 50-54 	0.094220	0.158478	0.034620
 55-59 	0.038468	0.077429	0.005525
 60-64 	0.003402	0.007771	0.000080
 65-69 	0.000928	0.002091	0.000086
 70-74 	0.000049	0.000120	0.000003
 75-79 	0.000881	0.002113	0.000170
 80+ 	0.000000	0.000000	0.000000
Total	0.270972	0.414767	0.131302
2008			
 0-4	0.158809	0.159439	0.158119
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.438591	0.580514	0.289970
 20-24 	0.453118	0.659685	0.241265
 25-29 	0.441796	0.677766	0.205074
 30-34 	0.438479	0.724764	0.155564
 35-39 	0.400821	0.656927	0.146775
 40-44 	0.322658	0.527299	0.119105
 45-49 	0.206014	0.337771	0.078396
 50-54 	0.086219	0.145004	0.031673
 55-59 	0.035438	0.070784	0.005034
 60-64 	0.003201	0.007332	0.000074
 65-69 	0.000847	0.001912	0.000078
 70-74 	0.000045	0.000110	0.000003
 75-79 	0.000803	0.001930	0.000156
 80+ 	0.000000	0.000000	0.000000
Total	0.249472	0.381844	0.120772
2009			
 0-4	0.146832	0.147132	0.146503
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.409484	0.540715	0.271629
 20-24 	0.420964	0.611540	0.225104
 25-29 	0.410483	0.628282	0.191404
 30-34 	0.407080	0.671858	0.145217
 35-39 	0.371912	0.609062	0.136999
 40-44 	0.299497	0.488694	0.111142
 45-49 	0.191375	0.312919	0.073126
 50-54 	0.079884	0.134152	0.029470
 55-59 	0.032878	0.065263	0.004641
 60-64 	0.003122	0.007139	0.000068
 65-69 	0.000782	0.001770	0.000073
 70-74 	0.000042	0.000103	0.000003
 75-79 	0.000735	0.001768	0.000143
 80+ 	0.000000	0.000000	0.000000
Total	0.231602	0.354292	0.112220
2010			
 0-4	0.132719	0.132853	0.132572
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.387231	0.511051	0.256834
 20-24 	0.396257	0.575149	0.211995
 25-29 	0.386443	0.590898	0.180319
 30-34 	0.383009	0.631883	0.136842
 35-39 	0.349612	0.572710	0.129060
 40-44 	0.281483	0.459373	0.104676
 45-49 	0.180150	0.294109	0.068862
 50-54 	0.075011	0.125855	0.027657
 55-59 	0.030860	0.061021	0.004313
 60-64 	0.003101	0.007044	0.000064
 65-69 	0.000732	0.001661	0.000068
 70-74 	0.000040	0.000098	0.000002
 75-79 	0.000677	0.001629	0.000132
 80+ 	0.000000	0.000000	0.000000
Total	0.216861	0.332248	0.104543
2011			
 0-4	0.128460	0.128552	0.128360
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.368713	0.487540	0.243307
 20-24 	0.376417	0.546918	0.200317
 25-29 	0.367194	0.561917	0.170464
 30-34 	0.363914	0.600878	0.129402
 35-39 	0.331743	0.544503	0.122006
 40-44 	0.267142	0.436770	0.098962
 45-49 	0.171180	0.279516	0.065088
 50-54 	0.071165	0.119409	0.026056
 55-59 	0.029250	0.057718	0.004031
 60-64 	0.003047	0.006852	0.000061
 65-69 	0.000691	0.001573	0.000064
 70-74 	0.000039	0.000094	0.000002
 75-79 	0.000628	0.001516	0.000122
 80+ 	0.000000	0.000000	0.000000
Total	0.204994	0.314889	0.097992
2012			
 0-4	0.116609	0.116688	0.116523
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.349754	0.463104	0.229903
 20-24 	0.357470	0.519769	0.189322
 25-29 	0.348775	0.534059	0.161219
 30-34 	0.345711	0.571063	0.122423
 35-39 	0.314720	0.517449	0.115400
 40-44 	0.253455	0.415175	0.093634
 45-49 	0.162563	0.265529	0.061562
 50-54 	0.067557	0.113296	0.024585
 55-59 	0.027731	0.054655	0.003782
 60-64 	0.002929	0.006508	0.000059
 65-69 	0.000652	0.001488	0.000060
 70-74 	0.000037	0.000091	0.000002
 75-79 	0.000589	0.001423	0.000114
 80+ 	0.000000	0.000000	0.000000
Total	0.192724	0.297080	0.091088
2013			
 0-4	0.115154	0.115189	0.115115
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.335725	0.446399	0.218502
 20-24 	0.344750	0.502983	0.180300
 25-29 	0.336570	0.516851	0.153729
 30-34 	0.333904	0.552638	0.116770
 35-39 	0.303578	0.500804	0.110063
 40-44 	0.244433	0.401943	0.089336
 45-49 	0.156867	0.256875	0.058711
 50-54 	0.065225	0.109504	0.023411
 55-59 	0.026775	0.052776	0.003583
 60-64 	0.002818	0.006193	0.000056
 65-69 	0.000623	0.001424	0.000057
 70-74 	0.000036	0.000088	0.000002
 75-79 	0.000568	0.001374	0.000108
 80+ 	0.000000	0.000000	0.000000
Total	0.184491	0.285711	0.085884
2014			
 0-4	0.113988	0.113920	0.114063
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.324308	0.432207	0.209863
 20-24 	0.334569	0.489192	0.173402
 25-29 	0.326865	0.502716	0.148126
 30-34 	0.324484	0.537504	0.112540
 35-39 	0.294710	0.487195	0.106085
 40-44 	0.237123	0.391050	0.086116
 45-49 	0.152215	0.249717	0.056571
 50-54 	0.063366	0.106389	0.022538
 55-59 	0.025998	0.051231	0.003425
 60-64 	0.002694	0.005869	0.000054
 65-69 	0.000595	0.001356	0.000053
 70-74 	0.000035	0.000086	0.000002
 75-79 	0.000555	0.001342	0.000105
 80+ 	0.000000	0.000000	0.000000
Total	0.177604	0.275978	0.081751
2015			
 0-4	0.102081	0.101909	0.102270
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.306598	0.408868	0.198004
 20-24 	0.317297	0.464352	0.163611
 25-29 	0.310220	0.477205	0.140034
 30-34 	0.308059	0.510207	0.106413
 35-39 	0.279592	0.462572	0.100328
 40-44 	0.224644	0.371055	0.081407
 45-49 	0.144139	0.236786	0.053461
 50-54 	0.060128	0.100881	0.021294
 55-59 	0.024644	0.048512	0.003208
 60-64 	0.002506	0.005425	0.000051
 65-69 	0.000558	0.001261	0.000049
 70-74 	0.000034	0.000083	0.000002
 75-79 	0.000530	0.001281	0.000100
 80+ 	0.000000	0.000000	0.000000
Total	0.166440	0.259474	0.075776
2016			
 0-4	0.096344	0.096099	0.096613
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.302850	0.403515	0.195880
 20-24 	0.313971	0.459207	0.161833
 25-29 	0.307133	0.471914	0.138665
 30-34 	0.304960	0.504520	0.105399
 35-39 	0.276676	0.457515	0.099393
 40-44 	0.221921	0.366782	0.080610
 45-49 	0.142435	0.234088	0.052954
 50-54 	0.059489	0.099666	0.021082
 55-59 	0.024358	0.047858	0.003151
 60-64 	0.002440	0.005261	0.000051
 65-69 	0.000555	0.001242	0.000048
 70-74 	0.000034	0.000083	0.000002
 75-79 	0.000530	0.001276	0.000100
 80+ 	0.000000	0.000000	0.000000
Total	0.162813	0.254268	0.073682
2017			
 0-4	0.090649	0.090388	0.090933
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.301571	0.400036	0.196883
 20-24 	0.312979	0.455963	0.162885
 25-29 	0.306126	0.468588	0.139456
 30-34 	0.303701	0.500907	0.106043
 35-39 	0.275544	0.454316	0.100025
 40-44 	0.220677	0.364104	0.081101
 45-49 	0.141699	0.232505	0.053311
 50-54 	0.059211	0.098885	0.021209
 55-59 	0.024217	0.047431	0.003153
 60-64 	0.002401	0.005162	0.000051
 65-69 	0.000562	0.001241	0.000049
 70-74 	0.000034	0.000083	0.000002
 75-79 	0.000531	0.001275	0.000101
 80+ 	0.000000	0.000000	0.000000
Total	0.160310	0.250181	0.072725
2018			
 0-4	0.087730	0.087488	0.087992
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.300973	0.398121	0.197578
 20-24 	0.312896	0.454544	0.163922
 25-29 	0.305950	0.467199	0.139958
 30-34 	0.303352	0.499311	0.106506
 35-39 	0.275278	0.452926	0.100486
 40-44 	0.220211	0.363023	0.081480
 45-49 	0.141420	0.231954	0.053594
 50-54 	0.059098	0.098520	0.021303
 55-59 	0.024182	0.047220	0.003156
 60-64 	0.002377	0.005100	0.000051
 65-69 	0.000572	0.001249	0.000049
 70-74 	0.000035	0.000086	0.000002
 75-79 	0.000533	0.001277	0.000102
 80+ 	0.000000	0.000000	0.000000
Total	0.158513	0.247396	0.071902
2019			
 0-4	0.084789	0.084572	0.085024
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.299910	0.395580	0.197835
 20-24 	0.312162	0.452274	0.164570
 25-29 	0.305134	0.465029	0.140018
 30-34 	0.302431	0.496823	0.106682
 35-39 	0.274487	0.450692	0.100672
 40-44 	0.219421	0.361378	0.081656
 45-49 	0.140821	0.230924	0.053714
 50-54 	0.058829	0.097948	0.021331
 55-59 	0.024105	0.046935	0.003153
 60-64 	0.002346	0.005023	0.000051
 65-69 	0.000581	0.001257	0.000050
 70-74 	0.000037	0.000090	0.000002
 75-79 	0.000534	0.001276	0.000103
 80+ 	0.000000	0.000000	0.000000
Total	0.156497	0.244303	0.070952
2020			
 0-4	0.081435	0.081235	0.081651
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.299802	0.393827	0.199057
 20-24 	0.312052	0.450662	0.165867
 25-29 	0.304948	0.463602	0.140663
 30-34 	0.302157	0.495089	0.107325
 35-39 	0.274247	0.449102	0.101301
 40-44 	0.219159	0.360305	0.082199
 45-49 	0.140385	0.229951	0.054015
 50-54 	0.058591	0.097428	0.021434
 55-59 	0.024062	0.046722	0.003166
 60-64 	0.002319	0.004950	0.000051
 65-69 	0.000589	0.001266	0.000051
 70-74 	0.000039	0.000094	0.000002
 75-79 	0.000535	0.001276	0.000104
 80+ 	0.000000	0.000000	0.000000
Total	0.154867	0.241676	0.070317
2021			
 0-4	0.077233	0.077040	0.077441
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.300592	0.394093	0.199837
 20-24 	0.312712	0.451089	0.166654
 25-29 	0.305633	0.464246	0.141002
 30-34 	0.302906	0.495585	0.107695
 35-39 	0.274860	0.449497	0.101683
 40-44 	0.219638	0.360818	0.082537
 45-49 	0.140380	0.230010	0.054178
 50-54 	0.058635	0.097514	0.021516
 55-59 	0.024108	0.046724	0.003174
 60-64 	0.002307	0.004910	0.000052
 65-69 	0.000596	0.001275	0.000052
 70-74 	0.000040	0.000096	0.000002
 75-79 	0.000538	0.001284	0.000105
 80+ 	0.000000	0.000000	0.000000
Total	0.153707	0.240169	0.069527
2022			
 0-4	0.072887	0.072695	0.073094
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.301519	0.394694	0.200495
 20-24 	0.313329	0.451601	0.167294
 25-29 	0.306308	0.464851	0.141403
 30-34 	0.303680	0.496159	0.107977
 35-39 	0.275444	0.449938	0.101998
 40-44 	0.220156	0.361352	0.082819
 45-49 	0.140460	0.230212	0.054329
 50-54 	0.058731	0.097715	0.021609
 55-59 	0.024149	0.046743	0.003183
 60-64 	0.002302	0.004883	0.000052
 65-69 	0.000599	0.001279	0.000052
 70-74 	0.000041	0.000096	0.000002
 75-79 	0.000543	0.001295	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.152602	0.238768	0.068748
2023			
 0-4	0.068793	0.068588	0.069013
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.302558	0.395659	0.201065
 20-24 	0.313991	0.452232	0.167823
 25-29 	0.306997	0.465420	0.141901
 30-34 	0.304467	0.496869	0.108152
 35-39 	0.276048	0.450495	0.102249
 40-44 	0.220719	0.361944	0.083042
 45-49 	0.140677	0.230633	0.054481
 50-54 	0.058842	0.097966	0.021697
 55-59 	0.024189	0.046782	0.003190
 60-64 	0.002301	0.004863	0.000052
 65-69 	0.000603	0.001284	0.000052
 70-74 	0.000041	0.000094	0.000002
 75-79 	0.000551	0.001313	0.000108
 80+ 	0.000000	0.000000	0.000000
Total	0.151561	0.237468	0.068003
2024			
 0-4	0.065050	0.064822	0.065294
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.303671	0.396921	0.201614
 20-24 	0.314773	0.453014	0.168230
 25-29 	0.307700	0.466041	0.142422
 30-34 	0.305266	0.497746	0.108231
 35-39 	0.276729	0.451217	0.102449
 40-44 	0.221318	0.362605	0.083216
 45-49 	0.141015	0.231237	0.054629
 50-54 	0.058916	0.098177	0.021754
 55-59 	0.024216	0.046829	0.003192
 60-64 	0.002301	0.004848	0.000052
 65-69 	0.000609	0.001292	0.000053
 70-74 	0.000040	0.000092	0.000002
 75-79 	0.000567	0.001344	0.000110
 80+ 	0.000000	0.000000	0.000000
Total	0.150570	0.236240	0.067293
2025			
 0-4	0.061829	0.061586	0.062087
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.304775	0.398352	0.202133
 20-24 	0.315733	0.453986	0.168539
 25-29 	0.308442	0.466857	0.142880
 30-34 	0.306100	0.498805	0.108272
 35-39 	0.277523	0.452126	0.102615
 40-44 	0.221956	0.363362	0.083354
 45-49 	0.141450	0.231973	0.054766
 50-54 	0.058925	0.098273	0.021761
 55-59 	0.024213	0.046859	0.003185
 60-64 	0.002302	0.004836	0.000052
 65-69 	0.000614	0.001300	0.000053
 70-74 	0.000039	0.000089	0.000002
 75-79 	0.000591	0.001388	0.000112
 80+ 	0.000000	0.000000	0.000000
Total	0.149625	0.235071	0.066622
2026			
 0-4	0.059190	0.058958	0.059435
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.305803	0.399823	0.202597
 20-24 	0.316884	0.455167	0.168803
 25-29 	0.309256	0.467971	0.143231
 30-34 	0.307013	0.500051	0.108351
 35-39 	0.278432	0.453202	0.102766
 40-44 	0.222639	0.364236	0.083474
 45-49 	0.141951	0.232777	0.054888
 50-54 	0.058953	0.098422	0.021760
 55-59 	0.024247	0.046956	0.003192
 60-64 	0.002305	0.004830	0.000052
 65-69 	0.000620	0.001307	0.000054
 70-74 	0.000039	0.000088	0.000002
 75-79 	0.000613	0.001424	0.000114
 80+ 	0.000000	0.000000	0.000000
Total	0.148723	0.233956	0.065989
2027			
 0-4	0.057024	0.056840	0.057220
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.306742	0.401243	0.202994
 20-24 	0.318180	0.456549	0.169073
 25-29 	0.310166	0.469347	0.143541
 30-34 	0.308065	0.501496	0.108553
 35-39 	0.279428	0.454398	0.102917
 40-44 	0.223369	0.365237	0.083594
 45-49 	0.142517	0.233643	0.055006
 50-54 	0.059065	0.098699	0.021782
 55-59 	0.024311	0.047118	0.003208
 60-64 	0.002309	0.004831	0.000052
 65-69 	0.000625	0.001313	0.000054
 70-74 	0.000039	0.000087	0.000002
 75-79 	0.000627	0.001436	0.000115
 80+ 	0.000000	0.000000	0.000000
Total	0.147860	0.232886	0.065387
2028			
 0-4	0.055167	0.055044	0.055297
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.307630	0.402630	0.203346
 20-24 	0.319496	0.458065	0.169346
 25-29 	0.311193	0.470851	0.143863
 30-34 	0.309247	0.503119	0.108870
 35-39 	0.280417	0.455579	0.103063
 40-44 	0.224150	0.366338	0.083718
 45-49 	0.143122	0.234530	0.055122
 50-54 	0.059270	0.099109	0.021835
 55-59 	0.024396	0.047331	0.003225
 60-64 	0.002314	0.004836	0.000052
 65-69 	0.000630	0.001319	0.000054
 70-74 	0.000038	0.000086	0.000002
 75-79 	0.000632	0.001429	0.000115
 80+ 	0.000000	0.000000	0.000000
Total	0.147010	0.231830	0.064800
2029			
 0-4	0.053631	0.053553	0.053715
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.308553	0.404115	0.203727
 20-24 	0.320740	0.459654	0.169607
 25-29 	0.312379	0.472427	0.144186
 30-34 	0.310492	0.504888	0.109217
 35-39 	0.281339	0.456673	0.103203
 40-44 	0.224989	0.367512	0.083852
 45-49 	0.143725	0.235382	0.055232
 50-54 	0.059534	0.099591	0.021908
 55-59 	0.024473	0.047540	0.003233
 60-64 	0.002314	0.004832	0.000052
 65-69 	0.000636	0.001326	0.000055
 70-74 	0.000038	0.000086	0.000002
 75-79 	0.000632	0.001414	0.000114
 80+ 	0.000000	0.000000	0.000000
Total	0.146159	0.230759	0.064227
2030			
 0-4	0.052378	0.052321	0.052437
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.309544	0.405737	0.204185
 20-24 	0.321872	0.461263	0.169873
 25-29 	0.313725	0.474028	0.144505
 30-34 	0.311718	0.506710	0.109546
 35-39 	0.282203	0.457711	0.103343
 40-44 	0.225865	0.368688	0.083994
 45-49 	0.144300	0.236167	0.055338
 50-54 	0.059826	0.100089	0.021988
 55-59 	0.024508	0.047654	0.003228
 60-64 	0.002300	0.004805	0.000052
 65-69 	0.000641	0.001332	0.000055
 70-74 	0.000038	0.000085	0.000002
 75-79 	0.000628	0.001397	0.000113
 80+ 	0.000000	0.000000	0.000000
Total	0.145286	0.229638	0.063659
2031			
 0-4	0.051316	0.051267	0.051369
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.310562	0.407426	0.204717
 20-24 	0.322888	0.462827	0.170167
 25-29 	0.315175	0.475602	0.144816
 30-34 	0.312854	0.508452	0.109845
 35-39 	0.283073	0.458806	0.103499
 40-44 	0.226722	0.369762	0.084132
 45-49 	0.144826	0.236864	0.055439
 50-54 	0.060118	0.100553	0.022064
 55-59 	0.024537	0.047761	0.003222
 60-64 	0.002310	0.004827	0.000052
 65-69 	0.000645	0.001338	0.000055
 70-74 	0.000038	0.000084	0.000002
 75-79 	0.000625	0.001380	0.000112
 80+ 	0.000000	0.000000	0.000000
Total	0.144363	0.228422	0.063083
2032			
 0-4	0.050330	0.050281	0.050382
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.311512	0.409024	0.205280
 20-24 	0.323822	0.464279	0.170504
 25-29 	0.316625	0.477089	0.145126
 30-34 	0.313885	0.510040	0.110133
 35-39 	0.284078	0.460158	0.103699
 40-44 	0.227483	0.370617	0.084251
 45-49 	0.145291	0.237461	0.055533
 50-54 	0.060398	0.100966	0.022134
 55-59 	0.024584	0.047886	0.003225
 60-64 	0.002329	0.004870	0.000052
 65-69 	0.000649	0.001344	0.000055
 70-74 	0.000038	0.000084	0.000002
 75-79 	0.000623	0.001371	0.000111
 80+ 	0.000000	0.000000	0.000000
Total	0.143363	0.227072	0.062484
2033			
 0-4	0.049291	0.049242	0.049341
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.312327	0.410411	0.205830
 20-24 	0.324661	0.465560	0.170869
 25-29 	0.317934	0.478427	0.145426
 30-34 	0.314874	0.511444	0.110413
 35-39 	0.285225	0.461763	0.103954
 40-44 	0.228036	0.371102	0.084320
 45-49 	0.145705	0.237964	0.055621
 50-54 	0.060652	0.101307	0.022196
 55-59 	0.024659	0.048043	0.003239
 60-64 	0.002342	0.004903	0.000052
 65-69 	0.000652	0.001348	0.000055
 70-74 	0.000038	0.000084	0.000002
 75-79 	0.000624	0.001368	0.000111
 80+ 	0.000000	0.000000	0.000000
Total	0.142262	0.225555	0.061847
2034			
 0-4	0.048217	0.048170	0.048267
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.312990	0.411545	0.206334
 20-24 	0.325329	0.466617	0.171216
 25-29 	0.318995	0.479563	0.145689
 30-34 	0.315877	0.512615	0.110661
 35-39 	0.286340	0.463337	0.104235
 40-44 	0.228328	0.371160	0.084325
 45-49 	0.146081	0.238378	0.055700
 50-54 	0.060859	0.101553	0.022244
 55-59 	0.024751	0.048212	0.003257
 60-64 	0.002345	0.004913	0.000053
 65-69 	0.000655	0.001353	0.000055
 70-74 	0.000038	0.000084	0.000002
 75-79 	0.000624	0.001363	0.000110
 80+ 	0.000000	0.000000	0.000000
Total	0.141052	0.223858	0.061169
2035			
 0-4	0.047141	0.047095	0.047189
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.313479	0.412391	0.206759
 20-24 	0.325769	0.467407	0.171504
 25-29 	0.319750	0.480440	0.145899
 30-34 	0.316892	0.513501	0.110863
 35-39 	0.287245	0.464590	0.104491
 40-44 	0.228409	0.370891	0.084284
 45-49 	0.146393	0.238645	0.055758
 50-54 	0.061010	0.101693	0.022276
 55-59 	0.024845	0.048366	0.003275
 60-64 	0.002335	0.004894	0.000053
 65-69 	0.000659	0.001361	0.000056
 70-74 	0.000038	0.000083	0.000002
 75-79 	0.000623	0.001356	0.000110
 80+ 	0.000000	0.000000	0.000000
Total	0.139731	0.221975	0.060448
2036			
 0-4	0.046053	0.046008	0.046100
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.313762	0.412909	0.207077
 20-24 	0.325950	0.467899	0.171702
 25-29 	0.320191	0.481002	0.146049
 30-34 	0.317862	0.514056	0.111013
 35-39 	0.287827	0.465344	0.104677
 40-44 	0.228431	0.370550	0.084247
 45-49 	0.146588	0.238675	0.055777
 50-54 	0.061098	0.101728	0.022290
 55-59 	0.024927	0.048476	0.003289
 60-64 	0.002325	0.004877	0.000053
 65-69 	0.000659	0.001360	0.000056
 70-74 	0.000038	0.000083	0.000002
 75-79 	0.000622	0.001348	0.000109
 80+ 	0.000000	0.000000	0.000000
Total	0.138296	0.219905	0.059683
2037			
 0-4	0.044914	0.044870	0.044960
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.313788	0.413051	0.207250
 20-24 	0.325862	0.468068	0.171798
 25-29 	0.320364	0.481207	0.146143
 30-34 	0.318667	0.514251	0.111105
 35-39 	0.288131	0.465667	0.104789
 40-44 	0.228648	0.370536	0.084293
 45-49 	0.146602	0.238374	0.055736
 50-54 	0.061125	0.101666	0.022285
 55-59 	0.024993	0.048541	0.003299
 60-64 	0.002325	0.004878	0.000053
 65-69 	0.000656	0.001356	0.000055
 70-74 	0.000038	0.000083	0.000002
 75-79 	0.000622	0.001342	0.000109
 80+ 	0.000000	0.000000	0.000000
Total	0.136754	0.217658	0.058876
2038			
 0-4	0.043704	0.043662	0.043748
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.313544	0.412832	0.207257
 20-24 	0.325529	0.467913	0.171786
 25-29 	0.320300	0.481058	0.146169
 30-34 	0.319174	0.514086	0.111121
 35-39 	0.288298	0.465687	0.104836
 40-44 	0.229111	0.370944	0.084434
 45-49 	0.146337	0.237609	0.055599
 50-54 	0.061107	0.101533	0.022264
 55-59 	0.025041	0.048557	0.003305
 60-64 	0.002334	0.004897	0.000053
 65-69 	0.000655	0.001354	0.000055
 70-74 	0.000038	0.000082	0.000002
 75-79 	0.000623	0.001337	0.000108
 80+ 	0.000000	0.000000	0.000000
Total	0.135119	0.215257	0.058030
2039			
 0-4	0.042448	0.042408	0.042490
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.313028	0.412274	0.207087
 20-24 	0.324965	0.467418	0.171654
 25-29 	0.319951	0.480550	0.146098
 30-34 	0.319282	0.513542	0.111040
 35-39 	0.288377	0.465356	0.104800
 40-44 	0.229568	0.371384	0.084577
 45-49 	0.145761	0.236357	0.055351
 50-54 	0.061057	0.101346	0.022225
 55-59 	0.025062	0.048516	0.003304
 60-64 	0.002346	0.004922	0.000053
 65-69 	0.000655	0.001355	0.000055
 70-74 	0.000038	0.000082	0.000002
 75-79 	0.000623	0.001331	0.000108
 80+ 	0.000000	0.000000	0.000000
Total	0.133401	0.212716	0.057154
2040			
 0-4	0.041129	0.041091	0.041170
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.312206	0.411334	0.206722
 20-24 	0.324153	0.466533	0.171382
 25-29 	0.319264	0.479649	0.145892
 30-34 	0.318934	0.512562	0.110853
 35-39 	0.288347	0.464595	0.104664
 40-44 	0.229741	0.371423	0.084625
 45-49 	0.144967	0.234779	0.055023
 50-54 	0.060954	0.101059	0.022160
 55-59 	0.025050	0.048413	0.003296
 60-64 	0.002357	0.004942	0.000053
 65-69 	0.000655	0.001356	0.000055
 70-74 	0.000037	0.000081	0.000002
 75-79 	0.000622	0.001324	0.000107
 80+ 	0.000000	0.000000	0.000000
Total	0.131601	0.210035	0.056251
2041			
 0-4	0.039728	0.039692	0.039767
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.311083	0.409995	0.206165
 20-24 	0.323098	0.465260	0.170971
 25-29 	0.318238	0.478364	0.145539
 30-34 	0.318166	0.511149	0.110570
 35-39 	0.288162	0.463380	0.104425
 40-44 	0.229490	0.370829	0.084525
 45-49 	0.144174	0.233238	0.054693
 50-54 	0.060766	0.100625	0.022058
 55-59 	0.025004	0.048251	0.003282
 60-64 	0.002365	0.004953	0.000053
 65-69 	0.000654	0.001354	0.000056
 70-74 	0.000037	0.000081	0.000002
 75-79 	0.000621	0.001316	0.000107
 80+ 	0.000000	0.000000	0.000000
Total	0.129736	0.207239	0.055328
2042			
 0-4	0.038221	0.038186	0.038257
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.309715	0.408296	0.205457
 20-24 	0.321826	0.463648	0.170446
 25-29 	0.316917	0.476739	0.145059
 30-34 	0.317105	0.509363	0.110215
 35-39 	0.287763	0.461748	0.104100
 40-44 	0.228940	0.369788	0.084321
 45-49 	0.143724	0.232275	0.054489
 50-54 	0.060471	0.100006	0.021913
 55-59 	0.024930	0.048040	0.003263
 60-64 	0.002370	0.004955	0.000052
 65-69 	0.000651	0.001348	0.000055
 70-74 	0.000038	0.000081	0.000002
 75-79 	0.000619	0.001309	0.000107
 80+ 	0.000000	0.000000	0.000000
Total	0.127836	0.204373	0.054400
2043			
 0-4	0.036618	0.036585	0.036652
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.308185	0.406330	0.204628
 20-24 	0.320360	0.461755	0.169827
 25-29 	0.315371	0.474821	0.144482
 30-34 	0.315833	0.507275	0.109803
 35-39 	0.287078	0.459765	0.103708
 40-44 	0.228300	0.368554	0.084060
 45-49 	0.143694	0.232006	0.054443
