Workshop_1_Demo		Total	Male	Female
1970		
 0-4	3743037.500000	1880495.500000	1862542.000000
 5-9	3167831.000000	1601916.250000	1565914.500000
 10-14 	2794506.500000	1410245.000000	1384261.500000
 15-19 	2417446.500000	1220873.250000	1196573.500000
 20-24 	1970298.250000	995239.750000	975058.625000
 25-29 	1686052.875000	844954.562500	841098.312500
 30-34 	1446453.500000	720068.187500	726385.250000
 35-39 	1259935.875000	635697.125000	624238.750000
 40-44 	1075778.875000	553364.312500	522414.500000
 45-49 	896831.562500	449196.937500	447634.625000
 50-54 	768872.250000	373870.000000	395002.250000
 55-59 	612012.375000	292364.406250	319647.968750
 60-64 	479692.000000	216284.125000	263407.843750
 65-69 	332013.937500	140621.140625	191392.796875
 70-74 	219327.171875	86956.085938	132371.093750
 75-79 	132456.062500	48375.382813	84080.679688
 80+ 	100519.226563	32390.390625	68128.835938
Total	23103066.000000	11502912.000000	11600153.000000
1971			
 0-4	3743037.500000	1880495.500000	1862542.000000
 5-9	3167831.000000	1601916.250000	1565914.500000
 10-14 	2794506.500000	1410245.000000	1384261.500000
 15-19 	2417446.500000	1220873.250000	1196573.500000
 20-24 	1970298.250000	995239.750000	975058.625000
 25-29 	1686052.875000	844954.562500	841098.312500
 30-34 	1446453.500000	720068.187500	726385.250000
 35-39 	1259935.875000	635697.125000	624238.750000
 40-44 	1075778.875000	553364.312500	522414.500000
 45-49 	896831.562500	449196.937500	447634.625000
 50-54 	768872.250000	373870.000000	395002.250000
 55-59 	612012.375000	292364.406250	319647.968750
 60-64 	479692.000000	216284.125000	263407.843750
 65-69 	332013.937500	140621.140625	191392.796875
 70-74 	219327.171875	86956.085938	132371.093750
 75-79 	132456.062500	48375.382813	84080.679688
 80+ 	100519.226563	32390.390625	68128.835938
Total	23103066.000000	11502912.000000	11600153.000000
1972			
 0-4	3833732.500000	1924664.500000	1909068.000000
 5-9	3258625.250000	1646016.125000	1612609.125000
 10-14 	2857455.500000	1442503.750000	1414951.625000
 15-19 	2495228.500000	1259456.875000	1235771.625000
 20-24 	2054644.250000	1038825.062500	1015819.250000
 25-29 	1730079.000000	869935.000000	860144.000000
 30-34 	1492238.375000	744135.312500	748103.125000
 35-39 	1289678.750000	648442.625000	641236.000000
 40-44 	1105815.875000	567163.187500	538652.625000
 45-49 	919458.687500	463909.718750	455548.968750
 50-54 	778267.125000	378549.687500	399717.468750
 55-59 	628281.500000	299929.687500	328351.781250
 60-64 	484759.093750	219797.687500	264961.375000
 65-69 	341813.937500	144408.078125	197405.843750
 70-74 	219905.953125	86630.562500	133275.390625
 75-79 	132940.406250	48256.070313	84684.328125
 80+ 	101123.171875	32380.292969	68742.875000
Total	23724048.000000	11815004.000000	11909043.000000
1973			
 0-4	3918769.500000	1966869.125000	1951900.500000
 5-9	3358166.500000	1693538.500000	1664628.000000
 10-14 	2920693.000000	1474993.750000	1445699.250000
 15-19 	2569246.000000	1295929.000000	1273317.000000
 20-24 	2144468.000000	1084623.750000	1059844.125000
 25-29 	1775036.625000	895219.125000	879817.500000
 30-34 	1540255.875000	769877.250000	770378.625000
 35-39 	1319742.875000	661543.875000	658199.062500
 40-44 	1136235.000000	580197.000000	556038.000000
 45-49 	944601.250000	479900.875000	464700.375000
 50-54 	787098.375000	383327.812500	403770.562500
 55-59 	645676.125000	307654.625000	338021.500000
 60-64 	489510.093750	223360.484375	266149.625000
 65-69 	352307.250000	148552.171875	203755.062500
 70-74 	221233.250000	86650.703125	134582.546875
 75-79 	133546.187500	48178.953125	85367.234375
 80+ 	101781.132813	32353.474609	69427.656250
Total	24358368.000000	12132770.000000	12225597.000000
1974			
 0-4	3998200.250000	2007649.000000	1990551.375000
 5-9	3461758.000000	1741735.750000	1720022.250000
 10-14 	2987857.250000	1509159.750000	1478697.500000
 15-19 	2639383.000000	1330562.875000	1308820.250000
 20-24 	2232355.250000	1128914.375000	1103440.875000
 25-29 	1825844.750000	922874.500000	902970.125000
 30-34 	1586863.000000	795073.000000	791789.937500
 35-39 	1351457.625000	675855.562500	675602.062500
 40-44 	1165891.625000	592440.937500	573450.687500
 45-49 	970632.312500	495355.812500	475276.500000
 50-54 	797932.937500	389677.687500	408255.250000
 55-59 	661497.937500	314574.531250	346923.375000
 60-64 	496061.968750	227494.156250	268567.812500
 65-69 	361646.437500	152403.859375	209242.578125
 70-74 	224089.968750	87337.273438	136752.687500
 75-79 	134186.093750	48069.019531	86117.078125
 80+ 	102455.375000	32313.384766	70141.992188
Total	24998114.000000	12451491.000000	12546622.000000
1975			
 0-4	4080777.500000	2052740.750000	2028036.500000
 5-9	3556282.500000	1782820.500000	1773461.875000
 10-14 	3061569.250000	1546018.375000	1515550.750000
 15-19 	2705523.500000	1363448.875000	1342074.500000
 20-24 	2312821.000000	1168837.250000	1143983.875000
 25-29 	1883993.375000	953214.625000	930778.812500
 30-34 	1628847.250000	817643.875000	811203.375000
 35-39 	1384680.000000	691267.500000	693412.562500
 40-44 	1193562.250000	603539.875000	590022.437500
 45-49 	996161.687500	508949.750000	487211.937500
 50-54 	811959.375000	398173.968750	413785.437500
 55-59 	674212.187500	320152.156250	354060.062500
 60-64 	505335.218750	232329.218750	273006.000000
 65-69 	368952.906250	155655.109375	213297.796875
 70-74 	228670.656250	88741.031250	139929.625000
 75-79 	134858.343750	47911.757813	86946.585938
 80+ 	103120.234375	32247.046875	70873.187500
Total	25631328.000000	12763692.000000	12867635.000000
1976			
 0-4	4158311.000000	2091552.125000	2066758.750000
 5-9	3647878.000000	1826562.250000	1821315.750000
 10-14 	3142921.750000	1586066.500000	1556855.250000
 15-19 	2769047.500000	1395355.250000	1373692.250000
 20-24 	2389175.500000	1206306.125000	1182869.250000
 25-29 	1950973.000000	987361.375000	963611.625000
 30-34 	1668484.500000	839028.375000	829456.000000
 35-39 	1420794.125000	708709.500000	712084.625000
 40-44 	1220277.000000	614101.687500	606175.312500
 45-49 	1022174.000000	521460.437500	500713.531250
 50-54 	829061.125000	408749.875000	420311.250000
 55-59 	684728.000000	324847.281250	359880.687500
 60-64 	517012.437500	237801.500000	279210.937500
 65-69 	374807.875000	158583.968750	216223.921875
 70-74 	234735.046875	90747.054688	143988.000000
 75-79 	135652.078125	47784.628906	87867.453125
 80+ 	103871.492188	32194.593750	71676.898438
Total	26269904.000000	13077212.000000	13192691.000000
1977			
 0-4	4228545.500000	2126710.750000	2101835.000000
 5-9	3738125.750000	1870244.875000	1867880.875000
 10-14 	3232728.750000	1629585.625000	1603143.250000
 15-19 	2830585.000000	1426622.750000	1403962.250000
 20-24 	2462574.750000	1241916.750000	1220658.125000
 25-29 	2027919.500000	1025986.000000	1001933.500000
 30-34 	1705591.875000	859207.562500	846384.312500
 35-39 	1460768.625000	728758.250000	732010.375000
 40-44 	1246119.000000	624192.750000	621926.187500
 45-49 	1049121.500000	533164.312500	515957.218750
 50-54 	849281.125000	421485.687500	427795.437500
 55-59 	693177.500000	328702.718750	364474.750000
 60-64 	531232.437500	243961.625000	287270.843750
 65-69 	379261.281250	161271.906250	217989.359375
 70-74 	242312.812500	93326.867188	148985.937500
 75-79 	136529.453125	47694.812500	88834.640625
 80+ 	104781.304688	32183.478516	72597.828125
Total	26918656.000000	13395017.000000	13523640.000000
1978			
 0-4	4296107.500000	2160632.500000	2135475.000000
 5-9	3823135.250000	1912187.000000	1910948.125000
 10-14 	3331277.500000	1676524.750000	1654752.625000
 15-19 	2892979.000000	1458478.250000	1434500.625000
 20-24 	2533551.750000	1276258.750000	1257293.000000
 25-29 	2111573.250000	1067626.750000	1043946.375000
 30-34 	1744563.125000	880301.187500	864262.000000
 35-39 	1503528.000000	750824.625000	752703.312500
 40-44 	1272711.250000	634908.875000	637802.312500
 45-49 	1076792.500000	544377.937500	532414.625000
 50-54 	872060.687500	435530.437500	436530.250000
 55-59 	701353.687500	332790.937500	368562.718750
 60-64 	546585.875000	250344.250000	296241.656250
 65-69 	383654.312500	164099.921875	219554.406250
 70-74 	250462.875000	96177.789063	154285.093750
 75-79 	137958.421875	47836.800781	90121.617188
 80+ 	105828.289063	32202.421875	73625.867188
Total	27584124.000000	13721103.000000	13863019.000000
1979			
 0-4	4364675.000000	2195245.000000	2169430.500000
 5-9	3903373.250000	1953148.250000	1950224.875000
 10-14 	3434093.250000	1724246.000000	1709847.250000
 15-19 	2959958.500000	1492423.375000	1467535.000000
 20-24 	2602552.750000	1309955.875000	1292597.000000
 25-29 	2195889.750000	1109423.125000	1086466.625000
 30-34 	1791601.000000	905232.437500	886368.500000
 35-39 	1546737.875000	773551.000000	773186.937500
 40-44 	1302184.125000	647635.687500	654548.375000
 45-49 	1104679.000000	555464.250000	549214.687500
 50-54 	896358.437500	449528.281250	446830.156250
 55-59 	711785.625000	338565.593750	373220.062500
 60-64 	560963.000000	256284.812500	304678.218750
 65-69 	389801.937500	167523.703125	222278.234375
 70-74 	257953.203125	98938.531250	159014.671875
 75-79 	140485.375000	48416.718750	92068.664063
 80+ 	106980.765625	32235.019531	74745.742188
Total	28270074.000000	14057818.000000	14212255.000000
1980			
 0-4	4437335.000000	2232239.250000	2205095.750000
 5-9	3988162.500000	1999146.000000	1989016.250000
 10-14 	3528590.500000	1765254.000000	1763336.625000
 15-19 	3035117.000000	1530102.250000	1505014.875000
 20-24 	2671993.000000	1344782.000000	1327211.125000
 25-29 	2279612.750000	1151332.750000	1128280.000000
 30-34 	1852562.250000	937259.750000	915302.437500
 35-39 	1590879.000000	797365.937500	793513.125000
 40-44 	1336953.125000	664011.812500	672941.312500
 45-49 	1133314.250000	567255.562500	566058.625000
 50-54 	922031.875000	463055.562500	458976.312500
 55-59 	726221.750000	347010.500000	379211.281250
 60-64 	573499.187500	261655.046875	311844.156250
 65-69 	398706.000000	171816.671875	226889.312500
 70-74 	264326.593750	101529.953125	162796.625000
 75-79 	144321.625000	49522.882813	94798.742188
 80+ 	108297.195313	32316.826172	75980.367188
Total	28991924.000000	14415657.000000	14576267.000000
1981			
 0-4	4513533.500000	2271178.250000	2242355.500000
 5-9	4069141.250000	2039656.750000	2029484.500000
 10-14 	3620353.000000	1808951.875000	1811401.250000
 15-19 	3118115.000000	1571098.625000	1547016.375000
 20-24 	2740076.000000	1379412.000000	1360664.000000
 25-29 	2361591.000000	1192302.625000	1169288.375000
 30-34 	1924676.250000	974639.187500	950037.062500
 35-39 	1634854.250000	821427.125000	813427.125000
 40-44 	1376053.625000	683357.750000	692695.937500
 45-49 	1162160.375000	579281.687500	582878.750000
 50-54 	949007.375000	476142.062500	472865.343750
 55-59 	743939.000000	357635.156250	386303.875000
 60-64 	584588.312500	266570.187500	318018.093750
 65-69 	409862.718750	176763.421875	233099.281250
 70-74 	269872.062500	104041.117188	165830.953125
 75-79 	149234.796875	51027.632813	98207.164063
 80+ 	109807.375000	32456.757813	77350.617188
Total	29736866.000000	14785942.000000	14950924.000000
1982			
 0-4	4590283.000000	2310420.750000	2279862.500000
 5-9	4143923.750000	2077235.750000	2066687.750000
 10-14 	3710902.500000	1852636.250000	1858266.250000
 15-19 	3209374.500000	1615447.875000	1593926.750000
 20-24 	2806389.750000	1413519.625000	1392870.125000
 25-29 	2441551.500000	1231999.625000	1209552.000000
 30-34 	2007778.000000	1017180.187500	990597.937500
 35-39 	1677498.000000	845060.562500	832437.500000
 40-44 	1419733.750000	705763.937500	713969.875000
 45-49 	1190833.500000	591291.875000	599541.625000
 50-54 	977394.500000	488830.500000	488564.062500
 55-59 	764760.000000	370366.906250	394393.093750
 60-64 	594207.500000	270977.750000	323229.718750
 65-69 	423273.187500	182337.343750	240935.843750
 70-74 	274562.375000	106489.195313	168073.187500
 75-79 	155207.703125	52889.988281	102317.718750
 80+ 	111499.789063	32656.630859	78843.156250
Total	30499174.000000	15165105.000000	15334069.000000
1983			
 0-4	4663651.000000	2347887.750000	2315763.000000
 5-9	4216328.000000	2113879.500000	2102448.250000
 10-14 	3796134.750000	1894525.375000	1901609.500000
 15-19 	3308405.000000	1662588.250000	1645816.750000
 20-24 	2871864.500000	1446998.500000	1424866.125000
 25-29 	2517469.000000	1269191.375000	1248277.625000
 30-34 	2096381.250000	1061803.125000	1034578.000000
 35-39 	1721223.125000	868974.500000	852248.625000
 40-44 	1465500.875000	729624.750000	735876.125000
 45-49 	1219712.875000	603502.375000	616210.562500
 50-54 	1006148.500000	500814.937500	505333.562500
 55-59 	787706.562500	384099.156250	403607.375000
 60-64 	603588.875000	275562.468750	328026.437500
 65-69 	437644.093750	188085.640625	249558.437500
 70-74 	279293.187500	109065.156250	170228.031250
 75-79 	161577.812500	54907.769531	106670.046875
 80+ 	113589.250000	32982.863281	80606.382813
Total	31266218.000000	15544494.000000	15721725.000000
1984			
 0-4	4731069.000000	2382273.000000	2348796.250000
 5-9	4289144.500000	2151009.000000	2138135.250000
 10-14 	3876324.500000	1935309.375000	1941015.250000
 15-19 	3410166.750000	1709502.875000	1700664.000000
 20-24 	2938643.250000	1480208.250000	1458435.000000
 25-29 	2587598.500000	1302867.250000	1284731.250000
 30-34 	2182588.750000	1104219.625000	1078369.000000
 35-39 	1770482.750000	894794.625000	875688.187500
 40-44 	1509782.125000	752659.250000	757122.875000
 45-49 	1249687.625000	616407.125000	633280.500000
 50-54 	1033938.812500	511832.125000	522106.687500
 55-59 	811375.625000	397272.750000	414102.906250
 60-64 	614605.625000	281325.562500	333280.062500
 65-69 	451146.906250	193424.406250	257722.484375
 70-74 	285344.000000	112023.531250	173320.453125
 75-79 	167500.812500	56855.332031	110645.484375
 80+ 	116331.437500	33506.164063	82825.273438
Total	32025730.000000	15915490.000000	16110241.000000
1985			
 0-4	4789067.500000	2411503.000000	2377564.750000
 5-9	4362591.500000	2188365.500000	2174225.750000
 10-14 	3958728.750000	1979923.750000	1978805.000000
 15-19 	3501708.500000	1748489.750000	1753218.750000
 20-24 	3008444.500000	1513736.625000	1494707.750000
 25-29 	2650513.250000	1332672.500000	1317840.750000
 30-34 	2260726.750000	1141956.625000	1118770.250000
 35-39 	1827288.250000	923484.875000	903803.437500
 40-44 	1550371.875000	773381.312500	776990.562500
 45-49 	1280832.500000	629958.562500	650874.000000
 50-54 	1059474.875000	521376.718750	538098.187500
 55-59 	834630.812500	408762.562500	425868.250000
 60-64 	628223.687500	288719.781250	339503.937500
 65-69 	462712.062500	198024.718750	264687.343750
 70-74 	293232.125000	115393.437500	177838.687500
 75-79 	172510.312500	58606.570313	113903.750000
 80+ 	119772.046875	34234.843750	85537.203125
Total	32760830.000000	16268591.000000	16492239.000000
1986			
 0-4	4837512.000000	2436072.750000	2401439.000000
 5-9	4437712.000000	2226626.000000	2211086.250000
 10-14 	4036351.250000	2018610.875000	2017740.500000
 15-19 	3588951.250000	1789188.000000	1799763.375000
 20-24 	3083262.500000	1548091.500000	1535171.000000
 25-29 	2707811.000000	1358426.750000	1349384.000000
 30-34 	2332854.250000	1175048.750000	1157805.625000
 35-39 	1891553.500000	954436.500000	937117.000000
 40-44 	1587706.000000	791978.812500	795727.250000
 45-49 	1313431.000000	644381.750000	669049.250000
 50-54 	1083075.250000	529631.312500	553443.937500
 55-59 	857753.062500	418890.156250	438862.906250
 60-64 	643997.125000	297414.312500	346582.781250
 65-69 	472978.906250	202186.343750	270792.562500
 70-74 	302780.375000	119180.164063	183600.203125
 75-79 	176955.906250	60305.582031	116650.312500
 80+ 	123828.140625	35145.425781	88682.718750
Total	33478514.000000	16605615.000000	16872898.000000
1987			
 0-4	4875790.000000	2455686.750000	2420103.500000
 5-9	4512640.500000	2264781.250000	2247859.250000
 10-14 	4107392.250000	2054205.375000	2053186.875000
 15-19 	3674674.000000	1829817.375000	1844856.750000
 20-24 	3165526.750000	1585383.875000	1580142.875000
 25-29 	2761729.500000	1382220.500000	1379509.000000
 30-34 	2400856.500000	1205044.500000	1195812.250000
 35-39 	1964877.000000	989026.937500	975850.062500
 40-44 	1622331.625000	809088.750000	813242.875000
 45-49 	1349235.500000	660822.750000	688412.812500
 50-54 	1105422.875000	537107.500000	568315.375000
 55-59 	881392.125000	428115.187500	453276.937500
 60-64 	661923.062500	307496.625000	354426.437500
 65-69 	481946.062500	205871.875000	276074.187500
 70-74 	314004.000000	123381.906250	190622.093750
 75-79 	180841.343750	61980.726563	118860.625000
 80+ 	128475.593750	36217.457031	92258.140625
Total	34189060.000000	16936250.000000	17252810.000000
1988			
 0-4	4902180.000000	2469377.500000	2432802.500000
 5-9	4584716.000000	2301437.750000	2283278.500000
 10-14 	4176796.500000	2089217.750000	2087579.000000
 15-19 	3757228.500000	1869904.000000	1887324.375000
 20-24 	3259625.750000	1628588.250000	1631037.375000
 25-29 	2818760.500000	1408760.250000	1410000.250000
 30-34 	2467723.750000	1234996.625000	1232727.000000
 35-39 	2045947.250000	1027731.062500	1018216.250000
 40-44 	1660867.125000	828371.750000	832495.375000
 45-49 	1390340.500000	680753.250000	709587.187500
 50-54 	1130979.250000	546783.250000	584196.000000
 55-59 	907452.000000	438231.968750	469220.000000
 60-64 	682377.812500	319022.437500	363355.406250
 65-69 	490850.500000	209812.343750	281038.187500
 70-74 	326003.500000	127741.343750	198262.156250
 75-79 	184815.937500	63766.386719	121049.554688
 80+ 	133464.140625	37420.542969	96043.601563
Total	34920128.000000	17281916.000000	17638212.000000
1989			
 0-4	4914556.000000	2476024.000000	2438532.000000
 5-9	4651906.500000	2335553.250000	2316353.500000
 10-14 	4248258.500000	2125439.750000	2122818.500000
 15-19 	3837508.500000	1910909.375000	1926599.250000
 20-24 	3362268.750000	1676380.375000	1685888.375000
 25-29 	2884160.000000	1440823.500000	1443336.250000
 30-34 	2534476.250000	1265927.250000	1268549.000000
 35-39 	2129367.500000	1068174.500000	1061192.875000
 40-44 	1709238.750000	853370.687500	855868.062500
 45-49 	1434557.500000	703411.562500	731146.000000
 50-54 	1160972.750000	559654.937500	601317.812500
 55-59 	934420.625000	448817.968750	485602.718750
 60-64 	704348.062500	330687.687500	373660.375000
 65-69 	501425.187500	214946.062500	286479.125000
 70-74 	337468.750000	131920.000000	205548.781250
 75-79 	189788.843750	65838.382813	123950.460938
 80+ 	138429.125000	38677.507813	99751.625000
Total	35673152.000000	17646556.000000	18026594.000000
1990			
 0-4	4916560.500000	2477236.000000	2439324.500000
 5-9	4713445.500000	2367045.000000	2346400.500000
 10-14 	4324325.000000	2164209.000000	2160115.750000
 15-19 	3925876.750000	1958258.250000	1967618.625000
 20-24 	3468362.000000	1722001.750000	1746360.250000
 25-29 	2971724.500000	1481771.250000	1489953.125000
 30-34 	2612427.000000	1301074.125000	1311352.875000
 35-39 	2219970.250000	1110065.125000	1109905.125000
 40-44 	1775911.750000	886211.812500	889699.875000
 45-49 	1485598.000000	729907.625000	755690.375000
 50-54 	1203107.750000	580016.875000	623090.875000
 55-59 	968599.562500	463902.187500	504697.375000
 60-64 	732298.875000	344894.218750	387404.687500
 65-69 	517724.468750	223692.375000	294032.093750
 70-74 	349112.468750	136746.328125	212366.140625
 75-79 	196585.750000	68583.023438	128002.734375
 80+ 	143415.906250	40108.003906	103307.906250
Total	36525044.000000	18055722.000000	18469322.000000
1991			
 0-4	4912243.500000	2475224.000000	2437019.500000
 5-9	4765445.500000	2393695.000000	2371750.500000
 10-14 	4403542.000000	2204636.000000	2198906.000000
 15-19 	4012109.250000	2001176.625000	2010932.750000
 20-24 	3576611.500000	1772932.500000	1803679.000000
 25-29 	3074556.250000	1529935.375000	1544621.000000
 30-34 	2695198.750000	1338883.000000	1356315.625000
 35-39 	2313477.750000	1152563.875000	1160914.000000
 40-44 	1857936.875000	925492.062500	932444.750000
 45-49 	1541103.875000	758419.187500	782684.750000
 50-54 	1254348.625000	605498.625000	648850.000000
 55-59 	1007280.375000	481416.937500	525863.500000
 60-64 	764103.125000	360288.875000	403814.250000
 65-69 	537636.312500	234671.765625	302964.562500
 70-74 	360599.375000	141826.609375	218772.765625
 75-79 	204760.843750	71782.867188	132977.984375
 80+ 	148438.234375	41661.585938	106776.648438
Total	37429392.000000	18490104.000000	18939288.000000
1992			
 0-4	4907144.500000	2472800.500000	2434344.250000
 5-9	4807080.000000	2415066.500000	2392013.250000
 10-14 	4482941.500000	2245175.750000	2237765.500000
 15-19 	4092445.750000	2041548.625000	2050897.250000
 20-24 	3684205.250000	1824505.625000	1859699.625000
 25-29 	3188701.750000	1583333.000000	1605368.625000
 30-34 	2779479.500000	1377874.500000	1401604.875000
 35-39 	2407161.750000	1194362.375000	1212799.375000
 40-44 	1954390.000000	970059.875000	984330.125000
 45-49 	1598888.500000	786791.812500	812096.750000
 50-54 	1313679.375000	634593.187500	679086.187500
 55-59 	1049224.625000	499994.187500	549230.375000
 60-64 	799128.625000	376186.406250	422942.250000
 65-69 	560377.812500	247368.593750	313009.250000
 70-74 	371692.468750	146946.078125	224746.390625
 75-79 	214266.718750	75369.500000	138897.218750
 80+ 	153473.109375	43319.347656	110153.757813
Total	38364280.000000	18935296.000000	19428986.000000
1993			
 0-4	4903490.000000	2471194.750000	2432295.000000
 5-9	4835366.500000	2429558.750000	2405807.750000
 10-14 	4558625.500000	2283776.000000	2274849.500000
 15-19 	4169685.250000	2080887.750000	2088797.500000
 20-24 	3781463.500000	1873609.000000	1907854.375000
 25-29 	3303727.000000	1639114.750000	1664612.250000
 30-34 	2858308.500000	1415948.750000	1442359.875000
 35-39 	2495893.000000	1233036.000000	1262857.125000
 40-44 	2060938.000000	1016549.875000	1044388.000000
 45-49 	1663411.500000	815141.062500	848270.375000
 50-54 	1380375.500000	665119.562500	715255.875000
 55-59 	1095401.250000	519165.968750	576235.312500
 60-64 	836121.062500	391608.062500	444513.000000
 65-69 	584247.812500	260307.687500	323940.125000
 70-74 	382011.875000	151933.531250	230078.328125
 75-79 	223711.750000	78885.828125	144825.921875
 80+ 	158033.671875	44935.082031	113098.593750
Total	39290812.000000	19370772.000000	19920040.000000
1994			
 0-4	4898911.500000	2469333.000000	2429578.500000
 5-9	4846531.500000	2435196.750000	2411335.000000
 10-14 	4627906.500000	2318972.000000	2308934.500000
 15-19 	4246589.000000	2120502.000000	2126087.250000
 20-24 	3865529.250000	1920892.750000	1944636.375000
