Workshop_1_Demo	Total	Male	Female
 35-39 	74701.651791	36558.988749	38142.663042
 40-44 	63187.312932	31972.880352	31214.432580
 45-49 	61648.160009	30365.814036	31282.345973
 50-54 	54600.329412	27427.197056	27173.132356
 55-59 	47065.952143	24226.923108	22839.029035
 60-64 	46930.964695	25525.589947	21405.374748
 65-69 	44737.496931	24364.389884	20373.107047
 70-74 	42108.400739	22040.170134	20068.230605
 75-79 	36287.411835	17483.367096	18804.044739
 80+ 	54065.671581	19892.256654	34173.414928
Total	757565.919155	376996.740756	380569.178399
2007			
 0-4	83949.239695	47225.283444	36723.956251
 5-9	8242.193637	4877.249585	3364.944052
 10-14 	5132.699917	3283.629009	1849.070909
 15-19 	6473.821704	4072.512033	2401.309671
 20-24 	15721.313768	8028.163774	7693.149994
 25-29 	46735.989186	19879.278941	26856.710246
 30-34 	61820.242630	28472.913702	33347.328928
 35-39 	74681.959603	36768.139569	37913.820034
 40-44 	62690.659463	32109.870356	30580.789107
 45-49 	60143.262025	30087.390181	30055.871843
 50-54 	53812.828465	27373.121906	26439.706559
 55-59 	47269.758756	24527.060511	22742.698245
 60-64 	47411.098814	25814.642256	21596.456558
 65-69 	46053.455887	24978.940068	21074.515820
 70-74 	43419.265581	22543.438425	20875.827156
 75-79 	38021.831587	18224.933676	19796.897910
 80+ 	60179.351265	22035.999283	38143.351981
Total	761758.974018	380302.582325	381456.391693
2008			
 0-4	80095.110086	45203.592183	34891.517904
 5-9	8436.931771	4974.416453	3462.515318
 10-14 	5479.870802	3448.918657	2030.952145
 15-19 	6513.808810	4085.901701	2427.907110
 20-24 	15285.502260	7886.863450	7398.638810
 25-29 	45044.648723	19341.227606	25703.421118
 30-34 	60728.890481	28036.450219	32692.440262
 35-39 	74613.153978	36809.205696	37803.948283
 40-44 	62393.390225	32204.361828	30189.028397
 45-49 	58631.682592	29683.605022	28948.077570
 50-54 	52879.052224	27107.609805	25771.442419
 55-59 	47375.674038	24708.233219	22667.440819
 60-64 	47456.967269	25835.392829	21621.574440
 65-69 	47093.165438	25456.594239	21636.571199
 70-74 	44202.332337	22778.511830	21423.820507
 75-79 	39351.412870	18775.196058	20576.216812
 80+ 	65407.679254	23833.491433	41574.187820
Total	760989.256421	380169.575858	380819.680563
2009			
 0-4	74302.096348	42079.702650	32222.393697
 5-9	9007.087375	5238.908440	3768.178935
 10-14 	6083.599519	3731.838004	2351.761515
 15-19 	6578.393090	4091.702010	2486.691080
 20-24 	14823.624283	7649.249160	7174.375123
 25-29 	45746.653362	19397.505341	26349.148021
 30-34 	63999.765241	28988.479911	35011.285330
 35-39 	79744.745105	38733.968478	41010.776627
 40-44 	66371.222250	33906.188772	32465.033478
 45-49 	60954.234576	30664.411449	30289.823127
 50-54 	54632.714468	27680.301725	26952.412743
 55-59 	48973.924261	25286.505054	23687.419207
 60-64 	48252.397945	26023.550734	22228.847211
 65-69 	48389.070371	25961.742691	22427.327680
 70-74 	44913.971827	22930.667956	21983.303871
 75-79 	40403.307334	19153.624101	21249.683233
 80+ 	69286.184966	25080.179335	44206.005631
Total	782463.001953	386598.520535	395864.481418
2010			
 0-4	65452.249316	37331.654664	28120.594652
 5-9	8752.527684	5073.557038	3678.970646
 10-14 	6284.633886	3809.271765	2475.362121
 15-19 	6715.088746	4127.902662	2587.186084
 20-24 	14276.118772	7343.615980	6932.502792
 25-29 	45685.520788	19210.987669	26474.533119
 30-34 	66732.923916	29755.981970	36976.941946
 35-39 	84133.205744	40439.784619	43693.421125
 40-44 	69458.548513	35248.397931	34210.150582
 45-49 	62419.197307	31466.093997	30953.103310
 50-54 	55722.459131	28078.651173	27643.807958
 55-59 	50103.014597	25697.732151	24405.282446
 60-64 	48869.139004	26183.396718	22685.742286
 65-69 	49339.945873	26308.698544	23031.247329
 70-74 	45331.987019	22943.840848	22388.146171
 75-79 	40793.181003	19202.261885	21590.919118
 80+ 	70941.164091	25464.847072	45476.317019
Total	791010.901025	387686.677503	403324.223522
2011			
 0-4	61285.361527	34898.953448	26386.408080
 5-9	8448.436421	4867.815735	3580.620686
 10-14 	6468.515674	3879.631238	2588.884436
 15-19 	6764.530331	4138.625272	2625.905059
 20-24 	13458.757385	6973.931788	6484.825597
 25-29 	40279.722232	17503.394702	22776.327531
 30-34 	59897.958136	27364.380685	32533.577451
 35-39 	76486.212258	37546.610231	38939.602027
