Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 30-34 	13506.465010	10350.773917	3155.691093
 35-39 	15055.746986	11292.929346	3762.817640
 40-44 	17749.010629	13300.743101	4448.267528
 45-49 	22675.696574	17038.635675	5637.060899
 50-54 	31152.295885	22963.663294	8188.632591
 55-59 	40291.945363	28210.124466	12081.820897
 60-64 	43890.676303	29053.445921	14837.230382
 65-69 	42193.340485	26087.051568	16106.288917
 70-74 	38918.520472	21806.337347	17112.183125
 75-79 	47126.351757	24026.373151	23099.978607
 80+ 	191896.011105	69701.860626	122194.150479
Total	560438.232451	310516.605344	249921.627106
2018			
 0-4	25040.652167	13519.899059	11520.753108
 5-9	3242.388957	2186.780854	1055.608104
 10-14 	2758.499267	1850.741497	907.757770
 15-19 	4240.606084	3177.330672	1063.275412
 20-24 	7062.571845	5522.480160	1540.091684
 25-29 	11743.973871	9131.121545	2612.852326
 30-34 	13561.885411	10403.529355	3158.356056
 35-39 	15196.036522	11398.578940	3797.457582
 40-44 	17717.625234	13253.059159	4464.566076
 45-49 	22634.734987	16973.219487	5661.515500
 50-54 	31189.503079	22962.102289	8227.400791
 55-59 	40836.402206	28587.563348	12248.838858
 60-64 	45857.464968	30358.108841	15499.356127
 65-69 	46176.312004	28703.652677	17472.659327
 70-74 	40308.211716	22602.870331	17705.341385
 75-79 	46521.490103	23707.883832	22813.606271
 80+ 	193374.222094	70036.485410	123337.736685
Total	567462.580516	314375.407455	253087.173061
2019			
 0-4	23959.076149	12841.074733	11118.001416
 5-9	3144.933753	2114.486782	1030.446972
 10-14 	2719.102099	1821.974610	897.127488
 15-19 	4195.713547	3140.418127	1055.295420
 20-24 	6701.578639	5236.267757	1465.310882
 25-29 	11289.790827	8780.670324	2509.120504
 30-34 	13574.256159	10425.127325	3149.128833
 35-39 	15313.884864	11488.140012	3825.744853
 40-44 	17697.400024	13214.999620	4482.400404
 45-49 	22594.474620	16907.206448	5687.268172
 50-54 	31119.333111	22868.220629	8251.112482
 55-59 	41238.786428	28863.196042	12375.590386
 60-64 	47519.696920	31454.390729	16065.306190
 65-69 	50242.144634	31361.607805	18880.536829
 70-74 	42514.099889	23923.774837	18590.325053
 75-79 	46152.652848	23488.677884	22663.974963
 80+ 	194337.100907	70212.926293	124124.174614
Total	574314.025417	318143.159957	256170.865460
2020			
 0-4	22851.325574	12131.992354	10719.333219
 5-9	3038.405575	2030.896651	1007.508924
 10-14 	2666.610082	1782.675386	883.934696
 15-19 	4163.235966	3114.457987	1048.777979
 20-24 	6429.780915	5018.308707	1411.472208
 25-29 	10716.640000	8336.629428	2380.010572
 30-34 	13534.289261	10404.853030	3129.436231
 35-39 	15395.530290	11551.751850	3843.778440
 40-44 	17703.998329	13198.799751	4505.198578
 45-49 	22475.127537	16775.401515	5699.726022
 50-54 	31103.118495	22811.722217	8291.396278
 55-59 	41532.014950	29056.828944	12475.186006
 60-64 	48905.331534	32362.931077	16542.400457
 65-69 	54208.744228	33936.018677	20272.725551
 70-74 	45573.586117	25793.606238	19779.979879
 75-79 	46094.177929	23417.244921	22676.933008
 80+ 	194932.935121	70285.429797	124647.505324
Total	581324.851903	322009.548530	259315.303372
2021			
 0-4	21807.543684	11451.084074	10356.459610
 5-9	2929.014884	1943.773223	985.241661
 10-14 	2610.374553	1739.321826	871.052728
 15-19 	4141.270453	3096.408588	1044.861865
 20-24 	6239.908608	4862.970698	1376.937910
 25-29 	10154.272818	7891.382860	2262.889959
 30-34 	13560.414958	10418.954240	3141.460718
 35-39 	15661.727935	11743.080217	3918.647717
 40-44 	17933.104138	13345.191438	4587.912700
 45-49 	22550.081586	16790.241134	5759.840452
 50-54 	31119.966819	22768.733872	8351.232946
 55-59 	41760.322820	29194.903083	12565.419737
 60-64 	50071.619097	33131.130520	16940.488577
 65-69 	57776.923525	36220.036987	21556.886538
 70-74 	49695.046136	28347.564380	21347.481756
 75-79 	46354.643588	23499.343153	22855.300435
 80+ 	195485.937377	70379.092099	125106.845279
Total	589852.172979	326823.212391	263028.960589
2022			
 0-4	20877.583302	10834.248409	10043.334893
 5-9	2827.854122	1859.680804	968.173318
 10-14 	2551.729033	1692.664236	859.064797
 15-19 	4119.827661	3077.981049	1041.846611
 20-24 	6121.079274	4763.891726	1357.187548
 25-29 	9593.716352	7446.133408	2147.582944
 30-34 	13455.409123	10332.649257	3122.759866
 35-39 	15888.340380	11908.399674	3979.940707
 40-44 	18186.044759	13515.124621	4670.920138
 45-49 	22595.208105	16779.310191	5815.897914
 50-54 	31107.711465	22698.764094	8408.947371
 55-59 	41905.431901	29264.670371	12640.761530
 60-64 	51021.641347	33755.479899	17266.161448
 65-69 	60937.163024	38220.110606	22717.052418
 70-74 	54498.530811	31326.227665	23172.303146
 75-79 	47326.546060	23981.064387	23345.481674
 80+ 	196024.747275	70482.402169	125542.345106
Total	599038.563992	331938.802564	267099.761428
2023			
 0-4	20093.078173	10260.976589	9832.101584
 5-9	2743.577979	1779.429510	964.148469
 10-14 	2491.714125	1644.679396	847.034728
 15-19 	4092.647922	3055.566317	1037.081605
 20-24 	6058.044804	4708.398872	1349.645931
 25-29 	9080.209986	7038.346938	2041.863048
 30-34 	13195.563057	10125.834557	3069.728500
 35-39 	16098.550705	12061.261128	4037.289577
 40-44 	18473.839417	13711.754410	4762.085008
 45-49 	22650.708530	16775.582521	5875.126008
 50-54 	31100.721065	22626.733358	8473.987707
 55-59 	41957.525224	29255.503076	12702.022148
 60-64 	51782.806463	34245.507442	17537.299021
 65-69 	63712.863729	39959.269735	23753.593994
 70-74 	59729.020904	34552.980519	25176.040385
 75-79 	49201.746815	24985.283309	24216.463506
 80+ 	196551.907515	70576.384224	125975.523291
Total	609014.526412	337363.491901	271651.034510
2024			
 0-4	19450.180192	9716.241650	9733.938543
 5-9	2670.095186	1697.819115	972.276071
 10-14 	2428.915998	1594.481444	834.434554
 15-19 	4056.069122	3025.848068	1030.221054
 20-24 	6023.620699	4676.951641	1346.669058
 25-29 	8665.592435	6706.798728	1958.793708
 30-34 	12786.321638	9802.453552	2983.868086
 35-39 	16269.229820	12187.024420	4082.205400
 40-44 	18771.011023	13916.233568	4854.777455
 45-49 	22744.681874	16800.613870	5944.068004
 50-54 	31134.819399	22582.807937	8552.011462
 55-59 	41886.553218	29140.498776	12746.054442
 60-64 	52389.800913	34620.834465	17768.966448
 65-69 	66121.745265	41459.189882	24662.555382
 70-74 	65084.592064	37830.711090	27253.880974
 75-79 	52089.217247	26586.738703	25502.478543
 80+ 	197231.026404	70727.185196	126503.841208
Total	619803.472499	343072.432106	276731.040393
2025			
 0-4	18910.814555	9218.512480	9692.302076
 5-9	2601.218624	1616.438334	984.780290
 10-14 	2366.311909	1543.484953	822.826956
 15-19 	4005.323060	2984.614051	1020.709009
 20-24 	6011.141475	4663.878195	1347.263280
 25-29 	8360.518627	6459.160337	1901.358290
 30-34 	12235.426644	9367.191022	2868.235622
 35-39 	16385.292832	12268.718169	4116.574662
 40-44 	19052.996689	14112.048547	4940.948142
 45-49 	22896.556647	16869.217092	6027.339556
 50-54 	31085.245441	22470.270362	8614.975079
 55-59 	41898.140508	29082.112281	12816.028227
 60-64 	52873.603669	34905.402016	17968.201653
 65-69 	68177.944609	42739.352050	25438.592559
 70-74 	70339.270839	41021.085059	29318.185780
 75-79 	56030.020922	28816.918061	27213.102862
 80+ 	198261.969303	71031.659777	127230.309526
Total	631491.796353	349170.062785	282321.733568
2026			
 0-4	18431.974992	8785.710813	9646.264179
 5-9	2532.166332	1539.728347	992.437985
 10-14 	2300.804799	1491.760275	809.044524
 15-19 	3944.253674	2934.720974	1009.532700
 20-24 	6006.487225	4657.468014	1349.019211
 25-29 	8143.954731	6280.137986	1863.816745
