Workshop_1_Demo	Total	Male	Female
 0-4	4229156.761625	2128081.106247	2101075.655378
 5-9	3720575.299113	1861322.604738	1859252.694375
 10-14 	3240639.599177	1632589.665390	1608049.933787
 15-19 	2825709.483793	1424592.669203	1401116.814590
 20-24 	2460753.187275	1240487.316272	1220265.871003
 25-29 	2032801.664722	1027976.821906	1004824.842816
 30-34 	1698449.080395	855594.933720	842854.146674
 35-39 	1462705.242964	729880.091647	732825.151317
 40-44 	1243669.514198	622614.415013	621055.099184
 45-49 	1049921.115609	532875.070684	517046.044926
 50-54 	851073.617969	423282.070869	427791.547099
 55-59 	691294.872924	327623.519899	363671.353024
 60-64 	534325.641451	245154.118921	289171.522530
 65-69 	378286.977771	161248.176089	217038.801683
 70-74 	244121.050117	93845.160884	150275.889233
 75-79 	136196.142131	47457.529848	88738.612283
 80+ 	104346.066770	31876.100076	72469.966694
Total	26904025.318004	13386501.371407	13517523.946596
1978			
 0-4	4298102.077869	2162691.623636	2135410.454233
 5-9	3805669.078873	1903952.384754	1901716.694120
 10-14 	3337226.687831	1677849.187154	1659377.500678
 15-19 	2890151.348897	1457275.440902	1432875.907995
 20-24 	2530960.863820	1274722.662953	1256238.200867
 25-29 	2111259.166117	1067024.360828	1044234.805289
 30-34 	1742087.891692	878792.863290	863295.028403
 35-39 	1502759.691644	750436.978920	752322.712724
 40-44 	1271657.282078	634222.526471	637434.755607
 45-49 	1076804.174111	544061.566699	532742.607412
 50-54 	872984.908656	436180.706890	436804.201765
 55-59 	701365.306125	332907.553222	368457.752903
 60-64 	547740.071389	250815.104754	296924.966635
 65-69 	384227.260677	164487.151607	219740.109070
 70-74 	251122.726561	96345.663359	154777.063203
 75-79 	138217.225985	47821.583102	90395.642883
 80+ 	105309.279535	31854.122109	73455.157426
Total	27567645.041860	13711441.480647	13856203.561213
1979			
 0-4	4367694.610049	2197761.770099	2169932.839951
 5-9	3893901.839976	1950477.539758	1943424.300218
 10-14 	3429234.041065	1718523.776654	1710710.264411
 15-19 	2959670.901437	1492364.290827	1467306.610609
 20-24 	2598454.885853	1307877.380126	1290577.505726
 25-29 	2191355.853906	1106584.977091	1084770.876815
 30-34 	1793120.381357	905468.589313	887651.792044
 35-39 	1542709.229958	771391.943545	771317.286413
 40-44 	1302381.027658	647717.551976	654663.475683
 45-49 	1103670.253003	554834.041972	548836.211031
 50-54 	896696.500498	449283.242659	447413.257839
 55-59 	713264.802538	339687.962900	373576.839639
 60-64 	560382.112084	256044.648638	304337.463445
 65-69 	391722.180058	168256.747487	223465.432571
 70-74 	257622.236627	98838.483409	158783.753217
 75-79 	141270.229096	48571.617936	92698.611160
 80+ 	106372.048665	31850.170448	74521.878217
Total	28249523.133829	14045534.734838	14203988.398991
1980			
 0-4	4439341.736755	2234027.105026	2205314.631729
 5-9	3970705.888626	1986697.166762	1984008.721864
 10-14 	3527004.501523	1766728.862796	1760275.638728
 15-19 	3037138.171898	1531300.610904	1505837.560994
 20-24 	2663788.421768	1340311.672765	1323476.749003
 25-29 	2272578.256440	1146482.950284	1126095.306156
 30-34 	1852802.630735	936266.562577	916536.068159
 35-39 	1582650.853028	792763.370144	789887.482884
 40-44 	1336449.488557	663523.682956	672925.805600
 45-49 	1130607.997538	565390.763026	565217.234512
 50-54 	922185.074080	462468.436966	459716.637114
 55-59 	727377.733075	348147.458015	379230.275059
 60-64 	572178.213134	260907.089394	311271.123739
 65-69 	400949.681576	172577.838783	228371.842793
 70-74 	263587.143333	101334.342884	162252.800449
 75-79 	145343.266344	49696.953153	95646.313190
 80+ 	107598.606857	31894.377138	75704.229719
Total	28952287.665267	14390519.243574	14561768.421693
1981			
 0-4	4513612.773307	2271848.760308	2241764.012999
 5-9	4048357.531578	2028609.892608	2019747.638970
 10-14 	3620645.095854	1809344.967050	1811300.128804
 15-19 	3122239.263755	1572296.334110	1549942.929645
 20-24 	2729467.448507	1373751.447171	1355716.001335
 25-29 	2353765.383301	1186684.989536	1167080.393765
 30-34 	1926430.430805	974192.388244	952238.042560
 35-39 	1623272.858850	815096.445922	808176.412928
 40-44 	1376367.861684	683289.918583	693077.943101
 45-49 	1158240.142315	576610.830968	581629.311347
 50-54 	949380.620150	475422.473585	473958.146565
 55-59 	745274.661000	359149.634881	386125.026119
 60-64 	582412.121023	265321.348420	317090.772603
 65-69 	412794.855443	177704.296651	235090.558792
 70-74 	268602.457245	103755.320466	164847.136779
