Year	CBR
1950	37.5
1951	38.2
1952	39.6
1953	40.7
1954	41.6
1955	42.3
1956	42.7
1957	42.9
1958	42.9
1959	42.7
1960	42.3
1961	41.8
1962	41.2
1963	40.5
1964	39.8
1965	39.1
1966	38.5
1967	37.9
1968	37.4
1969	36.9
1970	36.5
1971	36.1
1972	35.7
1973	35.3
1974	34.8
1975	34.3
1976	33.8
1977	33.3
1978	32.8
1979	32.5
1980	32.1
1981	31.9
1982	31.6
1983	31.4
1984	31.1
1985	30.8
1986	30.5
1987	30.2
1988	29.8
1989	29.3
1990	28.8
1991	27.9
1992	26.9
1993	25.6
1994	24.2
1995	22.6
1996	21.1
1997	19.8
1998	18.7
1999	17.8
2000	17.3
2001	17.0
2002	16.9
2003	16.9
2004	16.9
2005	17.0
2006	17.0
2007	16.9
2008	16.8
2009	16.6
2010	16.4
2011	16.2
2012	15.9
2013	15.5
2014	15.2
2015	14.9
2016	14.5
2017	14.2
2018	13.8
2019	13.5
2020	13.1
2021	12.7
2022	12.4
2023	12.1
2024	11.8
2025	11.5
2026	11.3
2027	11.1
2028	11.0
2029	10.8
2030	10.7
2031	10.6
2032	10.6
2033	10.5
2034	10.4
2035	10.3
2036	10.3
2037	10.2
2038	10.1
2039	10.1
2040	10.0
2041	9.9
2042	9.9
2043	9.8
2044	9.7
2045	9.6
2046	9.5
2047	9.5
2048	9.4
2049	9.3
2050	9.2

