Azerbaijan	1970	134.37	144.61	152.81	159.06	163.47	166.13	167.12	166.55	164.51	161.1	156.6	151.32	144.35	135.37	125.09	114.6	103.78	93.77	85.27	77.97	71	64.77	59.07	53.79	49.31	45.38	41.16	41.42	48.24	58.98	69.37	80.77	87.48	86.4	80.31	74.92	68.86	64.37	63.06	63.57	63.17	62.71	60.48	55.47	48.76	42.53	36.36	31.23	27.86	25.81	23.68	21.47	20.77	22.15	24.82	27.53	30.64	32.48	32.14	30.39	28.91	27.34	25.93	24.96	24.23	23.29	22.27	21.08	19.66	18.09	16.58	15.13	13.72	12.4	11.18	9.98	8.7	7.97	8.06	8.64	69.53
Bahamas	1970	3.64	4.29	4.79	5.15	5.37	5.49	5.5	5.42	5.28	5.08	4.82	4.51	4.23	4.01	3.82	3.62	3.41	3.22	3.07	2.94	2.81	2.7	2.61	2.55	2.52	2.49	2.46	2.45	2.45	2.46	2.48	2.5	2.48	2.39	2.26	2.14	2.01	1.9	1.83	1.79	1.74	1.69	1.63	1.56	1.48	1.42	1.35	1.29	1.24	1.21	1.18	1.14	1.11	1.1	1.08	1.07	1.05	1.02	0.97	0.89	0.82	0.75	0.68	0.64	0.61	0.57	0.54	0.5	0.46	0.42	0.39	0.35	0.32	0.28	0.25	0.21	0.18	0.16	0.14	0.13	0.81
Bahrain	1970	7.98	7.43	7	6.67	6.43	6.26	6.15	6.08	6.05	6.02	6.02	6.05	5.98	5.75	5.4	5.08	4.76	4.44	4.13	3.82	3.51	3.19	2.99	2.97	3.07	3.16	3.28	3.33	3.23	3.04	2.88	2.72	2.6	2.56	2.56	2.55	2.54	2.51	2.43	2.33	2.23	2.13	2.03	1.94	1.85	1.75	1.64	1.57	1.53	1.51	1.49	1.49	1.43	1.31	1.15	1	0.84	0.73	0.69	0.7	0.7	0.7	0.7	0.66	0.61	0.56	0.52	0.48	0.44	0.4	0.37	0.33	0.3	0.27	0.25	0.23	0.2	0.19	0.17	0.16	0.92
Bangladesh	1970	2641.14	2511.45	2391.01	2279.08	2174.96	2077.89	1987.15	1902.02	1821.75	1745.62	1674.94	1611.03	1542.93	1465.83	1385.12	1309.63	1235.9	1176.78	1139.03	1115.81	1093.48	1074.73	1054.06	1027.33	997.22	970.5	945.75	921.65	898.21	875.33	852.86	830.8	808.97	787.29	765.74	744.57	723.84	702.79	681.09	659.13	637.55	616.1	595.74	576.94	559.25	541.71	524.58	507.31	489.57	471.64	454.08	436.64	419.94	404.31	389.36	374.43	359.68	344.48	328.45	311.9	295.53	279.23	262.96	246.81	230.76	214.84	199.22	183.36	167.07	150.7	134.85	119.45	104.93	91.59	79.31	67.65	56.66	46.85	38.43	31.21	99.27
Barbados	1970	4.4	4.9	5.33	5.67	5.95	6.16	6.31	6.4	6.44	6.43	6.37	6.28	6.16	6.02	5.86	5.67	5.45	5.23	5	4.76	4.52	4.28	4	3.66	3.28	2.92	2.55	2.29	2.18	2.18	2.18	2.19	2.2	2.16	2.1	2.06	2.03	2.02	2.05	2.1	2.15	2.21	2.24	2.2	2.12	2.05	1.98	1.94	1.98	2.07	2.14	2.21	2.25	2.23	2.17	2.12	2.07	2.02	1.98	1.96	1.93	1.89	1.85	1.83	1.8	1.78	1.75	1.69	1.58	1.45	1.32	1.18	1.06	0.95	0.87	0.77	0.68	0.61	0.56	0.52	2.97
Belarus	1970	133.04	141.54	149.91	157.98	165.63	172.69	179.02	184.47	188.9	192.14	194.57	196.52	195.36	189.92	181.56	172.94	163.71	154.72	146.73	139.48	132.33	125.82	119.31	112.55	106.29	100.6	94.35	94.1	102.77	116.87	130.47	145.35	154.76	154.94	149.23	144.32	138.45	134.97	136.12	139.78	141.98	143.9	142.55	136.16	126.44	117.38	108.74	99.35	89.19	79.09	69.09	58.27	53.21	56.88	66.02	74.64	84.21	90.22	89.92	85.54	82.01	78.26	75.07	73.28	72.2	70.51	68.68	65.7	61	55.27	49.69	43.94	39.22	36.21	34.35	32.33	30.37	28.49	26.56	24.61	144.76
Belgium	1970	131.83	138.25	143.69	148.2	151.83	154.65	156.71	158.05	158.75	158.84	158.51	157.95	156.57	154.2	151.25	147.98	143.88	141.77	142.95	145.92	148.49	151.76	151.26	144.75	134.66	125.39	115.8	109.44	108.46	111.03	113.09	115.29	117.7	119.89	121.93	124.45	127.5	129.44	129.55	128.57	127.34	125	125.03	129.01	134.94	140.33	147.03	146.74	135.51	117.84	101.35	83.51	73.54	76.47	87.55	97.13	107.28	114.34	115.57	113	111.43	109.94	108.18	106.46	104.61	102.16	99.19	95.94	92.44	88.69	84.69	80.6	75.87	70.28	64.19	58.12	51.94	46.36	41.76	37.85	204.91
Belize	1970	4.63	4.46	4.31	4.19	4.08	3.98	3.89	3.8	3.73	3.65	3.57	3.5	3.41	3.27	3.11	2.95	2.8	2.64	2.49	2.33	2.19	2.04	1.9	1.77	1.65	1.53	1.42	1.33	1.28	1.26	1.24	1.22	1.2	1.17	1.13	1.1	1.06	1.04	1.03	1.02	1.02	1.02	1.01	0.97	0.93	0.89	0.84	0.81	0.77	0.74	0.71	0.68	0.66	0.67	0.68	0.69	0.71	0.71	0.69	0.65	0.61	0.58	0.55	0.52	0.49	0.46	0.43	0.4	0.38	0.36	0.34	0.32	0.3	0.28	0.26	0.24	0.22	0.2	0.17	0.15	0.74
Benin	1970	113.34	106.94	101.12	95.83	91.04	86.71	82.79	79.25	76.05	73.14	70.51	68.14	65.88	63.62	61.4	59.38	57.56	55.69	53.69	51.65	49.71	47.75	46.25	45.43	45.01	44.57	44.26	43.47	41.88	39.78	37.82	35.85	34.11	32.78	31.72	30.63	29.57	28.59	27.67	26.81	26.02	25.29	24.64	24.09	23.61	23.17	22.76	22.36	21.95	21.53	21.12	20.73	20.32	19.89	19.43	18.96	18.48	17.99	17.52	17.04	16.54	16.02	15.44	14.77	14.04	13.29	12.54	11.76	10.97	10.18	9.38	8.59	7.79	6.98	6.17	5.39	4.63	3.93	3.31	2.75	9.02
Bhutan	1970	11.57	10.85	10.21	9.63	9.12	8.67	8.26	7.9	7.58	7.28	7.03	6.83	6.59	6.28	5.95	5.65	5.34	5.15	5.12	5.2	5.26	5.35	5.38	5.28	5.1	4.94	4.78	4.63	4.51	4.41	4.29	4.17	4.05	3.94	3.83	3.73	3.62	3.51	3.4	3.28	3.16	3.04	2.92	2.8	2.68	2.56	2.44	2.33	2.21	2.11	2	1.9	1.8	1.7	1.61	1.52	1.44	1.36	1.27	1.2	1.12	1.05	0.98	0.91	0.84	0.78	0.72	0.65	0.6	0.54	0.49	0.44	0.4	0.35	0.31	0.27	0.24	0.2	0.17	0.14	0.55
